kbinact,aceph01,aceph02,aceph03,aceph04
254,1458284.0,1435332.0,1530572.0,1500268.0
255,1459940.0,1436160.0,1529132.0,1502440.0
256,1460940.0,1435120.0,1530796.0,1504844.0
257,1462688.0,1434284.0,1530700.0,1504436.0
258,1462112.0,1434832.0,1530476.0,1504448.0
259,1463848.0,1437588.0,1532384.0,1506932.0
260,1465484.0,1438884.0,1532224.0,1506156.0
261,1466324.0,1440856.0,1533920.0,1506460.0
262,1467968.0,1441424.0,1535128.0,1510024.0
263,1469248.0,1441360.0,1534788.0,1510688.0
264,1473272.0,1444032.0,1537660.0,1510956.0
265,1474776.0,1446952.0,1540348.0,1513828.0
266,1477304.0,1448220.0,1541380.0,1517580.0
267,1478948.0,1449448.0,1542576.0,1519232.0
268,1478004.0,1451056.0,1544968.0,1520456.0
269,1480392.0,1451388.0,1545716.0,1521456.0
270,1481212.0,1451688.0,1545596.0,1522368.0
271,1485176.0,1455896.0,1548764.0,1521912.0
272,1486736.0,1456420.0,1550396.0,1524724.0
273,1488748.0,1458396.0,1549388.0,1527480.0
274,1489588.0,1458184.0,1550324.0,1530780.0
275,1489992.0,1460428.0,1553964.0,1531072.0
276,1493508.0,1462864.0,1555932.0,1530016.0
277,1495916.0,1464176.0,1558440.0,1531740.0
278,1499248.0,1467804.0,1560996.0,1534624.0
279,1499560.0,1469256.0,1562248.0,1537248.0
280,1500340.0,1468228.0,1561636.0,1538064.0
281,1504904.0,1470704.0,1563916.0,1537684.0
282,1507832.0,1471684.0,1566192.0,1540264.0
283,1509572.0,1474352.0,1568440.0,1541652.0
284,1512700.0,1476920.0,1568968.0,1543404.0
285,1512612.0,1477176.0,1571024.0,1543704.0
286,1512400.0,1476556.0,1571868.0,1545224.0
287,1515956.0,1478860.0,1573040.0,1545872.0
288,1516892.0,1482380.0,1577152.0,1550740.0
289,1518180.0,1482512.0,1576844.0,1551252.0
290,1521232.0,1486032.0,1579856.0,1551432.0
291,1524500.0,1488268.0,1581636.0,1555624.0
292,1523092.0,1487320.0,1582336.0,1557988.0
293,1524020.0,1485144.0,1582936.0,1558628.0
294,1528372.0,1487628.0,1584468.0,1558856.0
295,1530056.0,1489388.0,1585520.0,1561164.0
296,1533484.0,1491184.0,1587164.0,1561492.0
297,1534528.0,1493836.0,1588852.0,1566780.0
298,1534336.0,1494780.0,1589740.0,1568560.0
299,1539916.0,1498136.0,1594472.0,1570016.0
300,1542140.0,1499192.0,1595712.0,1574836.0
301,1542408.0,1499092.0,1595480.0,1573608.0
302,1543864.0,1500552.0,1596384.0,1573268.0
303,1544148.0,1502012.0,1595068.0,1574452.0
304,1545004.0,1505388.0,1599328.0,1575608.0
305,1548008.0,1506152.0,1601544.0,1578776.0
306,1549612.0,1506720.0,1602980.0,1581816.0
307,1554632.0,1510868.0,1608088.0,1581236.0
308,1554672.0,1512424.0,1609640.0,1585280.0
309,1556744.0,1515952.0,1610816.0,1585672.0
310,1556724.0,1512576.0,1610292.0,1586552.0
311,1559384.0,1514036.0,1612648.0,1586084.0
312,1562464.0,1518996.0,1615688.0,1587140.0
313,1566056.0,1520144.0,1613584.0,1593100.0
314,1573120.0,1524004.0,1617580.0,1593972.0
315,1574912.0,1525856.0,1619076.0,1599724.0
316,1577480.0,1527020.0,1623276.0,1599888.0
317,1577884.0,1526500.0,1623972.0,1604880.0
318,1576912.0,1526280.0,1623960.0,1606284.0
319,1575232.0,1525656.0,1624756.0,1603548.0
320,1577260.0,1529720.0,1625464.0,1606024.0
321,1580972.0,1530744.0,1626960.0,1607708.0
322,1582520.0,1532648.0,1628176.0,1606640.0
323,1582116.0,1531492.0,1628516.0,1607180.0
324,1582908.0,1530404.0,1628804.0,1608348.0
