op_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
186,0.167,0.101,0.358,0.5,3.8,0.073,0.016,4.611,5.145,2.128,0.004,0.005,4.702,0.008,0.003,0.019,2.394,0.006,0.234,0.004,0.454,0.385,0.306,0.373,0.991,0.296,0.309,0.462,0.274,2.538,0.004,3.14,0.448,0,0.124,0.226,1.205,0,1.302,0.329
187,0.46,0.025,0.245,0.241,0,0.003,0.411,2.176,2.005,0.358,0.243,0.783,2.664,0.068,0.108,0.007,0.334,0.299,0.004,0.195,0.244,0,0.343,0.351,0.874,0.224,0.582,0.251,0.016,0,0.13,0.377,0.016,3.772,0.004,0.684,0.452,3.114,0.316,0.004
188,0.151,0.004,0.05,0.103,2.803,0.01,0.323,0.491,0.028,0.032,0.537,0.905,1.282,0.629,0.238,0.811,0.005,0,0.705,0.288,0.182,0,0.004,0.015,0.057,0.003,0.131,0.16,0.356,5.093,0.217,0.103,0.004,3.198,0.613,0.268,0.006,0.737,0.036,0.265
189,0.004,0.314,0.207,0.631,0.821,0.004,0.005,0.226,0.706,0.135,0.014,0.597,0.014,0,0.005,0.294,0.911,1.369,0.732,0.008,0.472,5.665,0.21,0.537,0.003,0.452,0.005,0.468,0.005,0,0.004,0.155,0.533,0,1.074,1.093,0.402,0.634,0.207,0.252
190,0.448,0.821,0.335,0.003,0.074,0.013,0.545,0.404,0.004,0.773,0.008,0.645,2.379,0,1.249,0.173,1.216,0.759,0.478,1.024,0.006,3.343,0.007,0.242,0.613,0.007,0.794,0.346,0.007,4.391,0.367,0.352,1.056,5.496,0.31,0.131,0.694,1.238,0.299,0.066
191,0,0.007,0.963,0.106,0.005,0.006,0.083,0.004,0.718,0.006,0.003,0.007,1.021,0,1.325,0.009,0.346,0.824,0.564,0.206,0.288,2.026,0.064,0.006,0.475,0.037,0.151,0.325,0.112,5.821,1.127,0.557,0.785,6.449,0,0.27,1.56,2.36,0.666,0.054
192,0,0.058,0.178,0.048,0.004,0.418,0.362,0.188,2.179,0.198,0.141,0.072,0.745,0,0.674,0.136,1.135,0.71,0.054,0.404,0.037,0.369,0.041,0.457,0.023,0.388,0.009,0.017,0.013,2.531,0.056,0.107,0.243,2.563,0,0.142,0.568,0.672,0.007,0.028
193,0,1.236,0.342,0.008,1.276,1.169,0.006,0.041,1.195,0.34,0.273,0.003,0.099,6.825,0.772,0.004,0.009,0.289,0.471,1.134,0.366,0.391,0.503,0.087,0.521,0.629,0.261,1.049,0.871,1.761,0,0.004,0.301,0.831,0,0.074,1.179,0.109,0,0.004
194,0,0.005,0.303,0.007,3.137,1.075,0,0.142,0.004,2.01,0.203,0.931,0.039,2.227,0.016,0.638,0.062,0.006,0.004,0.02,0.333,0.007,0.388,0.002,0.189,0.443,0,0.007,0.242,0.0,3.171,0.405,0.142,0.883,0,0.114,0.282,0.009,0,0.003
195,5.352,0.001,0.005,0.0,0.092,0.825,0.091,0.004,0.002,0.983,0.006,0.214,0.097,1.674,0.115,0.363,0,0.003,1.737,0.14,0.003,0.003,0.869,0.092,0.002,0.003,0,0.004,1.892,2.718,0,0.004,0.298,0.201,5.533,0.002,0.168,0.649,0,0.054
196,0,0.475,0.004,0.312,0.341,0,1.023,0.004,0.652,0.654,0.0,0.004,0.006,0.155,0.197,0.182,0.161,0.003,0,0.759,0.721,1.075,3.944,0.053,0.509,0.617,0,2.082,1.079,1.721,0,0.003,0.252,0.001,2.694,0.554,0,0.264,0,0.005
197,3.022,1.557,0.804,0.319,1.031,1.374,0.005,0.197,0.782,0.263,1.76,0.133,1.223,1.863,2.166,0.358,0.795,1.015,3.56,0.47,0.058,0.143,2.083,0.209,0.537,0.369,0,0.358,1.525,0.151,1.904,0.005,0.018,1.577,0.796,0,0.005,0.441,8.106,0.003
