%sys,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
10,1.0,3.03,2.0,3.03,2.02,3.0,4.0,3.06,4.04,1.03,0.0,1.0,0.0,1.01,1.01,0.0,14.14,19.7,5.1,40.0,3.03,31.25,3.0,1.98,4.0,4.04,3.0,0.0,1.01,10.2,5.94,2.02,0.0,1.09,0.0,0.0,1.1,1.1,5.0,21.28,4.0,1.0,0.99,14.85,0.0,0.0,0.0,3.96,5.94,11.22,4.0,1.0,0.0,1.0,1.01,0.0,2.0,1.01,0.0,0.0,0.0,1.96,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.01,1.0,0.99,0.0,0.99,1.0,0.98,8.91,10.1,15.15,9.9,11.11,10.0,11.11,13.13,17.17,12.12,10.1,12.24,1.0,12.87,10.0,12.0,9.09,11.11,12.12,8.0,11.11,1.96,13.13,10.1,12.0,12.0,12.0,9.0,10.1,14.14,10.0,13.0,10.2,12.12,0.99,4.04,9.09,10.89,1.0,1.0,0.0,0.99,1.98,12.0,0.0,0.0,8.08,1.01,1.01,0.0,1.0,1.0,1.01,1.0,13.13,10.0,0.0,3.0,9.0,9.0,9.09,0.0,0.0
11,2.02,6.86,8.91,8.91,8.82,6.86,7.0,7.92,8.0,7.0,1.0,1.0,2.0,0.99,0.0,2.0,1.0,0.0,52.17,2.0,8.91,1.0,52.38,1.0,47.37,38.89,1.0,1.98,2.0,0.0,7.0,10.0,1.09,1.09,0.0,1.09,1.08,1.09,25.0,0.0,2.04,1.0,12.0,1.09,1.01,0.0,5.05,9.0,40.0,1.1,21.21,0.0,1.0,10.0,2.0,11.0,10.0,10.89,10.0,10.0,13.0,10.1,8.08,9.09,9.0,14.85,12.0,11.11,10.0,11.11,12.0,12.0,10.0,0.0,7.14,9.09,12.87,0.0,1.01,2.0,1.01,1.0,1.01,0.0,1.0,1.01,1.0,1.01,1.0,1.0,1.0,0.99,0.98,1.0,1.0,1.01,1.0,1.0,1.0,0.99,0.99,1.01,0.0,1.01,1.01,0.0,1.0,1.01,0.99,0.99,1.0,0.0,6.93,1.0,0.0,0.0,0.0,1.0,1.0,13.13,0.0,0.0,0.99,0.0,1.0,1.0,1.0,0.99,0.0,1.96,0.0,0.99,0.0,0.0,8.91,1.01,1.0,1.0,1.0,0.0
12,8.0,0.0,0.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,1.01,0.0,0.0,1.01,2.0,1.98,0.0,0.99,0.99,1.0,0.99,0.97,1.01,2.0,1.98,2.0,1.0,1.0,1.0,1.98,1.11,0.98,1.0,0.0,1.0,0.99,1.0,0.0,1.14,1.0,37.5,1.01,0.0,0.0,1.01,0.0,11.0,0.0,0.0,1.09,0.0,1.01,4.29,0.0,1.0,0.99,1.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.99,0.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,0.99,0.0,0.99,0.0,0.99,0.0,1.0,1.0,0.0,1.98,1.0,0.0,0.0,1.0,1.01,0.99,1.0,1.0,0.0,0.0,1.0,0.99,1.98,1.01,0.0,1.0,1.0,0.0,1.01,0.99,1.01,1.01,0.0,0.0,0.0,0.99,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.01,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.98,0.0,0.0,1.01,0.99,0.0,2.0,0.99,0.97,0.99
13,1.0,0.99,0.0,1.0,0.0,0.0,0.0,0.99,0.0,1.0,1.0,1.0,2.0,1.01,1.01,1.01,0.0,0.99,0.0,1.01,0.0,0.0,1.98,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.01,1.0,0.99,1.01,0.0,1.0,1.0,1.0,1.96,0.0,0.99,1.0,1.96,0.99,1.1,0.0,1.0,1.01,1.0,1.98,18.6,0.99,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.99,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.98,0.0,1.0,0.99,0.0,0.0,0.0,1.0,0.0,1.01,0.99,1.01,2.0,0.99,0.0,1.0,1.0,1.01,1.0,1.0,2.0,1.0,1.98,1.01,0.0,0.0,0.99,0.0,1.01,0.0,1.0,1.0,0.99,1.01,1.0,0.98,1.0,0.0,1.01,1.0,2.0,1.01,2.0,1.01,0.0,1.01,1.0,1.0,0.99,1.0,0.98,1.0,1.01,0.0,1.01,0.99,1.0,0.0,1.0,1.0,1.0,1.01,1.01
14,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.01,1.01,0.98,0.98,1.01,0.99,1.0,0.99,2.0,21.82,0.0,0.99,0.0,0.0,13.04,0.0,1.0,0.0,0.99,1.01,1.01,0.0,1.0,1.0,0.0,1.0,1.01,28.99,0.0,2.0,0.0,1.01,1.1,1.01,1.0,1.0,1.01,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.98,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.99,0.99,0.99,1.98,1.01,0.0,1.0,1.01,1.0,0.0,2.0,1.01,1.0,1.0,0.99,0.0,1.01,0.0,0.0,0.0,1.0,0.0,1.0,0.99,1.01,1.0,2.0,1.0,1.01,0.0,1.01,1.01,2.0,0.0,2.02,0.0,0.0,0.0,1.01,2.0,1.01,0.0,2.0,1.96,1.0,0.0,2.04,1.01,0.0,1.01,0.0,3.45,0.0,1.0,1.69,1.01,1.0,0.99,0.0,1.0,1.01,1.01,2.0,0.99,2.0
15,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.08,1.98,1.0,2.0,0.0,1.01,0.0,2.02,0.0,0.0,1.0,0.0,1.43,1.0,0.0,1.01,8.33,8.91,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.01,1.0,1.0,1.96,0.0,0.0,6.38,0.99,0.0,0.0,0.0,0.0,1.0,14.0,2.82,1.0,4.69,0.0,1.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.99,0.0,1.96,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.01,0.0,1.01,1.01,1.0,1.98,1.0,1.0,0.0,1.01,0.99,1.0,1.01,1.01,0.99,0.99,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.01,10.1,0.99,0.0,0.0,0.99,2.0,1.01,0.0,1.01,1.01,6.76,17.07,1.98,1.98,10.84,10.1,1.67,1.01,29.41,8.82,0.0,0.0,1.0,1.0,0.0,1.98,2.0,1.0,0.0
16,1.0,0.99,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.99,1.01,11.11,0.0,21.05,1.0,0.0,1.0,4.55,1.01,1.98,0.99,0.0,1.01,1.0,0.0,0.0,8.7,8.08,1.02,1.01,2.0,1.0,5.43,5.38,5.32,0.0,0.0,3.26,1.0,0.99,1.01,0.0,1.0,0.0,13.33,3.23,1.01,2.0,1.01,1.0,1.0,1.32,0.0,0.0,23.81,1.0,0.0,0.0,1.0,1.01,0.0,1.0,1.0,0.0,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.98,0.0,0.99,0.0,0.0,0.99,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.98,0.98,0.0,1.0,0.0,0.0,1.0,1.0,0.99,0.0,0.0,1.01,0.99,1.01,1.98,0.99,0.0,1.01,2.0,1.0,0.0,1.0,1.0,1.01,0.0,0.99,0.99,0.98,12.12,26.67,21.88,8.7,1.0,0.99,9.89,1.01,0.0,1.01,2.22,0.0,9.76,3.33,3.0,9.09,0.99,0.0,0.0,1.0,0.99,0.0,2.0,2.44,1.01
17,0.0,0.0,1.0,1.0,0.0,0.98,0.0,0.0,1.01,1.0,1.09,0.99,26.67,7.0,0.99,28.57,6.12,14.29,10.53,29.51,1.0,9.76,1.0,0.0,0.0,0.0,38.46,1.01,1.01,2.5,0.0,0.0,7.84,5.0,31.58,19.23,10.87,6.0,0.0,5.81,1.01,1.0,0.0,6.19,0.0,11.24,0.97,0.0,22.81,5.21,16.28,1.98,0.0,0.99,0.0,0.0,1.0,1.0,0.99,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.99,0.0,1.01,1.01,1.0,0.0,1.0,1.01,4.04,0.0,0.0,0.99,0.0,2.0,1.01,1.98,2.0,1.0,1.0,1.01,2.0,1.01,0.99,1.0,0.99,1.0,1.98,0.0,1.01,1.01,1.01,0.98,1.0,7.07,1.04,2.97,11.97,13.13,1.01,1.01,0.0,0.0,0.0,11.43,0.99,1.0,1.3,12.0,0.0,0.98,1.0,1.05,3.45,0.98,1.01,1.14,0.0,33.33,1.15
18,1.0,7.0,11.88,12.87,11.11,11.11,11.11,9.9,10.78,9.71,21.05,0.0,10.89,1.01,16.67,9.09,11.0,12.36,10.0,2.0,8.0,6.9,29.51,2.0,17.5,17.07,1.0,2.0,1.0,12.0,14.46,7.92,0.0,1.0,0.0,0.0,0.0,1.0,26.56,18.75,12.63,1.08,12.12,30.0,1.0,2.08,0.0,26.67,0.0,6.0,7.92,0.0,1.0,13.13,1.01,11.11,9.18,11.0,10.0,11.22,11.76,7.07,9.09,13.13,7.0,6.0,4.95,5.0,5.1,5.1,7.84,4.04,6.0,0.0,7.07,4.0,0.0,11.0,12.0,10.2,13.0,12.12,10.0,9.09,10.0,11.0,8.0,4.0,2.04,9.9,1.98,2.02,1.01,1.0,0.0,1.98,1.02,1.01,11.0,1.98,1.01,1.98,1.0,1.01,1.0,1.0,1.0,0.0,0.99,0.99,1.01,0.99,12.24,9.09,5.38,1.01,1.01,0.0,1.01,0.99,12.7,0.0,0.0,11.9,9.0,1.01,1.0,1.0,1.01,0.0,0.0,0.0,13.33,15.79,2.6,30.77,23.81,2.94,2.0,48.0
19,10.0,1.01,0.0,0.0,1.96,1.0,0.99,0.0,0.0,1.0,8.0,1.0,2.0,1.0,9.18,1.0,0.0,0.98,0.0,0.0,2.0,0.0,1.41,0.0,13.46,18.52,1.0,1.0,1.01,1.01,0.0,1.0,1.0,1.0,1.35,2.6,1.0,1.0,0.0,11.36,1.0,0.0,0.0,0.0,1.0,0.0,20.97,3.96,0.0,0.0,1.0,0.99,9.09,0.0,1.0,0.99,0.99,1.01,1.0,1.0,1.01,0.99,1.98,3.0,5.05,4.0,5.0,6.93,8.91,6.0,4.08,5.05,6.0,6.93,3.0,6.93,11.11,0.0,0.0,1.0,1.01,0.0,1.01,0.98,2.97,1.01,7.0,8.0,7.07,1.0,13.27,10.1,9.9,13.0,9.0,10.2,10.89,10.0,1.01,12.12,10.0,12.24,13.13,11.11,10.1,9.9,6.06,9.9,11.11,10.2,11.11,1.01,1.0,0.0,1.03,0.97,1.01,0.0,1.0,33.33,3.16,1.0,1.0,0.0,1.0,0.99,1.98,0.0,0.0,1.96,1.01,23.53,7.92,8.0,34.29,5.81,10.1,48.28,1.0,2.0
