rxpck/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
10,0.0,14.14,14.0,14.14,14.14,14.0,14.0,14.29,14.14,14.43,0.0,1.0,0.0,1.01,5.05,0.0,22.22,31.82,14.29,3.33,14.14,3.12,14.0,0.99,14.0,14.14,6.0,0.0,1.01,21.43,13.86,14.14,0.0,0.0,0.0,0.0,0.0,1.1,14.0,22.34,0.0,1.0,8.91,20.79,0.0,0.0,0.0,13.86,13.86,20.41,15.0,1.0,0.0,9.0,7.07,11.11,9.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,20.79,21.21,24.24,19.8,21.21,24.0,21.21,21.21,21.21,21.21,21.21,21.43,0.0,19.8,20.0,20.0,20.2,23.23,20.2,20.0,20.2,0.0,20.2,20.2,20.0,20.0,20.0,20.0,20.2,20.2,20.0,20.0,20.41,20.2,0.99,15.15,20.2,20.79,0.0,0.0,0.0,0.0,0.99,20.0,1.0,1.02,20.2,0.0,1.01,0.0,1.0,1.0,0.0,1.0,20.2,21.0,0.0,14.0,20.0,14.0,20.2,0.0,1.0
11,14.14,5.88,5.94,5.94,5.88,5.88,6.0,5.94,6.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.78,6.0,5.94,7.0,4.76,0.0,5.26,5.56,0.0,0.99,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,14.29,0.0,11.0,0.0,0.0,0.0,14.14,7.0,16.0,0.0,18.18,0.0,0.0,11.0,1.0,9.0,11.0,10.89,20.0,21.0,20.0,20.2,20.2,20.2,20.0,19.8,19.0,20.2,20.0,20.2,20.0,20.0,20.0,5.05,20.41,20.2,19.8,0.0,0.0,4.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,0.0,0.0,1.0,1.0,1.0,1.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,5.94,0.0,1.0,0.0,1.0,0.0
12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,0.0,6.93,6.0,1.0,0.0,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,1.01,0.0,7.0,0.0,7.14,0.0,0.0,0.0,22.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.02,0.99,3.03,0.99,1.0,3.0,1.0,1.0,0.99,1.0,1.01,1.01,0.0,1.01,0.99,1.0,1.0,3.03,1.01,1.0,0.99,0.0,1.01,1.01,1.0,1.0,1.02,1.01,0.99,1.01,1.01,1.01,1.01,1.01,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.01,0.0,1.0,1.0,0.0,0.0,0.99
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99,0.99,1.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,1.01,1.0,0.99,1.01,1.01,1.0,0.0,1.0,6.86,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.0,0.0,1.0,0.0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.01,0.0,1.01,0.0,0.0,1.01,0.0,0.0,1.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,1.0,40.0,1.01,0.99,0.0,0.0,82.61,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.01,31.88,0.0,1.0,0.0,0.0,0.0,1.01,0.0,1.0,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.01,0.0,0.0,1.01,62.07,1.02,0.0,27.12,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.17,5.94,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.83,0.0,1.01,0.0,0.0,0.0,0.0,7.0,1.41,0.0,28.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0,0.99,1.0,1.01,1.01,0.0,0.0,18.92,18.29,0.0,0.0,16.87,7.07,26.67,1.01,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,18.18,8.99,68.42,1.0,0.0,0.0,15.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26,6.06,1.02,1.01,0.0,0.0,15.22,15.05,14.89,0.0,0.0,15.22,0.0,0.0,0.0,0.0,0.0,0.0,8.89,15.05,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,1.0,1.0,1.0,1.01,0.99,1.0,1.0,1.01,0.99,0.98,0.0,1.0,1.0,1.0,1.0,1.0,0.99,1.02,1.01,0.0,0.99,1.01,0.99,0.99,0.99,1.01,1.0,1.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,0.0,20.2,46.67,43.75,78.26,0.0,0.0,6.59,5.05,0.0,1.01,6.67,0.0,7.32,60.0,7.0,7.07,0.0,1.01,1.02,0.0,0.99,1.01,0.0,17.07,1.01
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,66.67,7.0,5.94,100.0,14.29,7.14,21.05,27.87,0.0,36.59,0.0,2.13,0.0,0.0,23.08,1.01,0.0,25.0,0.0,0.0,7.84,8.0,36.84,40.38,22.83,7.0,0.0,16.28,0.0,1.0,0.0,14.43,0.0,8.99,0.0,0.0,36.84,14.58,34.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.0,15.15,0.0,6.93,6.84,7.07,0.0,1.01,0.0,0.0,1.01,40.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.16,10.34,0.98,0.0,3.41,1.02,17.95,16.09
18,0.0,20.0,19.8,19.8,20.2,20.2,20.2,19.8,19.61,19.42,63.16,0.0,6.93,0.0,55.56,7.07,8.0,7.87,17.0,7.0,20.0,6.9,37.7,0.0,40.0,39.02,0.0,0.0,0.0,7.0,25.3,19.8,0.0,0.0,0.0,0.0,0.0,0.0,34.38,6.25,23.16,0.0,20.2,26.67,0.0,0.0,0.0,25.0,0.0,7.0,6.93,0.0,3.0,20.2,1.01,20.2,20.41,20.0,20.0,20.41,19.61,19.19,20.2,14.14,14.0,14.0,13.86,14.0,14.29,14.29,13.73,14.14,14.0,0.0,14.14,14.0,0.0,20.0,20.0,20.41,20.0,20.2,20.0,20.2,14.0,14.0,14.0,14.0,14.29,5.94,11.88,14.14,9.09,9.0,8.08,8.91,14.29,9.09,11.0,7.92,9.09,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,20.41,20.2,8.6,0.0,1.01,0.0,0.0,9.9,22.22,1.0,1.0,23.81,8.0,1.01,0.0,1.0,0.0,0.0,0.0,11.11,73.33,73.68,19.48,61.54,57.14,22.06,1.0,32.0
19,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.14,0.0,0.0,0.98,1.0,0.0,0.0,0.0,0.0,0.0,11.54,22.22,1.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,1.35,1.3,1.0,0.0,0.0,7.95,0.0,0.0,0.0,0.0,1.0,0.0,24.19,6.93,0.0,0.0,1.0,7.92,16.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,6.0,6.06,6.0,6.0,6.93,5.94,6.0,6.12,6.06,6.0,13.86,6.0,5.94,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,6.06,7.0,6.0,6.06,1.0,8.16,6.06,10.89,11.0,12.0,11.22,5.94,11.0,1.01,12.12,11.0,12.24,20.2,20.2,20.2,19.8,21.21,19.8,22.22,21.43,21.21,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,33.33,6.32,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.35,7.92,7.0,17.14,6.98,7.07,6.9,0.0,1.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.99,0.0,14.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.06,0.0,0.0,0.0,1.04,1.0,0.99,0.0,0.0,0.0,0.0,0.0,2.22,7.07,0.0,1.33,0.0,0.0,12.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,0.0,0.0,0.0,1.0,1.0,1.01,1.01,0.99,1.01,1.01,1.01,0.99,1.01,1.01,1.0,0.0,1.0,1.01,1.01,1.01,0.98,1.0,1.01,1.01,0.0,1.01,1.02,1.0,1.0,1.01,1.01,1.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93,0.0,0.0,0.0,1.0,0.0,6.12,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1.96,7.0,1.0,1.08,0.0,0.0,21.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.06,0.0,0.0,0.0,1.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
