w_await,aceph01,aceph02,aceph03,aceph04
111,0.0,0.053,0.024,0.073
112,0.097,0.019,0.101,0.059
113,0.041,0.048,0.077,0.061
114,0.088,0.067,0.067,0.072
115,0.011,0.026,0.02,0.0
116,0.038,0.052,0.031,0.028
117,0.049,0.08,0.035,0.053
118,0.049,0.028,0.099,0.06
119,0.039,0.075,0.063,0.07
120,0.037,0.009,0.053,0.024
121,0.044,0.043,0.101,0.072
122,0.029,0.05,0.061,0.027
123,0.024,0.075,0.044,0.062
124,0.105,0.065,0.045,0.069
125,0.067,0.079,0.095,0.054
126,0.041,0.074,0.073,0.056
127,0.039,0.045,0.036,0.059
128,0.034,0.051,0.056,0.051
129,0.068,0.027,0.064,0.066
130,0.087,0.101,0.1,0.084
131,0.033,0.059,0.082,0.031
132,0.024,0.05,0.078,0.047
133,0.043,0.049,0.042,0.038
134,0.174,0.093,0.073,0.071
135,0.049,0.057,0.036,0.06
136,0.071,0.031,0.084,0.054
137,0.012,0.017,0.069,0.009
138,0.07,0.046,0.05,0.074
139,0.0,0.2,0.0,0.0
140,0.079,0.045,0.055,0.036
141,0.036,0.023,0.062,0.049
142,0.089,0.029,0.061,0.05
143,0.037,0.024,0.048,0.034
144,0.047,0.061,0.068,0.025
145,0.063,0.047,0.011,0.032
146,0.041,0.082,0.04,0.025
147,0.056,0.039,0.05,0.072
148,0.025,0.041,0.06,0.058
149,0.056,0.047,0.031,0.041
150,0.035,0.066,0.026,0.023
151,0.049,0.051,0.066,0.045
152,0.0,0.027,0.046,0.025
153,0.064,0.051,0.06,0.046
154,0.157,0.068,0.052,0.072
155,0.04,0.008,0.039,0.106
156,0.077,0.015,0.019,0.014
157,0.048,0.045,0.08,0.066
158,0.068,0.042,0.087,0.077
159,0.058,0.08,0.064,0.019
160,0.052,0.04,0.048,0.037
161,0.042,0.054,0.038,0.07
162,0.053,0.04,0.04,0.037
163,0.119,0.063,0.052,0.08
164,0.052,0.063,0.029,0.069
165,0.076,0.058,0.033,0.064
166,0.099,0.08,0.024,0.089
167,0.086,0.069,0.062,0.091
168,0.049,0.099,0.081,0.099
169,0.048,0.054,0.072,0.07
170,0.059,0.072,0.096,0.044
171,0.127,0.022,0.056,0.067
172,0.078,0.065,0.123,0.039
173,0.027,0.07,0.058,0.029
174,0.031,0.088,0.039,0.082
175,0.065,0.046,0.064,0.019
176,0.035,0.058,0.089,0.059
177,0.056,0.016,0.049,0.094
178,0.041,0.049,0.077,0.039
179,0.064,0.027,0.054,0.037
180,0.073,0.082,0.063,0.074
181,0.067,0.05,0.069,0.056
182,0.064,0.043,0.047,0.021
183,0.088,0.043,0.042,0.047
184,0.091,0.034,0.035,0.065
185,0.047,0.082,0.061,0.087
186,0.059,0.063,0.063,0.05
