svctm,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
10,0.0,0.0,0.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,76.92,0.0,0.0,83.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,333.33,0.0,500.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,333.33,0.0,27.78,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0.0,43.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.33,0.0,0.0,0.0,0.0,0.0,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,33.33,200.0,0.0,166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.62,62.5,142.86,40.0,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,43.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,142.86,142.86,58.82,200.0,0.0,0.0,47.62,83.33,0.0,0.0,38.46,0.0,125.0,33.33,41.67,200.0,0.0,0.0,50.0,0.0,0.0,200.0,0.0,30.42,200.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,250.0,0.0,0.0,125.0,0.0,0.0,0.0,333.33,0.0,0.0,0.0,0.0,45.45,0.0,0.0,43.48,0.0,166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,333.33,0.0,0.0,0.0,0.0,0.0,0.0,200.0,326.0,0.0,43.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.86,0.0,0.0,0.0,200.0,500.0,333.33,0.0,1000.0,200.0,40.0,23.81,90.91,200.0,33.33,125.0,29.41,111.11,45.45,58.82,22.22,111.11,37.04,333.33,45.45,0.0,47.62,0.0,83.33,1000.0,0.0,47.62,22.73,500.0,0.0,250.0,0.0,52.63,166.67,100.0,43.48,0.0,0.0,0.0,58.82,0.0,0.0,0.0,0.0,250.0,90.91,0.0,66.67,0.0,0.0,142.86,0.0,0.0,43.48,52.63,33.33,58.82
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.33,0.0,500.0,0.0,0.0,250.0,31.25,0.0,45.45,52.63,0.0,55.56,125.0,0.0,0.0,55.56,34.48,58.82,0.0,100.0,0.0,0.0,0.0,0.0,0.0,111.11,0.0,17.31,0.0,0.0,142.86,493.33,0.0,0.0,125.0,76.62,0.0,0.0,90.91,0.0,90.91,756.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,83.33,31.25,50.0,200.0,62.5,90.91,111.11,50.0,37.04,200.0,83.67,35.71,38.46,142.86,333.33,83.33,100.0,142.86,200.0,90.91,43.48,76.92,250.0,200.0,34.62,58.82,125.0,500.0,43.48,0.0,333.33,0.0,33.33,142.86,250.0,0.0,71.43,125.0,1000.0,0.0,0.0,71.43,16.95,55.56,91.27,0.0,0.0,111.11,0.0,333.33,0.0,142.86,0.0,250.0,200.0,45.45,125.0,34.48,26.32,250.0,0.0,200.0,0.0
15,0.0,83.33,0.0,38.46,333.33,41.67,35.71,30.3,0.0,90.91,1000.0,250.0,0.0,107.2,333.33,45.45,0.0,111.11,0.0,27.78,0.0,47.62,100.0,506.67,1000.0,40.0,100.0,1000.0,0.0,1000.0,90.91,0.0,111.11,166.67,58.82,0.0,41.67,76.92,22.22,0.0,37.04,0.0,62.5,0.0,0.0,34.48,0.0,1000.0,76.92,58.82,100.0,0.0,370.29,250.0,304.8,333.33,55.56,0.0,500.0,71.43,0.0,0.0,37.04,66.67,0.0,0.0,62.5,38.46,25.64,333.33,0.0,142.86,45.45,250.0,71.43,250.0,125.0,50.0,0.0,250.0,166.67,100.0,0.0,0.0,250.0,83.33,0.0,50.0,200.0,0.0,0.0,0.0,166.67,500.0,0.0,0.0,0.0,0.0,0.0,333.33,250.0,83.0,0.0,111.11,0.0,200.8,0.0,500.0,166.67,250.0,0.0,0.0,0.0,0.0,32.26,0.0,176.67,0.0,333.33,166.67,100.0,278.0,0.0,38.46,0.0,500.0,389.6,67.2,250.0,336.0,200.0,166.67,1000.0,0.0,52.63,250.0,166.67,0.0,0.0,333.33
16,34.48,500.0,250.0,0.0,500.0,0.0,0.0,76.92,71.43,58.82,48.18,974.0,276.8,154.67,76.29,232.0,0.0,333.33,575.0,111.11,41.67,1000.0,0.0,250.0,250.0,0.0,752.0,380.67,0.0,478.0,125.5,125.0,334.67,1000.0,500.0,453.6,0.0,258.0,250.0,62.5,333.33,250.0,111.11,66.67,526.0,0.0,142.86,62.5,0.0,83.33,111.11,1294.0,58.82,250.0,250.0,0.0,76.92,55.56,0.0,250.0,30.3,15.38,1004.0,333.33,37.04,62.5,250.0,50.0,250.0,0.0,47.62,0.0,1000.0,66.67,0.0,0.0,111.11,500.0,0.0,1000.0,500.0,0.0,0.0,0.0,333.33,200.0,125.0,0.0,0.0,333.33,0.0,125.0,500.0,83.33,333.33,200.0,333.33,166.67,83.33,111.11,142.86,1004.0,250.0,0.0,250.0,249.0,250.0,77.23,0.0,333.33,83.33,44.5,25.0,0.0,62.5,66.25,125.0,88.33,650.67,0.0,200.0,616.0,200.0,0.0,250.0,0.0,0.0,616.0,177.09,1232.0,974.0,125.0,166.67,86.67,200.0,500.0,78.11,0.0,176.0,265.0
17,76.92,0.0,250.0,125.0,0.0,250.0,0.0,200.0,500.0,100.0,0.0,66.67,83.33,500.0,466.0,76.92,350.67,140.6,250.0,752.0,500.0,556.0,302.4,250.0,0.0,752.0,0.0,0.0,83.33,166.67,0.0,0.0,996.0,0.0,794.67,0.0,1132.0,66.0,410.67,333.33,0.0,111.11,1000.0,200.0,0.0,0.0,100.0,0.0,1524.0,0.0,459.2,166.67,0.0,250.0,1000.0,0.0,250.0,500.0,0.0,200.0,200.8,166.67,142.86,0.0,83.33,55.56,333.33,0.0,142.86,500.0,0.0,0.0,1000.0,333.33,0.0,0.0,0.0,0.0,47.62,111.11,0.0,0.0,142.86,76.92,251.0,0.0,125.0,166.67,200.0,200.0,100.0,76.92,111.11,333.33,500.0,250.0,142.86,250.0,500.0,0.0,0.0,166.67,0.0,100.0,125.0,100.4,333.33,498.0,55.56,0.0,125.0,0.0,0.0,132.5,500.0,0.0,83.33,0.0,200.0,1000.0,0.0,125.0,0.0,1000.0,324.67,200.0,166.67,200.0,111.11,142.86,83.33,111.11,80.27,125.0,0.0,0.0,0.0,352.0,250.0,0.0
18,0.0,125.0,1000.0,333.33,38.46,250.0,142.86,142.86,250.0,166.67,200.0,83.67,1000.0,111.11,125.0,142.86,142.86,0.0,250.0,58.82,100.0,500.0,99.2,792.0,1504.0,111.11,500.0,167.33,166.67,100.0,264.0,0.0,1004.0,0.0,0.0,432.0,0.0,0.0,0.0,506.0,278.0,333.33,71.43,205.6,0.0,50.0,205.6,528.0,142.86,183.2,0.0,250.0,0.0,142.86,100.0,142.86,166.67,0.0,125.0,0.0,1000.0,333.33,76.92,500.0,1000.0,0.0,76.92,333.33,200.0,76.92,1000.0,58.82,52.63,250.0,83.33,50.0,125.0,90.91,0.0,100.0,83.33,83.67,0.0,0.0,996.0,333.33,0.0,0.0,0.0,0.0,250.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,1000.0,500.0,1000.0,0.0,0.0,90.91,250.0,500.0,1000.0,250.0,142.86,1000.0,0.0,66.67,100.0,0.0,142.86,333.33,62.5,1000.0,1000.0,151.43,66.25,500.0,166.67,139.14,250.0,1000.0,90.91,125.0,0.0,200.0,71.43,1052.0,692.0,83.33,70.67,176.67,333.33,113.78,500.0,333.33
19,200.0,200.0,58.82,333.33,166.67,0.0,0.0,0.0,90.91,0.0,71.43,83.0,1000.0,1000.0,142.86,125.0,1004.0,117.75,0.0,500.0,143.43,0.0,250.0,50.0,111.11,1000.0,200.0,62.5,76.92,166.67,134.86,166.67,0.0,55.56,288.0,0.0,0.0,1000.0,500.0,818.0,0.0,58.82,500.0,175.33,521.33,0.0,353.33,71.43,0.0,500.0,336.0,0.0,500.0,0.0,76.92,0.0,0.0,166.67,0.0,0.0,250.0,250.0,0.0,333.33,100.0,37.04,0.0,500.0,0.0,0.0,200.0,0.0,0.0,55.56,0.0,0.0,0.0,111.11,333.33,0.0,1000.0,0.0,83.33,166.67,334.67,0.0,333.33,83.33,62.5,250.0,83.67,200.0,200.0,200.0,333.33,1000.0,100.0,166.67,200.0,200.0,0.0,111.11,91.27,0.0,125.0,1000.0,142.86,0.0,0.0,500.0,125.0,500.0,71.43,0.0,0.0,200.0,200.0,0.0,333.33,1000.0,0.0,333.33,62.5,90.91,77.23,500.0,50.0,0.0,166.67,200.0,1004.0,0.0,125.0,200.0,0.0,0.0,333.33,69.71,166.67,142.86
20,0.0,0.0,0.0,500.0,90.91,166.67,500.0,0.0,0.0,333.33,250.0,166.67,62.5,52.63,200.0,90.91,84.29,50.0,71.43,0.0,0.0,142.86,391.0,250.0,0.0,200.8,83.33,142.86,71.43,71.43,333.33,111.11,250.0,0.0,333.33,0.0,0.0,270.22,250.0,200.0,142.86,90.91,0.0,250.0,77.23,135.82,333.33,1000.0,125.0,100.0,76.31,0.0,250.0,333.33,71.43,0.0,0.0,200.0,333.33,250.0,1000.0,0.0,333.33,500.0,125.0,0.0,142.86,125.0,83.33,111.11,0.0,0.0,200.0,0.0,0.0,0.0,83.33,0.0,500.0,62.5,500.0,0.0,142.86,111.11,500.0,1000.0,45.45,142.86,250.0,125.0,125.0,500.0,76.92,111.11,167.33,142.86,200.0,45.45,200.0,167.33,250.0,500.0,142.86,250.0,55.56,1000.0,111.11,200.0,50.0,90.91,333.33,333.33,166.67,166.67,0.0,125.0,83.33,58.82,47.62,142.86,0.0,50.0,200.0,90.91,333.33,125.0,1000.0,76.92,62.5,47.62,83.33,0.0,200.0,200.0,125.0,250.0,66.67,125.5,45.45,66.67
21,200.0,500.0,500.0,125.0,90.91,111.11,250.0,100.0,500.0,333.33,41.67,0.0,1000.0,0.0,111.11,166.67,38.46,183.2,100.0,333.33,200.0,0.0,166.67,0.0,500.0,142.86,200.0,76.92,333.33,55.56,2432.0,333.33,198.0,500.0,200.0,0.0,250.0,71.43,142.86,0.0,191.33,0.0,250.0,0.0,58.82,200.0,0.0,125.0,1000.0,318.4,0.0,166.67,166.67,142.86,90.91,333.33,0.0,500.0,0.0,0.0,142.86,250.0,1000.0,142.86,0.0,0.0,166.67,166.67,250.0,500.0,500.0,0.0,0.0,500.0,43.48,250.0,250.0,1000.0,200.0,0.0,0.0,500.0,500.0,500.0,200.0,111.11,166.67,1000.0,200.0,200.0,166.67,200.0,1000.0,0.0,333.33,142.86,333.33,111.11,166.67,83.33,166.67,142.86,142.86,333.33,250.0,71.43,100.0,250.0,250.0,200.0,166.67,62.5,250.0,111.11,500.0,166.67,0.0,500.0,1000.0,125.0,0.0,250.0,52.63,166.67,83.33,166.67,0.0,0.0,250.0,71.43,250.0,0.0,166.67,111.11,0.0,1000.0,83.33,0.0,90.91,90.91
