%ifutil,client01,client02,client03,client04
85,0.29,1.57,1.33,1.52
86,0.78,1.41,0.32,1.56
87,0.78,0.29,14.86,11.16
88,14.79,9.36,0.87,4.37
89,1.07,6.71,1.54,0.57
90,0.78,1.63,0.16,1.47
91,0.57,0.17,1.33,0.12
92,0.59,1.23,0.93,1.22
93,1.25,1.11,1.3,0.95
94,0.86,1.56,12.67,15.53
95,15.44,9.41,2.04,1.36
96,1.63,6.88,1.45,0.66
97,0.48,0.27,0.7,0.35
98,0.0,0.71,1.68,0.59
99,1.68,1.71,0.49,2.06
100,0.93,0.56,1.24,0.42
101,0.79,1.4,2.26,1.67
102,3.12,2.3,10.5,16.08
103,13.58,2.09,4.27,0.02
104,0.16,12.81,1.11,1.06
105,0.03,0.67,2.13,0.48
106,2.19,2.22,0.47,1.88
107,1.15,0.74,0.37,0.51
108,0.46,0.42,1.1,0.4
109,0.69,1.21,5.96,1.69
110,7.15,0.33,8.7,14.08
111,8.17,14.29,0.01,0.38
112,0.36,0.01,1.58,0.01
113,0.44,1.38,1.28,1.52
114,2.01,1.55,0.4,1.4
115,0.36,0.42,0.72,0.4
116,0.68,0.53,4.42,11.68
117,9.55,0.36,5.8,2.22
118,4.93,2.45,6.21,0.57
119,1.87,13.19,0.32,2.46
120,0.67,1.02,0.38,0.55
121,0.63,0.68,1.35,0.58
122,1.24,1.75,0.41,1.68
123,0.99,0.58,1.39,0.63
124,0.69,1.74,9.84,1.27
125,11.16,0.9,5.83,14.48
126,5.58,14.67,1.31,0.76
127,0.88,1.38,0.92,1.16
128,1.33,0.83,0.64,1.34
129,0.74,0.89,0.2,0.72
130,0.44,0.2,1.18,0.16
131,1.23,1.48,1.62,12.21
132,7.62,1.1,14.82,3.12
133,9.49,8.61,0.39,1.55
134,0.36,7.1,0.89,1.89
135,1.09,1.06,0.48,0.92
136,0.45,0.79,0.42,0.64
137,0.51,0.38,0.78,0.49
138,1.21,0.58,0.23,0.73
139,0.1,0.05,15.92,13.77
140,15.45,15.29,0.52,2.43
141,0.58,1.43,1.02,0.51
142,1.02,1.1,0.36,1.2
143,0.85,0.34,0.34,0.37
144,0.13,0.31,0.37,0.34
145,0.5,0.46,5.91,0.39
146,9.97,0.61,6.9,14.39
147,6.94,3.91,4.3,2.06
148,0.74,12.71,0.47,0.79
149,0.85,0.69,0.92,0.83
150,0.98,0.95,0.86,0.94
151,0.81,1.03,0.41,0.86
152,0.53,0.3,0.99,0.44
153,1.14,1.02,1.23,1.38
154,5.01,1.19,13.82,13.81
155,10.28,10.2,0.37,0.23
156,0.38,4.53,1.51,1.92
157,0.55,1.78,0.93,1.42
158,1.81,1.18,0.95,1.3
159,1.14,1.04,1.55,1.14
160,1.37,1.71,1.19,1.63
161,1.04,1.12,12.64,12.4
162,15.17,2.58,2.12,2.79
163,1.84,7.63,2.39,1.93
164,0.65,7.22,0.94,1.04
165,0.28,0.82,0.68,0.41
166,0.8,0.85,0.34,1.14
167,1.18,0.54,0.65,0.4
168,0.51,0.6,0.75,0.52
169,0.82,0.81,8.78,11.63
170,14.35,0.49,3.65,3.89
171,1.11,11.01,4.22,0.56
172,0.29,4.52,1.17,0.93
173,1.35,1.06,0.55,1.06
174,0.65,0.69,0.71,0.58
175,0.76,0.86,0.79,0.54
176,0.51,0.62,0.33,0.69
177,0.85,0.35,12.54,13.96
178,14.37,1.54,3.34,1.95
179,1.61,11.33,1.46,0.64
180,0.88,4.43,0.42,1.28
181,0.76,0.59,0.22,0.47
182,0.21,0.25,1.3,0.27
183,0.8,1.31,0.2,1.14
184,0.71,0.27,1.35,0.3
185,0.94,1.24,15.32,15.19
186,15.65,15.07,0.2,1.79
187,0.79,0.41,0.36,0.31
188,0.34,0.45,1.08,0.44
189,0.38,1.25,0.97,1.18
190,1.05,1.15,1.37,0.98
191,1.79,1.47,10.76,1.41
192,11.29,0.03,4.47,14.02
193,3.68,15.01,1.75,0.97
194,1.75,1.63,1.63,1.64
195,1.56,1.26,0.27,1.18
196,0.42,0.38,0.45,0.39
197,0.12,0.53,0.32,0.39
198,0.76,0.53,13.38,4.67
199,12.93,1.05,3.24,11.29
200,3.64,14.56,0.95,0.93
201,0.59,1.17,0.45,0.82
202,0.89,0.54,0.25,0.38
203,0.42,0.31,0.49,0.26
204,0.05,0.42,0.92,0.39
205,1.52,1.34,14.34,13.22
206,14.42,10.63,0.71,2.94
207,1.13,5.14,0.43,1.28
208,1.1,0.51,0.57,0.58
209,0.26,0.65,0.0,0.83
210,0.24,0.01,1.26,0.02
211,0.52,1.31,0.61,1.55
212,1.53,0.74,13.83,13.45
213,13.99,6.49,0.72,1.25
214,0.25,8.1,0.71,0.6
215,0.35,0.84,2.11,0.71
216,1.5,1.85,0.72,2.09
217,1.66,1.04,0.45,0.81
218,0.45,0.49,0.14,0.49
219,0.36,0.16,13.98,11.11
220,14.24,6.84,2.27,4.42
221,1.52,9.4,1.36,1.64
222,1.42,1.61,1.61,1.47
223,2.24,1.43,0.04,1.49
224,0.02,0.03,1.01,0.06
225,0.78,1.1,0.16,1.0
226,0.3,0.11,11.98,13.86
227,14.62,0.99,4.46,1.62
228,1.22,13.87,0.45,0.9
229,0.11,1.37,0.64,0.31
230,1.21,0.99,0.71,0.76
231,1.03,1.04,0.07,0.88
232,0.14,0.06,0.5,0.18
233,0.55,0.76,4.7,0.73
234,7.07,0.89,7.58,14.87
235,9.57,4.54,4.81,1.89
236,0.96,11.05,0.74,0.51
237,0.61,1.08,1.33,0.22
238,1.01,1.98,0.41,1.98
239,1.31,0.58,0.63,0.52
240,0.74,0.97,0.26,0.96
241,0.78,0.36,3.76,0.38
242,2.9,1.8,11.69,15.51
243,12.88,13.89,1.07,0.01
244,0.54,1.1,0.69,1.1
245,0.88,0.68,1.96,0.59
246,1.74,2.03,0.86,2.39
247,1.84,1.02,0.12,0.94
248,0.03,0.07,3.0,10.93
249,7.24,1.05,10.46,3.38
250,9.19,1.85,4.8,1.45
251,1.53,13.67,1.29,1.85
252,1.4,2.41,0.08,1.15
253,0.23,0.13,1.25,0.06
254,0.6,1.54,0.88,1.2
255,1.3,1.12,0.24,0.79
256,0.51,0.17,6.35,0.21
257,4.74,0.68,9.22,14.58
258,10.45,14.76,0.86,0.82
259,0.52,0.62,0.14,0.69
260,0.78,0.18,0.34,0.06
261,0.21,0.62,1.24,0.5
262,1.15,1.22,0.56,1.33
263,0.16,0.4,2.45,10.96
264,9.64,1.21,7.2,3.19
265,6.27,0.55,7.02,1.06
266,1.35,11.61,1.07,2.18
267,0.77,4.13,1.11,0.53
268,0.6,0.92,0.48,1.04
269,0.78,0.55,0.48,0.9
270,0.56,0.52,1.01,0.38
271,0.7,1.01,1.46,1.1
272,1.78,1.07,14.59,15.03
273,14.05,14.59,0.15,0.78
274,1.09,0.2,0.44,0.14
275,0.34,0.58,1.43,0.73
276,1.71,1.88,1.11,1.57
277,1.02,1.19,0.99,0.79
278,0.99,1.11,6.21,5.38
279,12.84,0.51,5.38,10.63
280,2.78,6.05,4.72,0.17
281,0.7,9.08,1.18,1.2
282,2.03,1.27,0.66,1.33
283,0.32,0.83,1.08,0.66
284,1.19,1.28,0.73,1.2
285,0.41,0.85,0.19,0.69
286,0.16,0.21,15.47,11.19
287,14.26,8.04,0.76,5.09
288,1.55,8.36,0.87,0.55
289,1.2,0.9,0.93,0.61
290,1.04,1.03,1.2,0.84
291,1.46,1.32,0.46,1.6
292,0.48,0.29,0.57,0.31
293,0.19,0.61,12.55,14.51
294,14.9,5.13,2.1,1.04
295,0.87,10.23,2.9,0.11
296,1.0,1.77,0.99,1.71
297,0.79,0.82,0.62,1.0
298,0.98,1.03,1.44,0.8
299,0.88,1.45,0.49,1.59
300,1.59,0.45,0.31,0.42
301,0.35,0.42,13.5,13.41
302,14.31,0.6,1.22,0.25
303,0.49,14.07,1.73,1.6
304,1.44,1.67,1.18,1.74
305,1.29,1.23,0.5,1.28
306,0.4,0.6,1.74,0.56
307,1.41,1.66,0.58,1.8
308,0.95,0.64,11.4,11.57
309,14.12,4.0,1.56,3.96
310,0.73,10.4,3.07,0.03
311,1.05,1.28,2.19,1.33
312,1.24,2.02,0.59,2.22
313,1.4,0.73,2.26,0.62
314,1.42,2.01,0.72,1.99
315,1.69,0.78,1.32,0.46
316,0.64,1.04,14.31,13.77
317,15.07,11.12,0.0,2.38
318,0.12,3.77,1.12,0.0
319,0.62,1.04,1.0,1.15
320,0.77,0.71,0.89,0.98
321,0.94,0.54,0.68,0.77
322,0.86,1.17,0.72,0.59
323,0.5,0.79,8.53,11.89
324,14.09,0.19,4.73,3.26
325,0.4,10.6,2.98,0.1
326,0.54,4.51,0.7,1.12
327,0.96,0.75,0.91,0.72
328,0.62,0.89,0.91,0.8
329,1.08,0.9,0.93,0.94
330,0.25,0.95,1.38,0.88
331,1.91,1.36,15.8,15.12
332,15.6,15.09,0.04,1.92
333,0.95,1.16,0.9,0.04
334,0.15,0.89,2.3,0.92
335,2.55,2.19,0.65,2.09
336,0.97,0.5,0.54,0.67
337,0.69,0.6,8.57,0.6
338,7.96,1.2,6.33,15.62
339,8.0,8.02,2.31,0.3
340,0.58,6.51,0.74,0.21
341,0.19,0.73,0.83,1.01
342,0.62,0.53,0.53,0.63
343,0.88,0.51,2.35,0.58
344,1.42,2.47,1.04,2.62
345,1.18,1.02,10.33,1.16
346,11.43,0.47,4.66,14.21
347,4.09,14.18,0.08,0.18
348,0.2,0.18,0.32,0.17
349,0.06,0.25,0.87,0.19
350,1.09,1.12,1.91,0.86
351,1.35,1.97,0.89,2.15
352,1.0,0.82,5.0,11.63
353,8.79,0.34,10.68,3.16
354,6.49,15.05,1.23,0.57
355,1.57,1.15,0.37,2.23
356,1.02,0.58,0.55,0.74
357,0.72,0.46,0.32,0.63
358,0.36,0.32,0.14,0.31
359,0.1,0.08,2.12,0.09
360,2.09,1.76,12.79,15.48
361,15.08,2.04,2.72,1.53
362,0.37,12.58,0.64,0.05
363,0.37,1.46,0.22,0.35
364,0.24,0.19,0.89,0.22
365,0.61,0.64,0.21,0.94
366,0.38,0.22,1.95,0.1
367,1.2,1.96,4.36,1.8
368,4.66,0.6,8.68,14.35
369,10.77,0.88,3.56,0.03
370,0.8,13.66,1.61,1.24
371,1.76,2.35,2.07,1.39
372,2.35,2.2,1.62,2.12
373,1.58,1.56,0.16,1.46
374,0.46,0.21,0.72,0.19
375,0.52,0.76,1.43,0.84
376,1.93,1.76,11.32,12.84
377,13.82,0.88,3.17,3.85
378,1.66,8.09,2.15,0.17
379,0.27,6.4,0.93,0.24
380,0.99,1.0,1.41,0.79
381,1.45,1.74,0.04,1.28
382,0.48,0.17,0.57,0.05
383,0.39,0.62,0.04,0.61
384,0.17,0.11,8.57,9.94
385,14.44,2.38,5.41,4.06
386,2.8,2.91,4.13,3.63
387,0.99,13.17,1.06,0.25
388,0.82,1.17,0.27,0.98
389,0.81,0.4,1.55,0.27
390,0.57,1.71,0.79,1.28
391,1.8,1.0,0.67,1.01
392,0.61,0.7,12.79,5.97
393,12.34,0.75,2.96,8.99
394,3.64,14.92,1.35,0.59
395,1.22,0.98,0.23,1.07
396,0.19,0.17,1.27,0.17
397,0.58,1.28,0.96,1.13
398,1.18,1.02,0.24,0.9
399,0.62,0.38,13.21,8.79
