txkB/s,aceph01,aceph02,aceph03,aceph04
348,180.31,223.12,160.82,1160.84
349,2461.89,2252.25,3691.5,308.98
350,1805.33,2227.24,2444.03,2315.08
351,3929.23,3700.32,4890.61,2759.18
352,2933.93,2069.64,2906.73,3358.66
353,1320.23,1137.66,923.14,2037.46
354,3432.01,4428.03,3846.78,769.65
355,2985.77,2856.91,2700.34,5829.06
356,2316.96,1565.29,2089.03,3162.07
357,248.76,203.45,262.35,2238.25
358,1415.89,828.24,907.19,246.35
359,944.81,982.24,1012.7,975.63
360,5628.07,7331.39,7150.25,774.56
361,1825.73,1416.07,1318.43,6942.76
362,907.31,980.17,889.26,1681.79
363,117.4,162.23,110.32,1103.04
364,1887.51,2314.46,2238.56,225.02
365,889.72,1622.49,978.53,2194.34
366,1605.35,1282.75,1054.54,1020.92
367,3726.78,5037.5,5167.97,1333.54
368,1227.5,1067.9,922.41,4310.0
369,926.24,504.73,503.37,1238.42
370,3708.47,3831.47,5233.14,587.51
371,5687.52,5478.69,6079.71,3786.81
372,3901.21,3886.34,4546.05,6623.03
373,2971.43,3133.07,4226.76,4580.97
374,257.96,304.01,353.1,2779.94
375,4008.84,5460.15,3772.06,251.56
376,3822.33,2876.14,3177.37,3569.44
377,1388.6,1904.55,1734.01,3573.76
378,501.45,539.72,980.24,1431.24
379,1830.25,2049.16,1656.52,684.57
380,2338.45,2668.16,2725.07,2003.32
381,2460.87,3078.73,4453.56,3633.3
382,270.38,219.54,382.32,2994.13
383,1890.37,1462.0,1788.33,217.96
384,1785.11,1226.45,1683.07,1479.3
385,5368.48,4663.15,5204.69,2215.11
386,2248.21,4248.33,2911.41,5211.06
387,1880.47,2036.31,2368.94,3593.2
388,2341.55,2009.41,2139.56,1754.95
389,569.63,570.13,662.76,2145.63
390,5850.99,6539.23,4952.26,653.66
391,1465.35,992.64,2517.83,6583.6
392,1664.13,1777.58,1829.93,1446.96
393,1362.97,1327.99,2066.12,2042.32
394,2650.21,4244.01,3242.87,1566.31
395,1283.08,2245.91,1303.78,3073.53
396,1637.32,1637.06,1288.97,1269.77
397,3632.97,3320.74,4280.07,1468.22
398,1354.47,1590.83,2102.36,2982.08
399,557.37,774.02,783.82,1338.04
