%soft,aceph01,aceph02,aceph03,aceph04
337,0.38,0.5,0.5,0.25
338,1.03,1.26,0.76,0.25
339,0.38,0.99,0.13,0.51
340,0.13,0.13,0.25,0.25
341,0.25,0.26,0.13,0.13
342,0.38,0.5,0.38,0.38
343,0.76,0.13,0.38,0.38
344,1.25,1.12,0.89,0.51
345,1.13,0.63,0.5,0.77
346,0.37,0.13,0.12,0.38
347,0.38,0.38,0.13,0.0
348,0.25,0.13,0.38,0.13
349,0.75,0.51,0.51,0.13
350,0.63,0.5,0.88,0.51
351,1.02,0.5,0.89,0.38
352,0.51,0.5,0.25,0.89
353,0.38,0.13,0.13,0.38
354,1.29,0.76,0.76,0.13
355,0.76,0.76,0.38,0.63
356,0.64,0.25,0.38,0.64
357,0.13,0.13,0.25,0.13
358,0.38,0.13,0.13,0.38
359,0.38,0.13,0.38,0.25
360,1.15,1.37,1.02,0.13
361,0.38,0.63,0.25,1.15
362,0.38,0.13,0.25,0.5
363,0.25,0.13,0.13,0.13
364,0.38,0.5,0.5,0.13
365,0.38,0.38,0.38,0.13
366,0.38,0.25,0.13,0.25
367,0.63,1.02,0.9,0.0
368,0.63,0.0,0.25,0.88
369,0.13,0.13,0.25,0.38
370,0.77,0.63,0.51,0.38
371,1.27,1.02,0.76,1.02
372,0.89,0.88,0.5,1.01
373,0.76,0.76,0.63,0.76
374,0.0,0.13,0.13,0.38
375,1.01,0.64,0.64,0.0
376,0.76,0.88,0.51,0.51
377,0.38,0.38,0.5,0.5
378,0.0,0.13,0.0,0.13
379,0.75,0.25,0.38,0.25
380,0.64,0.25,0.63,0.13
381,0.51,0.38,0.76,0.38
382,0.0,0.0,0.0,0.38
383,0.25,0.0,0.37,0.13
384,0.38,0.25,0.25,0.38
385,0.88,0.52,0.88,0.38
386,0.89,0.64,0.63,0.64
387,0.13,0.38,0.5,1.01
388,0.38,0.5,0.13,0.51
389,0.38,0.0,0.38,0.38
390,1.63,1.79,0.75,0.25
391,0.76,0.38,0.51,1.0
392,1.01,0.26,0.51,0.26
393,1.64,0.13,0.13,0.88
394,1.53,0.63,0.63,0.38
395,0.25,0.38,0.38,0.26
396,0.25,0.51,0.25,0.38
397,0.63,0.76,0.64,0.25
398,0.38,0.38,0.63,0.5
399,0.25,0.0,0.13,0.38
