kbbuffers,aceph01,aceph02,aceph03,aceph04
218,8104.0,800.0,1080.0,812.0
219,8120.0,800.0,1088.0,812.0
220,8152.0,808.0,1088.0,812.0
221,8184.0,808.0,1088.0,820.0
222,8216.0,808.0,1088.0,820.0
223,8248.0,808.0,1088.0,820.0
224,8280.0,808.0,1096.0,820.0
225,8312.0,816.0,1096.0,820.0
226,8344.0,816.0,1100.0,828.0
227,8360.0,816.0,1100.0,828.0
228,8376.0,816.0,1100.0,828.0
229,8392.0,816.0,1108.0,828.0
230,8424.0,824.0,1108.0,828.0
231,8456.0,828.0,1108.0,836.0
232,8488.0,828.0,1108.0,836.0
233,8520.0,828.0,1108.0,836.0
234,8556.0,828.0,1116.0,836.0
235,8588.0,836.0,1116.0,836.0
236,8620.0,836.0,1116.0,844.0
237,8652.0,836.0,1116.0,844.0
238,8684.0,836.0,1116.0,844.0
239,8716.0,836.0,1124.0,844.0
240,8748.0,844.0,1124.0,844.0
241,8780.0,844.0,1124.0,852.0
242,8796.0,844.0,1124.0,852.0
243,8796.0,844.0,1124.0,852.0
244,8828.0,844.0,1132.0,852.0
245,8860.0,852.0,1132.0,852.0
246,8892.0,852.0,1132.0,860.0
247,8924.0,852.0,1132.0,860.0
248,8956.0,852.0,1132.0,860.0
249,8988.0,852.0,1140.0,860.0
250,9020.0,860.0,1140.0,860.0
251,9052.0,860.0,1140.0,868.0
252,9084.0,860.0,1140.0,868.0
253,9116.0,860.0,1140.0,868.0
254,9148.0,860.0,1148.0,868.0
255,9180.0,868.0,1148.0,868.0
256,9196.0,868.0,1148.0,876.0
257,9228.0,868.0,1148.0,876.0
258,9236.0,868.0,1148.0,876.0
259,9260.0,868.0,1156.0,876.0
260,9292.0,876.0,1156.0,876.0
261,9324.0,876.0,1156.0,884.0
262,9356.0,876.0,1156.0,884.0
263,9388.0,876.0,1156.0,884.0
264,9420.0,876.0,1164.0,884.0
265,9452.0,884.0,1164.0,884.0
266,9484.0,884.0,1164.0,892.0
267,9516.0,884.0,1164.0,892.0
268,9548.0,884.0,1164.0,892.0
269,9580.0,884.0,1172.0,892.0
270,9612.0,892.0,1172.0,892.0
271,9636.0,892.0,1172.0,900.0
272,9660.0,892.0,1172.0,900.0
273,9660.0,892.0,1172.0,900.0
274,9692.0,892.0,1180.0,900.0
275,9724.0,900.0,1180.0,900.0
276,9756.0,900.0,1180.0,908.0
277,9788.0,900.0,1180.0,908.0
278,9820.0,900.0,1180.0,908.0
279,9852.0,900.0,1188.0,908.0
280,9884.0,908.0,1188.0,908.0
281,9916.0,908.0,1188.0,916.0
282,9948.0,908.0,1188.0,916.0
