stat_bytes_used,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
20,304605347840,305255256064,296981364736,283625811968,301785538560,327118147584,230391336960,325781258240,294840225792,334585597952,256906428416,290107113472,282681720832,335689846784,353780563968,267468591104,290718572544,263166304256,342009901056,301177602048,285261754368,287513530368,322210123776,330231144448,289292124160,270978142208,296929972224,377325768704,276365791232,317343645696,269526622208,274426982400,301306904576,318073409536,307477639168,294186377216,287023673344,346438152192,342330392576,264122376192
21,304605347840,305255256064,296981364736,283625811968,301785538560,327118147584,230391336960,325781258240,294840225792,334587723776,256906428416,290107113472,282681720832,335689846784,353780563968,267468591104,290718572544,263166304256,342009901056,301177602048,285261754368,287513530368,322210123776,330231144448,289292124160,270978142208,296929972224,377325768704,276365791232,317343645696,269526622208,274426982400,301306904576,318073409536,307477639168,294186377216,287023644672,346438119424,342330392576,264122376192
22,304605347840,305255256064,296981364736,283625811968,301785538560,327118147584,230391336960,325781229568,294840225792,334587723776,256906428416,290107113472,282681720832,335689846784,353780563968,267468591104,290718572544,263166304256,342009901056,301177602048,285261717504,287513530368,322210123776,330232217600,289292124160,270978142208,296929972224,377325768704,276365791232,317343645696,269526622208,274426982400,301306904576,318073409536,307479764992,294186377216,287023644672,346438119424,342330392576,264122376192
23,304605347840,305255256064,296981364736,283625811968,301785538560,327118147584,230392410112,325781229568,294840225792,334587723776,256906428416,290107113472,282681720832,335689846784,353780563968,267468591104,290722803712,263166304256,342009901056,301177602048,285261717504,287513530368,322210123776,330232217600,289292124160,270978142208,296929972224,377325768704,276365791232,317343645696,269526593536,274426982400,301298352128,318075535360,307479764992,294186377216,287023644672,346438119424,342330392576,264122376192
24,304605347840,305255256064,296981364736,283627937792,301785538560,327118147584,230392410112,325781229568,294840225792,334587723776,256906428416,290107113472,282681720832,335682170880,353780563968,267468591104,290722803712,263166304256,342009901056,301177602048,285261717504,287513530368,322210123776,330232193024,289292124160,270978142208,296929972224,377325768704,276365754368,317347876864,269526593536,274426982400,301298352128,318075535360,307479764992,294186377216,287023644672,346438119424,342330392576,264122376192
25,304605347840,305255256064,296981364736,283627937792,301785538560,327118147584,230392410112,325781229568,294840201216,334587723776,256906428416,290107113472,282681683968,335682170880,353780563968,267468591104,290722803712,263166304256,342009901056,301177602048,285261717504,287513530368,322210123776,330232193024,289292124160,270978142208,296929890304,377319276544,276365754368,317347876864,269526593536,274426982400,301298352128,318075535360,307479764992,294186377216,287023644672,346438119424,342330392576,264122376192
26,304605347840,305255256064,296981364736,283627937792,301785538560,327118147584,230392410112,325781229568,294840201216,334587723776,256906428416,290107113472,282681683968,335682170880,353780563968,267468591104,290722803712,263166304256,342009901056,301177602048,285261717504,287513530368,322210123776,330232193024,289292124160,270978142208,296929890304,377319276544,276365754368,317347876864,269526593536,274426982400,301298352128,318075535360,307479764992,294186377216,287023644672,346438119424,342330392576,264126607360
27,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392410112,325781229568,294840201216,334587695104,256906428416,290107113472,282681683968,335682674688,353780527104,267468591104,290722803712,263166304256,342009901056,301177602048,285261717504,287513530368,322210123776,330232193024,289294221312,270978142208,296929890304,377319276544,276365754368,317347876864,269526593536,274424967168,301298896896,318075535360,307479764992,294186377216,287023644672,346438119424,342330392576,264126607360
28,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392385536,325781229568,294840201216,334587695104,256906428416,290107113472,282681683968,335682674688,353780527104,267468591104,290722766848,263166304256,342009901056,301177602048,285261717504,287513530368,322210123776,330232193024,289294221312,270978142208,296922419200,377319276544,276365754368,317347876864,269526593536,274424967168,301298896896,318075535360,307479736320,294186377216,287023644672,346438119424,342330392576,264126607360
29,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392385536,325781229568,294840201216,334587695104,256906428416,290107113472,282681683968,335682674688,353780527104,267468591104,290722766848,263166304256,342009901056,301177602048,285261717504,287513530368,322211196928,330232193024,289294221312,270978142208,296922419200,377319276544,276365754368,317347840000,269526593536,274424967168,301298896896,318075506688,307479736320,294186377216,287023644672,346438119424,342330392576,264126607360
