stat_bytes_avail,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
247,694904238080,694254333952,702528770048,715886419968,697725644800,672390553600,769120854016,673724080128,704670375936,664918888448,742596096000,709402505216,716833705984,663824990208,645733175296,732049752064,708791009280,736339644416,657504542720,698331860992,714253656064,711999774720,677296218112,669276483584,710220087296,728537399296,702580494336,622184165376,723148439552,682161565696,729975918592,725088837632,698203828224,681435635712,692029861888,705323544576,712489570304,653067018240,657181806592,735385645056
248,694904238080,694254333952,702528770048,715886419968,697725644800,672390553600,769120854016,673724080128,704669302784,664918888448,742596096000,709402505216,716833705984,663824990208,645733203968,732048703488,708791009280,736339644416,657502416896,698331860992,714253656064,711999774720,677296218112,669276483584,710220087296,728537399296,702580494336,622184165376,723148439552,682161565696,729975918592,725088837632,698203828224,681435635712,692029861888,705323544576,712489570304,653067018240,657181806592,735385645056
249,694904238080,694254333952,702528770048,715886419968,697725644800,672390553600,769120854016,673724080128,704669302784,664918888448,742596096000,709402505216,716833705984,663824990208,645733203968,732048703488,708791009280,736339644416,657502416896,698331860992,714253656064,711999774720,677296218112,669276483584,710220087296,728537399296,702580494336,622184165376,723148439552,682161565696,729975918592,725088837632,698211217408,681431441408,692029861888,705323544576,712489570304,653066309632,657181806592,735385645056
250,694904238080,694254333952,702528770048,715886419968,697725644800,672386359296,769119780864,673724080128,704669302784,664918888448,742596096000,709402505216,716833705984,663824990208,645733203968,732048703488,708791009280,736339644416,657502416896,698331860992,714253656064,711999774720,677296218112,669272252416,710220107776,728537399296,702580494336,622184165376,723148439552,682161565696,729975918592,725088837632,698211217408,681431441408,692029861888,705323544576,712489594880,653066309632,657181839360,735385645056
251,694904238080,694254333952,702528770048,715886419968,697725644800,672386359296,769119780864,673724080128,704669302784,664918888448,742596096000,709402505216,716833705984,663824990208,645733203968,732048703488,708791009280,736339644416,657502445568,698331860992,714253656064,711999774720,677296218112,669272252416,710220107776,728533168128,702580494336,622184165376,723148439552,682161565696,729975918592,725088837632,698211217408,681431441408,692029861888,705323544576,712487469056,653073657856,657181839360,735391756288
252,694904238080,694254333952,702528770048,715886419968,697725644800,672386359296,769119780864,673724080128,704669327360,664918888448,742596096000,709402505216,716833705984,663824990208,645733203968,732048703488,708791009280,736339644416,657502445568,698331860992,714253656064,711997648896,677296218112,669272252416,710220107776,728533168128,702580494336,622181531648,723148439552,682161565696,729975918592,725088837632,698211217408,681431441408,692029861888,705323544576,712487497728,653073133568,657181839360,735391756288
253,694904238080,694254333952,702528770048,715885391872,697725644800,672386359296,769119780864,673724080128,704669327360,664918888448,742596096000,709402505216,716833705984,663824990208,645733203968,732048703488,708791009280,736339644416,657502445568,698331860992,714253656064,711997648896,677296218112,669272252416,710220107776,728533168128,702580494336,622182350848,723148439552,682161565696,729975918592,725088837632,698211217408,681431441408,692029861888,705323544576,712487497728,653073133568,657181839360,735391756288
254,694904238080,694254333952,702528770048,715885391872,697725644800,672386359296,769119805440,673724080128,704669327360,664918888448,742596096000,709398274048,716833705984,663820759040,645733203968,732048703488,708791009280,736339644416,657502445568,698331860992,714253656064,711997648896,677296218112,669272252416,710219034624,728533168128,702587146240,622182350848,723148439552,682161565696,729986936832,725084606464,698209665024,681431441408,692029861888,705323544576,712487497728,653073133568,657181839360,735391776768
255,694900043776,694254333952,702528770048,715885391872,697721413632,672386359296,769117679616,673724080128,704669327360,664918888448,742596096000,709398274048,716833705984,663820759040,645728972800,732046577664,708791009280,736339644416,657502445568,698331860992,714253656064,711997648896,677296218112,669272252416,710219034624,728533168128,702587146240,622189244416,723148439552,682161565696,729986936832,725084606464,698209665024,681431441408,692029861888,705323544576,712487497728,653073133568,657181839360,735391776768
256,694900043776,694254333952,702528770048,715885391872,697721413632,672386359296,769117679616,673724080128,704669327360,664918888448,742596096000,709398310912,716833705984,663820759040,645728972800,732046577664,708786778112,736339644416,657502445568,698331860992,714253656064,711997648896,677291986944,669272252416,710219034624,728533204992,702587146240,622189244416,723148439552,682161565696,729986654208,725084606464,698209665024,681431441408,692029861888,705323544576,712487497728,653073154048,657181839360,735391776768
