op_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
17,0.072,0.052,0.071,0.056,0.006,0.023,0.028,0.039,0.086,0.5,0.174,0.004,0,0.118,0.091,0.004,0.051,0.063,0.017,0.027,0.112,0.06,0.092,0.068,0.249,0.084,0.019,0.06,0.378,0.049,0.124,0.077,0.079,0.132,0.02,0.05,0.182,0.167,0.054,0.041
18,0.028,0.011,0.042,0.008,0,0.004,0.024,0.067,0.049,0.521,0.117,0.007,0.106,0.074,0.116,0.005,0.023,0.057,0.005,0.033,0.099,0.114,0.071,0.032,0.259,0.118,0.064,0.096,0.349,0.044,0.096,0.044,0.049,0.077,0.004,0.051,0.109,0,0.111,0.03
19,0.027,0.005,0.011,0.004,0,0.005,0.005,0.017,0,0.421,0.129,0,0.038,0.034,0.096,0,0.004,0.023,0.076,0.058,0.102,0.032,0.075,0.005,0.18,0.049,0.011,0.05,0.026,0.004,0.031,0.019,0.051,0.055,0.005,0.004,0.086,0,0.055,0.217
20,0.003,0.007,0.004,0.006,0,0,0,0.003,0,0.346,0.12,0,0.014,0.054,0.038,0,0.162,0.005,0,0.005,0.074,0.076,0.02,0.005,0.058,0.088,0.004,0.003,0.004,0.112,0.015,0.005,0.076,0.004,0,0.102,0.052,0,0.05,0
21,0.004,0.0,0.006,0.0,0.0,0.0,0.0,0.004,0,0.408,0.007,0.0,0.008,0.006,0.065,0.0,0.0,0.006,0,0.072,0.186,0.005,0.134,0.0,0.004,0.112,0.005,0.074,0.004,0.0,0.005,0.004,0.0,0.045,0,0,0.194,0,0.005,0.0
22,0,0,0.0,0.0,1.773,0.001,0.0,0,0,0.137,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
23,0.0,0,0,0,0.005,0,0,0,0,0.0,0,0.794,0.0,0.0,0.0,0.888,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
24,0,0,0,0,0.215,2.103,1.188,0.0,0,0,0.0,0.03,0,0.0,0,0.006,0,0,0.924,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.01,0.0,0.0,0,0.0,0.01
25,0.0,0.015,0,2.053,0.006,0.005,0.006,0.0,0,0,0,0.69,0,0,0,0.149,0.253,0,0.061,0.0,0.0,0.0,0,1.437,0.0,0,0.0,0.0,0.0,0.648,0.0,0.0,0.011,0,0,0.014,0,0,0.0,0.004
26,2.212,0.004,1.237,0.007,0.004,0.004,0.363,1.613,0,2.954,0.729,2.09,0.718,1.419,0.626,1.567,0.061,2.218,0.444,0.738,1.804,0.008,0.012,0.003,1.957,3.03,0.67,2.618,1.326,0,0.01,0.011,0.031,0.013,2.269,0.052,0.012,3.188,0.02,0.003
27,0,0.434,0.029,0.099,0.979,0.005,0.005,0.011,0,0.691,0.07,0.006,0.004,0.034,0.028,0.004,0.496,0.039,0.004,0.023,0.094,0.004,0.058,0.005,0.025,1.202,0.004,0.05,2.959,1.316,0.004,0.004,0.72,0.095,0,0.187,0.035,0.057,0,2.392
28,0,0.006,0.199,0.005,0.202,0.003,0.004,0.004,0.85,0.134,0.807,0.553,0.261,0,0.527,0.763,2.415,0.188,0.004,0.506,0.007,0.007,0.005,3.569,0.005,0.004,0.428,0.005,0.005,0,0.4,0.002,0.005,0.23,0,2.715,0.575,0.812,2.328,0.004
29,0,0.004,0.006,0.003,0.499,0,1.161,0.005,0.007,0.006,3.88,0.688,2.724,0,0.786,0.04,0.004,0.879,2.277,0.686,0.007,2.471,3.111,0.364,2.106,0.585,1.012,1.149,0.642,0,2.318,1.292,0.003,0.001,0,0.003,1.1,1.995,0,0.003
30,0,1.973,0.541,0.005,0.279,0.757,0.208,0.003,0.327,0.5,0.003,0.993,0.003,6.124,0.004,0.51,0.786,0.003,0.675,0.004,0.003,0.003,0.003,0.364,0.016,0.003,0.003,0.249,0.361,0,0.002,0.001,0.004,0,0,0.993,0.012,0.004,0,0.003
31,10.582,0.133,0.004,0.434,0.142,0.373,0.128,0.821,1.057,0.563,0.806,0.443,1.383,0,0.004,0.146,0.877,0.003,0,0.403,0.455,0.003,2.374,0.053,0.004,1.184,1.321,1.762,0.719,1.687,0.004,0.004,0.536,0,9.832,0.257,0.003,0.599,0.74,0.133
32,0,0.516,0.287,0.047,0,3.848,0.315,0.533,0.808,0.146,0.004,0.055,0.26,0,0.505,0.223,1.114,0.529,0,0.754,0.558,0.004,0,0.18,0.153,0.006,0.209,0.637,0.004,0.733,0.182,0.004,0.685,0.52,0.042,0.7,0.779,0.05,0,0
33,0.04,0.762,0.224,0.054,0.875,0.274,0,0.362,0.541,0.277,1.144,0,1.007,0,0.846,0,0.208,1.682,0,0.581,0.306,0.009,1.247,0.496,0.37,0.408,0.144,2.234,0.885,1.33,0.692,0.004,1.04,1.256,0.499,0,0.043,1.42,0.189,1.787
34,0.496,0.005,0.277,0.004,0.005,0,0,0.141,0.108,0.782,1.796,0.285,0.008,0.371,0,0.306,0.013,0.186,0,0.299,0.613,0.672,4.505,0.072,1.528,0.357,1.573,0.897,0.767,0.301,1.06,0.936,0.29,0.398,0,0,0.227,0.027,0.319,0
35,0.108,0.0,0.037,0.0,0.105,0.503,0,0.05,0.0,0.075,0.126,0,0.113,0.378,0,0.004,0.0,0.003,0.794,0.098,0.132,0.005,0,0.0,0.118,0.146,1.068,0.082,0.006,0,0.146,0.005,0.0,0.054,0.007,0,0.159,0.301,0.633,0.361
36,0,0.744,0,0.119,0.59,0.004,0,0,0.873,0.0,0.0,0,0.0,0.0,0,0.143,0.106,0.0,0.053,0,0,0.0,0,0.37,0.0,0,0,0,0.0,1.1,0,0.0,0.607,0.0,0.004,0,0.0,0.0,0.0,0.005
37,1.434,0,0.159,0.004,0.585,0.277,0.509,0.683,0.006,0.486,0.228,0,0.343,1.182,0,0.779,0.009,0.095,0.122,0.361,0.008,0.322,1.64,0.005,0.287,0.295,0.323,0.616,0.213,0.01,0.521,0.005,0.003,0.341,0.818,0,0.095,0.321,0.265,0.135
38,0,0.17,0,0.193,0.004,1.274,0.005,0.003,0.005,0.087,0.004,0,0.005,0.005,0,0,0.404,0.438,0.033,0,0.003,0.005,0.016,0.71,0.006,0.005,0.064,0.025,0.007,0.765,0.004,0.001,0.397,0.004,0.033,0,0.004,0.005,0.321,0.006
39,0.005,1.567,0.006,0.434,1.12,0.786,0.004,0.148,0.198,0.143,0.004,6.974,0.14,0.212,0,0,0.89,0.604,0.005,0,0.158,0.5,0.523,0.426,0.005,0.632,0.985,0.143,0.435,0.007,0.507,0.738,0.006,0.371,0.457,0.561,0.065,0.068,1.623,0.753
40,0.824,0.564,0,0.023,0.014,0.0,0.0,0.478,0.151,1.069,0.564,0,0.313,0.593,9.288,0.269,0.006,1.21,0.001,2.597,0.216,1.479,0.418,0.799,0.333,0.119,0.005,1.183,1.346,0.005,0.054,0.038,1.045,0.03,0.0,0.066,0.006,0.006,0.008,0.001
41,0.004,0,0,0.002,0.222,0.003,1.382,0.822,0.003,0.006,0.004,3.617,0.004,0.005,0.075,0.037,0.003,0.006,0.004,0,1.055,1.094,0.664,0,1.063,0.786,0.792,0,1.478,0,0.628,0.561,0,0.63,0.308,0.002,0.673,0.736,0.967,0.004
42,0.003,0.403,0,0.005,1.153,1.477,0.592,0.0,0.004,0.0,0.0,0.063,0.002,0.0,0.002,0.006,0.004,0.0,0.048,0,0,0,0,0.004,0.0,0.0,0,0,0.003,0.005,0,0.001,0,0.002,0.976,0.568,0,0.003,0.0,3.623
43,0.642,0.312,0,1.106,0.178,0.685,0.987,0.005,0.79,0.007,0.004,0.465,0.004,0.005,0.006,0.893,0.005,0.006,0.154,0,1.66,0.478,0.43,0.015,0.005,0.192,0.272,0,0.003,0.73,0.004,0.644,3.274,0.179,0.696,0.008,0.518,0.679,0.221,1.922
44,0.454,0.662,0,0.401,0.003,0.738,0.016,1.407,1.102,1.173,0.004,0.705,0.015,0.005,0.16,0.823,0.071,0.004,1.205,0.614,0.499,1.174,1.896,0,0.504,0.269,1.718,0,0.779,0.004,1.189,0.893,1.402,0.234,0.491,0.007,0.07,0.456,0.727,0.682
45,0.005,0.459,8.583,1.02,0.549,0.011,1.093,0,0.519,1.23,0.004,0.0,0.058,0.004,0.617,0.005,1.297,0.037,0.781,0.282,0,0.716,2.374,0.637,0.646,0.039,0.522,0,1.294,0.733,1.552,0.004,0.415,0.722,0.004,0.262,0.495,0.005,0.007,0.22
46,0.198,0.006,0.641,0.366,0.116,0.002,0,0,1.0,0.4,0.224,0.397,0.38,0.304,2.081,0.844,1.32,1.184,0.005,0.319,0,0.902,0.788,0.011,0.005,1.687,0.614,0,0.004,0.011,0.318,0.8,0.45,0.915,0.007,0.43,0.689,2.005,0.535,0.006
47,0.006,0.007,0.188,0.403,0.385,0.226,0.162,0,0,0.107,0.129,0.331,0,0.003,0.09,0.286,0,0.007,0.57,0.151,4.578,0.009,0.009,0.006,0.007,0.006,0.074,5.869,0,0.005,0.505,0.341,0.011,0.127,0.54,0.005,1.015,0,0.619,0.491
48,0.006,0.028,0.288,0.413,0.262,0.21,0.274,0,0,0.008,0.002,0.264,0,0.008,4.663,0.311,0,0.862,0.097,0.284,0,0.005,0.01,0.244,0.007,0.005,0.006,0.553,0,0.128,0.002,0.003,0.747,2.003,0.219,1.193,0.007,0,0.361,0.105
49,0.341,0.146,0.882,0.37,0.474,0.256,0.172,4.772,0.61,0.622,0.752,0.004,0,0.678,0.08,0.005,2.566,0.413,0.005,0.847,2.32,0.005,0.005,0.067,0.634,0.47,0.007,0.18,1.557,0.009,0.475,0.636,0.308,0.17,0.007,0.492,0.161,3.538,0.115,0.075
50,0.233,0.008,0.595,0.182,0,0.004,0.005,0.101,0.056,0.431,0.212,0.449,0.646,0.13,0.021,0.235,0.076,0.172,0.004,0.298,0.025,0.427,0.228,0.464,0.309,0.472,0.125,0.455,0.269,0,0.056,0.304,0.169,0.035,0.004,0.151,0.217,0,0.487,0.004
51,0.179,0.007,0.392,0.115,0.081,0.31,0.68,0.448,0.218,0.236,0.136,0,0.058,0.058,0.024,0,0.005,0,0.402,0.308,1.185,0.919,0.04,0.337,0.494,0.205,0.384,0.203,0.26,0,0.097,0.006,0.005,0.13,0.259,0.106,0.13,6.46,0.037,0.006
52,0.9,0.024,0.8,0.365,0.367,0,0,0.146,0.326,0.006,0.003,0.097,0.005,0,0.006,0.079,0.519,0.133,0,0.005,0.055,0,0.019,0.741,0.373,0.159,0.055,0.275,0.115,0,0.144,0.222,0.126,0.118,0,0.179,0.559,0,0.06,0.003
53,0.6,0.0,0.353,0.0,0.005,0.285,0.28,0.738,0.0,0.452,0.311,0.07,0.278,0,0.501,0.083,0.0,0.179,0.061,0.302,0.512,0,0.006,0.007,0.413,0.519,0.193,0.526,1.072,0.165,0.202,0.006,0.0,0.128,0.004,0,0.422,0.136,0.006,0.004
54,0,0.005,0.0,0.237,0,0.155,0.405,0,0.136,0.0,0.0,0.051,0.0,0,0,0.089,0.057,0.0,0.122,0,0.005,0,0.005,0.131,0.007,0.005,0.006,0.007,0.009,0.962,0,0.0,0.035,0.0,0,0.078,0.0,0,0,0.364
55,0.18,0.741,0.259,0.159,0.767,0,0.005,0.171,0.282,0.426,0.013,0,0.087,0,0.034,0,0.041,0.139,0.124,0.055,0.006,0,0.126,0.228,0.004,0.005,0.006,0.32,0.003,0.299,0.005,0.005,0.496,0.076,0,0.55,0.005,0.712,1.64,0.004
56,0.255,0.005,0.338,0.006,0.63,0,0,0.203,0.006,0,0.304,1.334,0.058,0.426,0.316,0.339,0.112,0.177,0,0.047,0.305,0.129,0.182,0.257,0.066,0.168,0.118,0.102,0.09,0.594,0.317,0.197,0.013,0.359,0,0.133,0.193,0.216,2.673,0
57,0.42,0,0.022,0,0.302,0,0.093,0.004,0.0,0,0.004,0.337,0.188,0.059,0.049,0.032,0.0,0.11,0.706,0.099,0.021,0.036,0.051,0,0.243,0.534,0.365,0.556,0.561,0,0.019,0.012,0.0,0.149,5.001,0,0.005,0.064,0,0.239
58,0.0,0.898,0.0,0.004,0.491,3.586,0.129,0.0,0.119,0,0.0,0.009,0,0.0,0.0,0.106,0.261,0.0,3.956,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.135,0.0,0.128,0.109,0.0,0.0,0,0.264
59,0.12,1.125,0.828,0.324,0.211,0,0.234,0.428,0.115,0,2.187,0.102,0.006,0.826,0.649,0.404,0.437,0.547,0.33,0.361,0,0.0,0,0.637,0.0,0,0.0,0.0,0.0,0.357,0.234,0.005,0.821,0.006,0.008,0.486,0.005,0.007,0,0.213
60,0.368,0.764,0.144,0.261,0.098,2.663,0.295,0.352,0.006,2.391,1.121,0.124,0.519,0.857,0.256,0.099,0.113,0.251,0.233,0.368,0.529,0.902,0.6,0.046,0.968,0.706,0.006,0.771,1.023,0.715,0.006,0.173,0.13,0.41,0.15,0.047,0.706,0.468,5.013,1.259
61,0.428,0,0.054,0.045,0.308,0.114,0.006,0.013,0.076,0.108,0.196,0.495,0.007,0.199,0.01,0.883,0.09,0.092,0.186,0.006,0.619,0.518,0.412,0.07,0.469,0.363,0.168,0.37,0.095,0.557,0.131,0.005,0.278,0.014,0.681,0,0.008,0.047,0,0
62,0.011,1.997,0.01,0.098,1.006,0.369,0.083,0.402,0.127,0.059,0.01,0.019,0.298,1.594,0,0,0.204,0.009,0.73,0.743,0.318,0.479,0.818,0.215,0.113,0.442,0.595,0.358,0.391,0.692,0.049,0.01,0.223,0.266,0.338,2.337,0.128,0.039,0.13,0.273
63,0.109,0.099,0.242,0.111,0.004,0.006,0.349,0.059,0.188,0.168,0.097,0.0,0.182,0.37,1.11,4.108,0.136,0.096,0.005,0.344,0.369,0.146,0.351,1.141,0.509,0.216,0.115,0.413,0.208,0.014,0.407,0.186,0.376,0.246,0.006,0.177,0.249,0.236,0.374,0.016
64,0.247,0.201,0.271,0.628,0.231,1.293,0.552,0.018,0.189,0.378,0.673,0.312,0.56,0.844,0.053,0,0.397,0.583,0.005,0.254,0.128,0.534,0.283,1.916,0.203,0.221,0.052,0.067,0.293,0.64,0.137,0,0.006,0.236,0.003,0,0.197,0.109,0.559,0.006
65,0.678,1.747,0,1.449,1.039,0.004,0.008,0.18,0.006,0.008,0.004,0.945,0.132,0.374,0.583,0.804,0.243,0.148,0.15,0,0.447,0.608,0.187,0,0.199,0.098,0.414,0,0.243,0.005,0.012,0.519,0.007,0.008,0.005,1.185,0.01,0.013,0.008,0.004
66,0.811,0.004,0,0.005,0.078,0.304,0.517,0.0,0.003,1.061,0.004,0,0.003,0.006,0.713,0.498,0.589,0.279,0.347,0,0.099,0.005,0.682,0,0.163,1.127,0.847,0,0.239,0.005,0.004,0,0.004,0.005,0.79,0.014,0.005,0.006,0.008,0.209
67,0.004,0.91,0,0.359,0.128,1.124,0.037,0.005,0.23,0.005,0.346,0,0.005,0.128,0.005,0.166,0.389,0.691,0.727,0,0.005,0.532,0.862,1.065,0.107,0.28,0.004,0,1.114,0.057,0.004,0,0.026,0.004,0.824,0.446,0.005,0.005,0.006,0.847
68,0.685,0.804,0.478,0.588,0.216,0.094,0.129,0.092,0.282,0.509,0.451,5.15,0.211,0.496,0.811,0.008,0.949,0.209,0.031,0,0.563,0.11,0.008,0.043,0.006,0.079,0.256,0,0.005,0.179,0.296,0.698,0.299,0.319,0.084,0.018,0.557,0.835,0.708,0.107
69,0.016,0.165,0.333,0.127,0.012,0.005,0.003,0,0.2,0.238,0.193,1.352,0.505,0.006,1.555,0.279,0.122,0.347,0.004,1.077,0.285,0.508,0.549,0.116,0.344,0.307,0.655,3.544,0.437,0.533,0.376,0.326,0,0.848,0.0,0.127,0.116,0.408,0.358,0.475
70,0.055,0.004,0.305,0.003,0.299,1.037,1.126,0,0.005,0.136,0.167,0.066,0.078,0.16,0.04,0.005,0.006,0.007,0.01,0.193,0,0.006,0.162,0.035,0.107,0.017,0.063,0.045,1.432,0.005,0.122,0.016,0,0.122,1.042,0.003,0.321,0.058,0.028,1.781
71,0.003,0.462,0.006,0.792,0.045,0.005,0.004,0,0.741,0.007,0.005,0.274,0.004,0.004,0.136,2.089,0.494,0.004,0.338,0.061,0.219,0.02,0.022,0.003,0,0.004,0.005,0.031,0.263,0,0.39,0.002,0,0.323,0.415,0.006,0.177,0.003,0.002,0.189
72,0.009,0.43,0.008,0.004,0.124,0.395,0.571,7.718,1.342,2.022,0.394,0.057,0.358,0.235,0.006,0.564,0.005,0.006,1.545,0.007,0.251,0.002,0.002,0.533,2.429,0.002,0.0,0.002,0,0.006,1.288,0.005,0,1.259,0.948,0.004,1.222,0.005,0.005,0.011
73,0.005,0.764,0.006,1.137,0.004,0.116,0.951,0,0.757,0.217,0.004,0.005,0,0.006,0.005,0.135,0,0.006,0.104,0.004,0.566,0.561,0.957,0.007,0,0.005,0.194,1.047,0,1.158,0.019,0.004,0.408,0.15,0.088,1.419,0.199,0.227,0.133,0.548
74,1.16,0.101,0.632,0.26,0,0.284,0.466,0,0,0.609,0.495,0.292,0,1.501,0.315,0.124,0.738,0.899,0.134,2.201,0,0.823,1.133,0.123,4.52,0.792,0.802,1.151,4.723,0.005,0.065,1.354,0.275,0.193,0.789,0.491,0.612,0,0.274,0.537
75,0.062,0.129,0.105,0,0,0.342,0.05,0.087,0,0.301,0.101,0.003,0,0.049,0.241,0.117,0.015,0.211,0.149,0.107,0.503,1.358,0.008,0.171,5.537,0.485,0.748,0.804,0.273,0.005,0.183,0.729,0.456,0.304,0.386,0.012,0.445,0,0.368,0.368
76,0.196,0.013,0.005,0.14,0,0.008,0.002,0.092,3.213,0.359,0.005,0.202,1.019,0.015,0.042,0.006,0.547,0.065,0.071,0.006,0.204,0.333,0.319,0.415,0.096,0.018,0.052,0.264,0.09,0.148,0.113,0.345,0.064,0,0.005,0.573,0.221,0,0.167,0.038
77,0.08,0.004,0.059,0.002,0,0.006,0.006,0.075,0,0.018,0.348,0.0,0.27,0.193,0.31,0,0.004,0.377,0.005,0.419,0.275,0.771,0.232,0.29,0.228,0.004,0.427,0.284,0.247,0.006,0.216,0.474,0.005,3.944,0.681,0.002,0.127,5.211,0.336,0.388
78,0.635,0.008,0.003,0.008,0.534,0.006,0,0.803,0.095,0.004,0.002,1.081,0.001,0.044,0.008,0.256,0.953,0.275,0.006,0.158,0.003,0,0.009,0.581,0.425,0.442,0.007,0.004,0.004,0.784,0.003,0.002,0.006,3.217,0.002,0.866,0.005,0,0.004,0.015
79,0.009,0,0.007,0,0.982,0.968,0.814,0.007,0.01,0.008,1.181,0.157,0.293,0.134,0.86,0.105,0.006,0.008,0.59,0.128,0.005,0,0.479,0.004,0.723,0.218,1.615,0.426,0.174,0.006,0.54,0.758,0.003,0,0.006,0.006,0.332,0,0.339,0.005
80,0.0,0.005,0,1.087,0.236,0.005,0.27,0.009,0.226,0.004,0.003,0.592,0.0,0,0.002,0.275,1.479,0.005,0.152,0.009,0.003,0,0.005,0.433,0.007,0.005,0.006,0.006,0.011,6.999,0.002,0.002,0.006,0,0.907,0.005,0.004,0,0.007,0.08
81,2.915,0.162,0.842,0.239,1.357,0.003,0.814,1.683,0.238,7.174,0.408,0.377,1.427,1.228,0.625,0.263,0.146,1.34,0.354,1.101,1.954,0,0.042,0.179,1.415,1.31,0.36,1.726,1.519,0,0.005,0.005,0.253,0.211,0,0.478,0.005,0.069,0.005,0.191
82,0,0.558,0.223,0.934,0.006,0.007,0.076,0.152,0.43,0,0.26,0.005,0.196,0.473,0.556,0.249,0.443,0,0.322,0.023,0.006,0.526,0.005,0.002,0.436,0.008,0.844,0.043,0.005,0,0.499,0.203,1.162,0.074,0.506,1.033,0.26,0.399,5.136,0.057
