rxkB/s,aceph01,aceph02,aceph03,aceph04
148,2366.54,1912.55,2079.52,6032.38
149,4957.37,4645.12,5309.92,2077.41
150,1922.95,1593.36,1788.41,5060.0
151,3906.26,3718.17,3969.43,1558.46
152,2605.67,2316.66,2943.41,3500.55
153,5211.51,4857.79,4895.01,2705.95
154,3261.29,2632.36,2822.96,4399.13
155,679.72,420.03,461.17,2627.42
156,3798.62,3741.93,3510.35,409.79
157,7083.57,6479.8,6510.33,3585.03
158,4393.38,4298.99,4220.76,6888.48
159,3583.3,3369.1,3437.38,4088.62
160,6720.91,6919.65,6506.82,3280.4
161,7023.34,6783.79,6951.74,6831.83
162,5582.24,5833.77,6164.51,7053.2
163,2720.66,2334.06,2256.88,5901.41
164,1290.17,1079.22,1103.37,2260.0
165,3045.63,3314.18,3590.16,1145.95
166,4607.51,4397.59,4664.71,3352.37
167,681.94,623.98,603.97,4072.33
168,2828.44,2676.45,2595.63,722.68
169,3550.0,3242.67,3024.3,2622.41
170,3798.67,4179.97,3974.74,3186.75
171,1267.42,1264.01,1408.93,3957.41
172,5067.21,4679.82,5030.91,1307.63
173,4319.77,3613.55,3707.65,4734.89
174,2674.89,2572.68,2747.55,3775.64
175,2368.43,2158.49,2407.76,2533.06
176,3447.96,3424.5,3290.86,2240.92
177,356.79,459.17,463.89,3385.24
178,6512.86,6838.36,6479.66,349.47
179,2403.26,2244.71,2317.62,6883.48
180,5776.99,5368.12,5964.41,2299.24
181,874.72,830.73,699.6,5600.76
182,2688.23,2763.52,2452.0,775.44
183,3241.74,3332.79,3288.15,2310.32
184,1870.65,1599.74,1856.54,3223.2
185,6300.8,5507.67,6015.45,1815.65
186,6302.03,5671.4,5884.55,5775.42
187,1772.55,1680.92,1925.02,5963.65
188,1225.61,1027.7,1072.26,1813.97
189,5299.92,4954.79,4756.14,988.37
190,6613.74,6664.68,6320.5,4671.32
191,2296.83,2651.6,2388.46,6414.58
192,894.68,862.4,967.01,2539.91
193,6057.46,5498.19,6078.73,980.62
194,7714.11,7580.32,7958.77,5984.17
195,2712.52,2631.36,2737.49,7295.94
196,959.66,909.9,816.47,2469.02
197,3402.23,3618.36,3257.9,950.13
198,2279.12,1939.77,1779.04,3429.18
199,5311.99,5400.59,5291.46,1876.0
200,1911.96,1854.45,1748.89,5230.91
201,6188.55,5086.8,5316.65,1830.34
202,1602.03,1779.09,1608.24,5730.09
203,489.92,293.47,215.67,1631.36
204,4395.93,4416.61,4644.04,266.58
205,3276.44,2817.55,2986.09,4531.92
206,4196.5,4169.46,4414.35,2816.14
207,3196.2,2888.91,2976.53,3955.92
208,1414.85,1331.49,1230.64,3020.72
209,2521.28,2500.99,2238.85,1250.29
210,382.16,273.2,223.4,2521.44
211,8219.95,7538.33,8624.27,231.49
212,232.7,275.63,299.56,7810.06
213,1284.2,1195.0,1054.25,317.58
214,1700.72,1320.98,1557.26,1065.71
215,4546.07,4155.4,4371.11,1390.69
216,7333.31,7387.97,7437.36,4410.85
217,2597.15,2317.28,2490.54,7128.27
218,2508.84,2159.56,2125.07,2496.06
219,2645.57,2523.63,2371.06,2208.03
220,2382.78,2240.19,2319.66,2426.37
221,7648.28,7785.05,7772.27,2316.57
222,7218.04,6956.95,6953.71,7707.27
223,2826.22,2760.66,2785.39,7569.78
224,1743.72,1362.01,1708.01,2911.68
225,3348.36,3274.54,3163.01,1497.8
226,630.76,433.18,529.66,3358.47
227,5859.0,5582.34,5578.28,610.09
228,2349.8,2148.4,2403.96,5141.52
229,3376.6,3099.51,3313.45,2049.63
230,3053.36,2784.63,2602.26,3510.54
231,2997.62,2899.3,2741.27,2471.08
232,249.97,300.09,343.72,2973.47
233,4351.28,4631.6,4101.92,331.89
234,5133.88,4585.62,5070.58,4229.67
235,5869.8,5404.98,5506.74,5077.73
236,2396.58,2020.43,2202.62,5122.61
237,2858.05,2785.85,2958.91,2100.44
238,5368.04,5139.71,5520.08,2865.33
239,2304.93,2080.25,2280.66,5473.51
240,4336.88,4205.62,3884.05,2278.64
241,2889.05,2495.67,2688.31,4122.22
242,4668.17,4559.75,5095.38,2691.51
243,1581.78,1387.12,1412.68,4507.22
244,4272.76,4065.22,3824.75,1323.16
245,4884.98,4670.69,4338.48,3901.76
246,8912.76,8512.02,8918.53,4555.0
247,1402.45,1407.59,1438.75,8947.17
248,655.9,475.32,449.14,1560.8
249,4889.52,5087.25,4718.46,415.38
250,6934.97,6514.06,6654.38,4947.34
251,5874.5,6250.65,6282.53,6420.56
252,1693.71,1671.39,1666.42,6333.51
253,1024.62,812.8,864.65,1908.6
254,6695.45,6066.92,6621.79,800.61
255,2560.85,2410.44,2462.8,6822.97
256,1811.17,1736.15,1673.57,2326.4
257,1936.24,1825.24,2041.58,1609.32
258,3529.17,3397.09,3556.54,2030.6
259,3237.13,3075.03,3297.28,3193.84
260,1108.65,698.82,792.11,3425.52
261,5158.58,4929.95,4756.75,976.35
262,1641.88,1753.9,1694.25,4951.3
263,2862.81,2906.02,2961.29,1431.94
264,4634.55,4639.82,4789.72,2879.38
265,4891.96,4505.89,4452.15,4448.75
266,2270.3,2065.73,2022.12,3953.51
267,2613.2,2657.36,2614.22,2035.64
268,2907.44,2530.31,2671.1,2670.22
269,3165.46,3370.9,3528.52,3056.03
270,2482.64,2249.97,2351.9,3560.35
271,5376.72,4873.0,5250.86,2322.24
272,2543.56,2846.41,2902.29,5155.84
273,4300.09,3999.56,4249.31,2594.3
274,540.69,447.58,525.42,4109.87
275,5403.27,4701.46,5036.86,462.9
276,5176.43,4664.78,4316.23,5367.27
277,4045.62,4224.04,4498.55,4551.45
278,5850.89,5827.6,5852.95,3928.72
279,1147.79,838.31,754.94,5435.08
280,1669.37,1264.77,1174.25,831.24
281,6999.36,6736.84,6853.36,1313.29
282,3696.14,3763.06,3806.73,6608.03
283,4291.87,4145.4,4052.85,3908.63
284,4038.12,3746.45,4290.88,4381.8
285,1752.51,1576.33,1418.09,3791.81
286,1139.0,984.4,1087.15,1576.38
287,6726.51,6769.99,6760.68,1089.82
288,4444.47,3927.13,3922.39,6668.22
289,2006.25,1662.03,1704.21,4417.79
290,6200.57,5727.47,5532.28,1872.07
291,3105.21,2985.1,3233.81,5450.18
292,1901.29,1855.82,2039.71,2786.21
293,2945.97,2631.21,2842.36,1906.34
294,3923.61,3883.64,4115.57,2818.51
295,2500.0,2211.86,2483.5,3944.15
296,5507.24,5468.48,5394.82,2584.13
297,4034.06,4032.22,3861.76,4831.92
298,3179.4,3136.74,2844.07,3899.56
299,7767.78,7962.91,7791.72,3098.03
300,1597.97,1337.51,1598.46,7973.86
301,1381.97,1180.89,1238.1,1630.21
302,2194.49,2169.17,2303.13,1037.18
303,3708.78,3119.31,3864.67,1980.52
304,6875.94,6720.46,6672.17,3396.44
305,2323.79,2155.27,2225.43,6500.59
306,4416.95,3697.46,4054.28,2191.31
307,7359.12,6976.95,7313.95,3861.53
308,2117.74,2045.59,1971.85,7587.65
309,843.32,559.05,476.82,2012.46
310,2410.35,2221.99,2253.52,498.28
311,6074.56,6260.27,6048.45,2095.56
312,8077.71,7619.9,7861.08,6250.55
313,3008.07,2683.89,2858.74,7678.35
314,8604.99,8349.02,9031.48,2881.99
315,2934.16,2288.57,2266.61,8563.64
316,5117.02,5263.74,5486.56,2566.36
317,168.89,136.99,92.81,4892.55
318,974.32,684.73,905.83,119.06
319,4083.83,4231.68,3849.5,724.09
320,5019.74,4143.61,4347.72,3753.56
321,5025.57,4978.59,4935.11,4242.71
322,1650.88,1459.25,1435.88,4969.26
323,2000.26,1769.95,1899.03,1343.1
324,1353.06,1179.0,1072.58,1747.22
325,918.99,765.08,749.37,969.29
326,5015.55,5647.4,5856.16,760.26
327,1554.18,1431.13,1583.13,5535.83
328,4794.91,5085.93,5014.61,1653.09
329,2403.78,2142.96,2140.94,5260.61
330,6086.68,5523.84,5436.56,2131.95
331,6575.95,6187.13,6835.41,5531.26
332,5349.72,5408.75,5182.91,6571.03
333,479.73,242.68,223.45,5289.1
334,7629.35,7325.58,6959.74,280.83
335,7333.29,6503.01,7422.36,6960.65
336,2365.77,2137.78,2062.27,6833.05
337,2585.02,2484.98,2571.27,2110.29
338,5098.26,5126.25,5370.48,2598.09
339,2442.58,2257.39,1912.95,5349.34
340,459.3,224.46,236.43,2024.45
341,3632.04,3530.18,3264.26,222.39
342,3955.65,3654.63,3861.52,3338.33
343,3718.19,4120.54,4261.69,3682.09
344,8617.66,8230.95,8436.22,3975.02
345,4319.66,4142.0,4010.64,8341.92
346,461.39,231.23,233.32,3833.42
347,1459.87,1331.13,1588.54,209.22
348,431.4,189.2,206.07,1483.23
349,4339.13,3734.42,3764.18,214.08
350,3725.51,3408.34,3355.99,4242.26
351,5784.88,6298.88,5929.99,3185.11
352,3821.81,3820.77,3696.56,5731.75
353,1671.13,1262.05,1496.9,3811.48
354,6924.73,6520.86,6501.2,1389.84
355,4639.49,4239.49,4484.93,6142.46
356,2834.05,3086.82,3176.38,4232.22
357,322.16,275.96,294.54,3039.19
358,1580.83,1502.62,1414.89,299.61
359,1584.83,1435.59,1307.66,1467.61
360,10519.9,9750.99,10210.2,1290.21
361,2119.55,2623.77,2390.3,10180.1
362,1448.81,1495.07,1399.59,2198.45
363,306.98,104.84,110.63,1524.04
364,3500.62,3016.48,3192.66,99.67
365,1781.02,1422.34,1620.39,3115.29
366,1908.29,1692.47,2134.22,1557.5
367,6853.62,6820.65,6958.98,1978.52
368,1755.59,1565.94,1517.17,7059.63
369,960.83,699.89,896.09,1668.33
370,6390.8,6208.44,6001.95,904.68
371,9473.57,9081.22,8771.37,6125.34
372,6476.58,6310.79,6520.2,8900.4
373,5087.4,4735.2,4596.75,6371.81
374,539.21,331.07,297.65,5183.82
375,6538.15,5916.39,6420.5,313.73
376,4658.8,5098.05,5497.08,6355.84
377,2556.84,2436.87,2367.5,4804.14
378,1136.63,889.31,857.77,2376.15
379,3122.55,2742.64,2898.84,925.02
380,4842.79,4019.67,4132.73,2585.19
381,4991.43,5046.38,4641.2,3800.98
382,386.73,282.48,433.32,4932.01
383,2295.64,2480.2,2483.59,372.73
384,2717.89,2333.08,2515.1,2569.68
385,7799.24,7752.51,7678.28,2372.09
386,4820.09,4569.39,5022.08,7589.85
387,3054.54,3032.05,3066.93,4847.03
388,3340.96,3151.91,3270.35,3124.93
389,1070.32,804.36,754.46,3051.74
390,9120.87,8678.08,9714.35,806.62
391,2342.26,2544.66,2132.54,8810.97
392,2725.22,2769.53,2849.24,2352.71
393,2477.39,2236.44,2234.81,2717.29
394,5399.09,4518.83,5328.65,2224.6
395,2197.61,1905.12,2350.95,4779.52
396,2199.65,2174.28,2335.66,2240.21
397,5206.71,5408.12,5342.05,2378.45
398,2564.12,2219.63,2184.01,5604.15
399,1128.94,924.78,825.08,2231.28
