kbdirty,client01,client02,client03,client04
295,96.0,4492.0,1312.0,3668.0
296,500.0,4612.0,1448.0,3924.0
297,720.0,4768.0,1572.0,4048.0
298,1056.0,4848.0,1704.0,4256.0
299,1216.0,720.0,1832.0,4364.0
300,1376.0,392.0,1964.0,4368.0
301,1540.0,704.0,2160.0,4396.0
302,1700.0,900.0,2228.0,4668.0
303,1864.0,1036.0,2364.0,4808.0
304,2028.0,1168.0,2520.0,1040.0
305,2188.0,1300.0,2680.0,404.0
306,2352.0,1484.0,2808.0,512.0
307,2508.0,1592.0,2940.0,760.0
308,2672.0,1652.0,3012.0,1044.0
309,2736.0,1856.0,3144.0,1168.0
310,2896.0,1984.0,3292.0,1300.0
311,3060.0,2116.0,3464.0,1432.0
312,3232.0,2192.0,3592.0,1536.0
313,3392.0,2404.0,3668.0,1692.0
314,3548.0,2484.0,3800.0,1816.0
315,3708.0,2600.0,3984.0,1944.0
316,3868.0,2720.0,4096.0,2076.0
317,4036.0,2844.0,4188.0,2212.0
318,4196.0,2996.0,4288.0,2356.0
319,4356.0,3036.0,4444.0,2456.0
320,4520.0,3252.0,4580.0,2656.0
321,4684.0,3372.0,4632.0,2744.0
322,4844.0,3500.0,4808.0,2916.0
323,5008.0,3708.0,192.0,2984.0
324,5140.0,3760.0,404.0,3148.0
325,5168.0,3864.0,672.0,3260.0
326,5332.0,3976.0,916.0,3380.0
327,5500.0,4192.0,992.0,3504.0
328,5660.0,4248.0,1176.0,3568.0
329,5720.0,2048.0,1244.0,3572.0
330,140.0,2092.0,1440.0,3728.0
331,496.0,2344.0,1496.0,3868.0
332,908.0,2592.0,1656.0,4000.0
333,1004.0,2704.0,1828.0,4124.0
334,1168.0,888.0,1892.0,4104.0
335,1324.0,912.0,1948.0,4232.0
336,1484.0,1104.0,2144.0,4380.0
337,1700.0,1296.0,2212.0,4512.0
338,1864.0,1356.0,2412.0,4644.0
339,2024.0,1484.0,2472.0,48.0
340,2188.0,1620.0,2664.0,264.0
341,2324.0,1768.0,2732.0,600.0
342,2464.0,1896.0,2936.0,816.0
343,2680.0,2036.0,3136.0,996.0
344,2840.0,2172.0,3200.0,1120.0
345,2968.0,2264.0,3324.0,1248.0
346,3108.0,2448.0,3520.0,1384.0
347,3272.0,2580.0,3628.0,1540.0
348,3496.0,2660.0,3700.0,1652.0
349,3652.0,2848.0,3856.0,1804.0
350,3808.0,2984.0,3980.0,1928.0
351,3972.0,3120.0,4108.0,2044.0
352,4132.0,3332.0,4244.0,2184.0
353,4136.0,3388.0,2172.0,2304.0
354,4316.0,3524.0,2376.0,2480.0
355,4528.0,3608.0,2464.0,2560.0
356,4688.0,3780.0,2640.0,2624.0
357,4844.0,3912.0,2844.0,2764.0
358,4964.0,4052.0,600.0,2888.0
359,5164.0,4180.0,876.0,3056.0
360,5148.0,4244.0,948.0,3204.0
361,5324.0,4352.0,1236.0,3300.0
362,5392.0,4516.0,1264.0,3448.0
363,5668.0,4648.0,1516.0,3540.0
364,5808.0,2180.0,1652.0,3600.0
365,212.0,2096.0,1780.0,3800.0
366,488.0,2284.0,1912.0,3880.0
367,800.0,2412.0,1972.0,4060.0
368,1020.0,2624.0,2044.0,4172.0
369,1124.0,800.0,2280.0,464.0
370,1276.0,820.0,2320.0,312.0
371,1540.0,1016.0,2564.0,572.0
372,1604.0,1276.0,2628.0,888.0
373,1860.0,1408.0,2704.0,1056.0
374,1920.0,1548.0,2956.0,1152.0
375,2084.0,1692.0,3020.0,1328.0
376,2244.0,1756.0,3148.0,1400.0
377,2412.0,1892.0,3224.0,1536.0
378,2572.0,2152.0,3332.0,1636.0
379,2632.0,2160.0,3524.0,1796.0
380,2896.0,2292.0,3668.0,1952.0
381,3052.0,2428.0,3744.0,2072.0
382,3212.0,2564.0,3932.0,2192.0
383,3376.0,2700.0,1764.0,2324.0
384,3536.0,2776.0,1972.0,2400.0
385,3700.0,2976.0,2156.0,2516.0
386,3764.0,3048.0,2420.0,2688.0
387,3944.0,3244.0,2556.0,2868.0
388,4192.0,3376.0,2432.0,2980.0
389,4352.0,3440.0,2496.0,3184.0
390,4512.0,3648.0,2712.0,3192.0
391,4676.0,3716.0,2772.0,3316.0
392,4736.0,3848.0,2976.0,3384.0
393,4852.0,4004.0,916.0,3516.0
394,5116.0,236.0,1176.0,3640.0
395,4916.0,160.0,1300.0,3768.0
396,5080.0,504.0,1556.0,3924.0
397,5264.0,700.0,1756.0,4036.0
398,5420.0,904.0,1780.0,4220.0
399,5580.0,1112.0,1900.0,4348.0
