%util,aceph01,aceph02,aceph03,aceph04
94,40.96,66.16,50.6,53.96
95,59.72,62.68,58.52,49.92
96,60.88,55.6,50.52,57.76
97,39.68,36.72,64.96,57.56
98,55.12,35.96,66.52,45.92
99,63.76,39.96,62.44,45.44
100,50.12,55.04,61.52,36.44
101,49.56,58.97,70.96,43.0
102,51.64,60.48,63.52,51.56
103,40.0,39.16,72.64,60.2
104,52.6,53.12,61.44,52.48
105,57.6,47.08,49.96,43.72
106,54.12,35.72,40.88,42.48
107,46.72,38.96,48.04,46.12
108,50.0,59.44,47.8,60.0
109,43.6,45.36,63.32,64.92
110,51.72,46.16,70.8,79.04
111,55.16,57.52,71.08,50.8
112,50.32,68.36,54.2,43.32
113,39.56,45.36,52.88,40.88
114,41.64,40.68,25.6,48.72
115,47.32,40.0,20.0,59.52
116,55.56,48.0,40.64,76.52
117,59.28,55.24,58.16,84.36
118,59.76,63.76,51.16,73.16
119,59.76,68.28,64.48,47.08
120,42.76,50.52,44.16,31.08
121,29.32,55.96,33.0,36.68
122,33.16,60.72,31.32,31.52
123,43.68,65.52,41.96,33.48
124,46.88,47.6,43.04,63.64
125,59.44,55.72,78.72,58.16
126,62.64,46.48,80.12,43.56
127,58.2,47.64,74.52,37.32
128,51.12,42.4,55.92,46.16
129,53.4,56.4,55.92,42.96
130,47.96,55.88,51.16,53.56
131,42.56,61.28,46.68,46.64
132,46.32,36.88,44.84,57.84
133,64.0,35.92,58.6,56.12
134,59.48,51.64,60.0,42.92
135,52.36,54.64,53.12,32.8
136,53.16,47.56,57.6,39.88
137,40.4,50.92,66.72,58.96
138,35.08,39.84,62.8,53.6
139,41.48,31.32,45.12,45.76
140,58.88,31.2,40.16,56.4
141,73.08,51.32,44.48,50.68
142,74.0,66.8,34.44,36.8
143,69.96,60.32,40.56,45.8
144,58.96,46.04,37.24,74.24
145,40.84,41.48,41.28,63.84
146,41.6,42.48,49.92,72.12
147,46.6,37.96,52.16,82.56
148,47.72,62.0,50.12,41.72
149,47.12,75.96,49.6,40.0
150,51.84,68.6,46.64,43.68
151,42.44,53.72,35.68,30.0
152,36.32,50.0,43.84,43.16
153,44.72,52.08,56.16,78.48
154,39.84,49.56,43.08,65.12
155,30.48,47.88,64.56,45.4
156,56.08,52.52,71.76,45.64
157,58.48,46.08,59.32,25.36
158,57.64,30.24,50.16,30.6
159,61.64,42.0,56.56,35.4
160,47.08,58.52,44.92,51.68
161,37.92,57.44,33.16,66.44
162,32.2,59.72,55.44,62.8
163,40.0,50.72,69.36,59.52
164,60.56,36.56,70.2,50.56
165,77.72,47.72,73.64,25.52
166,72.16,45.52,70.8,32.44
167,51.48,44.8,52.96,66.92
168,40.0,51.76,41.52,66.8
169,40.0,57.84,50.08,60.56
170,56.2,28.36,54.44,66.64
171,73.92,40.52,71.8,50.28
172,61.04,55.44,62.04,42.36
173,49.32,44.12,41.84,43.84
174,30.6,48.08,28.32,54.8
175,30.24,62.04,26.44,66.24
176,50.0,39.76,41.64,70.04
177,71.88,42.68,62.48,69.04
178,65.069,57.4,63.04,51.36
179,49.96,66.6,51.92,49.96
180,33.76,56.24,50.0,42.0
181,26.6,65.0,50.0,49.28
182,32.24,56.28,39.24,40.68
183,54.92,49.96,37.96,48.0
184,61.12,58.84,47.72,66.28
185,52.44,58.64,59.96,52.88
186,54.88,56.12,53.32,44.0
187,42.04,60.0,68.475,50.44
188,23.68,45.28,79.6,49.2
189,49.84,43.48,72.2,32.28
190,47.44,37.08,47.64,41.12
191,57.64,47.92,43.44,65.48
192,56.56,41.08,40.52,39.84
193,54.48,47.645,51.12,44.12
194,36.48,51.68,49.4,42.68
195,32.8,54.4,60.0,38.68
196,42.36,40.4,68.28,31.92
197,42.32,29.76,67.48,57.56
198,55.6,30.28,56.32,62.88
199,65.0,38.24,60.96,58.72
200,72.92,52.44,40.04,54.2
201,53.08,69.32,37.72,43.44
202,36.4,68.0,34.52,36.84
203,40.0,55.88,28.16,50.28
204,56.76,40.0,46.92,64.48
205,69.68,40.0,46.72,77.2
206,66.88,45.68,47.8,60.52
207,67.08,59.36,38.12,66.88
208,41.88,70.88,59.96,56.36
209,34.92,69.28,51.4,45.64
210,42.88,53.48,35.92,48.64
211,45.72,50.0,43.8,36.4
212,38.56,44.04,36.28,37.08
213,49.92,40.04,22.56,57.76
214,27.28,58.16,33.92,75.4
215,27.12,55.2,72.28,49.88
216,32.48,36.96,66.04,38.2
217,50.68,30.24,61.28,27.12
218,67.84,34.52,60.0,29.4
219,62.24,48.08,41.48,26.88
220,49.92,46.4,37.56,42.16
221,38.08,62.68,48.28,68.12
222,31.68,51.76,59.28,49.4
223,32.28,37.92,58.6,29.96
224,43.08,37.64,58.92,25.0
225,49.04,45.48,67.0,30.0
226,53.68,46.08,51.8,38.84
227,56.04,48.52,43.04,64.714
228,50.0,46.6,61.12,59.32
229,48.0,33.16,64.24,57.88
230,55.28,29.44,44.8,48.92
231,50.8,35.0,45.36,33.44
232,53.92,56.96,46.92,33.6
233,57.92,45.36,38.48,62.72
234,58.72,49.92,31.16,66.88
235,46.32,42.76,39.16,64.44
236,54.16,41.84,53.92,61.32
237,47.88,44.92,41.44,55.84
238,42.04,65.56,61.44,45.04
239,44.32,64.48,47.96,45.36
240,49.72,58.08,38.68,34.88
241,55.0,60.0,27.6,33.76
242,42.48,45.52,41.32,45.48
243,43.64,38.76,37.52,59.96
244,41.0,53.72,39.6,56.64
245,46.28,58.52,65.36,49.32
246,50.68,44.56,75.32,43.36
247,57.2,61.16,73.16,40.0
248,64.64,52.08,51.6,42.44
249,60.44,60.0,50.08,43.08
250,44.0,52.68,47.76,57.76
251,41.48,40.96,40.0,59.72
252,49.28,38.84,45.4,47.52
253,44.4,40.16,68.16,37.68
254,48.68,49.88,71.52,33.24
255,55.96,54.6,68.32,36.64
256,50.16,66.24,64.76,54.84
257,51.04,51.76,65.16,58.8
258,59.16,24.84,50.0,51.72
259,39.64,20.4,49.68,50.84
260,45.36,35.0,49.64,40.44
261,57.4,47.2,54.6,40.0
262,38.76,58.44,37.16,49.6
263,45.08,54.96,29.96,63.2
264,67.96,41.16,28.68,56.6
265,43.52,40.0,33.44,65.84
266,45.12,50.24,37.64,60.0
267,59.72,48.52,59.6,66.12
268,63.36,64.92,64.96,61.8
269,49.4,72.32,56.52,58.44
270,50.56,51.24,43.64,56.24
271,43.24,50.88,34.12,39.56
272,25.84,59.2,39.96,31.32
273,35.16,39.96,56.32,47.52
274,44.0,52.08,38.64,74.28
275,44.44,52.24,63.8,68.08
276,50.72,33.8,66.96,51.68
277,53.8,49.16,59.16,40.0
278,52.88,45.6,51.68,41.32
279,48.36,53.12,56.4,32.12
280,44.64,63.88,59.64,37.4
281,44.4,50.96,50.28,55.0
282,49.96,31.08,57.88,63.96
283,45.76,34.24,63.6,50.4
284,58.2,49.32,56.52,32.96
285,59.12,44.92,40.28,20.56
286,54.8,48.24,50.0,30.96
287,45.36,38.24,54.84,51.44
288,38.12,38.12,46.12,60.2
289,32.8,31.92,63.76,52.04
290,44.24,38.96,63.48,58.88
291,57.4,52.56,40.48,42.92
292,67.28,76.56,35.16,41.16
293,52.52,58.76,30.12,49.32
294,59.32,40.0,34.84,60.56
295,51.76,40.0,46.68,68.64
296,56.2,41.68,68.28,64.04
297,55.04,37.68,54.12,73.04
298,59.76,71.56,64.96,65.08
299,43.17,79.96,48.96,59.4
300,39.48,59.28,40.0,57.52
301,36.48,53.92,38.4,46.16
302,44.16,50.28,48.48,37.68
303,64.32,49.96,57.48,39.84
304,77.52,52.24,48.08,59.44
305,45.16,61.12,58.28,46.32
306,30.76,51.76,58.56,49.92
307,39.96,57.32,60.0,52.32
308,31.92,45.24,60.08,53.72
309,39.16,47.24,66.12,43.36
310,70.76,65.92,79.36,47.08
311,66.44,67.48,69.8,51.68
312,39.16,46.28,47.36,40.92
313,30.52,51.68,48.96,47.16
314,40.0,51.2,39.12,47.76
315,40.64,55.72,41.08,33.12
316,58.48,52.0,46.2,29.56
317,76.32,52.04,58.36,57.84
318,75.08,37.04,66.52,73.64
319,61.52,51.4,84.6,69.08
320,43.8,40.0,71.08,72.08
321,54.56,45.92,64.76,62.12
322,56.24,53.84,40.0,46.44
323,62.64,82.32,40.0,44.04
324,53.08,57.4,32.0,55.6
325,51.8,45.44,39.96,63.6
326,52.6,46.64,50.813,52.48
327,47.52,49.96,53.2,70.52
328,52.68,42.2,41.64,82.64
329,58.32,69.48,45.24,60.72
330,54.76,74.36,35.08,38.16
331,47.44,51.56,45.6,37.0
332,57.44,50.0,56.0,30.0
333,47.2,59.84,66.52,32.0
334,33.36,48.52,50.64,48.08
335,43.24,55.84,50.2,75.8
336,47.12,78.44,60.0,79.16
337,51.12,72.88,57.92,86.68
338,71.48,47.2,49.8,61.84
339,75.08,50.84,63.92,32.64
340,60.56,50.0,85.08,20.8
341,51.6,44.64,65.76,38.04
342,35.44,47.08,45.32,44.44
343,36.0,66.8,64.08,53.96
344,49.16,37.84,61.68,59.4
345,52.52,37.96,51.44,49.88
346,66.84,37.0,46.72,27.16
347,60.48,40.04,59.64,33.32
348,47.84,52.84,50.36,44.96
349,40.0,56.92,38.32,58.6
350,44.08,45.0,49.36,76.56
351,60.28,31.88,53.72,72.84
352,71.04,39.0,42.16,55.12
353,60.08,40.92,40.6,37.76
354,49.92,53.6,37.36,41.6
355,45.56,52.68,24.6,54.44
356,39.0,56.16,42.72,59.96
357,46.72,57.72,68.08,79.12
358,54.68,56.4,60.4,86.44
359,64.8,50.96,62.72,62.84
360,54.72,61.0,57.2,35.72
361,37.08,62.92,40.56,29.6
362,38.32,62.48,25.24,34.32
363,42.44,69.08,38.0,40.24
364,44.4,72.24,37.24,59.84
365,45.16,43.68,47.12,67.88
366,52.36,46.96,74.56,54.92
367,41.68,49.16,77.76,26.56
368,47.48,24.92,55.92,25.44
369,42.16,25.6,47.2,30.0
370,50.96,56.4,45.12,46.4
371,40.24,44.28,43.6,56.52
372,46.92,43.84,54.52,54.4
373,40.24,49.24,68.2,45.92
374,47.24,49.16,78.76,35.68
375,50.08,49.8,70.96,21.4
376,67.2,56.96,46.24,35.6
377,62.72,42.84,42.04,67.08
378,55.8,46.16,46.64,82.12
379,44.2,55.36,54.84,76.84
380,51.44,41.04,61.84,58.76
381,57.6,31.92,59.0,47.12
382,48.96,57.96,55.56,32.12
383,56.96,79.92,47.92,36.96
384,62.8,69.16,40.76,47.24
385,50.36,50.76,35.64,78.0
386,56.76,43.32,38.56,67.56
387,57.2,39.96,32.96,84.56
388,40.68,38.48,56.04,67.4
389,33.08,58.96,54.6,40.0
390,49.6,86.24,46.6,40.12
391,39.2,65.64,51.52,40.8
392,49.6,52.64,42.4,33.64
393,64.44,50.0,47.92,55.2
394,55.96,50.0,43.4,69.84
395,36.92,52.84,57.2,60.44
396,41.68,63.64,65.28,56.68
397,53.56,67.0,76.68,46.08
398,50.2,49.04,65.96,39.92
399,49.52,32.52,62.52,42.6
