%guest,client01,client02,client03,client04
188,0.93,1.61,1.5,1.53
189,0.98,1.59,1.68,1.68
190,0.95,1.66,1.68,1.63
191,0.88,1.72,9.67,1.68
192,12.52,1.46,17.82,27.51
193,14.59,24.29,1.75,1.8
194,0.86,2.12,1.58,1.7
195,1.03,1.74,1.45,1.73
196,0.68,1.51,1.4,1.5
197,0.8,1.54,1.48,0.9
198,0.8,1.56,13.48,2.4
199,13.7,1.47,12.99,25.56
200,12.3,23.24,1.3,1.65
201,0.85,1.86,0.75,1.58
202,0.83,1.49,1.15,1.45
203,0.73,1.48,0.83,1.45
204,0.8,1.55,1.08,1.5
205,1.01,1.72,22.44,19.12
206,25.68,9.55,1.73,10.16
207,1.06,16.55,1.6,1.68
208,0.73,1.68,1.5,1.38
209,0.85,1.49,1.43,1.48
210,0.85,1.43,1.8,1.58
211,0.98,1.44,1.6,1.55
212,0.86,1.56,21.24,23.07
213,22.12,5.14,2.7,3.08
214,0.88,18.59,1.55,2.4
215,0.78,1.91,1.63,1.55
216,0.76,1.55,1.73,1.63
217,1.01,1.51,1.43,1.55
218,0.83,1.64,1.48,1.58
219,0.85,1.38,22.18,11.77
220,25.35,3.75,3.31,17.64
221,2.31,21.67,1.68,1.75
222,0.98,2.22,1.78,1.65
223,1.06,1.74,1.45,1.65
224,0.8,1.36,1.83,1.58
225,0.63,1.61,1.5,1.58
226,0.78,1.46,13.01,27.16
227,25.32,1.59,12.98,2.08
228,1.03,17.94,1.63,1.6
229,0.88,6.25,1.53,1.48
230,0.86,1.67,1.48,1.03
231,0.91,1.56,1.55,0.9
232,0.9,1.65,1.4,1.23
233,0.9,1.56,2.45,1.48
234,2.24,1.56,10.76,27.42
235,25.28,4.69,11.13,1.98
236,1.0,16.47,3.38,1.63
237,0.83,3.37,1.68,1.38
238,0.83,1.9,1.5,1.65
239,0.88,1.59,1.55,1.55
240,0.85,1.61,1.65,1.58
241,0.75,1.56,1.88,1.53
242,1.06,1.89,22.37,27.59
243,25.79,23.51,1.98,1.75
244,1.15,1.92,1.55,1.65
245,0.83,1.64,1.7,1.55
246,0.85,1.85,1.68,1.65
247,0.98,1.69,1.43,1.65
248,0.9,1.45,1.83,2.48
249,8.09,1.71,8.93,23.82
250,14.58,1.55,12.96,1.13
251,1.03,16.68,2.1,2.35
252,0.88,6.99,1.3,1.65
253,0.75,1.43,1.58,1.43
254,0.7,1.62,1.55,1.6
255,0.83,1.72,1.45,1.53
256,0.78,1.53,2.25,1.55
257,1.66,1.64,23.0,28.09
258,25.83,24.79,1.73,1.85
259,0.98,1.91,1.48,1.53
260,0.76,1.41,1.4,1.5
261,0.88,1.61,1.68,1.48
262,0.96,1.79,1.4,1.63
263,0.83,1.41,2.03,3.83
264,8.55,1.59,6.65,16.51
265,13.72,1.66,13.91,3.15
266,0.93,12.03,3.06,4.33
267,0.83,11.45,1.48,1.53
268,0.9,1.56,1.35,1.45
269,0.6,1.64,1.6,1.58
270,0.63,1.39,1.58,1.58
271,0.7,1.73,1.58,1.55
272,0.98,1.62,22.94,27.62
273,26.52,24.66,1.75,1.8
274,1.11,1.81,0.68,1.45
275,0.65,1.46,1.35,1.55
276,0.83,1.77,1.55,1.23
277,0.93,1.69,1.6,0.83
278,0.88,1.62,3.23,1.28
279,14.94,1.66,11.68,27.05
280,11.33,7.41,9.01,1.8
281,0.86,15.95,1.63,1.35
282,0.91,1.92,1.63,1.78
283,0.75,1.71,1.58,1.58
284,0.83,1.67,1.43,1.68
285,0.8,1.46,1.63,1.7
286,0.8,1.41,23.35,13.73
287,25.52,5.55,2.08,14.8
288,1.61,21.22,0.75,1.73
289,1.1,1.99,1.15,0.7
290,0.95,1.86,1.4,0.8
291,0.98,1.57,1.33,1.5
292,0.75,1.49,1.33,1.4
293,0.85,1.51,11.68,27.34
294,25.92,5.33,5.1,1.93
295,1.03,17.69,8.17,1.38
296,0.91,2.2,1.45,1.8
297,1.0,1.74,1.6,1.6
298,0.9,1.62,1.48,1.4
299,0.73,1.67,1.48,1.8
300,0.93,1.51,1.5,1.65
301,0.93,1.43,16.81,22.71
302,21.43,1.44,4.73,0.78
303,1.13,21.87,1.83,4.03
304,0.91,2.07,1.45,1.75
305,0.66,1.72,1.55,1.63
306,0.8,1.66,1.78,1.65
307,0.88,1.65,1.48,1.6
308,0.88,1.51,14.57,9.85
309,24.17,3.42,2.95,19.3
310,2.69,19.82,6.16,1.25
311,1.06,1.74,1.81,1.73
312,0.98,1.57,1.55,1.9
313,0.98,1.72,1.73,1.53
314,0.75,1.7,1.5,1.8
315,0.83,1.69,1.6,1.68
316,0.65,1.39,23.23,22.17
317,25.78,11.75,1.65,7.18
318,1.0,14.06,1.68,1.5
319,0.85,1.67,1.55,1.65
320,0.85,1.64,1.63,1.68
321,0.76,1.49,1.7,1.75
322,0.65,1.67,1.6,1.03
323,0.85,1.69,6.63,18.13
324,21.35,1.38,9.6,8.33
325,1.13,14.33,7.76,1.38
326,0.85,8.79,1.5,1.53
327,0.73,1.82,1.5,1.6
328,0.88,1.61,1.65,1.43
329,0.91,1.71,1.48,1.68
330,0.75,1.61,1.63,1.58
331,1.03,1.74,24.77,27.85
332,26.54,22.24,1.73,2.16
333,1.03,4.65,1.53,1.48
334,1.07,1.46,1.88,1.4
335,0.91,1.67,1.43,1.8
336,0.85,1.58,1.68,1.6
337,0.75,1.49,3.78,1.55
338,3.02,1.61,10.98,28.19
339,23.28,10.89,9.48,1.9
340,0.98,12.46,1.5,1.45
341,0.95,1.61,1.55,1.5
342,0.83,1.66,1.58,1.5
343,0.7,1.66,1.63,1.6
344,0.93,1.92,1.63,1.81
345,1.03,1.46,8.81,1.55
346,9.94,1.36,16.45,27.88
347,18.15,24.01,1.65,1.83
348,0.95,1.88,1.48,1.5
349,0.83,1.43,1.48,1.58
350,0.86,1.6,1.83,1.55
351,0.96,1.62,1.6,1.75
352,1.0,1.61,4.68,14.03
353,9.31,1.49,18.13,11.17
354,12.87,23.1,1.9,0.3
355,0.91,1.94,0.9,4.13
356,1.0,1.44,1.0,1.5
357,0.93,1.69,1.5,1.43
358,0.78,1.33,1.48,1.3
359,0.78,1.61,1.65,1.3
360,0.85,1.6,13.43,27.87
361,27.16,1.57,9.98,1.9
362,1.08,16.06,2.85,1.35
363,1.0,6.96,1.25,1.4
364,0.9,1.63,1.6,1.4
365,0.98,1.49,1.38,1.35
366,1.05,1.18,1.63,0.55
367,0.88,1.45,2.43,1.33
368,1.74,1.68,13.71,26.9
369,24.64,1.61,9.75,1.75
370,1.08,17.96,2.03,1.55
371,0.83,5.27,1.85,1.68
372,0.91,1.92,1.63,1.91
373,0.96,1.62,1.7,1.78
374,0.83,1.63,1.58,1.58
375,0.95,1.44,1.63,1.25
376,0.91,1.77,6.89,12.73
377,15.64,1.56,10.48,13.13
378,7.05,11.64,6.48,1.5
379,0.8,11.64,1.55,1.38
380,1.03,1.69,1.63,1.53
381,1.06,1.64,1.33,1.58
382,0.73,1.49,1.33,1.53
383,0.8,1.66,1.48,1.48
384,0.7,1.61,5.81,11.91
385,15.35,1.77,6.18,8.93
386,7.31,2.38,11.9,5.88
387,0.78,21.7,1.63,1.28
388,0.83,2.02,1.35,1.55
389,0.8,1.58,1.33,1.65
390,0.61,1.74,1.03,1.53
391,0.88,1.44,1.33,1.58
392,0.78,1.64,13.25,2.13
393,12.18,1.66,10.76,26.71
394,13.02,24.74,1.55,1.93
395,0.95,1.9,1.55,1.7
396,0.83,1.23,1.68,1.6
397,0.78,1.41,1.48,1.68
398,0.9,1.71,1.43,0.95
399,0.68,1.49,18.84,8.81
