%idle,aceph01,aceph02,aceph03,aceph04
134,32.91,32.45,22.38,44.23
135,42.64,41.02,26.77,45.03
136,47.9,45.98,19.11,47.43
137,41.37,37.03,23.08,36.24
138,52.66,42.09,35.27,25.0
139,34.97,33.33,32.08,38.69
140,21.31,35.96,39.64,30.85
141,38.79,41.16,38.49,24.81
142,18.25,29.7,44.57,32.92
143,26.61,44.78,51.84,32.45
144,36.26,47.59,33.96,32.7
145,30.92,54.24,38.25,21.58
146,17.79,35.37,27.48,26.16
147,18.68,31.11,29.0,15.43
148,36.45,31.09,48.36,22.73
149,26.8,12.26,37.94,37.42
150,45.88,19.87,45.37,44.43
151,43.49,17.36,43.2,45.31
152,42.86,19.07,33.88,42.01
153,36.92,34.67,31.97,43.52
154,47.39,44.4,30.3,25.89
155,44.39,56.96,42.95,41.41
156,26.37,38.43,18.66,55.29
157,23.18,35.7,14.29,51.88
158,36.07,41.04,27.79,37.34
159,29.72,40.4,46.63,47.74
160,39.36,25.93,20.46,39.7
161,21.53,20.25,15.87,17.68
162,15.46,15.99,10.57,24.27
163,43.16,47.92,23.61,25.48
164,38.99,49.12,21.76,30.39
165,21.87,41.27,14.74,32.62
166,21.23,37.85,26.83,38.52
167,32.49,51.89,33.46,26.75
168,21.56,42.01,18.43,35.52
169,24.36,48.76,23.55,32.78
170,23.45,39.73,28.16,20.89
171,24.06,37.96,29.33,24.65
172,25.19,27.21,24.71,34.54
173,28.26,31.67,39.41,31.8
174,29.01,32.53,60.81,37.42
175,25.88,45.95,50.95,34.26
176,26.02,34.97,35.49,26.9
177,51.64,31.39,38.75,34.39
178,16.75,19.6,8.15,43.38
179,43.24,42.75,8.93,23.66
180,33.12,24.43,25.47,48.1
181,59.3,39.37,54.31,30.53
182,49.37,31.9,49.62,50.82
183,31.74,20.75,36.33,44.35
184,44.8,21.97,33.84,28.41
185,31.71,18.6,19.51,42.64
186,37.93,13.16,11.88,28.97
187,57.53,31.26,14.99,32.62
188,54.87,47.78,33.88,33.5
189,35.15,41.19,31.4,24.65
190,20.99,38.82,24.46,29.99
191,27.26,40.78,47.97,35.6
192,45.06,42.39,43.13,50.57
193,29.73,21.29,24.77,51.01
194,21.3,26.93,17.69,39.34
195,39.97,41.72,38.74,16.29
196,35.83,55.3,32.58,41.59
197,26.37,46.9,19.01,24.9
198,42.32,50.31,33.8,24.13
199,17.77,31.36,23.57,32.45
200,21.8,38.87,32.5,26.33
201,32.25,22.76,23.63,36.99
202,46.41,40.3,53.67,37.09
203,40.46,44.88,66.54,44.7
204,21.51,42.33,39.11,36.19
205,39.54,30.73,36.12,29.69
206,29.22,35.61,36.51,26.56
207,45.08,35.16,31.93,30.4
208,53.47,31.83,24.16,39.87
209,46.23,26.4,45.59,48.8
210,59.87,40.98,60.48,45.91
211,22.72,16.71,30.82,60.15
212,54.27,47.67,63.22,23.26
213,48.23,39.95,62.15,50.13
214,54.36,38.94,44.95,38.51
215,38.61,40.51,35.61,52.84
216,21.22,29.84,20.0,41.83
217,41.38,50.69,30.04,34.14
218,41.9,41.91,38.85,54.06
219,40.08,41.39,46.75,51.27
220,40.15,44.78,39.55,39.57
221,26.17,21.16,10.24,32.95
222,21.16,19.42,15.85,21.25
223,47.12,39.87,22.33,34.01
224,45.81,50.13,37.06,49.87
225,41.62,35.06,34.77,47.8
226,49.5,57.16,46.9,41.04
227,20.0,31.41,31.23,44.95
228,36.98,51.13,39.9,19.21
229,27.55,44.47,31.44,31.46
230,41.52,42.37,43.18,34.97
231,39.56,29.55,43.51,35.67
232,37.15,41.29,41.87,40.3
233,15.48,37.29,36.56,37.11
234,18.9,28.9,33.42,12.66
235,30.59,23.17,33.33,14.54
236,29.82,40.61,45.3,20.58
237,27.76,34.68,33.21,34.43
238,25.99,24.25,30.06,47.3
239,33.29,36.15,31.81,24.78
240,24.33,29.52,43.32,50.88
241,47.82,42.32,52.26,53.46
242,27.57,30.49,31.93,47.66
243,44.22,39.87,55.26,29.5
244,27.99,21.77,27.59,41.92
245,28.11,51.79,10.09,29.02
246,23.57,6.45,2.92,33.08
247,40.23,32.27,24.3,22.67
248,37.88,47.5,31.51,31.53
249,35.48,38.68,25.64,36.43
250,27.74,16.48,16.37,33.21
251,25.42,23.9,23.86,17.09
252,40.03,52.09,21.31,25.03
253,46.14,31.7,27.08,45.17
254,22.75,20.1,16.81,42.86
255,34.92,38.46,35.56,30.33
256,32.11,44.99,26.88,27.35
257,42.57,64.85,28.28,24.03
258,41.22,57.0,26.79,37.66
259,28.84,41.18,30.28,26.79
260,43.27,48.93,40.43,44.74
261,31.85,26.39,30.33,43.32
262,53.81,34.89,57.94,29.7
263,39.36,31.89,56.98,35.35
264,24.84,27.28,46.5,37.2
265,25.86,23.4,44.33,18.03
266,37.15,34.42,49.81,17.69
267,35.82,33.38,35.58,30.17
268,33.63,18.62,21.91,29.37
269,32.86,26.77,35.4,31.93
270,41.95,32.45,45.82,29.77
271,31.14,25.09,30.63,41.58
272,44.59,25.66,40.36,39.29
273,38.64,35.91,44.87,40.03
274,47.74,55.29,53.37,32.04
275,29.86,35.2,28.99,37.11
276,37.31,27.52,23.97,38.34
277,27.49,38.45,34.26,39.57
278,21.57,28.07,25.76,40.71
279,42.17,47.17,31.2,25.89
280,42.55,44.54,38.77,55.72
281,18.23,31.53,23.81,33.71
282,29.17,30.62,32.03,18.69
283,18.63,35.08,32.06,30.85
284,37.64,43.62,41.76,38.23
285,42.82,48.42,35.21,42.07
286,40.55,60.35,48.86,51.31
287,17.18,27.8,26.8,45.21
288,33.46,36.14,32.27,12.14
289,46.83,41.45,35.35,20.25
290,20.18,31.69,25.68,37.67
291,34.34,37.98,44.99,34.68
292,38.3,23.25,51.83,38.91
293,25.57,30.19,48.74,32.03
294,21.16,25.5,45.18,27.62
295,43.02,23.46,34.47,19.92
296,23.88,36.11,39.49,41.24
297,20.2,25.53,33.63,17.95
298,37.06,18.08,40.3,28.82
299,10.83,9.4,19.57,34.08
300,47.79,14.97,46.08,16.37
301,45.79,26.26,53.54,34.51
302,36.54,25.92,44.63,36.04
303,34.59,28.23,42.24,43.62
304,26.05,18.6,17.66,28.88
305,45.13,40.88,33.38,17.14
306,38.39,30.21,29.62,41.24
307,22.65,15.19,7.49,38.83
308,48.73,51.83,31.39,18.25
309,40.03,44.86,35.98,35.7
310,31.94,40.15,32.24,40.05
311,25.35,24.12,24.87,35.88
312,34.37,15.74,11.82,36.31
313,46.34,30.25,35.63,22.43
314,13.12,13.88,29.75,44.19
315,44.11,38.08,40.91,20.25
316,23.43,34.68,23.26,42.41
317,36.02,59.67,31.41,20.8
318,29.26,50.06,25.22,32.08
319,37.01,50.25,5.3,39.52
320,30.4,33.62,20.38,19.37
321,20.53,32.56,16.58,25.92
322,43.88,39.23,42.1,31.71
323,17.62,30.23,38.51,38.45
324,39.25,39.57,39.9,34.73
325,37.89,34.01,41.94,34.43
326,12.92,31.19,28.78,27.12
327,44.42,39.62,56.41,13.07
328,23.58,30.52,38.15,21.46
329,21.46,35.71,44.78,15.03
330,21.31,23.95,30.59,40.15
331,21.3,24.94,34.21,37.94
332,29.62,19.44,26.77,28.55
333,47.68,48.3,54.48,35.76
334,21.33,26.08,19.87,43.86
335,24.65,0.13,20.03,23.77
336,40.51,9.11,28.11,8.31
337,29.53,24.78,27.17,36.21
338,12.94,19.97,28.16,35.99
339,31.04,23.11,31.93,34.44
340,43.29,49.12,25.16,51.97
341,33.97,37.04,35.41,47.98
342,26.21,36.17,24.53,45.57
343,25.1,55.65,12.96,36.63
344,14.18,12.34,13.61,36.11
345,32.41,38.35,41.23,17.35
346,42.77,47.74,54.43,28.16
347,34.68,39.04,43.91,44.88
348,52.33,39.39,42.05,36.92
349,40.15,41.76,23.22,47.05
350,36.84,53.09,31.45,33.84
351,30.84,30.6,22.22,29.6
352,22.88,41.03,32.28,30.06
353,27.17,46.51,50.76,42.78
354,16.75,22.12,38.96,41.51
355,17.26,27.0,39.77,13.44
356,27.48,29.39,37.42,12.07
357,46.73,38.36,32.79,28.13
358,34.99,40.1,37.5,43.25
359,40.45,45.82,30.99,30.28
360,11.99,4.6,10.29,49.62
361,39.57,21.23,42.59,11.65
362,40.51,32.95,42.48,45.1
363,50.94,37.59,54.03,44.23
364,41.27,35.26,41.97,45.23
365,40.31,34.43,30.77,28.37
366,35.89,43.43,26.29,37.81
367,18.79,22.26,18.93,53.1
368,33.21,54.45,35.89,28.39
369,38.96,45.21,44.21,42.16
370,29.72,33.76,26.13,48.88
371,15.86,20.99,19.32,31.39
372,28.35,27.75,16.35,11.22
373,20.87,23.76,14.65,22.22
374,50.95,42.3,28.72,45.92
375,17.93,20.76,30.99,57.58
376,17.17,32.83,23.04,30.88
377,21.66,33.25,21.82,23.85
378,45.18,31.91,44.35,33.75
379,25.28,47.17,31.46,31.37
380,23.18,39.32,32.36,26.35
381,23.73,32.27,16.88,25.76
382,32.12,37.45,33.33,32.83
383,26.88,26.96,22.57,52.51
384,40.25,42.71,28.75,35.79
385,10.21,26.04,24.28,26.94
386,26.33,23.41,31.27,12.53
387,40.15,36.7,38.35,9.92
388,31.56,33.92,30.29,24.27
389,24.49,39.37,37.69,35.21
390,5.15,10.49,18.87,41.89
391,30.42,23.34,32.32,14.14
392,37.44,19.54,39.9,33.55
393,26.16,26.74,37.11,33.42
394,34.39,24.5,28.89,31.61
395,45.99,24.56,23.33,31.29
396,44.15,25.25,30.47,32.66
397,25.88,25.92,21.94,36.41
398,37.1,34.88,23.81,36.92
399,39.14,34.09,37.04,47.03
