svctm,aceph01,aceph02,aceph03,aceph04
124,3.264,2.863,1.987,3.028
125,2.378,3.95,2.361,4.303
126,4.17,1.699,4.24,2.04
127,3.327,1.697,3.887,2.888
128,3.077,2.184,2.673,2.804
129,2.139,1.754,2.597,2.184
130,3.237,3.445,2.653,2.987
131,1.745,3.125,1.997,3.261
132,1.396,2.348,3.376,2.937
133,3.395,1.69,1.698,4.165
134,3.691,3.54,3.554,2.075
135,1.816,2.858,2.191,2.124
136,5.163,1.815,2.42,1.349
137,2.663,3.1,2.821,4.512
138,0.763,3.037,3.716,3.66
139,3.19,2.097,2.156,1.378
140,1.605,2.934,2.214,2.637
141,3.212,1.808,2.157,2.407
142,7.6,3.866,1.135,2.429
143,2.555,2.959,2.227,1.286
144,6.185,5.253,2.212,3.7
145,1.343,1.083,3.078,2.95
146,1.76,3.068,2.29,3.067
147,1.522,1.305,2.425,4.481
148,3.877,2.115,1.706,2.046
149,2.332,5.078,1.907,1.568
150,2.762,2.962,2.544,1.393
151,1.964,1.486,1.781,1.15
152,1.532,1.769,1.408,1.267
153,2.711,2.872,4.685,3.225
154,2.508,1.749,2.187,4.353
155,1.13,3.983,2.375,2.174
156,2.098,26.436,9.64,2.588
157,3.745,1.762,1.302,2.3
158,2.461,0.969,2.645,1.071
159,2.819,1.328,1.784,1.333
160,3.369,2.695,2.798,2.459
161,1.672,2.812,1.079,3.255
162,2.206,2.826,3.149,6.39
163,1.601,2.837,2.803,2.783
164,2.85,2.113,2.165,2.519
165,4.354,1.644,3.159,1.073
166,6.209,1.951,3.079,1.066
167,1.768,2.576,3.039,3.141
168,1.047,2.363,1.173,4.623
169,1.571,4.158,2.233,4.471
170,1.655,2.239,4.232,3.512
171,2.744,2.493,53.355,2.987
172,7.38,2.343,5.721,1.5
173,3.305,2.498,1.829,1.368
174,1.742,1.192,0.538,1.806
175,0.817,3.237,1.719,3.166
176,1.29,2.976,2.158,2.891
177,3.201,1.994,2.947,4.67
178,14.183,1.709,7.572,2.776
179,2.992,4.574,2.388,2.438
180,1.972,2.77,2.157,1.929
181,0.809,1.978,1.917,2.223
182,1.037,3.958,2.755,2.103
183,2.07,1.674,3.433,1.747
184,5.674,2.979,2.977,2.887
185,3.473,7.417,2.123,5.225
186,2.086,3.394,2.135,3.468
187,1.927,2.652,1.999,2.595
188,0.632,2.136,3.144,5.597
189,2.178,2.362,9.924,1.556
190,1.864,1.536,3.315,1.458
191,2.984,2.567,1.536,3.954
192,3.025,2.162,3.452,2.003
193,3.5,10.101,1.737,5.955
194,1.912,3.376,1.394,3.791
195,1.391,2.314,4.203,2.733
196,2.135,1.456,2.035,1.005
197,1.304,2.765,3.18,2.307
198,2.664,0.802,3.217,3.76
199,2.774,3.925,4.342,4.907
200,4.132,1.846,12.746,2.004
201,12.671,4.38,1.522,1.709
202,1.43,5.181,1.122,0.959
203,0.942,6.605,0.726,1.384
204,2.256,1.102,6.087,5.23
205,4.29,1.112,3.818,4.085
206,3.253,1.163,4.312,2.658
207,2.808,3.449,1.974,4.244
208,2.078,5.106,1.864,2.149
209,1.414,4.124,3.403,1.343
210,2.62,2.335,1.319,4.758
211,1.547,1.287,4.113,6.207
212,2.537,1.7,1.87,0.952
213,3.248,1.181,1.329,2.084
214,7.795,12.211,1.175,7.968
215,0.846,4.835,4.129,8.847
216,2.247,2.143,2.776,3.005
217,1.64,1.127,6.302,2.065
218,4.967,1.161,3.234,0.709
219,3.943,1.52,1.561,0.762
220,4.125,2.873,1.768,1.896
221,1.184,3.28,3.055,4.101
222,1.474,2.858,3.66,3.104
223,2.632,2.305,2.131,1.706
224,1.338,2.487,2.575,0.738
225,6.111,1.585,2.915,0.967
226,2.729,1.966,2.478,1.607
227,5.827,4.699,2.369,4.973
228,2.482,3.113,1.923,3.478
229,1.233,3.01,6.012,3.195
230,2.616,1.937,5.155,2.191
231,4.404,1.071,2.22,1.54
232,2.832,2.71,2.725,1.13
233,3.843,6.953,3.547,2.621
234,2.006,2.826,1.126,3.307
235,2.144,1.444,2.032,2.362
236,2.21,1.522,4.485,2.574
237,3.52,1.614,4.691,3.059
238,1.585,3.106,3.443,1.948
239,2.219,4.134,3.051,2.432
240,1.649,2.246,1.141,2.698
241,5.076,1.803,1.937,2.005
242,2.011,1.857,1.755,1.377
243,1.801,1.408,2.346,2.948
244,4.392,1.659,2.685,5.8
245,1.473,4.586,3.141,2.631
246,2.629,2.245,2.887,2.472
247,2.224,2.899,3.579,2.838
248,3.776,2.541,1.642,1.55
249,11.899,2.194,1.709,1.965
250,2.961,2.568,3.143,3.149
251,1.373,1.47,2.679,2.99
252,2.532,3.907,1.746,8.208
253,2.11,1.214,3.101,1.386
254,2.477,4.263,5.593,2.499
255,3.101,2.877,3.62,1.304
256,2.659,2.403,2.309,3.753
257,1.635,7.087,4.363,3.992
258,2.816,2.821,2.149,2.148
259,2.534,0.568,2.18,5.379
260,1.519,2.238,3.897,1.857
261,2.253,17.62,5.072,1.026
262,1.801,2.867,1.154,1.318
263,1.164,2.212,1.223,2.295
264,3.119,2.241,1.46,3.845
265,3.139,1.039,1.684,3.335
266,1.387,1.31,2.206,1.787
267,2.199,2.619,3.539,2.747
268,4.512,2.707,4.059,3.044
269,1.964,5.798,4.507,1.888
270,2.907,1.587,2.261,4.733
271,6.536,1.254,2.012,2.126
272,2.064,1.718,1.415,1.083
273,0.997,1.345,2.859,1.494
274,2.743,3.412,5.052,3.488
275,1.689,6.055,2.035,4.6
276,3.399,2.089,3.471,3.297
277,1.886,1.513,2.337,2.14
278,2.63,1.588,1.532,3.71
279,2.692,1.631,2.793,1.917
280,2.762,5.365,4.549,1.133
281,3.809,6.635,2.24,3.08
282,2.426,1.866,2.912,3.647
283,1.581,1.559,3.523,2.844
284,2.502,2.208,2.775,2.359
285,2.363,2.025,0.975,0.584
286,6.001,3.367,1.669,0.982
287,3.9,5.739,2.63,4.078
288,2.678,2.351,1.99,3.118
289,2.194,2.35,2.531,2.926
290,1.624,1.77,5.524,2.634
291,1.825,2.55,2.234,1.443
292,5.243,4.664,1.786,1.787
293,1.714,5.736,0.891,1.698
294,4.018,1.438,1.879,2.058
295,1.731,1.061,1.575,3.415
296,1.864,1.155,4.558,2.174
297,2.157,2.002,3.045,3.251
298,2.596,1.928,3.302,3.079
299,3.245,7.923,3.437,2.556
300,2.225,2.391,2.24,2.981
301,2.12,1.388,1.99,2.111
302,1.551,1.33,1.624,1.815
303,3.263,2.287,6.447,1.264
304,4.542,2.463,4.147,2.763
305,23.962,5.226,1.713,2.645
306,1.035,1.976,3.238,1.91
307,1.38,4.604,1.427,2.695
308,0.984,2.628,4.185,2.975
309,1.155,1.659,2.134,2.1
310,3.501,3.226,3.753,1.74
311,9.301,5.072,8.925,5.633
312,1.366,2.326,2.374,1.383
313,1.147,2.867,1.791,1.493
314,1.126,2.096,0.904,2.302
315,1.783,3.006,2.191,2.142
316,2.721,1.72,1.858,1.396
317,4.022,3.074,2.181,1.821
318,3.412,2.517,3.056,4.445
319,2.244,2.337,3.372,9.437
320,1.908,2.646,3.022,3.619
321,2.132,3.396,5.847,3.133
322,2.371,2.764,1.428,2.968
323,8.411,4.606,1.558,1.741
324,2.136,4.336,0.692,2.077
325,2.949,1.071,2.033,7.25
326,5.16,7.292,2.659,3.594
327,2.131,1.599,4.506,2.372
328,4.036,2.019,2.02,3.847
329,4.411,2.169,1.436,4.353
330,2.311,4.754,2.063,1.704
331,3.66,1.758,1.757,1.209
332,2.605,1.523,2.671,0.848
333,2.35,1.977,4.22,1.571
334,1.089,2.273,18.352,1.91
335,3.464,1.634,1.898,4.556
336,2.274,4.414,2.853,3.895
337,1.722,4.375,2.866,3.964
338,3.537,2.556,1.725,4.333
339,3.569,1.98,1.824,1.448
340,4.396,2.53,3.757,0.579
341,3.18,1.911,16.972,1.113
342,2.091,1.703,1.506,2.328
343,1.434,3.691,2.954,2.203
344,1.464,1.749,2.751,3.374
345,3.093,2.109,1.947,3.5
346,4.336,1.764,1.181,2.791
347,2.249,1.218,1.933,1.235
348,4.091,2.994,6.963,2.459
349,1.173,10.501,1.433,1.696
350,1.491,4.158,2.15,4.366
351,1.917,2.048,3.729,3.119
352,2.73,1.943,1.345,3.116
353,5.726,1.04,2.95,0.882
354,1.588,1.778,1.448,2.257
355,1.946,2.514,0.922,1.563
356,1.02,1.696,1.457,2.95
357,2.283,3.126,4.194,2.569
358,2.021,10.065,5.852,6.475
359,5.337,1.501,2.493,5.487
360,7.914,2.897,6.583,5.851
361,1.963,2.516,1.837,0.856
362,1.874,2.407,0.972,0.992
363,1.276,2.608,0.991,1.534
364,5.114,6.47,14.616,2.089
365,2.673,3.603,1.523,5.769
366,6.478,1.905,4.354,5.709
367,1.219,5.107,3.418,5.132
368,1.807,0.772,2.449,0.931
369,1.518,1.747,1.495,0.805
370,17.628,2.859,7.703,1.39
371,1.03,2.167,2.57,3.77
372,1.878,2.249,3.341,2.458
373,1.87,2.232,3.465,3.354
374,2.66,3.234,4.292,1.592
375,1.988,2.752,3.352,1.059
376,3.245,1.921,2.153,1.495
377,2.627,32.5,1.32,3.585
378,2.212,1.954,1.911,3.82
379,1.477,4.887,2.126,3.805
380,1.521,3.981,5.301,4.634
381,3.927,2.274,4.048,2.232
382,1.513,1.781,2.074,0.791
383,10.308,3.13,1.623,0.879
384,4.78,7.437,3.874,1.358
385,1.546,3.695,1.862,2.666
386,2.037,1.112,2.636,3.203
387,2.347,1.976,1.701,3.549
388,3.279,1.382,1.986,3.985
389,0.919,1.777,2.883,1.041
390,2.231,3.133,3.989,2.26
391,2.525,4.246,2.685,1.857
392,1.377,1.838,1.829,1.126
393,3.416,2.246,4.231,1.993
394,2.899,1.598,2.859,3.225
395,2.506,1.774,2.478,3.892
396,1.404,2.421,2.423,2.48
397,2.512,8.213,2.995,3.283
398,2.773,2.57,2.639,1.436
399,1.802,1.013,2.671,1.44
