kbmemused,client01,client02,client03,client04
213,31780556.0,29469436.0,38883692.0,30095884.0
214,31759212.0,29470800.0,38883824.0,30097044.0
215,31748908.0,29471708.0,38882952.0,30096684.0
216,31749156.0,29471956.0,38882204.0,30097052.0
217,31746464.0,29472172.0,38882548.0,30096076.0
218,31745608.0,29472708.0,38882796.0,30096436.0
219,31745116.0,29462552.0,38885468.0,30096140.0
220,31780948.0,29456480.0,38886552.0,30095628.0
221,31749264.0,29458276.0,38901640.0,30095200.0
222,31745596.0,29458940.0,38901868.0,30093924.0
223,31744400.0,29460000.0,38901692.0,30096200.0
224,31741528.0,29461184.0,38901288.0,30094900.0
225,31741304.0,29462284.0,38901032.0,30095792.0
226,31765784.0,29462580.0,38901868.0,30095816.0
227,31778948.0,29462100.0,38901832.0,30095848.0
228,31777980.0,29463304.0,38900848.0,30094624.0
229,31744792.0,29461332.0,38901108.0,30094340.0
230,31743356.0,29459180.0,38900684.0,30094596.0
231,31742420.0,29458152.0,38892960.0,30094612.0
232,31739972.0,29457716.0,38894260.0,30094992.0
233,31740032.0,29458288.0,38896904.0,30106756.0
234,31773236.0,29459780.0,38898436.0,30108960.0
235,31773768.0,29460824.0,38902040.0,30109444.0
236,31776416.0,29461992.0,38904212.0,30108184.0
237,31741916.0,29462616.0,38904568.0,30107168.0
238,31740784.0,29463220.0,38904548.0,30106876.0
239,31738924.0,29469736.0,38905312.0,30106416.0
240,31737392.0,29470120.0,38905536.0,30106064.0
241,31736548.0,29470880.0,38907276.0,30105172.0
242,31762880.0,29471520.0,38910820.0,30106160.0
243,31762836.0,29473496.0,38912532.0,30106264.0
244,31734780.0,29474056.0,38913848.0,30105984.0
245,31734388.0,29474032.0,38914304.0,30104956.0
246,31733528.0,29473684.0,38916272.0,30104980.0
247,31732052.0,29473900.0,38917668.0,30105204.0
248,31730904.0,29474064.0,38918012.0,30104468.0
249,31767196.0,29487568.0,38919080.0,30104864.0
250,31767604.0,29488544.0,38920700.0,30105720.0
251,31768020.0,29488324.0,38927188.0,30106784.0
252,31735292.0,29488600.0,38926216.0,30106560.0
253,31734872.0,29489524.0,38926224.0,30109992.0
254,31733480.0,29489552.0,38925976.0,30110500.0
255,31731748.0,29490336.0,38926808.0,30110400.0
256,31731768.0,29490464.0,38927224.0,30109988.0
257,31769288.0,29491396.0,38928448.0,30110324.0
258,31766956.0,29492180.0,38928852.0,30110340.0
259,31741300.0,29491216.0,38929504.0,30110124.0
260,31737440.0,29486752.0,38929352.0,30110040.0
261,31737788.0,29488272.0,38931992.0,30110812.0
262,31736128.0,29489544.0,38932624.0,30107760.0
263,31734784.0,29490628.0,38932792.0,30111580.0
264,31761720.0,29492564.0,38933140.0,30112108.0
265,31768256.0,29492780.0,38935956.0,30111152.0
266,31768264.0,29494392.0,38935852.0,30111636.0
267,31737524.0,29495188.0,38936296.0,30112388.0
268,31737748.0,29495568.0,38935548.0,30112704.0
269,31738448.0,29498100.0,38935256.0,30112828.0
270,31735496.0,29495064.0,38934724.0,30112836.0
271,31734328.0,29496472.0,38947848.0,30112652.0
272,31760808.0,29498180.0,38949340.0,30114064.0
273,31771684.0,29499404.0,38949440.0,30115476.0
274,31734308.0,29500436.0,38950088.0,30116020.0
275,31734768.0,29500632.0,38947660.0,30115732.0
276,31733560.0,29500868.0,38947804.0,30115408.0
277,31731340.0,29501668.0,38947200.0,30115208.0
278,31730328.0,29503000.0,38947392.0,30114548.0
279,31764896.0,29518932.0,38947860.0,30115672.0
280,31763424.0,29519440.0,38949548.0,30116072.0
281,31746176.0,29520700.0,38949876.0,30116416.0
282,31728880.0,29520764.0,38947916.0,30115912.0
283,31728116.0,29521832.0,38948568.0,30123092.0
284,31726504.0,29522552.0,38948700.0,30123188.0
285,31724416.0,29522840.0,38948856.0,30123424.0
286,31722828.0,29523288.0,38950204.0,30124176.0
287,31763704.0,29525120.0,38949212.0,30123896.0
288,31731524.0,29525820.0,38949372.0,30123708.0
289,31729092.0,29533856.0,38949920.0,30123168.0
290,31728892.0,29529328.0,38948700.0,30123576.0
291,31727636.0,29530996.0,38952480.0,30120192.0
292,31726544.0,29533060.0,38952548.0,30121356.0
293,31747948.0,29534780.0,38954656.0,30121060.0
294,31764968.0,29536052.0,38954592.0,30121728.0
295,31764788.0,29537900.0,38954528.0,30121424.0
296,31731780.0,29538332.0,38954972.0,30122200.0
297,31731204.0,29538840.0,38955404.0,30122168.0
298,31730508.0,29539284.0,38955756.0,30122416.0
299,31727608.0,29556052.0,38956376.0,30122608.0
300,31726920.0,29556052.0,38955912.0,30122552.0
301,31747808.0,29557264.0,38956768.0,30124300.0
302,31760196.0,29557748.0,38956992.0,30125036.0
303,31745368.0,29557832.0,38956140.0,30125668.0
304,31729152.0,29558420.0,38955736.0,30125804.0
305,31729876.0,29558568.0,38955496.0,30125944.0
306,31729504.0,29557860.0,38955416.0,30124852.0
307,31727372.0,29557684.0,38955436.0,30125052.0
308,31729584.0,29558240.0,38955848.0,30123872.0
309,31770632.0,29556336.0,38955392.0,30125112.0
310,31762312.0,29552312.0,38957040.0,30125724.0
311,31736680.0,29554432.0,38962904.0,30126020.0
312,31732512.0,29554972.0,38963488.0,30124900.0
313,31732284.0,29555640.0,38962836.0,30096868.0
314,31731216.0,29555952.0,38962612.0,30095528.0
315,31730292.0,29556668.0,38963296.0,30096828.0
316,31747192.0,29557648.0,38965128.0,30098172.0
317,31768988.0,29558336.0,38965516.0,30099800.0
318,31736164.0,29560908.0,38966232.0,30101076.0
319,31733672.0,29561992.0,38966488.0,30100760.0
320,31733616.0,29562268.0,38965964.0,30102024.0
321,31731844.0,29562492.0,38965276.0,30101220.0
322,31731076.0,29562500.0,38965912.0,30100996.0
323,31752172.0,29563716.0,38966852.0,30102076.0
324,31769296.0,29563620.0,38967232.0,30102624.0
325,31766896.0,29564680.0,38966836.0,30103480.0
326,31737636.0,29564868.0,38967492.0,30103328.0
327,31735780.0,29564764.0,38967388.0,30104736.0
328,31734908.0,29564672.0,38966888.0,30102600.0
329,31731980.0,29569692.0,38966816.0,30103268.0
330,31739240.0,29569088.0,38966764.0,30103552.0
331,31761224.0,29570692.0,38968600.0,30106404.0
332,31780436.0,29571200.0,38968404.0,30107848.0
333,31744516.0,29572540.0,38969060.0,30108020.0
334,31742784.0,29572992.0,38968908.0,30108368.0
335,31741040.0,29572500.0,38967960.0,30109000.0
336,31739468.0,29572688.0,38967900.0,30107756.0
337,31737164.0,29568952.0,38968556.0,30108504.0
338,31770944.0,29569056.0,38968264.0,30111540.0
339,31775480.0,29568820.0,38967936.0,30111476.0
340,31771728.0,29569080.0,38968180.0,30111776.0
341,31748340.0,29568864.0,38970612.0,30111780.0
342,31746448.0,29568656.0,38971032.0,30111564.0
343,31745260.0,29568668.0,38970432.0,30111352.0
344,31744404.0,29568796.0,38970172.0,30111316.0
345,31744100.0,29569060.0,38972376.0,30110672.0
346,31778564.0,29567460.0,38972636.0,30113004.0
347,31764968.0,29567692.0,38972520.0,30113384.0
348,31748728.0,29567976.0,38972568.0,30113068.0
349,31748788.0,29571792.0,38971552.0,30112296.0
350,31754664.0,29571400.0,38971348.0,30112644.0
351,31751520.0,29571708.0,38971440.0,30112288.0
352,31751372.0,29572248.0,38972388.0,30112208.0
353,31779872.0,29571656.0,38973496.0,30112716.0
354,31785176.0,29571992.0,38973916.0,30112752.0
355,31751780.0,29571892.0,38973836.0,30114112.0
356,31752104.0,29572928.0,38973440.0,30112728.0
357,31752476.0,29573412.0,38973828.0,30111388.0
358,31749892.0,29573556.0,38973996.0,30111724.0
359,31749136.0,29577832.0,38973720.0,30111200.0
360,31782100.0,29577296.0,38975372.0,30112360.0
361,31790684.0,29576764.0,38976472.0,30112980.0
362,31793792.0,29576964.0,38976564.0,30113124.0
363,31761680.0,29577500.0,38975872.0,30112580.0
364,31761348.0,29577444.0,38976356.0,30112048.0
365,31761360.0,29577040.0,38976128.0,30113292.0
366,31760612.0,29576452.0,38975600.0,30112904.0
367,31759340.0,29575960.0,38975488.0,30112388.0
368,31789112.0,29576700.0,38976148.0,30113916.0
369,31791840.0,29576636.0,38976108.0,30113028.0
370,31801384.0,29576872.0,38976340.0,30113492.0
371,31768064.0,29576676.0,38976220.0,30113272.0
372,31767204.0,29576952.0,38975280.0,30113184.0
373,31767192.0,29576728.0,38974644.0,30113920.0
374,31766444.0,29575952.0,38974620.0,30114956.0
375,31764724.0,29575124.0,38973780.0,30114608.0
376,31787172.0,29575228.0,38973120.0,30116476.0
377,31798148.0,29578944.0,38973924.0,30116240.0
378,31800416.0,29578520.0,38974884.0,30116928.0
379,31773944.0,29581112.0,38973876.0,30117100.0
380,31776176.0,29580480.0,38974092.0,30117576.0
381,31779176.0,29579924.0,38973900.0,30117928.0
382,31778848.0,29579968.0,38973652.0,30118392.0
383,31777252.0,29579208.0,38973580.0,30117704.0
384,31778728.0,29580088.0,38972744.0,30118132.0
385,31809600.0,29578968.0,38973040.0,30118924.0
386,31811076.0,29578284.0,38973640.0,30119552.0
387,31815596.0,29558776.0,38973304.0,30120204.0
388,31779700.0,29554920.0,38972588.0,30118868.0
389,31777328.0,29555784.0,38971856.0,30118196.0
390,31774792.0,29557008.0,38971980.0,30117788.0
391,31780640.0,29558364.0,38971412.0,30117048.0
392,31777620.0,29555648.0,38972596.0,30116384.0
393,31810756.0,29556120.0,38972572.0,30117980.0
394,31791456.0,29557168.0,38972512.0,30118608.0
395,31780960.0,29558440.0,38972772.0,30118156.0
396,31779632.0,29557840.0,38972568.0,30117284.0
397,31776788.0,29557984.0,38972004.0,30115872.0
398,31774592.0,29558500.0,38971460.0,30118136.0
399,31773272.0,29560280.0,38972248.0,30119144.0
