%idle,client01,client02,client03,client04
110,93.68,96.72,74.88,65.99
111,70.71,75.09,96.95,96.75
112,98.42,97.49,96.07,97.45
113,98.22,96.77,95.76,95.94
114,97.73,96.05,97.02,95.46
115,89.61,93.68,96.52,97.12
116,98.24,96.02,88.56,91.03
117,88.41,97.63,35.85,42.42
118,84.08,96.43,52.88,47.81
119,96.23,79.46,97.12,88.01
120,93.64,92.8,97.35,96.92
121,98.24,93.29,95.77,96.92
122,98.11,96.58,96.87,95.62
123,98.02,97.2,95.39,96.52
124,98.27,96.58,91.0,96.04
125,87.48,95.98,75.71,67.07
126,75.3,73.83,95.87,96.24
127,97.92,96.04,95.89,96.12
128,97.84,97.27,92.91,95.94
129,98.24,97.05,64.33,96.34
130,85.66,93.72,72.42,97.27
131,96.48,93.6,61.5,87.46
132,89.42,96.28,76.15,35.33
133,81.26,89.05,96.85,49.49
134,96.79,84.92,96.42,87.44
135,84.58,92.24,96.92,96.34
136,95.13,89.34,96.94,96.67
137,98.17,95.18,96.37,97.04
138,98.12,97.18,97.27,96.44
139,97.66,97.94,73.13,69.07
140,59.17,75.06,96.7,94.81
141,94.83,90.77,96.32,96.82
142,98.12,95.77,96.85,95.89
143,98.09,97.41,97.07,96.82
144,98.59,97.53,96.8,96.92
145,85.87,95.37,90.63,96.92
146,90.43,96.71,22.13,69.8
147,75.76,93.82,49.3,94.89
148,97.24,79.8,96.77,96.47
149,97.81,96.92,96.42,96.67
150,88.26,93.99,96.39,96.39
151,97.79,93.96,96.92,95.97
152,98.25,97.48,96.27,90.41
153,98.24,96.85,96.02,85.44
154,92.95,97.09,76.56,38.52
155,72.59,86.03,96.9,47.05
156,97.04,85.25,95.79,82.13
157,98.02,95.98,96.12,95.46
158,97.59,96.92,96.29,96.12
159,98.04,97.04,95.77,96.09
160,96.52,95.14,95.99,95.51
161,96.74,95.26,79.61,60.52
162,77.06,96.09,44.41,57.83
163,94.32,89.63,64.47,60.56
164,97.38,85.36,96.49,86.39
165,86.85,95.51,96.82,48.87
166,97.08,93.58,97.12,90.88
167,98.24,94.41,96.8,97.09
168,98.41,97.48,96.57,96.8
169,97.99,97.03,63.15,80.61
170,63.19,95.46,29.85,84.45
171,94.04,80.64,78.81,96.79
172,97.56,85.75,96.02,96.49
173,97.91,96.69,96.9,96.32
174,98.17,97.21,96.75,96.84
175,88.05,95.53,96.57,96.77
176,97.97,92.8,97.02,96.89
177,97.16,95.54,46.3,70.75
178,70.2,96.7,31.62,94.44
179,97.25,86.54,94.19,96.64
180,84.64,85.52,96.9,95.69
181,96.6,94.26,97.1,96.82
182,98.42,96.55,96.44,97.1
183,98.27,96.82,97.0,95.82
184,98.19,97.54,95.87,97.0
185,95.3,96.37,73.36,66.09
186,68.32,72.37,96.65,94.86
187,97.84,96.58,97.15,97.07
188,98.57,97.19,96.37,97.05
189,98.3,96.67,95.87,95.84
190,92.87,95.69,95.54,96.17
191,97.61,94.59,86.13,95.69
192,83.85,97.16,78.97,70.24
193,81.84,73.77,95.01,96.17
194,97.81,95.56,95.29,95.36
195,93.64,95.1,97.22,95.97
196,98.44,95.29,97.15,97.04
197,98.6,96.83,96.75,69.93
198,98.19,97.36,82.29,51.56
199,82.33,97.12,84.16,66.62
200,75.06,73.88,89.8,96.37
201,97.56,93.9,75.66,96.4
202,98.32,94.13,86.53,97.2
203,98.37,97.46,83.66,97.37
204,98.37,97.34,61.75,96.97
205,88.14,95.12,75.44,75.49
206,66.46,86.82,96.62,87.66
207,96.45,80.71,96.59,96.04
208,98.56,96.96,96.85,97.04
209,98.5,97.3,97.52,96.74
210,87.74,95.51,95.82,97.32
211,97.57,91.84,96.57,95.82
212,96.68,95.44,75.76,53.92
213,74.28,94.03,95.99,65.31
214,96.96,80.35,96.82,72.01
215,90.46,96.25,95.09,96.74
216,97.71,93.94,96.29,94.84
217,97.74,96.39,96.75,96.54
218,98.44,97.36,97.35,96.82
219,98.44,97.84,74.04,86.23
220,68.71,94.46,94.16,80.01
221,94.78,74.86,95.69,95.56
222,97.94,95.56,95.36,95.67
223,97.66,96.24,97.5,95.64
224,98.55,97.81,95.97,97.22
225,91.44,95.99,95.77,96.19
226,97.11,97.04,37.14,68.01
227,70.68,97.15,41.94,95.62
228,97.26,80.3,96.89,96.27
229,97.71,92.89,96.64,96.97
230,93.21,96.29,96.92,83.38
231,98.06,95.14,97.17,70.1
232,98.37,97.07,97.02,91.69
233,98.39,97.03,95.19,96.95
234,94.99,97.3,27.12,69.53
235,57.78,93.09,40.73,94.84
236,96.28,80.87,94.9,96.75
237,97.81,93.51,95.84,97.42
238,98.01,96.07,96.89,94.54
239,97.94,97.28,96.77,96.62
240,87.81,96.19,96.97,96.52
241,97.59,94.42,95.34,97.12
242,96.5,94.62,74.82,67.83
243,68.6,75.18,95.87,97.17
244,97.92,96.49,96.69,96.12
245,91.65,96.98,95.01,96.87
246,97.49,94.13,95.94,94.81
247,97.49,95.87,97.55,96.17
248,98.42,97.72,95.99,95.82
249,88.79,96.78,42.93,42.38
250,71.74,96.19,40.32,46.69
251,96.55,80.78,95.79,88.39
252,97.19,91.25,97.65,96.17
253,98.47,97.79,96.22,97.45
254,98.37,96.51,96.59,96.22
255,97.03,96.46,97.27,96.14
256,98.32,96.81,95.84,97.15
257,95.72,97.1,73.59,67.51
258,69.27,73.68,96.49,96.29
259,98.17,96.8,97.35,96.74
260,92.4,97.43,97.17,97.3
261,98.4,95.52,95.74,97.17
262,98.14,95.81,97.17,95.99
263,98.45,97.56,95.34,93.74
264,87.98,96.74,51.58,35.99
265,78.54,97.21,38.39,49.9
266,96.95,85.84,95.34,89.24
267,97.31,87.09,96.42,96.79
268,98.1,97.18,97.1,95.94
269,98.41,97.41,96.85,96.47
270,95.3,97.0,96.39,96.75
271,98.39,95.73,95.89,96.29
272,96.59,96.26,74.68,65.87
273,68.27,73.68,96.77,96.27
274,97.56,97.16,80.28,97.17
275,86.69,96.96,76.04,96.77
276,96.12,94.4,96.29,89.46
277,98.02,94.73,96.47,66.24
278,98.17,96.84,77.05,73.82
279,80.86,97.21,26.96,69.65
280,78.46,91.51,62.37,97.1
281,96.7,80.64,96.09,96.42
282,97.66,96.08,96.72,95.69
283,98.52,96.98,96.12,96.62
284,98.14,96.95,96.6,95.76
285,88.52,97.23,97.15,96.64
286,98.4,97.23,72.47,80.25
287,69.11,92.28,96.09,82.2
288,95.77,77.33,68.83,96.42
289,97.92,96.41,76.07,71.08
290,89.19,96.38,96.17,66.5
291,96.99,96.08,96.77,93.86
292,98.54,97.43,96.47,97.3
293,97.25,97.38,44.63,69.68
294,69.62,92.93,40.27,96.02
295,90.55,81.36,88.8,97.55
296,97.78,94.96,96.54,95.26
297,98.07,96.7,96.64,95.89
298,98.07,97.04,95.99,95.82
299,98.27,96.24,96.62,95.39
300,96.43,97.6,97.07,96.75
301,97.06,97.11,80.89,55.78
302,75.28,97.33,93.94,51.68
303,96.16,76.9,95.19,65.72
304,97.91,95.83,96.17,95.19
305,90.46,96.61,96.67,95.99
306,97.84,95.49,95.11,96.69
307,97.96,95.08,96.9,95.51
308,97.89,97.05,73.37,87.12
309,70.5,95.37,44.17,78.72
310,81.86,79.0,76.33,97.72
311,95.4,94.8,94.66,95.91
312,98.14,93.8,96.57,94.64
313,97.99,96.65,94.84,96.64
314,98.26,96.17,96.67,94.91
315,91.14,97.0,95.79,96.75
316,97.61,95.09,72.64,73.27
317,68.9,85.48,97.32,91.24
318,97.14,84.89,95.92,97.42
319,98.29,96.92,96.42,96.07
320,93.67,97.3,96.32,96.04
321,98.06,96.4,96.32,96.32
322,98.49,96.03,96.44,90.01
323,97.29,96.5,61.85,47.15
324,75.11,97.66,33.78,75.89
325,92.11,84.65,84.3,97.52
326,97.04,88.27,96.47,96.29
327,98.29,96.24,96.59,96.42
328,98.27,96.98,96.24,96.69
329,98.16,96.85,96.54,96.27
330,97.09,97.15,95.66,96.59
331,96.35,96.09,69.22,67.62
332,68.16,75.15,97.1,94.84
333,97.41,94.57,96.74,97.45
334,98.2,97.18,94.48,96.7
335,92.21,95.87,96.67,94.81
336,97.79,96.03,96.57,96.37
337,98.32,95.91,93.03,96.77
338,93.77,96.54,35.34,66.58
339,72.7,88.15,46.65,96.75
340,89.25,86.41,96.7,97.27
341,97.24,95.41,96.59,96.39
342,98.29,94.25,96.74,96.84
343,98.16,96.31,94.74,96.54
344,97.84,95.39,96.12,94.31
345,91.3,96.95,88.48,96.34
346,84.89,95.23,80.65,66.76
347,78.09,71.68,97.22,96.97
348,98.37,96.68,97.25,97.32
349,98.6,97.69,96.54,97.27
350,88.98,97.01,94.99,96.44
351,96.53,93.87,96.32,94.86
352,97.94,94.68,93.92,81.63
353,87.45,97.63,78.77,38.67
354,83.34,75.09,95.64,51.23
355,94.75,96.25,79.9,91.99
356,97.37,95.59,70.1,96.72
357,98.44,95.9,97.1,96.97
358,98.4,97.76,97.27,96.54
359,98.5,97.74,95.26,97.57
360,95.25,96.53,31.56,68.48
361,67.4,95.74,35.02,95.26
362,97.49,82.2,95.92,97.6
363,97.49,92.14,97.35,97.27
364,98.5,97.51,96.32,97.32
365,93.28,97.5,97.3,89.39
366,97.92,95.92,94.98,48.9
367,97.99,95.99,95.77,79.6
368,95.6,96.98,25.34,69.05
369,71.61,97.81,43.12,97.2
370,89.41,80.36,95.54,96.12
371,95.87,91.28,94.79,95.79
372,97.56,94.15,95.51,94.76
373,97.99,96.23,96.97,95.69
374,98.42,97.51,96.64,97.15
375,95.46,97.23,95.69,92.39
376,96.0,95.02,75.16,33.69
377,80.65,96.29,32.23,63.92
378,90.87,87.28,67.93,97.35
379,97.46,87.2,96.39,97.35
380,86.33,96.9,95.69,96.22
381,95.78,93.45,97.4,96.07
382,98.54,93.52,96.95,97.4
383,98.37,96.33,97.45,96.95
384,98.45,97.69,85.2,63.0
385,74.13,95.74,35.66,50.93
386,88.92,93.1,59.86,70.58
387,96.88,75.69,96.14,97.42
388,98.07,96.29,97.5,96.44
389,98.22,97.26,93.94,97.07
390,92.11,96.34,83.62,96.22
391,97.56,95.35,96.47,96.27
392,98.37,95.82,84.26,95.72
393,83.66,97.0,87.09,66.22
394,83.0,73.32,95.87,96.37
395,89.63,96.76,97.2,95.87
396,97.44,95.48,95.92,97.25
397,98.49,94.92,96.37,96.04
398,98.07,96.3,97.15,72.53
399,98.57,97.63,78.58,48.12
