wMB/s,aceph01,aceph02,aceph03,aceph04
74,0.228,0.183,0.202,0.175
75,0.024,0.026,0.019,0.014
76,0.493,0.418,0.425,0.323
77,0.262,0.313,0.285,0.56
78,0.783,0.892,0.747,1.159
79,0.465,0.484,0.639,0.429
80,0.137,0.195,0.303,0.163
81,0.409,0.512,0.524,0.515
82,0.223,0.254,0.245,0.369
83,0.473,0.255,0.342,0.345
84,0.49,0.237,0.323,0.264
85,0.249,0.228,0.22,0.15
86,0.617,0.614,0.858,0.822
87,0.346,0.341,0.294,0.252
88,0.715,0.854,0.643,0.587
89,0.307,0.299,0.356,0.386
90,0.868,0.73,0.713,0.78
91,0.208,0.184,0.148,0.141
92,0.533,0.571,0.475,0.762
93,0.795,0.552,0.708,0.665
94,0.591,0.824,0.774,0.677
95,0.652,0.796,0.644,0.604
96,0.655,0.695,0.715,0.619
97,0.147,0.157,0.16,0.249
98,0.261,0.199,0.222,0.285
99,1.07,0.985,1.13,0.91
100,0.399,0.384,0.603,0.398
101,0.742,0.594,0.66,0.586
102,1.31,1.606,1.468,1.138
103,0.05,0.062,0.037,0.034
104,0.011,0.011,0.006,0.007
105,0.056,0.067,0.091,0.117
106,1.548,1.341,1.368,1.571
107,0.449,0.309,0.372,0.427
108,0.118,0.186,0.134,0.144
109,0.571,0.638,0.894,0.778
110,0.25,0.257,0.35,0.319
111,0.043,0.156,0.098,0.061
112,0.114,0.171,0.104,0.118
113,0.555,0.542,0.57,0.723
114,1.355,0.959,0.877,0.965
115,0.281,0.167,0.356,0.202
116,0.3,0.414,0.427,0.366
117,0.115,0.107,0.096,0.234
118,0.236,0.389,0.338,0.291
119,0.778,0.673,0.65,0.616
120,0.51,0.248,0.311,0.359
121,0.324,0.291,0.435,0.325
122,0.705,0.907,0.749,0.78
123,0.457,0.492,0.398,0.532
124,0.755,0.688,0.74,0.592
125,0.43,0.582,0.434,0.368
126,0.535,0.604,0.705,0.497
127,0.675,0.515,0.499,0.859
128,0.503,0.537,0.592,0.692
129,0.476,0.475,0.484,0.388
130,0.198,0.12,0.157,0.11
131,0.848,0.93,1.144,0.798
132,0.562,0.518,0.463,0.37
133,0.755,0.908,0.801,0.756
134,0.277,0.225,0.225,0.188
135,0.811,0.662,0.59,0.772
136,0.386,0.305,0.379,0.495
137,0.125,0.129,0.204,0.196
138,0.472,0.573,0.468,0.546
139,0.035,0.054,0.037,0.034
140,1.001,1.187,1.244,1.299
141,0.2,0.255,0.417,0.249
142,0.667,0.397,0.552,0.409
143,0.513,0.276,0.402,0.305
144,0.11,0.086,0.173,0.246
145,0.226,0.332,0.252,0.261
146,0.113,0.072,0.11,0.109
147,1.161,1.085,1.207,1.383
148,0.614,0.357,0.43,0.438
149,0.32,0.486,0.301,0.324
150,0.619,0.782,0.518,0.478
151,0.629,0.426,0.46,0.694
152,0.136,0.106,0.264,0.132
153,0.645,0.669,0.529,0.655
154,0.529,0.651,0.553,0.582
155,0.187,0.297,0.148,0.174
156,0.246,0.164,0.186,0.155
157,0.602,0.673,0.833,0.575
158,0.85,0.878,1.063,0.938
159,0.83,0.626,0.552,0.512
160,0.693,0.793,0.879,0.988
161,0.492,0.645,0.807,0.59
162,1.196,1.038,1.092,0.906
163,0.422,0.565,0.375,0.341
164,0.34,0.389,0.273,0.582
165,0.496,0.372,0.325,0.425
166,0.365,0.338,0.284,0.452
167,0.418,0.408,0.364,0.535
168,0.273,0.31,0.401,0.262
169,0.412,0.427,0.58,0.419
170,0.307,0.293,0.313,0.298
171,0.475,0.368,0.421,0.344
172,0.316,0.36,0.295,0.28
173,0.759,0.822,0.814,0.672
174,0.338,0.218,0.279,0.302
175,0.323,0.378,0.364,0.647
176,0.265,0.289,0.338,0.318
177,0.337,0.308,0.502,0.35
178,0.664,0.507,0.642,0.455
179,0.628,0.435,0.489,0.5
180,0.62,0.799,0.556,0.612
181,0.34,0.338,0.415,0.439
182,0.144,0.114,0.155,0.126
183,0.587,0.605,0.509,0.763
184,0.301,0.269,0.214,0.272
185,0.621,0.803,0.748,0.741
186,0.699,0.943,0.968,0.747
187,0.275,0.225,0.272,0.266
188,0.249,0.172,0.162,0.231
189,0.405,0.344,0.601,0.444
190,0.47,0.578,0.65,0.573
191,1.331,1.009,1.06,0.93
192,0.035,0.066,0.032,0.032
193,0.264,0.397,0.376,0.266
194,1.111,1.307,0.929,1.222
195,0.858,0.686,0.755,0.811
196,0.199,0.272,0.171,0.199
197,0.068,0.071,0.153,0.1
198,0.437,0.379,0.431,0.392
199,0.436,0.487,0.577,0.613
200,0.735,0.652,0.749,0.589
201,0.415,0.758,0.547,0.381
202,0.315,0.276,0.374,0.247
203,0.268,0.221,0.146,0.143
204,0.1,0.096,0.102,0.178
205,1.002,0.653,0.717,0.979
206,0.171,0.14,0.191,0.263
207,0.616,0.457,0.529,0.588
208,0.504,0.553,0.546,0.425
209,0.257,0.194,0.414,0.334
210,0.086,0.058,0.051,0.082
211,0.65,0.661,0.565,0.751
212,0.537,0.68,0.435,0.46
213,0.124,0.118,0.097,0.19
214,0.086,0.068,0.086,0.136
215,0.233,0.29,0.372,0.261
216,1.184,1.313,1.061,0.99
217,0.656,0.637,0.714,0.693
218,0.267,0.339,0.308,0.283
219,0.025,0.037,0.018,0.016
220,0.601,0.491,0.58,0.501
221,0.667,0.544,0.717,0.771
222,0.848,1.013,0.986,0.752
223,0.958,1.089,1.21,0.87
224,0.013,0.015,0.011,0.05
225,0.688,0.571,0.595,0.541
226,0.067,0.067,0.1,0.062
227,0.426,0.432,0.386,0.601
228,0.55,0.598,0.576,0.908
229,0.08,0.104,0.186,0.105
230,0.682,0.497,0.457,0.555
231,0.512,0.499,0.775,0.454
232,0.049,0.028,0.046,0.038
233,0.485,0.336,0.372,0.383
234,0.331,0.431,0.379,0.475
235,1.088,1.206,0.976,1.116
236,0.351,0.303,0.299,0.247
237,0.246,0.235,0.238,0.267
238,0.958,0.731,0.937,0.997
239,0.576,0.405,0.299,0.465
240,0.47,0.457,0.586,0.45
241,0.229,0.149,0.258,0.208
242,0.846,0.94,0.85,0.73
243,0.126,0.146,0.09,0.124
244,0.492,0.552,0.42,0.726
245,0.335,0.239,0.384,0.282
246,1.149,1.348,1.345,1.083
247,0.606,0.782,0.754,0.855
248,0.007,0.013,0.004,0.007
249,0.429,0.305,0.415,0.358
250,1.024,0.824,0.97,1.069
251,0.478,0.729,0.619,0.515
252,0.906,0.814,0.974,0.725
253,0.015,0.013,0.005,0.007
254,0.667,0.779,0.685,0.527
255,0.596,0.608,0.55,0.504
256,0.215,0.207,0.196,0.161
257,0.379,0.419,0.341,0.563
258,0.41,0.417,0.472,0.48
259,0.407,0.238,0.243,0.256
260,0.222,0.276,0.229,0.152
261,0.192,0.224,0.32,0.165
262,0.596,0.683,0.765,0.895
263,0.235,0.363,0.27,0.27
264,0.584,0.376,0.464,0.566
265,0.376,0.345,0.295,0.289
266,0.67,0.544,0.59,0.844
267,0.296,0.471,0.359,0.336
268,0.403,0.526,0.797,0.506
269,0.224,0.253,0.231,0.316
270,0.443,0.281,0.323,0.358
271,0.631,0.449,0.463,0.556
272,0.781,0.814,0.668,0.696
273,0.348,0.433,0.295,0.312
274,0.317,0.296,0.224,0.435
275,0.192,0.214,0.322,0.21
276,0.898,1.194,1.329,0.876
277,0.601,0.552,0.444,0.683
278,0.625,0.48,0.434,0.614
279,0.442,0.423,0.497,0.475
280,0.062,0.044,0.037,0.076
281,0.534,0.397,0.585,0.496
282,1.043,1.016,0.928,0.781
283,0.241,0.201,0.322,0.185
284,0.714,1.048,0.844,0.742
285,0.421,0.284,0.248,0.219
286,0.181,0.205,0.243,0.179
287,0.73,0.659,0.607,0.869
288,0.422,0.398,0.325,0.474
289,0.558,0.66,0.719,0.52
290,0.482,0.545,0.799,0.479
291,0.616,0.831,0.877,0.972
292,0.121,0.175,0.195,0.228
293,0.186,0.125,0.165,0.149
294,0.86,0.675,0.652,0.635
295,0.277,0.242,0.201,0.245
296,1.082,0.85,0.792,0.997
297,0.302,0.272,0.414,0.392
298,0.466,0.472,0.523,0.58
299,0.856,0.757,0.807,0.774
300,0.591,0.465,0.46,0.512
301,0.169,0.248,0.172,0.202
302,0.273,0.254,0.227,0.452
303,0.17,0.249,0.163,0.18
304,0.877,1.118,1.132,0.893
305,0.781,0.669,0.643,0.644
306,0.307,0.4,0.303,0.271
307,0.972,0.975,1.21,0.871
308,0.288,0.306,0.256,0.549
309,0.253,0.285,0.312,0.24
310,0.012,0.021,0.017,0.018
311,0.751,0.517,0.643,0.465
312,0.962,1.005,1.283,1.065
313,0.564,0.77,0.617,0.572
314,1.212,0.938,0.997,1.167
315,0.595,0.714,0.489,0.474
316,0.481,0.422,0.649,0.594
317,0.44,0.463,0.468,0.612
318,0.0,0.0,0.0,0.0
319,0.503,0.538,0.766,0.733
320,0.292,0.598,0.372,0.353
321,0.269,0.395,0.466,0.325
322,0.697,0.482,0.609,0.598
323,0.392,0.32,0.374,0.358
324,0.103,0.153,0.097,0.14
325,0.096,0.171,0.155,0.22
326,0.571,0.278,0.408,0.411
327,0.603,0.577,0.504,0.567
328,0.616,0.352,0.455,0.446
329,0.6,0.532,0.465,0.603
330,0.329,0.378,0.479,0.301
331,0.716,0.957,0.726,0.664
332,1.225,0.941,1.063,1.219
333,0.238,0.284,0.193,0.212
334,0.235,0.297,0.381,0.242
335,1.24,1.474,1.443,1.435
336,0.416,0.587,0.553,0.44
337,0.318,0.322,0.279,0.332
338,0.945,0.761,0.781,0.719
339,0.232,0.146,0.13,0.168
340,0.241,0.238,0.296,0.314
341,0.285,0.399,0.337,0.386
342,0.24,0.185,0.241,0.166
343,0.563,0.493,0.427,0.53
344,1.302,1.305,1.238,1.112
345,0.598,0.66,0.592,0.702
346,0.369,0.433,0.27,0.459
347,0.167,0.093,0.083,0.133
348,0.16,0.112,0.155,0.115
349,0.13,0.127,0.185,0.162
350,0.534,0.458,0.737,0.455
351,0.926,0.99,1.162,1.013
352,0.739,0.536,0.634,0.508
353,0.123,0.069,0.079,0.062
354,0.537,0.771,0.598,0.752
355,0.679,0.575,0.534,0.71
356,0.507,0.452,0.621,0.603
357,0.424,0.255,0.313,0.318
358,0.314,0.138,0.172,0.162
359,0.058,0.066,0.037,0.045
360,0.689,0.979,0.839,0.647
361,1.07,1.037,0.952,1.285
362,0.044,0.052,0.049,0.051
363,0.159,0.145,0.209,0.182
364,0.136,0.113,0.185,0.132
365,0.382,0.454,0.365,0.353
366,0.192,0.201,0.1,0.147
367,0.9,1.094,1.044,0.853
368,0.402,0.421,0.391,0.502
369,0.073,0.03,0.015,0.045
370,0.704,0.608,0.779,0.618
371,0.742,0.651,0.739,0.721
372,1.303,1.237,1.313,1.465
373,0.971,1.024,1.166,0.835
374,0.227,0.156,0.191,0.155
375,0.403,0.627,0.39,0.372
376,0.951,0.814,0.717,1.0
377,0.529,0.495,0.721,0.487
378,0.153,0.188,0.22,0.155
379,0.277,0.228,0.174,0.182
380,0.381,0.361,0.366,0.687
381,0.822,0.926,1.22,0.901
382,0.075,0.051,0.061,0.05
383,0.408,0.232,0.304,0.226
384,0.125,0.049,0.074,0.083
385,0.994,0.694,0.941,1.055
386,0.929,1.211,0.906,1.002
387,0.2,0.278,0.219,0.215
388,0.65,0.491,0.725,0.551
389,0.304,0.263,0.233,0.262
390,0.571,0.81,0.518,0.672
391,0.79,0.677,0.527,0.777
392,0.314,0.241,0.528,0.371
393,0.427,0.423,0.473,0.435
394,0.442,0.474,0.545,0.482
395,0.597,0.952,0.528,0.553
396,0.034,0.058,0.042,0.044
397,0.637,0.541,0.623,0.502
398,0.64,0.678,0.832,0.573
399,0.239,0.239,0.254,0.299
