subop_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0,0.772,0.001,0.004,0.003,0.005,0.004,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0,0.002,0.002
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.004,0.004,0.005,0.004,0.003,0.005,0.003,0.004,0,0.007,0.004,0.008,0.008,0.005,0.037,0.008,0.008,0.003,0.006,0.011,0.006,0.002,0.005,0.005,0.003,0.002,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.005,0.004,0.006,0.003,7.573,0.008,0.003
16,0,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0,0.395,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0,0.002,0.001,0.002,0.003,0.575,0.001,0.002,3.742,0,0.002
17,0,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0,0.002,0.002,0.002,0.002,0,0.003,0.002,0.001,0.003,0.002,0.001,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,1.338,0.001,0.001,0.001,0.002,0,0.001,0.002,0.001,2.163,0.001
18,0,0.003,0.003,0.003,0.003,0.003,0.002,0.003,5.88,0.004,0.002,0.002,0.002,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0.002,0.002,0,0,0.002,0.002,0.002,0,0.002
19,0,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.002,2.855,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0,0.001
20,4.843,0.002,0.002,0.002,0.002,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0,0.002,0.002,0.002,0,0,0.002,0.002,0.002,3.488,0.001
21,0,0.002,0.003,0.002,0.002,0.887,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0,0.002,0.002,0.001,0.014,0.002,0.002,1.753,0.001,0.002,0.002,1.579,0,0.001,0.001,0.001,0,0.001
22,3.974,0.002,0.002,0.002,0.002,0.064,0.002,0.002,0.002,0.003,0.001,0.001,0.001,0,0.002,0.001,0.001,0.001,0,0.001,0.003,0.002,0.846,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.002,5.025,0.002,0.001,0.002,0.187,0.002
23,0.005,0.003,0.003,0.002,0.003,0.001,0.002,0.002,0.002,0.061,0.202,0.002,0.002,2.375,0,0.003,0.002,0.002,0,0.002,0.002,0.001,0.761,0.003,0.002,0.001,1.498,0.002,0.002,0.599,0.001,0.001,0.002,0.002,2.612,0,0.002,0.002,0.002,0
24,0.002,0.004,0.004,0.003,0.002,0.695,0,0.003,0.003,0.004,0.001,0.002,0.001,0.002,0,0.002,0.001,0.002,0,0.001,0.001,0.002,0,0.002,0.002,0.001,1.059,0.001,0.003,0.37,0.001,0.001,0.001,0.002,0.002,0,0.002,0.001,0.002,1.665
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.002,0.002,0.002,0.003,0.002,0.003,0,0.002,0.002,0.004,0.002,0.002,0.003,0.002,0,0.003,0.002,0.002,2.115,0.002,0.003,0.002,2.396,0.003,0.003,0.003,0.911,0.003,0.003,0.002,0.002,0.002,0.002,0.004,0.002,0,0.002,0.005,0.008,2.112
27,0,0,0.001,0.004,0.002,0.005,0,0.002,0.002,0.004,0.001,0,0.003,0.002,0,0.001,0.002,0.002,0.002,0,0.002,0.002,0.618,0.001,0.002,0.003,0.05,0.019,0.003,0.004,0.001,0.002,0.001,0.002,0.002,0,0.002,0.002,0.004,0.002
28,0.004,0.612,0.003,0.003,0.003,0.003,2.556,0.003,0.003,0.003,0.001,0,0.001,0.001,0,0.002,0.001,0.001,0.001,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,1.056,0.002,0.002,0.002,0.002,0.002,0.002,0.002,6.507,0.002,0.002,0.002,0.001
29,0.003,0.003,0,0.003,0.002,0.004,0.002,0.002,0.003,0.003,0.002,0,0.002,0.002,5.631,0.001,0.001,0.001,0.002,0,0.002,0.002,0.003,0.004,0.003,0.002,0.002,0.437,0.003,0.003,0.002,0.002,0.003,0.003,0.003,3.334,0.002,0.003,0.003,0.003
30,0.002,0.002,0,0.003,0.002,0.003,0.002,0.003,0.002,0.004,0.002,0,0.002,0.002,2.905,0,0.002,0.002,0.002,0,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001
31,0,0.001,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0.001,0,0.001,0.002,0.002,0,0,0,0,0,0.001,0,0.001,0
32,0.002,0.002,0,0.002,0.002,0.002,0.001,0.002,0.002,0.005,0.002,0,0.002,0.002,0.002,2.017,0.002,0.002,0.002,0,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0,0.002,0.002,0.002,0.002,2.947,0.003,0.002,0.002,0.002,0.002,0.002,0.002
33,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,4.85,0.003,0.003,0.004,0.063,0.002,0.002,0.002,4.31,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,1.84,0.001,0.001,0.002,0.002,0.002,0.002,0.001
34,0.003,0.002,0,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,1.222,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0,0.001,0.001,0,0.002,0.002,0.002,0,0.002,0.001,0.002,0.002,1.64,0.002,0.002,0.002,0.002,0.002,0.003,0.002
35,0.003,0.002,3.016,0.003,0.003,0.006,0.003,0,0.003,0.002,0.002,0.003,0.002,0.003,0.004,0.002,0.003,0.002,0.002,0.002,0,0.002,0.002,0.713,0.002,0.001,0.002,0,0.002,0.002,0.001,0.002,0.317,0.003,0.002,0.002,0.002,0.001,0.002,0.002
36,0.005,0.002,0.003,0.004,0.004,0.009,0.003,0,0.005,0.005,0.002,0.003,0,0.002,0.001,0.004,0,0.003,0.002,0.004,1.877,0.002,0.002,0.003,0.002,0.002,0.002,3.617,0,0.003,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0,0.021,0.003
37,0.004,0.003,0.004,0.029,0.003,0.002,0,0,0,0.002,0.001,0.002,0,0.004,0.005,0.002,0,0.005,0.003,0.003,0,0.001,0.001,0.003,0.003,0.003,0.002,3.828,0,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0,0.002,0.003
38,0.003,0.003,0.005,0.004,0.004,0.013,0.002,3.451,0,0.006,0.003,0.002,0,0.002,0.004,0.002,0,0.003,0.003,0.002,4.239,0.002,0.002,0.002,0.002,0.003,0.003,0.319,2.602,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.315,0.003,0.002
39,0.004,0.003,0.004,0.072,0.003,0.004,0.003,0.41,0.741,0.003,0.003,0.002,1.079,0.004,0.008,0.002,2.256,0.003,0.002,0.003,2.272,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.328,0.002,0.002,0.002,0.002,0.004,0.002,0.002,0.002,0,0.002,0.002
40,0.004,0.003,0.006,0.015,0.003,0.008,0.005,0.003,0.034,0.007,0.002,0.002,0.002,0.002,0.003,0.002,0.271,0,0.002,0.003,0.808,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0,0.002,0.002,0.002,0.004,0.002,0.002,0.003,3.067,0.003,0.002
41,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.144,0.002,0.002,0.002,0.003,0,0.002,0.002,0.002,1.036,0.002,0.002,0.778,0,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0,0.002,0.001
42,0.006,0.002,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.004,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.002,0.002,0.003,0.003,0.002,0.002,0.003,2.506,0.003,0.002
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.002,0.002,0.002,0.002,0.003,0.003,0.004,1.827,0,0,0,0,0,0,0,0,0,0.001
44,0.662,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.004,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,1.432,0,0.002
45,0.004,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0,0.003,0.005,0.003,1.924,0.003,0.002,0.003,0.002,0.003,0.002,0.003,2.353,0.003,0.004,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.001,0.002,0.002,0,0.002,0.002,0.012,1.722,0.001
46,0.503,0.002,0.002,0.003,0.002,0,0.002,0.002,0.002,0,0.003,0.002,0.001,0.038,0.003,0.002,0.002,0.002,0.002,0.005,0.002,0.002,0.003,0.002,0.002,0.003,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0.002,0,0.001,0.002,0.002,0,0.001
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.003,0.002,0.002,0.002,0.002,0,0.002,0.002,0.003,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0.003,0.002,0.002,0.002,3.447,0.002,0.002,0.003,0,0.002
49,0.003,0.003,0.004,0.003,0.003,3.871,0.002,0.002,0.003,3.096,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0,0.002,0.003,0.002,1.167,0.002,0.004,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.004,0.003,1.595,0.003,0.004,0.004,5.023,0.002
50,0.003,0.002,0.003,0.003,0.002,0,0.002,0.002,0.003,0.058,0.002,0.003,0.003,0.006,0.003,0.003,0.002,0.003,0.663,0.002,0.002,0.003,0.004,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,5.548,0.002
51,0.003,0,0.003,0.003,0.004,3.802,0.046,0.004,0.002,0.004,0.002,0.003,0.006,0.005,0,0.004,0.002,0.004,0.002,0.003,0.003,0.004,0.004,0.008,0.004,0.002,0.003,0.005,0.005,0.003,0.002,0.002,0.002,0.002,0.002,0,0.003,0.003,1.889,0.854
52,0.003,1.956,0.003,0.003,0.003,1.387,0.002,0.003,0.003,0.003,0.065,0.004,0.003,0.003,1.01,0.002,0.002,0.004,0.002,0.002,0.003,0.002,0.005,0.003,0.006,0.003,0.216,0.003,0.004,0.002,0.002,0.002,0.002,0.005,0.004,1.125,0.003,0.005,0.01,0
53,0.003,1.512,0.003,0.003,0.006,0.013,0.025,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.006,0.002,0.002,0.002,0.002,0.685,0.002,0.002,0.002,0,0.003,0.002,0.003,0.004,0.002,0.004,0.002,0,0.003,0.002,0.002,1.066,0.003,0.003,0.003,1.811
54,0.002,0.017,0,0.003,0.002,0.004,0.002,0.003,0.003,0.004,0.002,0.003,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.765,0.002,0.002,0.002,0,0.002,0.002,0.003,1.458,0.002,0.004,0.003,0,0.002,0.004,0.002,0.006
55,0.004,0.003,0,0.005,0.004,0.003,0,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.002,2.18,0.002,0.002,0.003,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.003,0,0.009,0.003,0.004,2.218,0.004,0.003,0.008,0.004
56,0.001,0.002,0,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.002,0,0.002,0.002,0.002,1.552,0.005,0.002,0.002,0.002
57,0.002,0.002,1.412,0.002,0.002,0.002,0.002,0.006,0.002,0.002,0.002,0.003,0.002,0.002,0.002,1.731,0.002,0.002,0.002,0,0.002,0.003,0.003,3.18,0.003,0.002,0.003,0,0.002,0.002,0.002,0.182,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
58,0.003,0.002,0.003,0.002,0.002,0.003,0.002,0,0.002,0.002,0.002,0,0.002,0.003,0.003,0.146,0.003,0.002,0.002,3.115,0.002,0.004,0.003,0.013,0.006,0.002,0.003,3.464,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.002,0.003,0.002
59,0.002,0.002,0.114,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.213,0,0.002,0.002,0.003,0.002,0.005,0.002,0.086,0.007,0.01,0.002,0.002,0,0.002,0.002,0.002,0.486,0.002,0.002,0.002
60,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0,0.003,0.002,0.002,3.481,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.686,0.002,0.002,0.002,0,0.002,0.002,0.051,0.565,0.002,0.001,0.001,0,0.002,0.002,0.001,0.002,0.002,0.001,0.001
61,0.004,0.002,0.003,0.004,0.003,0.003,0.003,4.474,0.002,0.003,0.003,3.516,0.002,0.004,0.003,0.003,0.002,0.003,0.004,0.002,0.001,0,0.002,0.001,2.389,0.001,0.001,0.002,0,0.001,0.003,0.002,0,0.003,0.002,0.002,0.003,0.002,0.005,0.003
62,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0,0.003,0.002,0.002,0.92,0,0.004,0.003,0.002,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0,0.001,0.001,0.002,4.675,0.002,0.002,0.002,0.002,0.002,0.002,0.002
63,0.003,0.002,0.003,0.002,0.002,0.002,0.002,4.582,0.01,0.002,0.001,0.002,0,0.002,0.001,0.001,0,0.001,0.001,0.002,0,0.003,0.004,0.004,0,0.002,0.004,0.004,4.152,0.004,0.002,0.002,3.099,0.002,0.002,0.002,0.003,0,0.003,0.002
64,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.261,0,0.002,0.002,0.003,0,0.002,0.002,0.003,0.597,0.002,0.002,0.002,0.49,0.002,0.002,0.003,3.848,0.002,0.002,0.003,0.888,0.002,0.002,0.002,0.003,0.027,0.002,0.002,0.002,0,0.004,0.002
65,0.002,0.002,0.002,0,0.002,0.002,0.002,0.103,0,0.002,0.002,0.002,1.333,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.001,0.009,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0,0.001,0.001,0.001,0,0.002,0.001
66,0.002,0.002,0.003,0.993,0.002,0.002,0.002,0.002,2.306,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.266,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,2.073,0.002,0.001,0.001,3.666,0.001,0.001
67,0,0.001,0.006,0.002,0,0.004,0.001,0.002,0,0.002,0.001,0.002,0.002,0.006,0.006,0.005,0.003,0.006,0.003,0.003,0.001,0,0.001,0,0.001,0.508,0.001,0.001,0.001,0.002,0.001,0.001,0.002,2.585,0.002,0.002,0.004,3.164,0.001,0.002
68,0.004,0.003,0.004,0.003,0,0.003,0.003,0.007,2.748,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.003,0.006,0.003,0.003,0.002,0.004,0.005,0.004,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.002,0.002
69,0,0.002,0.002,0,0,0,0,0.004,0.006,0,0,0.002,0,0.001,0.002,0.002,0.002,0.002,0.002,0.004,0.001,0,0.001,0.002,0.003,0.002,0.002,0.003,0.002,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0,0.005,0.002
70,0.144,0.002,0.002,0.003,0,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,3.684,0.002,0.003,0.002,3.942,0.003,0.002
71,0,0.002,0.002,0.003,1.465,0.002,0.002,0.002,0.003,0,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0,0.002,0.002,0.002,1.628,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.021,0.003,0.002,0.002,0.002,0,0.002
72,0,0.003,0.004,0.005,0.003,0.003,0.002,0.003,0.002,0,0.004,0.008,0.003,0.005,0.005,0.007,0.014,1.509,0.003,0.007,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0.002,0.002,0.005,0.003,0,0.003,0.004,0.003,1.618,0.005
73,0,0.002,0.003,0.002,0.003,0.004,0.002,0.003,0.003,0,0.002,0.006,0.003,0.003,0.002,0.003,0.004,0.021,0.002,0.005,0.003,0.002,0.002,0.002,0.004,0.002,0.002,0.003,0.002,1.775,0.001,0.002,0.002,0.002,1.606,0.002,0.003,0.002,0,0.002
74,0,0.002,0.003,0.002,0.002,0,0.001,0.002,0.002,0,0.002,0.002,0.002,0,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.004,0.002,0.002,0,0.003,0.002,0.002,0,0.003,0.002,0.003,0,0.002,0.002,0.002,1.866,0.002
75,3.153,0.002,0.004,0.003,0.002,0,0.003,0.002,0.002,3.977,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0,0.003,0.002,0.003,1.104,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002
76,0.003,0,0.002,0.002,0.002,0,0.002,0.002,0.002,1.48,0.28,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0.002,0.002,0.063,0.002,0.002,0.001,0,0.002,0.002,0.002,0,0.001,0.002,0.002,0,0.001,0.002,0.002,0.001,0.002
77,0.002,0,0.002,0.002,0.001,0,0.001,0.002,0.002,0.002,0.001,0.002,0.002,2.077,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0,0.002,0.002,0.002,1.079,0.002,0.001,0.002,0,0.001,0.002,0.002,0.28,0.002
78,0.003,2.414,0.002,0.003,0.003,2.626,0.003,0.003,0.003,0.004,0.001,0.002,0.002,0.002,1.773,0.002,0.001,0.001,4.562,0.002,0.002,0.002,0.003,0.004,0.003,0.002,2.139,0.003,0.004,0.002,0.002,0.002,0.002,0.002,1.334,0,0.002,0.002,0.002,0.001
79,0.001,0,0.002,0.002,0.002,0,0.001,0.002,0.001,0.002,0.433,0.002,0.003,0.003,0,0.002,0.002,0.002,2.416,0.003,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.001,0.002,0.003,0.002,0,0.002,0.002,0.003,0
80,0.003,0,0.004,0.002,0.003,1.015,0.003,0.003,0.003,0.005,0.002,0.002,0.002,0.003,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.347,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.009,0.002,0.002,0.003,0,0.003,0.004,0.005,0.775
81,0.004,2.652,0.003,0.004,0.003,0.004,0.003,0.003,0.002,0.006,0.002,0.003,0.005,0.003,2.796,0.001,0.003,0.003,0.004,0,0.003,0.003,0.003,0,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0,0.003,0.006,0.003,2.51,0.002,0.006,0.005,0.002
82,0.002,0.026,0,0.002,0.003,0.003,0.002,0.006,0.003,0.008,0.002,0.671,0.002,0.003,0.899,0.364,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.003,0.002,0.002,0.002,0.002,0.003,0.001,0,0.002,0.002,0.002,0,0.002,0.002,0.003,0.002
