object_ctx_cache_total,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
41,307889,251363,275831,273833,242681,283974,203315,334031,264585,346774,217408,269931,294290,327020,346944,272209,270877,326525,298059,324397,264732,294134,310663,350405,340245,301137,236342,365307,289160,312954,272790,245407,299890,344803,282815,297587,273971,319724,424033,244576
42,307914,251363,275831,273836,242702,283981,203319,334067,264586,346808,217433,269981,294331,327054,347219,272247,270879,326564,298071,324397,264765,294176,310701,350405,340279,301171,236365,365307,289191,312954,272812,245442,299890,344846,282823,297590,274005,319765,424083,244580
43,307916,251374,275831,273845,242740,284010,203335,334068,264598,346809,217434,270104,294334,327056,347222,272272,270882,326565,298099,324397,264765,294176,310703,350418,340281,301172,236365,365307,289192,312967,272812,245445,299890,344848,282849,297601,274005,319766,424084,244600
44,307924,251411,275831,273873,242750,284055,203358,334076,264623,346823,217440,270159,294341,327061,347226,272321,270903,326569,298129,324397,264766,294182,310710,350451,340290,301184,236373,365307,289206,313001,272820,245454,299902,344862,282878,297632,274014,319779,424096,244625
45,307956,251432,275831,273910,242755,284114,203399,334094,264649,346856,217473,270166,294378,327109,347277,272329,270930,326602,298168,324584,264795,294211,310744,350451,340323,301214,236397,365307,289245,313036,272848,245479,299943,344887,282935,297680,274033,319806,424145,244680
46,307980,251476,275831,273960,242808,284129,203405,334094,264695,346890,217492,270167,294397,327125,347299,272333,270945,326640,298183,324610,264799,294246,310769,350537,340353,301241,236417,365307,289278,313082,272860,245500,300024,344933,282943,297726,274067,319847,424188,244686
47,308032,251484,276048,273967,242875,284134,203408,334094,264705,346955,217529,270206,294428,327189,347363,272381,270945,326696,298190,324669,264799,294293,310806,350559,340397,301270,236453,365307,289306,313111,272903,245549,300030,344985,282949,297745,274119,319864,424259,244691
48,308039,251490,276059,273973,242899,284188,203439,334094,264706,346969,217540,270278,294428,327194,347371,272467,270945,326703,298241,324684,264801,294323,310827,350569,340429,301294,236472,365326,289306,313118,272906,245555,300036,344994,282979,297750,274125,319864,424279,244720
49,308043,251543,276066,274026,242908,284254,203497,334094,264706,346972,217542,270319,294428,327203,347375,272511,270945,326712,298325,324687,264801,294332,310832,350592,340436,301298,236481,365393,289306,313142,272910,245561,300082,345002,283060,297786,274128,319864,424287,244786
50,308118,251634,276119,274106,242957,284296,203533,334136,264795,347036,217592,270333,294428,327258,347430,272529,270990,326769,298378,324718,264803,294351,310853,350701,340455,301317,236498,365592,289327,313186,272957,245598,300161,345047,283117,297873,274170,319864,424351,244841
51,308206,251660,276209,274162,242957,284304,203540,334402,264875,347112,217646,270408,294620,327363,347542,272604,271150,326866,298397,324816,264905,294429,310929,350775,340563,301403,236580,365684,289467,313186,273051,245669,300223,345158,283135,297930,274248,319864,424485,244853
52,308235,251674,276250,274177,242986,284374,203592,334436,264890,347175,217672,270408,294670,327417,347590,272604,271165,326868,298461,324876,264913,294443,310992,350804,340630,301457,236653,365760,289530,313186,273104,245707,300245,345228,283201,297943,274315,319865,424576,244903
53,308253,251741,276265,274241,243071,284374,203592,334450,264958,347183,217680,270461,294685,327417,347603,272644,271225,326927,298461,324900,265044,294443,311024,350861,340653,301479,236671,365788,289558,313186,273121,245718,300326,345246,283201,298026,274322,319865,424598,244904
54,308302,251743,276329,274242,243093,284415,203616,334541,264961,347273,217730,270553,294759,327417,347697,272721,271226,327005,298505,324986,265088,294443,311073,350898,340705,301529,236708,365844,289607,313430,273193,245759,300327,345336,283231,298026,274392,319995,424670,244935
55,308302,251791,276330,274290,243093,284499,203668,334541,264995,347276,217732,270566,294760,327417,347697,272741,271272,327006,298600,324986,265114,294443,311117,350910,340744,301572,236740,365891,289637,313445,273193,245760,300383,345337,283231,298092,274393,319995,424670,244992
56,308373,251862,276385,274370,243108,284499,203680,334601,265059,347311,217771,270566,294812,327417,347750,272741,271355,327045,298609,325045,265127,294443,311128,351003,340749,301582,236745,365902,289642,313539,273220,245799,300466,345403,283231,298179,274427,320237,424670,245009
57,308411,251878,276459,274391,243165,284499,203680,334711,265081,347311,217836,270579,294903,327677,347851,272762,271377,327131,298609,325141,265195,294672,311220,351068,340838,301662,236816,366004,289716,313608,273290,245876,300489,345500,283231,298203,274512,320382,424680,245009
58,308471,251878,276473,274391,243210,284499,203707,334735,265083,347311,217845,270620,294919,327690,347880,272812,271378,327151,298633,325166,265227,294728,311259,351068,340910,301726,236859,366093,289767,313608,273310,245893,300490,345523,283244,298203,274536,320412,424680,245019
59,308472,251899,276474,274416,243272,284527,203747,334736,265106,347311,217846,270685,294919,327691,347881,272861,271397,327153,298635,325168,265228,294730,311259,351069,340911,301727,236860,366096,289768,313608,273311,245894,300510,345524,283391,298231,274539,320414,424680,245055
60,308494,251938,276497,274475,243328,284527,203776,334758,265152,347311,217859,270741,294949,327714,347908,272933,271445,327174,298756,325187,265228,294731,311259,351081,340913,301727,236862,366097,289769,313628,273331,245910,300568,345542,283450,298276,274555,320434,424680,245089
61,308550,251978,276554,274532,243394,284527,203804,334806,265222,347425,217904,270814,294992,327784,347979,272977,271496,327239,298802,325244,265248,294752,311298,351196,340942,301745,236874,366130,289788,313711,273388,245962,300630,345613,283494,298350,274595,320490,424693,245089
62,308612,251978,276614,274583,243411,284773,203847,334884,265261,347622,217955,270864,295050,327854,348033,273004,271541,327296,298878,325310,265328,294829,311392,351314,341038,301836,236951,366249,289863,313812,273447,246004,300687,345699,283564,298352,274654,320567,424707,245089
63,308662,251978,276664,274655,243416,284834,203900,334938,265323,347699,217989,270880,295125,327917,348033,273004,271609,327361,298936,325371,265409,294936,311479,351374,341139,301923,237007,366348,289935,313846,273499,246050,300755,345776,283607,298374,274703,320633,425163,245195
64,308719,252116,276726,274703,243424,284851,203920,335027,265366,347780,218056,270881,295189,327983,348088,273004,271656,327432,298954,325425,265447,294980,311520,351378,341191,301963,237046,366403,289991,313936,273562,246095,300818,345860,283627,298484,274774,320719,425268,245260
65,308786,252153,276777,274719,243463,284856,203925,335089,265395,347842,218095,270894,295242,328031,348267,273004,271669,327488,298966,325427,265480,295025,311561,351378,341256,302011,237091,366437,290053,313989,273617,246095,300840,345920,283630,298484,274825,320782,425340,245266
66,308795,252158,276777,274724,243507,284862,203930,335110,265402,347863,218110,270905,295251,328048,348280,273100,271675,327508,298982,325427,265521,295060,311615,351378,341310,302066,237129,366437,290105,314001,273635,246163,300849,345952,283643,298490,274848,320805,425376,245282
67,308804,252159,276777,274731,243530,284922,203972,335116,265409,347869,218111,270905,295257,328054,348292,273176,271692,327514,299044,325427,265532,295068,311622,351378,341330,302073,237135,366437,290114,314025,273650,246164,300857,345959,283698,298599,274857,320810,425392,245319
68,308809,252203,276777,274787,243537,284984,204018,335126,265460,347884,218123,270905,295275,328071,348309,273212,271748,327530,299104,325427,265547,295087,311629,351463,341351,302085,237151,366437,290120,314049,273657,246164,300914,345967,283760,298668,274875,320823,425411,245374
69,308867,252246,276864,274848,243557,285017,204047,335151,265513,347947,218163,270905,295329,328124,348364,273216,271807,327585,299148,325427,265577,295119,311657,351623,341382,302122,237176,366437,290142,314111,273715,246218,300917,346044,283798,298746,274932,320882,425483,245409
70,308939,252279,276922,274877,243577,285029,204049,335151,265541,348026,218199,270977,295399,328194,348426,273237,271846,327663,299157,325565,265632,295187,311736,351666,341478,302168,237234,366479,290203,314186,273767,246275,300917,346098,283802,298784,274944,320955,425568,245411
71,308980,252283,276955,274881,243606,285042,204061,335151,265547,348064,218230,271067,295431,328229,348477,273253,271854,327706,299165,325710,265632,295223,311772,351699,341507,302222,237255,366752,290224,314205,273815,246302,300917,346134,283824,298795,275040,321000,425624,245416
72,308991,252302,276962,274898,243644,285070,204070,335151,265559,348073,218234,271104,295438,328239,348487,273277,271863,327715,299195,325720,265693,295242,311797,351705,341507,302242,237278,366794,290259,314205,273823,246311,300917,346146,283850,298811,275051,321010,425634,245433
73,309008,252314,276987,274918,243682,285099,204095,335151,265576,348088,218245,271146,295456,328261,348502,273316,271881,327727,299226,325736,265698,295243,311799,351751,341507,302244,237280,366796,290259,314241,273841,246328,300917,346165,283892,298834,275063,321019,425649,245466
74,309018,252343,276994,274948,243687,285140,204114,335151,265595,348111,218250,271201,295458,328284,348527,273366,271882,327756,299258,325755,265723,295274,311831,351777,341507,302273,237307,366837,290259,314256,273854,246348,301115,346185,283929,298885,275079,321049,425688,245488
75,309056,252365,277037,274956,243687,285186,204166,335163,265595,348146,218279,271235,295458,328320,348568,273394,271945,327792,299311,325790,265727,295299,311869,351844,341507,302300,237334,366880,290280,314305,273891,246387,301163,346228,283978,298915,275111,321049,425752,245519
76,309098,252408,277076,274956,243687,285211,204184,335287,265595,348186,218303,271236,295458,328350,348609,273395,272000,327834,299335,325839,265796,295345,311919,351902,341515,302349,237370,366968,290370,314362,273929,246415,301224,346254,284007,298981,275139,321049,425801,245540
77,309160,252436,277119,275072,243687,285220,204186,335527,265598,348241,218341,271264,295596,328415,348694,273419,272020,327900,299343,325897,265825,295392,311973,351946,341731,302393,237419,367047,290414,314399,273985,246465,301253,346254,284015,299012,275187,321049,425878,245547
78,309186,252438,277149,275075,243687,285248,204208,335565,265598,348280,218363,271265,295627,328447,348736,273419,272029,327936,299369,325928,265875,295401,312010,351954,341768,302409,237452,367101,290446,314403,274018,246489,301254,346254,284035,299015,275211,321049,425912,245563
79,309190,252460,277152,275105,243814,285251,204208,335572,265749,348290,218365,271327,295630,328454,348740,273482,272057,327944,299372,325934,265879,295401,312016,351993,341773,302446,237456,367106,290449,314422,274019,246491,301284,346254,284039,299039,275219,321049,425920,245570
80,309226,252460,277173,275105,243823,285298,204248,335606,265757,348328,218389,271377,295660,328480,348765,273530,272062,327981,299426,325956,265896,295401,312041,351999,341794,302467,237464,367130,290466,314437,274042,246520,301285,346254,284089,299045,275239,321049,425943,245624
