subop_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,160694968574,188368719406,163021982290,154782607577,186714270085,195796569926,133874870566,166387377556,173317808347,167790630243,159702505188,162206825722,144877730897,182075305005,186645742646,134465596869,160151246839,102933834298,201325304333,145215448983,160479645984,147990600482,172214432286,161705668714,125753561239,126270535023,188942462166,205135004344,138943990802,166995366320,138917535587,166471859193,157743052134,154818518954,172183671300,152147368440,158970689877,194657202094,135711334959,147603949272
11,160695090346,188368821693,163022045611,154782724478,186714362634,195796691700,133874972853,166387470103,173317808347,167790825080,159702597733,162206918270,144877818571,182075382938,186645859549,134465669933,160151305291,102933902486,201325430975,145215517175,160479767752,147990639450,172214563797,161705761261,125753609948,126270583733,188942525487,205135106630,138944020027,166995478350,138917598910,166471932256,157743149553,154818577406,172183763846,152147470726,158970772683,194657202094,135711408022,147604012593
12,160695090346,188368821693,163022045611,154782724478,186714362634,195796691700,133874972853,166387470103,173317808347,167790825080,159702597733,162206918270,144877818571,182075382938,186645859549,134465669933,160151305291,102933902486,201325430975,145215517175,160479767752,147990639450,172214563797,161705761261,125753609948,126270583733,188942525487,205135106630,138944020027,166995478350,138917598910,166471932256,157743149553,154818577406,172183763846,152147470726,158970772683,194657202094,135711408022,147604012593
13,160695090346,188368821693,163022045611,154782724478,186714362634,195796691700,133874972853,166387470103,173317808347,167790825080,159702597733,162206918270,144877818571,182075382938,186645859549,134465669933,160151305291,102933902486,201325430975,145215517175,160479767752,147990639450,172214563797,161705761261,125753609948,126270583733,188942525487,205135106630,138944020027,166995478350,138917598910,166471932256,157743149553,154818577406,172183763846,152147470726,158970772683,194657202094,135711408022,147604012593
14,160695090346,188368821693,163022045611,154782724478,186714362634,195796691700,133874972853,166387470103,173317808347,167790825080,159702597733,162206918270,144877818571,182075382938,186645859549,134465669933,160151305291,102933902486,201325430975,145215517175,160479767752,147990639450,172214563797,161705761261,125753609948,126270583733,188942525487,205135106630,138944020027,166995478350,138917598910,166471932256,157743149553,154818577406,172183763846,152147470726,158970772683,194657202094,135711408022,147604012593
15,160695090346,188368821693,163022045611,154782724478,186714362634,195796691700,133874972853,166387470103,173317808347,167790825080,159702597733,162206918270,144877818571,182075382938,186645859549,134465669933,160151305291,102933902486,201325430975,145215517175,160479767752,147990639450,172214563797,161705761261,125753609948,126270583733,188942525487,205135106630,138944020027,166995478350,138917598910,166471932256,157743149553,154818577406,172183763846,152147470726,158970772683,194657202094,135711408022,147604012593
16,160695324148,188369177266,163022415800,154783045955,186714708467,195797061883,133875206654,166387752617,173317808347,167791000434,159702880246,162207205651,144878042627,182075645964,186646146933,134465928093,160151548839,102934053483,201325723214,145215736366,160480074616,147990912222,172214895018,161706102229,125753838877,126270812662,188942915145,205135428108,138944219733,166995678050,138917866807,166472209900,157743407704,154818835562,172183978167,152147724007,158971060063,194658931244,135711607729,147604226916
17,160695324148,188369372106,163022615502,154783162855,186714971498,195797237230,133875294329,166388020518,173317808347,167791292689,159703040984,162207337165,144878213109,182075772605,186646414819,134466161899,160151763163,102934175254,201325932656,145215843526,160480206130,147991136285,172215046013,161706228873,125754038572,126270968532,188943095361,205135598586,138944419434,166995678050,138917998324,166472331675,157743529473,154818991428,172183987909,152147874998,158971230543,194659476776,135711607729,147604343815
18,160695324148,188369425687,163022669082,154783201822,186715005595,195797290808,133875333296,166388044873,173317808347,167791356011,159703099436,162207366389,144878252075,182075772605,186646458657,134466220351,160151816744,102934199608,201325995976,145215877623,160480249967,147991180124,172215084979,161706272712,125754072668,126270997757,188943139199,205135661906,138944443789,166996028742,138918012937,166472399869,157743583053,154819035265,172183987909,152147918833,158971284123,194659525485,135711632083,147604377910
19,160695324148,188369620521,163022756757,154783270013,186715132240,195797432066,133875430713,166388166647,173319079655,167791472913,159703299139,162207483288,144878359230,182075772605,186646619393,134466308029,160151909293,102934258056,201326117744,145215984784,160480483767,147991297027,172215313907,161706345776,125754252889,126271095176,188943338906,205135778808,138944585046,166996028742,138918120096,166472584966,157743748664,154819035265,172183987909,152148030862,158971410761,194659681353,135711632083,147604494812
20,160695324148,188369630263,163022766498,154783279753,186715151724,195797446678,133875455068,166388205615,173319099138,167791492397,159703323494,162207556349,144878383583,182075801830,186646687586,134466342126,160151943390,102934282411,201326161581,145216009138,160480527605,147991326253,172215382099,161706379873,125754277243,126271134142,188943436325,205135866482,138944619143,166996028742,138918163932,166472633676,157743807114,154819035265,172183987909,152148094183,158971435116,194659769029,135711632083,147604558135
21,160695387468,188369693586,163022839562,154783347942,186715219915,195797446678,133875503777,166388278676,173319177072,167791555719,159703362462,162207605059,144878417678,182075801830,186646765518,134466381094,160152011581,102934326247,201326234640,145216067587,160480576314,147991384705,172215386970,161706423711,125754296726,126271163368,188943494775,205135929803,138944648369,166996028742,138918222381,166472701870,157743850952,154819035265,172183987909,152148138020,158971483823,194659817736,135711963307,147604592232
22,160695387468,188369781264,163022961336,154783450233,186715341687,195797631770,133875552487,166388376094,173319274489,167791667750,159703469621,162207692732,144878524835,182075801830,186646872676,134466420061,160152084646,102934379825,201326288219,145216160135,160480668860,147991418802,172215386970,161706496775,125754335694,126271251043,188943553225,205136012605,138944736044,166996374568,138918280832,166472770062,157743962983,154819288554,172183987909,152148176985,158971590982,194659895671,135711963307,147604665297
23,160696113231,188369980973,163023107462,154783664548,186715546264,195797841214,133875722965,166388536830,173319444968,167791847974,159703567040,162207838859,144878695315,182075801830,186647057769,134466653863,160152337928,102934477244,201326288219,145216311132,160480883172,147991589285,172215645118,161706696473,125754467207,126271382558,188943597063,205136236667,138944877300,166996467114,138918407474,166472989255,157744211393,154819488264,172184275291,152148245178,158971751724,194660119727,135712231206,147604714006
24,160696264228,188370331682,163023346124,154783927576,186715843385,195797846085,133875908063,166388785248,173319634935,167792076907,159703834941,162208121372,144878899886,182076795486,186647057769,134466819475,160152571733,102934618499,201326288219,145216471873,160481068261,147991745153,172215723051,161706910795,125754681526,126271553042,188943616545,205136509433,138945130591,166996871389,138918577956,166473193836,157744420834,154819726934,172184976706,152148245178,158971941687,194660387626,135712387074,147604714006
25,160696332420,188370356037,163023370479,154783966543,186715906708,195798245489,133875908063,166388853440,173319703128,167792140230,159703888522,162208165210,144878919370,182076858806,186647057769,134466843829,160152630184,102934662337,201326288219,145216554679,160481121839,147991793863,172215723051,161706983859,125754783814,126271601752,188944074397,205136631206,138945193913,166996924965,138918646146,166473305869,157744523125,154819809740,172185074125,152148245178,158972043977,194660465556,135712435783,147604718877
26,160696332420,188370356037,163023370479,154783966543,186715906708,195798245489,133875908063,166388853440,173319703128,167792140230,159703888522,162208165210,144878919370,182076858806,186647057769,134466843829,160152630184,102934662337,201326288219,145216554679,160481121839,147991793863,172215723051,161706983859,125754783814,126271601752,188944074397,205136631206,138945193913,166996924965,138918646146,166473305869,157744523125,154819809740,172185074125,152148245178,158972043977,194660465556,135712435783,147604718877
27,160696668511,188370604452,163023687082,154784244183,186716306121,195798644895,133875908063,166389233375,173320048960,167792451970,159704219745,162208369791,144879235969,182077185155,186647057769,134467024056,160152927313,102934827943,201327311081,145216700806,160481321545,147992042279,172216146812,161707237147,125754959164,126271801459,188944464060,205136928326,138945374139,166997163632,138918899421,166473554290,157744786150,154820097123,172185327411,152148245178,158972302134,194660850351,135712723169,147605449512
28,160696668511,188370604452,163023691953,154784249054,186716325605,195798664378,133875908063,166389247988,173320073315,167792490935,159704307416,162208369791,144879304160,182077209508,186647057769,134467067894,160152966281,102934896137,201327423110,145216700806,160481341029,147992071504,172216288063,161707261502,125755007872,126271879394,188944546860,205137016002,138945500782,166997231825,138918967611,166473602998,157744854341,154820150703,172185356637,152148245178,158972341102,194660918543,135712805976,147605478738
29,160696775669,188370828504,163023755273,154784341601,186716408410,195798771538,133876336707,166389311310,173320156120,167792588352,159704399963,162208369791,144879440539,182077365374,186647057769,134467189667,160153044217,102934964331,201327544877,145216700806,160481501768,147992144569,172216395222,161707344307,125755154001,126271942717,188944624795,205137176740,138945593329,166997338984,138919030932,166473690674,157744956624,154820248121,172185415087,152148250049,158972428778,194661059800,135712918006,147605537188
30,160697033815,188371081789,163023755273,154784555923,186716671439,195798971244,133876468222,166389535369,173320428888,167792856252,159704589925,162208369791,144879615890,182077550471,186647140573,134467340667,160153224443,102935100711,201327788408,145216700806,160481701467,147992388109,172216555962,161707475822,125755285516,126272035266,188944741694,205137327735,138945758941,166997499723,138919186799,166473870899,157745107618,154820360153,172185527118,152149190109,158972618745,194661196183,135713078746,147605649221
31,160697189679,188371227917,163023755273,154784711793,186716910113,195799166078,133876585123,166389676622,173320575015,167792948800,159704731182,162208369791,144879713304,182077681985,186648251133,134467340667,160153385186,102935168902,201327997855,145216700806,160481881687,147992612173,172216726443,161707680404,125755417023,126272220363,188944921914,205137327735,138945929423,166997709172,138919405980,166474085219,157745151454,154820535507,172185746307,152149355719,158972774615,194661371531,135713215132,147605770995
32,160697189679,188371237659,163023755273,154784716664,186716910113,195799170949,133876585123,166389676622,173320575015,167792948800,159704731182,162208369791,144879713304,182077681985,186648251133,134467340667,160153385186,102935168902,201327997855,145216700806,160481881687,147992612173,172216741054,161707680404,125755421894,126272230105,188944931656,205137327735,138945934294,166997718914,138919410851,166474085219,157745151454,154820535507,172185746307,152149355719,158972779486,194661371531,135713229745,147605770995
33,160697228647,188371262014,163023755273,154784770244,186716958821,195799205045,133876604607,166389715589,173320609110,167792978025,159704750666,162208369791,144879747401,182077745306,186648319324,134467559861,160153409541,102935188384,201328046562,145216700806,160481940139,147992641399,172216755666,161707699887,125755465733,126272234976,188944990102,205137327735,138945958649,166997753010,138919464430,166474153413,157745156325,154820574474,172185770662,152149399557,158972803840,194661420241,135713283326,147605805092
34,160697389386,188371442236,163023755273,154784940723,186717143914,195799502157,133876721508,166389749686,173320740625,167793065702,159704916271,162209056584,144879864299,182077906044,186648514160,134467715729,160153516703,102935295540,201328217039,145217436308,160482096005,147992797270,172216877431,161707846015,125755563152,126272385976,188945214158,205137327735,138946060939,166997879652,138919586196,166474328769,157745336542,154820686503,172185911920,152149526198,158972930483,194661595593,135713375871,147605951216
35,160697540384,188371602976,163023755273,154785116076,186717343623,195799648282,133876901733,166389749686,173320959815,167793192344,159705028301,162209339098,144879932493,182078032688,186648601837,134467818017,160153672575,102935358860,201328368031,145217523985,160482096005,147992977495,172216974847,161707846015,125755684925,126272532093,188945370024,205137327735,138946138871,166998050128,138919669000,166474455413,157745531373,154820818016,172186097013,152149638227,158973086353,194661829393,135713497643,147606111955
36,160697740091,188371909844,163024739183,154785340136,186717621265,195799974627,133877135537,166389749686,173321198490,167793401796,159705271844,162209636225,144880044521,182078305447,186648928191,134468007986,160153706671,102935529337,201328596963,145217718822,160482096005,147993152851,172217125846,161708352588,125755816437,126272697699,188945598951,205137327735,138946314225,166998279052,138919966126,166474694089,157745760305,154821085914,172186369787,152149862288,158973320157,194661902456,135713648641,147606316532
37,160697808284,188371968296,163024768408,154785398585,186717679714,195800028203,133877159892,166389749686,173321232587,167793431021,159705325423,162209680062,144880044521,182078320059,186648952546,134468046954,160153706671,102935563434,201328665157,145217811371,160482271354,147993235657,172217218389,161708445136,125755899241,126272790247,188945720721,205138316510,138946314225,166998434911,138919995351,166474728186,157745779788,154821110267,172186379529,152149915868,158973334770,194661902456,135713736318,147606360371
38,160697900832,188372012135,163024778149,154785403456,186717723551,195800033073,133877159892,166389749686,173321232587,167793465118,159705335165,162209684933,144880044521,182078354154,186648976900,134468066438,160153706671,102935587789,201328718736,145217860081,160482271354,147993245399,172217228131,161708484104,125755908983,126272824343,188945759687,205138506478,138946314225,166998459265,138920014834,166474742799,157745813885,154821134620,172186433110,152149964575,158973368867,194661902456,135713770415,147606399339
39,160698178466,188372387193,163024992466,154785588547,186718054769,195800393515,133877398564,166390446221,173321232587,167793757372,159705549487,162209938216,144880044521,182078680504,186649181477,134468251533,160153706671,102935724173,201329006113,145218025691,160482310322,147993357430,172217325550,161708571781,125756001531,126272892536,188945871717,205138662344,138946499319,166998546939,138920175572,166474898671,157746081777,154821309969,172186701009,152150217859,158973524735,194662102163,135713945768,147606555209
40,160698626582,188372835314,163025338297,154785924636,186718619795,195800880600,133877797976,166391035593,173321899903,167794088589,159706021959,162210444790,144880750784,182079191942,186649775715,134468558402,160154398346,102935977453,201329644194,145218517653,160482690247,147993654558,172217734703,161708985809,125756303516,126273170179,188946280859,205139125066,138946879253,166998809961,138920643167,166475356542,157746486060,154821758085,172187168611,152150563686,158973953376,194662102163,135714311089,147606969237
41,160698767830,188373030146,163025538004,154786158436,186718824369,195801182593,133877929491,166391206073,173322050900,167794424686,159706226536,162210717562,144880994323,182079377028,186650019262,134468704529,160154841602,102935977453,201329912092,145218780682,160482972753,147993742235,172218085399,161709321902,125756517836,126273321172,188946592590,205139578060,138947152025,166998809961,138920823388,166475716985,157746763701,154822040593,172187431642,152150870546,158974362531,194662335962,135714569242,147607251753
42,160698879851,188373137307,163025611066,154786207145,186718868208,195801236172,133877963585,166391249910,173322148319,167794512362,159706280117,162210776013,144881018678,182079377028,186650102065,134468753239,160154900054,102936177160,201329980285,145218892712,160483498801,147993742235,172218246138,161709419321,125756620122,126273399105,188946743585,205139768018,138947244573,166998809961,138920896450,166475794919,157746812410,154822103915,172187519318,152150953350,158974425853,194662335962,135714613081,147607324816
43,160699099041,188373595173,163025986122,154786552983,186719287099,195801742735,133878255838,166391605481,173322547738,167794916646,159706640563,162211141326,144881286571,182079377028,186650472247,134469045494,160155202052,102936449926,201330525818,145219160611,160483791051,147993742235,172218416616,161709648255,125756805215,126273579327,188947001741,205140104097,138947405313,166998809961,138921217917,166476218694,157747129013,154822405912,172187899252,152151206634,158974815526,194663485479,135714715372,147607636557
44,160699099041,188373595173,163025986122,154786552983,186719287099,195801742735,133878255838,166391605481,173322547738,167794916646,159706640563,162211141326,144881286571,182079377028,186650472247,134469045494,160155202052,102936449926,201330525818,145219160611,160483985883,147993742235,172218611445,161709740802,125756936728,126273696228,188947191705,205140337892,138947522215,166999725670,138921217917,166476218694,157747129013,154822405912,172187899252,152151206634,158974815526,194663485479,135714715372,147607646299
45,160699610481,188373848457,163026263766,154786777046,186719569610,195802015499,133878367868,166391878255,173322839991,167795048161,159706854880,162211311801,144881437568,182079377028,186650769369,134469284169,160155445602,102936547342,201330818057,145219335963,160484015109,147993742235,172218674765,161709779768,125756970822,126273735195,188947250156,205140396343,138947580667,166999774377,138921373779,166476462242,157747387161,154822600752,172188011283,152151352759,158975039587,194663982311,135714715372,147607816783
46,160699766351,188374345294,163026789794,154787234911,186720017733,195802414905,133878694222,166392345861,173323351431,167795048161,159707205588,162211769664,144881817496,182080599615,186651168777,134469644616,160155825540,102936786014,201331363596,145219686674,160484502192,147994657968,172219059563,161710164569,125757355610,126274090774,188947693395,205140878553,138947892399,167000154297,138921734216,166476837305,157747845028,154823039132,172188011283,152151747300,158975400034,194664484009,135714929693,147608245420
47,160700117052,188374471940,163026892083,154787317714,186720154117,195802414905,133878791640,166392477374,173323424496,167795048161,159707264040,162211857338,144881875943,182080711644,186651266196,134469712808,160155913218,102936844465,201331446402,145219764608,160484682415,147994847936,172219234915,161710476310,125757530957,126274363547,188947936940,205141243866,138948228496,167000480636,138921802407,166476944465,157747918086,154823117066,172188011283,152151830102,158975502320,194664669099,135714929693,147608386676
48,160700117052,188374471940,163026892083,154787317714,186720154117,195802414905,133878791640,166392477374,173323424496,167795048161,159707264040,162211857338,144881875943,182080711644,186651266196,134469712808,160155913218,102936844465,201331446402,145219764608,160484682415,147994847936,172219234915,161710476310,125757530957,126274363547,188947936940,205141243866,138948228496,167000480636,138921802407,166476944465,157747918086,154823117066,172188011283,152151830102,158975502320,194664669099,135714929693,147608386676
49,160700233953,188374574228,163026965147,154787424876,186720251537,195802414905,133878830607,166392584534,173323512172,167795048161,159707351717,162211945012,144881949002,182080755481,186651387965,134469815098,160155996025,102936873691,201331509723,145219866897,160484682415,147994847936,172219234915,161710476310,125757530957,126274363547,188947936940,205141243866,138948228496,167000480636,138921880337,166477037014,157748015505,154823219357,172188512984,152151912906,158975628957,194664805485,135714929693,147608449997
50,160700570046,188374944418,163027267141,154787692774,186720534047,195802483097,133879054666,166392779371,173323755716,167795866473,159707653711,162212300588,144882250988,182081052606,186651685086,134470039158,160156288285,102937019815,201331509723,145220178637,160484774959,147994930743,172219454098,161710573729,125757604019,126274397642,188948029485,205141370508,138948330786,167000597533,138922109267,166477377979,157748229825,154823428807,172189004947,152152156440,158975891987,194665087998,135715139140,147608610737
51,160700911007,188375217186,163027637330,154787926574,186720904233,195802483097,133879268986,166393100852,173324038226,167796222051,159707994673,162212631802,144882518882,182081388697,186651952979,134470253479,160156551319,102937165940,201332298791,145220363733,160485130527,147995349643,172219829147,161710958536,125757979079,126274728861,188948497087,205141867329,138948657139,167001065131,138922338197,166477670239,157748483112,154823691838,172189336169,152152424331,158976198855,194665511764,135715260912,147608864025
52,160701169160,188375217186,163027963679,154788252924,186721279297,195802906858,133879609952,166393495393,173324354837,167796538664,159708140801,162212841249,144882806260,182081676080,186651952979,134470531124,160156906894,102937370519,201332639744,145220646248,160485583519,147995788028,172220364939,161711450495,125758266459,126274991890,188949023137,205142442082,138948934781,167001406083,138922567121,166477938140,157748755882,154823911028,172189613812,152152424331,158976466754,194665862467,135716196129,147608873767
53,160701519860,188375222057,163028246182,154788472116,186721639737,195804217112,133879829144,166393802255,173324690928,167796855271,159708574311,162213230918,144883098505,182082002432,186652707963,134470740572,160157233247,102937570224,201333009923,145220928761,160485812447,147995958511,172220608483,161711625849,125758393101,126275094178,188949368959,205142685625,138949100390,167001522982,138922859369,166478118364,157749057875,154824276342,172190022968,152152852963,158976763883,194666193682,135716488382,147608873767
54,160701787750,188376337490,163028465372,154788754623,186722019664,195804543460,133880140878,166394006834,173324992920,167797186494,159708725307,162213513432,144883342042,182082275193,186653097634,134470808766,160157471926,102937721217,201333307045,145220938503,160486046246,147996270249,172220808191,161711625849,125758622031,126275254915,188949646596,205142914555,138949319584,167001966222,138923171106,166478118364,157749238095,154824524758,172190354190,152153135465,158977036655,194666471325,135716668607,147609745668
55,160701855938,188376415424,163028465372,154788837429,186722156050,195804645749,133880209071,166394148087,173325139044,167797298527,159708774015,162213610849,144883410233,182082387219,186653209663,134470808766,160157579088,102937784540,201333414201,145220938503,160486245952,147996435862,172221085834,161711728139,125758836352,126275386421,188949938843,205142914555,138949587485,167002141566,138923219813,166478566490,157749340385,154824646531,172190480834,152153135465,158977124333,194666563872,135716780636,147609804120
56,160701909516,188376503102,163028465372,154788895881,186722175534,195804655491,133880209071,166394187055,173325178010,167797332624,159708788628,162213625462,144883454070,182082416444,186653238889,134470813637,160157608314,102937808895,201333438556,145220938503,160486294661,147996499185,172221144285,161711728139,125758880189,126275405905,188949963197,205142914555,138949636195,167002195142,138923244168,166478566490,157749345256,154824666015,172190495446,152153291336,158977148687,194666588225,135716814732,147609833346
57,160701929000,188376537198,163028465372,154788949462,186722229112,195804670103,133880233426,166394313698,173325251073,167797425173,159708861689,162213708267,144883497908,182082445667,186653346050,134470813637,160157666766,102937842990,201333550584,145220938503,160486367723,147996581991,172221222218,161711728139,125758953254,126275435131,188950070356,205142914555,138949689776,167002292561,138923253908,166478566490,157749369611,154824734209,172190553895,152153495903,158977177912,194666646676,135716853700,147609882055
58,160702148174,188376999933,163028952462,154789227102,186722613914,195805011057,133880457489,166394425728,173325582295,167797673593,159709163684,162213766719,144883712225,182082762276,186653750331,134471188698,160157924929,102938042697,201333813611,145220938503,160486552818,147996684280,172221368340,161712356490,125759065283,126275513067,188950153158,205142914555,138949782324,167002351011,138923551027,166478892843,157749579053,154824987497,172190860760,152153788154,158977416586,194666963280,135717077763,147610106117
59,160702542713,188377350643,163029239842,154789446290,186722988966,195805415330,133880705908,166394425728,173325903775,167797951239,159709441326,162213766719,144883989860,182083161690,186654052331,134471558888,160158187960,102938213176,201334286072,145221917548,160486835320,147996996021,172221631365,161712648746,125759318564,126275683552,188950533075,205143942297,138950040482,167002589679,138923882236,166479151001,157749598536,154825265133,172191255308,152154036564,158977445810,194667387046,135717433341,147610461697
60,160702679095,188377560091,163029429809,154789616770,186723237380,195805668605,133880832552,166394425728,173326054773,167798126594,159709645902,162213766719,144884170078,182083400359,186654227684,134471670921,160158324347,102938344690,201334505258,145222141611,160486835320,147997166503,172221826198,161712867937,125759386758,126275966069,188950800971,205144273512,138950167127,167002896539,138923994268,166479340968,157749598536,154825411259,172191445273,152154172946,158977947520,194667552658,135717584341,147610617567
