w_await,aceph01,aceph02,aceph03,aceph04
306,95.617,175.354,234.578,296.629
307,145.41,384.716,211.211,212.482
308,89.25,299.166,322.839,256.362
309,114.046,170.892,293.291,248.895
310,316.08,279.329,514.351,307.909
311,224.917,350.731,373.351,330.691
312,143.836,305.235,249.808,147.045
313,97.656,251.615,372.268,147.328
314,145.731,236.498,117.324,165.607
315,219.259,232.587,93.351,179.036
316,220.193,355.953,122.619,117.202
317,272.998,251.115,284.861,233.951
318,596.625,128.026,410.731,365.866
319,393.251,254.542,546.899,531.847
320,170.521,131.712,473.523,396.335
321,283.149,166.373,430.174,407.399
322,342.449,248.162,260.671,225.975
323,202.655,442.702,218.328,151.045
324,184.078,266.066,95.773,163.319
325,289.918,150.668,196.025,185.685
326,174.026,241.353,194.02,202.106
327,165.061,270.897,187.209,327.146
328,218.523,132.187,118.62,673.058
329,218.904,185.417,181.62,362.677
330,327.682,321.72,96.911,120.315
331,249.245,142.848,174.464,167.657
332,273.812,203.16,260.044,102.542
333,379.79,511.423,366.415,179.434
334,157.56,278.473,254.011,208.329
335,292.007,190.499,144.046,279.779
336,178.652,489.174,277.133,628.895
337,259.05,783.396,262.332,516.133
338,364.032,284.382,294.821,554.852
339,303.743,206.645,327.432,264.666
340,242.17,356.941,394.639,75.847
341,497.664,301.908,372.658,124.088
342,103.587,241.571,192.048,128.483
343,164.91,270.268,321.34,202.689
344,186.891,319.635,414.881,199.059
345,197.315,144.722,356.328,138.61
346,391.236,157.685,129.959,69.429
347,275.809,127.68,228.932,128.515
348,205.678,231.229,237.846,273.466
349,109.603,232.954,128.272,251.993
350,175.991,213.675,225.609,473.524
351,244.061,164.023,261.793,398.712
352,563.091,103.306,169.201,181.398
353,265.252,139.952,238.348,123.65
354,203.148,134.675,148.605,189.895
355,144.484,179.105,87.281,169.454
356,123.612,297.059,128.894,309.85
357,382.224,279.936,326.926,298.339
358,339.785,229.443,346.778,497.354
359,419.644,181.993,276.363,343.549
360,234.217,357.859,561.574,121.738
361,152.074,260.273,199.456,197.338
362,265.138,240.546,59.163,128.148
363,195.32,409.406,75.321,208.972
364,210.213,385.554,127.536,297.426
365,166.7,192.786,174.17,288.174
366,141.338,204.497,289.112,282.438
367,146.347,294.448,274.922,80.526
368,159.408,107.855,245.649,108.915
369,186.842,56.245,148.468,114.434
370,220.161,173.736,215.305,174.913
371,168.113,163.417,185.641,184.51
372,122.679,317.32,257.865,191.952
373,211.155,323.134,365.697,303.091
374,264.216,209.805,460.084,313.584
375,203.238,215.062,414.633,132.729
376,348.616,384.881,183.192,140.738
377,297.134,256.185,208.438,397.914
378,548.076,200.847,225.024,384.163
379,265.749,309.807,271.892,486.663
380,176.946,226.893,221.281,207.604
