op_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
29,164815323504,138440650960,154559512696,148247490904,135643934872,154560476760,112651821264,181560259112,142481625568,189611917816,115299062176,147760288064,157173994064,177125782112,191356133704,151519539424,150456340616,178352095528,164152787256,177555407320,144432808216,159469736248,172273295480,191527907568,183875789408,163538297128,128843858200,198218158776,156734976312,172413436144,148969832832,126977889024,164057276680,185449513480,156621258992,162540229008,148057153968,175780553016,229940388464,134850892000
30,164815585648,138440814800,154559512696,148247630168,135644102808,154560702040,112651968720,181560402472,142481727968,189612200440,115299250592,147760288064,157174112848,177125958240,191356186952,151519695072,150456516744,178352288040,164152918328,177555411416,144432927000,159469895992,172273447032,191528071408,183875924576,163538428200,128843981080,198218207928,156735115576,172413645040,148969898368,126977983232,164057391368,185449644552,156621385968,162541023632,148057264560,175780696376,229940556400,134850953440
31,164815659376,138440917200,154559512696,148247748952,135644213400,154560890456,112652017872,181560558120,142481846752,189612311032,115299348896,147760288064,157174256208,177126085216,191357104456,151519695072,150456651912,178352427304,164153061688,177555411416,144433078552,159470051640,172273590392,191528255728,183876096608,163538587944,128844071192,198218207928,156735287608,172413792496,148970004864,126978118400,164057452808,185449812488,156621533424,162541171088,148057403824,175780868408,229940773488,134851104992
32,164815667568,138440917200,154559512696,148247757144,135644217496,154560890456,112652017872,181560558120,142481850848,189612311032,115299348896,147760320832,157174264400,177126085216,191357112648,151519695072,150456660104,178352427304,164153065784,177555411416,144433078552,159470051640,172273590392,191528255728,183876096608,163538587944,128844071192,198218207928,156735291704,172413792496,148970004864,126978122496,164057452808,185449816584,156621533424,162541179280,148057403824,175780872504,229940773488,134851109088
33,164815708528,138440970448,154559512696,148247785816,135644262552,154560910936,112652054736,181560578600,142481891808,189612351992,115299369376,147760320832,157174284880,177126105696,191357124936,151519863008,150456672392,178352443688,164153102648,177555411416,144433086744,159470076216,172273614968,191528300784,183876125280,163538633000,128844103960,198218207928,156735332664,172413825264,148970029440,126978155264,164057452808,185449861640,156621566192,162541232528,148057436592,175780946232,229940822640,134851121376
34,164815839600,138441117904,154559512696,148247908696,135644356760,154561033816,112652124368,181560660520,142482002400,189612507640,115299488160,147760374080,157174411856,177126273632,191357317448,151519973600,150456742024,178352541992,164153209144,177556132312,144433205528,159470211384,172273778808,191528423664,183876252256,163538747688,128844230936,198218207928,156735512888,172413993200,148970127744,126978261760,164057501960,185449935368,156621697264,162541339024,148057502128,175781044536,229941035632,134851289312
35,164815917424,138441208016,154559541368,148248064344,135644442776,154561230424,112652234960,181560660520,142482108896,189612683768,115299549600,147760894272,157174481488,177126314592,191357415752,151520039136,150456828040,178352644392,164153303352,177556238808,144433205528,159470375224,172274004088,191528423664,183876399712,163538845992,128844316952,198218207928,156735680824,172414124272,148970221952,126978343680,164057649416,185450107400,156621824240,162541506960,148057625008,175781175608,229941187184,134851444960
36,164816130416,138441404624,154560352376,148248277336,135644610712,154561508952,112652386512,181560660520,142482276832,189612896760,115299680672,147761217856,157174563408,177126576736,191357792584,151520252128,150456881288,178352939304,164153471288,177556472280,144433205528,159470580024,172274184312,191528763632,183876543072,163538985256,128844468504,198218207928,156735766840,172414353648,148970377600,126978528000,164057989384,185450377736,156622057712,162541650320,148057870768,175781261624,229941457520,134851678432
37,164816150896,138441433296,154560389240,148248297816,135644647576,154561549912,112652406992,181560660520,142482321888,189612970488,115299713440,147761246528,157174563408,177126589024,191357829448,151520317664,150456889480,178352967976,164153565496,177556541912,144433238296,159470686520,172274262136,191528849648,183876641376,163539063080,128844542232,198218281656,156735766840,172414468336,148970393984,126978544384,164058022152,185450414600,156622078192,162541736336,148057903536,175781261624,229941551728,134851707104
38,164816154992,138441453776,154560405624,148248310104,135644655768,154561562200,112652406992,181560660520,142482321888,189612974584,115299717536,147761246528,157174563408,177126625888,191357911368,151520329952,150456889480,178353013032,164153581880,177556550104,144433238296,159470715192,172274274424,191528886512,183876661856,163539079464,128844570904,198218433208,156735766840,172414488816,148970402176,126978556672,164058038536,185450467848,156622094576,162541748624,148057915824,175781261624,229941580400,134851727584
39,164816425328,138441666768,154560675960,148248539480,135644885144,154561787480,112652546256,181560779304,142482321888,189613224440,115299942816,147761410368,157174563408,177126842976,191358136648,151520530656,150456889480,178353230120,164153790776,177556685272,144433246488,159470780728,172274352248,191528988912,183876731488,163539149096,128844624152,198219227832,156735791416,172414583024,148970590592,126978704128,164058239240,185450648072,156622233840,162541912464,148058055088,175781294392,229941797488,134851838176
40,164816785776,138442035408,154561060984,148248850776,135645122712,154562057816,112652746960,181561811496,142482645472,189613531640,115300159904,147761688896,157175378512,177127285344,191358513480,151520846048,150457045128,178353652008,164154147128,177557062104,144433590552,159471087928,172274671736,191529369840,183877128800,163539505448,128844927256,198219678392,156736356664,172414746864,148970983808,126979031808,164058558728,185451074056,156622565616,162542285200,148058358192,175781294392,229942411888,134852112608
