op_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.172,0.983,0.828,0.005,0.767,0,0.093,0.428,0.125,0,2.287,1.334,0.007,1.486,0.649,0.339,0.262,0.547,0.706,0.361,0,0,0,0,0,0,0,0,0,0,0.234,0.006,0.143,0.007,5.834,0.113,0.006,0.008,0,0.239
49,0.389,1.126,0.145,0.33,0.63,4.483,0.137,0.36,0.115,5.44,1.141,0.337,0.53,1.209,0.259,0.032,0.437,0.255,3.956,0.374,0.53,1.605,1.604,0.638,1.031,0.746,0.006,0.771,1.023,0.376,0.006,0.184,0.836,0.415,3.199,0.497,0.706,0.484,6.895,0.281
50,0.453,0.764,0.054,0.261,0.303,0,0.234,0.014,0.006,1.038,0.2,0.01,0.007,0.344,0.011,0.111,0.113,0.092,1.028,0.007,0.626,0.705,0.44,0.047,0.47,0.368,0.169,0.371,0.095,0.729,0.135,0.005,0.13,0.014,0.321,0.048,0.008,0.047,0,0.214
51,0.012,0,0.011,0.045,0.499,4.823,0.34,0.409,0.077,0.146,0.011,0.103,0.305,1.674,0,0.404,0.09,0.009,0.338,0.768,0.322,0.549,0.845,0.072,0.115,0.442,0.604,0.38,0.402,0.557,0.051,0.011,0.278,0.266,0.451,0,0.128,0.04,2.854,1.259
52,0.111,1.997,0.246,0.099,0.211,2.012,0.007,0.059,0.134,0.176,0.111,0.124,0.187,0.393,2.584,0.099,0.208,0.099,0.24,0.344,0.378,0.146,0.36,0.22,0.527,0.223,0.243,0.421,0.208,0.693,0.407,0.191,0.227,0.25,1.213,2.655,0.26,0.239,0.865,0
53,0.251,2.465,0.272,0.12,0.101,0.747,0.098,0.019,0.188,0.384,0.674,0.496,0.591,0.858,0.729,0.884,0.136,0.592,0.802,0.255,0.128,0.544,0.283,1.142,0.206,0.226,0.067,0.068,0.297,0.015,0.138,0,0.381,0.245,0.339,1.629,0.198,0.111,1.158,1.997
54,0.678,0.984,0,0.629,0.308,0.008,0.367,0.191,0.196,0.009,0.005,0.021,0.132,0.398,0.855,0,0.397,0.148,0.005,0,0.458,0.608,0.187,1.918,0.203,0.1,0.414,0,0.243,0.64,0.013,1.72,0.006,0.009,0.006,0,0.011,0.014,0.009,0.837
55,0.973,2.226,0,1.451,1.177,1.294,0.553,0,0.006,1.062,0.004,0,0.004,0.006,0.922,4.108,0.244,0.28,0.006,0,0.108,0.006,0.682,0,0.17,1.127,0.847,0,0.262,0.005,0.005,0,0.008,0.005,0.005,2.666,0.005,0.006,0.011,0.006
56,0.004,0.005,0,0.005,0.005,0.004,0.008,0.006,0.004,0.007,0.372,0.313,0.005,0.136,0.006,0,0.622,0.773,0.15,0,0.005,0.598,0.97,0,0.113,0.304,0.004,0,1.253,0.005,0.004,0,0.005,0.005,0.005,2.014,0.007,0.006,0.007,0.004
57,0.695,1.449,1.593,0.372,0.231,0.311,0.517,0.092,0.235,0.527,0.463,0.946,0.23,0.526,0.858,2.487,0.389,0.209,0.347,0,0.563,0.114,0.009,4.702,0.007,0.079,0.278,0,0.006,0.058,0.296,1.329,0.027,0.323,0.79,0.813,0.558,0.848,0.717,0.209
58,0.017,1.007,0.411,0.598,1.04,1.152,0.04,0,0.282,0.238,0.199,0,0.513,0.006,1.812,0.973,0.949,0.352,0.748,5.483,0.286,0.509,0.549,1.336,0.352,0.313,0.656,6.139,0.437,0.182,0.376,0.419,0.3,0.861,0.837,0.018,0.116,0.408,0.363,1.082
59,0.057,0.166,0.399,0.127,0.078,0.097,0.13,0,0.208,0.136,0.172,0,0.078,0.16,0.04,0.176,0.123,0.007,0.032,1.17,0,0.006,0.163,0.119,0.107,0.019,0.063,1.678,1.433,0.553,0.127,0.017,0,0.13,0.084,0.131,0.738,0.058,0.028,0.108
60,0.003,0.004,0.006,0.003,0.145,0.005,0.003,0,0.005,0.008,0.005,5.15,0.004,0.004,0.154,0.008,0.006,0.005,0.004,0.075,1.184,0.023,0.022,0.035,0,0.004,0.005,0.051,0.838,0.005,0.501,0.003,0,0.324,0,0.004,0.276,0.004,0.004,0.475
61,0.01,0.52,0.008,0.793,0.216,1.038,1.126,7.718,0.964,2.359,0.473,4.886,0.386,0.288,0.006,0.28,0.549,0.007,0.01,0.007,2.095,0.002,0.003,0.003,2.429,0.004,0,0.004,0,0,1.288,0.005,0,1.312,1.042,0.006,1.475,0.005,0.006,1.781
62,0.006,0.431,0.006,0.004,0.013,0.006,0.005,0,1.342,0.225,0.004,2.769,0,0.006,0.005,0.005,0.005,0.006,0.338,0.005,0.661,0.579,0.957,0.775,0,0.005,0.194,1.258,0,0.006,0.019,0.004,0,0.167,0.415,0.004,0.199,0.238,0.136,0.216
63,1.16,0.765,0.633,1.137,0.299,0.409,0.603,0,0.757,0.61,0.513,0.947,0,1.566,0.315,2.165,0,0.899,1.619,3.346,0,0.824,1.134,0.008,4.52,0.855,0.803,1.729,5.18,1.161,0.066,1.464,2.943,0.204,0.969,1.445,0.649,0,0.28,0.011
64,0.064,0.101,0.105,0.26,0.047,0.119,0.951,6.14,0,0.301,0.106,0.059,0,0.049,0.241,0.576,1.077,0.211,0.108,0.113,0.898,1.358,0.009,0.124,5.999,0.485,0.748,0.924,1.327,0.005,0.198,0.778,1.132,0.313,0.091,0.504,0.482,0,0.383,0.548
65,0.204,0.129,0.005,0,0.124,0.284,0.466,1.235,0,0.372,0.005,0.005,2.061,0.016,0.044,0.135,0.016,0.067,0.135,0.007,0.245,0.347,0.325,0.171,2.121,0.031,0.053,0.276,0.129,0.005,0.115,0.352,1.175,0,0.789,0.012,0.23,0,0.172,0.538
66,0.08,0.015,0.06,0.856,0.004,0.357,0.05,0.26,3.23,0.019,0.363,0.292,0.798,0.214,0.31,0.124,0.688,0.387,0.15,0.42,0.519,0.771,0.233,0.425,0.741,0.004,0.457,0.285,0.255,0.151,0.216,0.492,0.068,3.944,0.386,0.588,0.133,5.212,0.345,0.368
67,0.794,0.004,0.003,0.004,0,0.009,0.004,2.511,0,0.005,0.003,0.003,0.004,0.051,0.011,0.118,0.004,0.317,0.095,0.19,0.003,0,0.009,0.29,0.795,0.794,0.007,0.004,0.004,0.006,0.003,0.003,0.005,3.217,0.006,0.003,0.006,0,0.005,0.05
68,0.009,0.009,0.008,0.009,0,0.007,0.007,0.008,3.333,0.009,1.218,0.21,0.309,0.141,0.86,0.006,0.976,0.008,0.005,0.142,0.006,0,0.48,0.597,0.839,0.302,1.615,0.463,0.175,0.824,0.564,0.828,0.006,0,0.682,0.902,0.349,0,0.34,0.388
69,0,0,0,0,0,0.006,0,0.016,1.143,0.006,0.003,0,0,0,0.003,0,0.006,0.009,0.011,0.01,0.004,0,0.006,0.004,0.008,0.005,0.006,0.008,0.013,0.006,0.003,0.004,0.003,0,0.003,0.007,0.004,0,0.01,0.015
70,2.986,0.006,0.857,1.279,0,0.968,0.814,2.098,0.386,7.174,0.417,1.087,1.647,1.263,0.635,0.257,1.537,1.361,0.59,1.135,2.066,0,0.043,0.44,1.936,1.358,0.379,1.75,1.786,6.999,0.005,0.005,0.006,5.359,0.006,0.006,0.006,3.325,0.005,0.005
71,0,0.167,0.223,0.274,2.199,0.006,0.27,0.152,0.592,0,0.269,0.157,0.208,0.488,0.564,0.105,0.146,0,0.152,0.024,0.006,2.529,0.006,0.179,0.442,0.008,0.844,0.043,0.005,0,0.499,0.208,0.258,0.794,0.907,0.493,0.26,1.189,5.136,0.083
72,0,0.558,0.629,1.019,1.785,0.005,0.996,0.683,0.43,0,0.566,0.616,0.197,0.01,0.558,0.296,0.447,2.326,0.385,0.638,0,3.25,0.595,0.003,0,0.003,0.003,0.569,0,0,0.504,0.777,1.224,1.244,0,1.148,1.514,0.004,3.662,0.191
73,0,0.03,0.546,0.015,0.432,0.008,0.077,0.114,0.276,0,0.641,0.392,0.011,1.33,0.337,0.273,0.013,0.92,0.336,0.013,0.235,0.659,0.194,0.342,0.251,0.086,0.184,0.008,0.231,2.248,0.008,0.007,0.048,0.006,1.827,0.009,0.252,0.476,0,0.058
74,0,0.571,0.007,0.462,2.108,0,0.555,0.389,0.191,0,0.464,0.005,0.345,0,0.004,0.249,0.083,0.803,1.616,0.328,0.004,1.362,0.923,0.17,0.005,0.272,0.007,0.795,0.295,0.782,0,0.006,0.005,0.004,0,0.004,0.004,0.005,1.973,0.004
75,3.065,0.006,0.233,0.043,0.006,0,0.007,0.087,0.005,8.21,1.888,0.946,1.406,0,0.914,0.307,0.648,0.657,0,0.646,2.345,0.226,1.673,0.259,1.62,1.528,0,2.294,0.006,2.115,1.38,0.437,1.98,3.428,0,1.28,0.498,1.325,1.512,0.904
76,0.005,0,0.005,0.006,0.005,0,0.029,0.059,0.006,3.192,0.164,0.008,0.004,0,0,0.005,0.005,0.004,0,0.011,0.105,0.004,0.049,0.006,0.372,0.09,0,0.741,0.033,0.16,0,0.131,1.541,0.008,0,0.006,0.004,0.005,0.003,0.004
77,2.422,0,0.689,0.141,0.325,0,0.004,0.099,0.267,1.619,0.004,0.004,0.004,1.755,0,0.005,0.004,0.01,0,0.004,0.397,0.386,0.857,0.754,0.659,0.721,0,0.951,0.774,0.797,1.885,0.89,0.36,0.316,0,0.003,0.206,0.006,1.187,0.004
78,0.948,2.48,0.166,0.197,0.215,5.605,0.006,0.245,0.555,1.063,1.569,0.346,0.467,0.779,4.632,0.746,0.354,0.259,8.958,0.648,0.534,0.614,0.383,0.246,0.666,0.482,1.956,0.418,0.504,0.599,0.619,0.381,0.353,0.273,2.3,0.958,0.828,0.541,2.345,0.176
79,2.774,0,0.822,0.051,1.26,0,0.23,0.895,0.207,1.6,0.796,0.006,0.005,0.005,0,0.006,0.006,0.006,2.762,0.006,0.057,0.479,0.471,0.781,0.381,0.716,0.838,0.817,0.175,0.548,0.742,0.004,0.244,0.254,0.081,0,0.044,0.134,0.659,0
80,0.151,0,0.079,0.087,0.152,2.252,0.022,0.061,0.148,0.129,0.245,0.169,0.172,0.178,0,0.103,0.084,0.008,1.218,0.155,0.107,0.052,0.487,0,0.024,0.16,0.083,0.073,0.062,0.171,0.012,0.102,0.514,0.196,1.262,0,0.019,0.019,0.305,1.66
81,0.11,4.106,0.868,0.274,0.375,2.401,0.009,0.123,0.711,0.79,0.707,1.508,0.21,1.121,5.311,1.999,1.21,1.414,1.171,0,1.523,1.699,1.648,0,0.576,0.844,0.917,0.471,0.957,1.472,0.257,5.079,1.61,0.657,1.472,4.714,1.613,0.613,0.957,0.3
82,0.005,1.336,0,0.007,0.006,0.01,0.007,0.012,0.134,0.056,0.006,0.714,0.006,0.015,3.292,0.61,0.023,0.143,0.277,0,0.027,0.156,0.051,0,0.05,0.224,0.025,0.39,0.562,0.029,0.004,0,0.008,0.051,0.053,0,0.049,0.035,0.026,0.097
83,0.191,2.518,4.547,0.336,0.302,0.417,0.459,0.181,0.072,0.182,0.2,1.719,0.081,0.333,0.941,1.589,0.342,0.172,0.005,0,0.473,0.738,0.672,0,0.218,0.381,0.307,0,0.33,0.155,0.255,1.666,0.13,0.091,0.178,2.69,0.074,0.145,0.227,0.037
84,0.005,0.02,1.171,0.196,0.287,0.03,0.024,0.009,0.308,0.091,0.005,0,0.144,0.28,0.873,1.099,0.333,0.227,0.231,0,0.08,0.317,0.273,5.484,0.005,0.294,0.01,0.906,0.005,0.168,0.16,0.425,0.157,0.38,0.292,0.479,0.464,0.225,0.162,0.397
85,0.342,0.697,0.537,0.457,0.039,0.511,0.264,0,0.441,0.535,0.241,2.009,0.11,0.312,0.474,0.465,0.265,0.13,0.334,3.96,0.406,0.542,0.347,7.643,0.294,0.012,0.581,0.319,1.364,0.241,0.447,0.806,0.42,0.591,0.603,0.402,0.912,0.49,0.544,0.849
86,0.773,0.54,0.656,0.434,0.012,0.009,0.728,0,0.048,0.008,0.686,0.704,0.233,0.075,0.799,1.248,0.476,0.142,0.586,1.111,0.197,0.041,0.014,4.876,0,0.005,0.006,0.014,0,0.006,0.195,0.005,0,0.618,0.24,0.721,0.109,0.177,0.598,0.044
87,0.445,0.256,0.279,0,0.116,0.506,0.299,0,0.362,0.253,0.004,0.01,0.007,0.014,0.04,0.008,0.005,0.008,0.005,0.92,0,0.08,0.063,0.438,1.544,0.005,0.035,0.005,1.695,0.058,0.008,0.088,0,0.036,0.038,0.005,0.079,0.081,0.009,0.05
88,0.543,0,0.004,0,0.003,0.797,1.108,0,1.2,0.658,0.005,1.829,0.716,0.11,0.342,0.746,0.192,0.253,0.665,2.265,0,0.711,0.887,0.004,0,0.689,0.569,0.337,0,0.16,0.186,0.796,2.109,1.103,0.464,0.005,0.454,0.743,0.006,1.549
89,0.235,0.32,0.215,0,0.007,0.078,0.559,2.912,0.953,0.297,0.814,0.136,2.638,1.103,0.07,0.705,1.923,0.452,0.576,0.8,5.255,0.491,0.014,0.033,3.756,0.476,0.291,1.14,4.307,0.007,0.351,1.108,1.969,0.453,0.978,0.901,0.789,1.816,0.701,0.25
90,0.341,0.018,0.103,0,0.274,0.146,0.312,0.961,0,0.445,0.155,0.077,0,0.136,0.111,0.35,0.34,0.12,0.084,0.124,4.069,0.01,0.006,0.01,2.039,0.013,0.013,0.005,1.682,0.01,0.394,0.185,0.182,0.151,0.091,0.369,0.52,0,0.155,0.088
91,0.073,0.064,0.048,2.595,0.048,0.03,0.043,0.24,0,0.166,0.075,0.217,0,0.889,0.115,0.555,2.441,0.887,0.55,1.807,2.676,0.32,0.014,0.301,0.466,0.124,0.316,0.114,0.051,0.296,0.482,0.247,0.362,0.543,0.348,0.433,0.329,0,1.057,0.75
92,0.007,0.199,0.009,0.205,0.059,0.01,0.26,0.505,0,0.241,0.016,0.011,1.7,0.015,0.017,0.012,0.341,0.011,0.019,0.015,0.534,0.208,0.296,0.115,0.278,0.222,0.054,0.17,0.223,0.008,0.086,0.145,0.49,0.029,0.181,0.011,0.044,0,0.147,0.095
93,0.004,0.003,0.005,0.003,0.002,0.003,0,0.578,0,0.003,0.003,0.003,0.005,0,0.003,0,0.866,0.004,0.004,0.003,0.003,0.811,0.004,0.423,0.355,0,0.005,0.003,0.003,0.003,0,0.002,0.003,0,0.003,0.293,0.429,0,0.004,0
94,0,0,0.003,0,0,0,0,0.004,0,0,0.003,0.003,0.004,0,0.003,0,0.003,0,0,0.003,0.006,0,0,0.003,0.003,0,0,2.312,0,5.084,0,0,0,0,0.004,0,0,0,0,0
95,1.556,0.017,0.539,0.953,1.739,0.767,0.933,1.689,5.74,0.727,1.784,1.172,1.273,0.727,0.482,1.036,1.521,0.432,0.49,1.399,1.117,0.755,0.626,1.029,1.749,0,0.614,1.009,1.588,0.917,0.445,0.47,0.015,0,0.141,0.942,0.714,7.179,0.152,1.239
96,0,0.042,0.125,0.469,1.05,0.053,0.012,0.166,1.774,0.015,0.008,0.214,0.748,0,0.321,0.066,0.185,0.042,0.133,0.177,0.645,0.113,0.223,0.137,0.336,0,0.304,0.076,0.766,0.282,0.099,0.152,0.089,5.571,0.076,0.072,0.015,2.284,0.139,0.062
