op_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
182,0,0.058,0.342,0.048,0.821,0.006,0.097,0.041,2.274,0.34,0.294,0.683,0.099,6.825,0.772,0.185,1.135,0.289,0.564,1.276,0.375,0.409,0.503,0.457,0.535,0.629,0.268,1.126,0.901,2.564,0,0.005,0.253,0.901,0,0.15,1.22,0.109,0,0.054
183,0,1.236,0.303,0.008,0.076,0.418,0.362,0.15,1.195,2.01,0.203,0.008,0.04,2.255,0.016,0.009,0.009,0.006,0.055,0.02,0.355,0.007,0.421,0.087,0.205,0.477,0,0.007,0.242,1.761,3.171,0.418,0.301,0.883,0,0.076,0.282,0.009,0,0.028
184,5.352,0.005,0.006,0.007,0.005,1.169,0.006,0.005,0.006,1.008,0.007,0.072,0.097,1.73,0.121,0.136,0.067,0.004,0.471,0.15,0.003,0.004,0.869,0.003,0.003,0.003,0,0.004,3.783,0,0,0.005,0.153,0.21,0,0.114,0.206,0.811,0,0.004
185,0,0,0.004,0,0.004,1.254,0,0.004,0.003,0.758,0,0.003,0.011,0.387,0.197,0.004,0,0.003,0.004,0.759,0.721,1.075,3.944,0.092,0.523,0.641,0,2.082,1.079,2.718,0,0.003,0.372,0,0,0.003,0,0.396,0,0.003
186,3.054,0.475,0.804,0.318,1.276,0.916,0.099,0.201,0.652,0.269,1.864,0.931,1.246,1.914,2.256,0.638,0.161,1.031,1.803,0.48,0.061,0.143,2.083,0.055,0.555,0.369,0,0.377,1.579,1.771,1.902,0.006,0.256,1.595,5.533,0.574,0.006,0.441,8.106,0.057
187,1.386,1.557,0.078,0.319,3.137,0,1.023,0.859,0.813,0.453,0,0.236,0.005,0.275,0,0.396,0.795,0.186,0,0.04,0.205,0.126,0,0.209,0.163,0.178,6.184,0.307,0.185,0.151,0.004,0.004,0.018,0.006,2.696,0,0.005,0.005,5.712,0.005
188,0.168,0.18,0.131,0.36,0.096,1.376,0.005,0.073,0.144,0.123,2.324,0.004,0.167,0.214,2.028,0.182,0.053,0.005,3.56,0.301,0.137,0.264,0,0.392,0.305,0.409,2.205,0.12,0.386,0.074,1.543,0.315,0.461,0.459,0.811,0,0.279,0.208,2.066,0.003
189,1.406,0.711,0.111,0.351,0.341,1.703,0,0.188,0.485,0.635,1.005,0.133,0.207,0.125,4.938,0.358,0.436,0.167,0,0.43,0.005,0.45,3.974,0.787,0.006,0.004,0.574,0.845,0.006,0.375,0.931,0.407,0.47,0.142,0.037,0,0.558,0.775,1.621,0
190,0.215,0.301,0.01,0.068,1.031,0.893,0,0.946,1.217,0.578,0.146,0.77,0.34,0.643,0,0.006,0.943,0.341,0,3.559,0.006,0.004,1.474,0,0.006,0.004,0.004,0,0.005,0.006,0.472,0.004,0.575,0.005,0.006,0,0.424,0.005,2.415,1.892
191,0.003,0,0.016,0,0.007,0.008,0,0.01,0.009,0.014,0.004,0,0,0.003,0,0.005,0.005,0.005,0,0,0.654,0.744,0.969,3.746,0.549,0.479,1.192,0,1.028,0.261,4.077,0,0,0,0,4.311,0.004,0,0.005,0.004
192,0.784,1.134,0.159,0.515,0.588,1.549,2.233,0.333,0.412,0.675,1.218,0.127,0.367,0.288,3.018,0.522,0.174,0.504,0,0,0.031,0.971,0.838,0,0.927,0.323,1.203,4.367,0.333,0.582,1.329,0.841,0.697,0.359,0.264,2.427,0.343,0.174,0.806,0.789
193,1.214,1.077,0,0.007,1.196,0.543,0.946,0.785,0.006,0.305,0.009,0.673,0.006,0.006,0.008,0.006,0.007,0.006,2.746,0,0.532,0.004,0.44,0,0.005,0.309,0.836,0,0.006,0.423,0.003,0.975,0.06,0.143,0.046,0.005,0,0.012,0.007,0.142
194,0.249,0.834,0,0.751,0.27,0.006,0.219,0.007,0.227,0.006,0.004,0,0.26,0.236,1.569,0.859,0.21,0.389,0.003,0,1.843,0.005,0.168,0,0.704,0.005,1.217,0,0.003,0.266,0.004,1.331,0.005,0.007,0.005,0.015,2.262,0.009,0.006,0.004
195,0.007,0.46,4.757,1.191,0.003,0.302,0.947,1.586,0.003,0.705,1.098,0,0.823,0.003,0.25,0.48,1.452,1.047,0.004,0,0.117,0.497,1.735,8.131,0.457,0.028,0.358,5.775,1.448,0.484,0.969,0.675,0.005,0.995,1.136,0.004,2.56,0.005,0.69,0.343
196,0.341,0.159,0,1.528,0.319,0.946,0.612,1.472,0.965,0.46,0.393,1.902,0.877,0.232,1.927,1.185,0.941,0.88,2.012,5.962,0,0.241,0.316,2.247,0.09,0.449,0.177,5.192,0.026,0.264,0.604,0.479,0.753,0.514,0.502,0.737,2.853,0.658,0.495,1.379
197,0.57,0.091,2.352,0.175,0.008,0.038,0.153,0.057,0.021,0.126,0.443,0.251,0.441,0.582,0.816,0.617,0.856,0.43,1.397,1.542,0,0.326,0.055,0.155,0,0.116,0.007,4.324,0.006,0.005,0.071,0.04,0,0.371,0.125,0.038,0.579,0.174,0.318,0.026
198,0.005,0.044,0.395,1.625,0.257,0.31,0.346,0,0.207,0.266,0.004,0.047,1.078,0.005,0.185,0.562,0.67,0.158,0.31,0.564,0,0.005,0.004,0.018,2.695,0.005,0.004,1.026,0.932,0.015,0.08,0.005,0,0.188,0.122,0.004,0.287,0.075,0.119,0.184
199,0.005,0.058,0.125,0,0.073,0.045,0.004,0,0.006,0.03,0.099,0.005,0.366,0.004,0.054,0.052,0.005,0.005,0.066,0.005,3.533,0.409,0.005,0.005,0,0.203,0.005,0.806,0,0.005,0.053,1.091,0,0,0,0,0,0,0.005,0.003
200,0.683,0.194,1.14,0,0.713,0.006,0.983,3.424,1.367,0.736,0.006,0.222,0.672,0.233,0.198,1.229,0,0.262,0.334,1.304,1.423,0.619,0.653,0.403,5.329,0.32,0.755,1.79,3.864,0.251,0.431,0.095,5.757,0.007,0.181,0.762,0.529,0.514,0.272,0.856
201,1.332,0.547,1.974,3.534,0.404,0.634,0.637,1.589,0.24,0.653,0.263,0.49,1.718,0.498,0.416,0.377,0,0.443,0.612,1.825,0.164,0.128,0.063,0.23,3.139,0.188,0.047,0.091,5.087,0.047,0.053,0.593,2.204,0.773,0.472,0.403,0.701,0,0.289,0.723
202,0.081,0.119,0.295,2.095,0.025,0.345,0.651,0.436,4.015,0.554,0.499,0.138,0.832,0.227,0.032,0.252,0.885,0.089,0.315,0.128,0.011,0.018,0.012,0.011,0.729,0.024,0.007,0.02,1.318,0.047,0.571,0.096,0.645,2.851,0.31,0.18,0.205,0,0.122,0.387
203,0.014,0.032,0.011,0.288,0.009,0.011,0.069,0.013,0,0.041,0.026,0.007,0.268,0.019,0.026,0.02,0.008,0.022,0.026,0.016,0.365,0,1.193,1.221,2.047,0,0.447,0.549,1.591,1.149,0.014,0.005,0.012,4.088,0.022,0.006,0.02,0,0.009,0.039
204,0.007,0.01,0.008,0.007,0,0.007,0.01,0.008,2.866,0.009,0.676,1.287,0.495,1.537,0.627,3.062,1.091,0,1.262,0,0.007,0.816,0.128,0.207,0.53,0.544,0.006,0.101,0.254,1.438,0.39,0.231,0.097,3.063,0.208,0.533,0.234,0,0.164,0.289
205,0.018,0.04,0.172,0.405,0,0.144,0.004,0.134,1.708,0.035,0.054,0.516,0.007,0.185,0.073,0.084,0.711,0.247,0.016,0.215,2.029,0.767,0.009,1.563,4.34,1.761,1.171,1.69,1.292,1.658,0.114,0.004,0.078,0,0.005,0.206,0.167,0,0.058,0.007
206,2.714,0.007,0.775,2.331,4.085,2.115,1.66,1.999,0.294,0.953,0.003,0.167,0.007,0.004,0.316,0.004,0.12,0.005,0.307,0.161,1.576,0,0.228,0.451,1.712,0.59,0.434,0.419,1.476,4.85,0.007,0.009,0.07,0,0.008,0.011,0.009,7.299,0.008,0.008
207,0.021,0.005,0.138,1.191,0,1.017,0.036,0.911,0.004,0.016,0.871,1.528,0.718,1.604,0.411,0.375,1.28,0.879,0.29,1.029,0.003,2.861,0.006,0.003,0.006,0,0.004,0.012,0.02,0,0.005,0.005,0.005,4.981,0.005,0.006,0.006,2.267,0.005,0.004
208,0,0.163,0.393,0.009,0,0.005,0.004,0.009,0.738,0,0.004,0.851,2.061,0,0.258,0.006,1.92,0.317,0.63,0.263,0.134,0,0.015,0.679,1.563,0.155,1.171,0.015,0.071,3.335,1.388,2.333,1.318,0,0.853,0.831,0.906,3.412,0,0.705
209,0,0.006,0.007,0.133,2.914,0.033,0.313,0.138,0.07,0,0.296,0.507,0.315,5.252,1.225,1.114,0.966,0.881,0.38,0.173,0.009,1.915,0.296,0.039,0.007,0.124,0.16,0.334,0.006,1.968,0.349,0.297,0.011,1.519,0.537,0.542,0.785,0.805,0,0.231
210,3.625,0.273,0.278,0.416,1.695,0.016,0.381,0.165,0.17,0,0.14,0.342,0.05,0,0.783,0.006,0.093,0.069,0.411,0.247,0.468,0.004,1.4,0.273,0.004,0.003,0.752,1.601,0.003,1.799,0,0.004,0.315,1.298,0.209,0.863,0.233,2.127,0,0.243
211,0,0,0.003,0.005,0.003,0.004,0.004,0.004,0.005,0,0.005,0.409,0.839,0,0.406,0.508,0.534,0.882,0.66,0.666,1.32,1.105,0.805,0.004,0.771,0.777,0.116,0.577,0.307,1.079,0,0.003,0.195,2.388,0.003,2.806,0.003,0.004,0,0.003
212,0,0.007,0.605,0.229,1.041,0.298,0.005,0.188,0.011,3.055,1.117,0.61,0.958,0,0.322,0.083,0.531,0.257,0,0.407,0.407,0.623,2.246,1.053,0.602,0.67,1.226,1.933,2.269,1.631,2.233,0.205,0.587,2.263,0.417,0.553,0.166,0.235,0,0.355
213,5.264,1.827,0.653,0.022,1.575,1.534,0.245,1.187,0.874,1.512,0.205,0.007,0.517,6.158,0.228,0.195,0.378,0.146,0,0.322,0.016,0.089,0,0.285,0.111,0.119,0.327,0.757,0.181,0.516,1.255,0.859,0.973,2.473,0.647,0.318,0.341,0.321,6.469,0.004
214,2.007,0.013,0.038,0.006,0.49,0,0.088,0.27,0.007,0.332,0.048,0.014,0.198,2.099,0.63,0.049,0.246,0.243,1.311,0.126,0.135,0.222,0,0.15,0.034,0.222,0.164,0.105,0.146,0.201,0.555,0.025,0.331,0.135,0.057,0.605,0.082,0.079,2.062,2.548
215,0.231,1.296,0.096,0.006,0.109,0,0.005,0.007,0.113,0.098,0.188,0.079,0.059,0.214,1.872,0.031,0.061,0.333,0.763,0.015,0.03,0.1,3.922,0.262,0.017,0.007,0.048,0.216,0.02,0.095,0.191,0.018,0.093,0.087,0.023,0.712,0.057,0.039,0.421,0
216,1.975,0.844,0.164,0.292,0.597,0,0.607,0.87,1.073,0.388,0.009,0.492,0.57,0.684,0,0.037,0.433,0.529,0.751,1.242,0.482,0.097,0,0,0.298,0.254,0.502,0.556,0.143,0.769,0.532,0.007,0.479,0.558,0.388,0.253,0.123,0.007,1.362,2.85
217,0.039,0.006,0.078,0.044,0.008,3.942,0.01,0.019,0.552,0.098,0.118,0.874,0.412,3.403,0,0.299,0.225,0.082,1.397,0.735,0.055,0.057,2.157,0,0.089,0.009,0.054,0,0.03,0.148,0.138,2.65,0.176,0.451,0.694,0.046,0.06,0.379,0.72,1.038
218,0.131,0.565,0.011,0.055,0.079,1.074,0,0.286,0.488,0.132,0.037,0.42,0.223,0.258,0,0.033,0.164,0.259,0.264,0.148,0.261,0.268,1.11,0,0.596,0.711,0.605,1.755,0.743,0.116,1.454,0,0.313,0.358,0.409,0.571,0.299,0.418,0.922,2.19
219,0.303,0.815,1.02,1.275,0.395,1.654,1.037,0.761,0.296,0.131,0.363,0,0.264,0.02,0,0.412,0.367,0.4,0.108,0.122,0.589,0.25,0.59,5.057,0.475,0.184,0.146,1.045,0.466,0.007,0.239,3.964,0.14,0.579,0.23,0.369,0.204,0.005,0.337,0.005
220,0.095,0.765,0.566,0.26,0.271,0.269,0.377,0.845,0.468,0.017,0.032,0,0.1,0.008,5.492,0.359,0.026,0.091,0.036,0.644,0.004,0.004,1.59,0,0.378,0.405,0.299,0,0.005,0.007,0.986,0,0.04,0.289,0.02,0.1,0.628,0.218,1.85,0.626
221,0.005,0.01,0,0.004,0.006,0.497,0.004,0.006,0.567,0.006,0.004,0,0.006,0.143,0.43,0.296,1.331,0.281,0.006,0.553,0.25,0.176,1.187,0,0.179,1.625,0.41,0,0.397,0.384,0.005,5.253,0.425,0.006,1.741,0.003,0.003,0,0,0
222,0.565,0.785,1.09,1.426,0.571,0.752,0.437,0.437,0.417,0.11,0.006,0,0.392,0.314,1.332,1.245,0.527,0.51,0.016,1.322,0.005,0.005,0.005,6.293,0.005,0.016,0.008,3.69,0.005,0.008,0.11,3.279,0.026,0.055,0.009,0.006,0.217,0.172,0.088,0.243
223,1.464,1.006,1.014,2.037,0.086,0.096,0.828,2.42,0.006,0.049,0.256,0,0.418,0.743,1.66,1.877,1.098,0.403,1.117,0,0.505,0.48,1.275,1.434,0.005,0.018,0.343,1.141,1.351,0.125,0.787,0.671,0.03,1.207,0.257,0.974,0,0.838,0.544,0.143
224,0.026,0.402,0.139,0.469,0.159,0.333,0.461,1.947,0.431,0.571,0.177,2.489,0.167,0.021,0.27,0.196,0.114,0.137,0.048,1.286,0.315,0.004,0.017,0.22,0,0.015,0.007,0.072,0.766,0.005,0.491,0.894,0.005,0.176,0.542,0.05,2.886,0.052,0.061,0.682
225,0.039,0.011,0.018,0,0.075,0.011,0.086,0,0.05,0.071,0.086,0.312,0,0.009,0.006,0.059,0,0.009,0.04,0.377,0.003,0.004,0.696,0.99,0,0.901,1.209,0.226,2.394,0.442,0.178,0.004,0,0.042,0.004,0.014,0.756,0.023,0.019,0.039
226,2.225,0.003,0.752,0,0.003,0.004,1.168,0,0.769,0.004,0.003,0.003,1.755,1.244,0.299,1.198,0,0.003,0.336,0.003,0.293,0.269,0.328,0.183,3.125,0.344,0.538,1.057,1.274,0.328,0.424,1.1,4.681,1.005,0.808,0.008,1.694,0.861,0.007,1.072
227,0.354,0.201,0.191,4.066,0.294,0.163,0.359,2.051,0.475,0.21,0.338,1.291,3.136,0.658,0.142,0.33,0,0.388,0.662,0.618,0.147,0.452,0.009,0.786,3.659,0.107,0.571,0.006,0.346,0.02,0.077,0.325,2.115,0.4,0.183,0.505,0.532,0.561,0.457,0.12
228,0.101,0.486,0.324,0,0.006,0.249,0.058,1.076,0,0.208,0.039,0.006,0,0.005,0.021,0.008,2.077,0.063,0.236,0.41,0.098,0.06,0.006,0.066,1.418,0.055,0.041,0.143,0.007,0.126,0.079,0.571,0.14,0.406,0.087,0.091,0.552,0,0.38,0.294
229,0.097,0.105,0.006,2.228,0.007,0.012,0.046,0.258,2.44,0.062,0.041,0.695,0,0.276,0.078,0.136,0.597,0.156,0.097,0.558,0.004,0.004,0.005,0.003,0.004,0.003,0.562,0.016,0.005,0.851,0.027,0.049,0.006,0,0.133,0.25,0.154,0,0.119,0.08
230,0,6.686,0.004,0,0.005,0.004,0,0,0,0,0.264,0.911,0,0.004,0.005,0.005,0,0.005,0.004,0.011,0.545,0.838,0.537,0.943,1.561,0.825,0.33,0.837,0.589,0.251,2.141,1.722,1.763,0,2.479,0.005,0.006,0,1.71,2.249
231,0.078,0.353,0.007,0.16,0.007,0.082,0.619,1.189,3.517,0.575,0.473,0.315,5.426,0.31,0.126,0.19,0.649,0.171,0.009,0.354,0.456,2.603,0.216,0.163,0.626,0.041,0.038,0.039,0.124,0.131,0.247,0.454,1.289,0,0.564,0.369,1.25,3.896,0.669,0.796
232,0.122,0.005,0.065,0.471,0.863,0.114,0.017,0.236,2.053,0.032,0.04,0.329,0.855,0.026,0.169,0.006,0.362,0,0.005,0.011,1.312,1.182,0.441,0.939,1.537,0.351,0.769,0.292,0.49,0,0.017,0.004,0.005,4.503,0.006,0.034,0.033,0,0.006,0.013
233,0.459,0.008,0.19,1.152,2.058,0.266,0.996,0.817,0.54,0.228,0.004,0.841,1.712,1.226,0.74,0.008,1.619,3.155,0.289,1.162,0.953,0,0.006,0.699,2.312,1.703,0.404,1.687,1.045,0,0.345,0.346,0.398,4.859,0.336,0.399,0.004,0,0.452,0.754
234,2.574,0.006,1.535,1.969,0,1.945,1.302,1.404,0.407,1.329,0.85,1.068,1.848,0,0.195,0.788,2.119,1.662,0.816,0.77,0.034,1.648,0.2,0.118,0.485,0.741,0.394,0.233,0.494,0,0.005,0.006,0.005,0,0.006,0.005,0.005,6.588,0.016,0.004
235,0.814,0.005,0.006,0.147,0,0.216,0.005,0.251,0.118,0.174,0.039,0.271,0.897,0,0.348,0.013,1.317,0.773,0.139,0.398,0.005,0,0.103,0.654,1.309,0.161,0.75,0.416,0.888,6.195,0.005,0.017,0.118,6.549,0.086,0.142,0.006,3.469,1.145,0.005
236,0.39,0.344,0.175,0.307,2.425,0.159,0.259,0.212,0.174,0.246,0.006,0.641,1.025,2.901,1.424,0.682,0.427,0.931,0.219,0.312,0.004,0,0.144,0.004,0.004,0.059,0.004,0.131,0.006,0,1.366,0.703,0.878,0,2.539,0.047,0.164,1.823,0,0.439
237,0.52,0.003,0.049,0.005,0.004,0.004,0.002,0.004,0.005,0,0.005,0.005,0.191,2.146,0.004,0.004,0.133,0.256,0.005,0.113,0.821,2.107,1.841,0.273,1.193,0.539,0.308,1.037,0.069,2.09,0.003,0.003,0.004,0,0,0.08,0.048,0.004,0,0.004
238,1.434,0.162,0.567,1.088,1.27,0.687,0.006,0.516,0.14,0,0.776,1.011,3.143,0,0.811,0.064,0.841,0.959,0.338,0.779,0.003,0.087,0,0.004,0.003,0.473,0.004,0.003,0.004,0.004,0.091,0.005,0.197,4.095,0,0.133,0.149,0.235,0,0.051
239,0,1.711,0.003,0.004,0.004,0.832,0.004,0.004,0.003,0,0.008,0.004,0.004,5.007,0.376,0.004,0.119,0.688,0.464,0.003,0.856,0.822,0,0.228,1.114,0.639,0.184,1.126,0.872,1.49,0.472,0.2,0.621,0.842,0,0.005,0.004,0.005,6.281,0.227
240,1.166,0.415,0.683,0.123,1.445,0.462,0.207,0.517,0.432,0,0.958,0.488,0.177,1.338,0.19,0.371,0.087,0.519,0,0.153,0.661,0.407,0,0.032,0.199,0.279,0.177,0.242,0.061,1.391,0.158,0.204,0.385,3.463,2.362,0.258,0.168,0.076,0,0.006
241,0.005,0.029,0.036,0.038,0.025,3.323,0.021,0.006,0.012,1.857,0.836,0.113,0.095,0.416,0.5,0.027,0.286,0.022,0,0.529,0.198,0.131,4.077,0.007,0.03,0.079,1.283,0.265,0.621,1.184,0.5,0.062,0.203,2.062,1.177,0.114,0.873,0.018,0,0.496
242,0.523,0.383,0.075,0.137,0.941,0.849,0.442,0.853,0.264,0.232,0.346,0.115,0.174,0.077,0,0.389,0.171,0.424,0,0.451,0.005,0.84,0,0.478,0.585,0.523,1.136,0.775,0.336,0.757,0.005,0.058,0.149,0.067,1.16,0.142,0.065,0.05,3.398,0.31
243,1.059,0,0.484,0.062,0.774,0,0.517,0.388,0.007,0.442,0.139,0.007,0.007,0.056,0,0.009,0.057,0.048,3.421,0.081,0.174,0.025,2.832,0.163,0.25,0.155,0.144,0.107,0.236,0.029,0.251,0.006,0.787,1.702,0.006,0.851,0.046,0.103,1.038,0
244,0.125,0,0.125,0.229,0.969,0,0,0.829,1.375,1.45,0.074,0.506,0.593,1.149,3.795,0.004,0.349,0.476,1.651,1.222,1.19,0.243,0.939,0.522,0.497,0.213,0.185,0,0.508,0.892,0.446,0.269,0.855,0.005,0.12,0,0.225,0.078,1.294,3.438
245,0.184,0,0.053,0.059,0.239,3.551,1.593,0.008,0.227,0.009,0.427,0.233,0.622,0.907,0,0.564,0.281,0.241,2.261,0.578,0.608,0.073,1.89,0.249,0.383,0.669,0.336,0,0.994,0.048,0.192,0.429,0.351,0.213,1.312,3.899,0.133,0.138,2.713,2.575
246,0.005,6.164,0.136,0.005,0.003,1.693,0,0.435,0.739,0.036,0.127,0.047,0.177,0.005,0,0.006,0.004,0.004,0.004,0,0.747,0.462,1.934,1.14,0.617,0.29,0.636,0,0.97,0.602,0.515,0,0.004,0.408,0.253,0,0.741,0.224,0.262,1.937
247,0.391,1.907,0.492,0.14,0.201,1.6,0,0.126,0.345,0.53,0.433,1.404,0.005,0.394,4.956,0.471,0.509,0.546,0.383,0,0.01,0.272,0.085,0.891,0.436,0.117,0.313,0,0.337,0.297,0.419,0,0.544,0.43,0.465,2.252,0.451,0.061,2.273,0.476
248,0.139,0.022,0,0.194,0.006,0.976,1.425,0.172,0.009,0.03,0.088,0,0.082,0.331,1.057,0.125,0.143,0.111,0.048,2.837,0.316,0.214,0.371,0,0.224,0.285,0.377,0,0.005,0.312,0.21,0,0.372,0.197,0.207,0.525,0,0.004,0.355,0.363
249,0.071,0.55,2.114,0.832,0.289,0.962,0.091,0.271,0.188,0.135,0.005,0,0.32,0.43,1.263,0.39,0.477,0.311,0.052,1.336,0,1.045,0.146,0,0.007,0.003,0.003,0,0.004,0.003,0.1,2.09,0.153,0.137,0.098,0.031,1.42,0.187,0.152,0.555
250,0.003,0.003,0,0.899,0.003,0.152,0.003,0.003,0.004,1.527,0.003,5.027,0.004,0.211,0.149,0.003,0.005,0.003,0.003,0.003,0.323,0.132,0.389,1.213,0.141,0.005,0.133,7.749,0.511,0.006,1.331,0.003,0.594,0.515,0.004,0.003,0,0.004,0.003,0.971
251,0.123,0.538,0,1.007,1.034,1.298,0.209,1.384,0.762,0.76,0.242,2.205,0.826,0.03,1.908,1.179,1.235,0.906,2.339,0.516,0.586,0.077,0.133,0.576,0,0.034,0.14,2.499,0.305,0.225,0.847,0.472,0.003,0.813,0.745,0.035,0,0.065,0.237,0.308
252,0.004,0.562,0,0,0.005,0.256,0.712,0,0.551,0.785,0.521,0.754,0.229,0.122,0.976,0.324,0.349,0.294,0.007,0.131,0,0.441,0.504,0.271,0,0.676,0.616,1.502,0.743,0.436,0.006,1.184,0,0.264,0.005,0.005,2.327,0.004,0.208,0.005
253,0.434,0.164,2.283,2.857,0.093,0.154,0.148,1.323,0.142,0.367,0.061,0.96,0.878,0.53,0.381,0.364,0.886,0.469,0.444,0.535,2.213,0.225,0.159,0.037,4.129,0.04,0.262,0.198,0,0.021,0.299,0.279,4.357,0.249,0.205,0.4,0.443,0.344,0.261,0.526
254,0.267,0.305,0.22,0,0.08,0.557,0.669,0.576,0.476,0.463,0.593,0.327,1.732,0.13,0.294,0.275,0,0.151,0.119,0.152,2.505,0,0.005,0.005,0,0.064,0.029,0.004,3.153,0.006,0.268,0.365,2.024,0.448,0.56,0.429,1.054,0.158,0.104,0.519
255,0.043,0.059,1.056,0,0.532,0.008,0.335,0.403,0.537,0.34,1.224,0.28,0,0.005,0.321,0.958,0,0.006,0.004,0.89,1.415,0.46,0.009,0.504,0,0.258,0.567,0.894,3.12,0.633,0.006,0.005,1.588,0.559,0.004,0.174,1.68,2.123,0.005,0.006
256,0.156,0.263,0.222,3.971,0.14,0.048,0.409,0.384,0.186,0.09,0.377,0.31,0,0.548,0.386,0.337,3.963,0.819,0.319,0.479,0.007,0.251,0.183,0.039,5.888,0.127,0.071,0.015,1.462,0.19,0.24,0.453,1.1,0.928,0.854,0.967,0.299,1.077,0.854,0.814
257,0.006,0.016,0.009,1.065,0.013,0.419,0.292,0.259,0,0.422,0.486,0.012,1.987,0.129,0.116,0.114,0,0.095,0.015,0.026,0.816,0.312,0.047,0.793,3.887,2.949,0.797,0.048,0.535,0.163,0.249,0.275,0.694,0,0.708,0.029,0.75,0,0.114,0.574
258,0.133,0.238,0.815,1.036,0.007,0.542,0.267,1.617,4.755,0.343,0.332,0.112,0.308,0.387,0.186,0.194,4.041,0.081,0.055,0.008,0.004,0,0.371,0.657,0.677,0,0.379,0.091,0.009,0.007,0.082,0.066,0.005,3.826,1.187,0.065,1.298,0,0.381,0.592
259,0.006,0.009,0.013,0.009,0.454,0.007,0.011,0.008,2.293,0.007,0.372,0.354,0.585,0.22,0.369,0.174,1.776,0.057,0.006,0.168,0.004,1.461,0.006,0.006,0.005,0,0.007,0.005,0.009,0,0.07,0.209,0.005,0,0.08,0.493,0.283,0,0.178,0.206
260,0.332,0.297,0.116,0.406,0,0.004,0.132,0.307,0.004,0.701,0.321,0.156,0.006,0.13,0.246,0.005,0.005,0.066,0.356,0.189,1.621,0.503,0.095,0.643,2.119,0,0.929,1.193,1.909,0,0.006,0.009,0.158,0,0.183,0.639,0.146,0,0.07,0.169
261,1.201,0.008,1.431,2.354,1.306,0.71,0.524,1.027,0.27,0.2,0.098,0.715,1.976,0.98,0.883,0.417,1.322,1.862,1.181,0.83,0.116,0.007,0.008,0.013,0.872,0,0.188,0.379,1.292,0,0.08,0.115,0.011,5.812,0.069,0.096,0.199,6.819,0.1,0.081
262,0.453,0.007,0.454,0.759,0.046,0.439,0.51,0.653,0.249,0.376,0.004,0.012,0.013,0.02,0.011,0.073,0.348,0,0.212,0.457,0.008,0.006,0.006,0.025,0.035,2.622,0.109,0.037,0.029,0,0.036,0.266,0.011,0,0.007,0.115,0.21,2.191,0.02,0.007
263,0.413,0.448,0.387,0.029,0.281,0.007,0.641,0.006,0.845,0,1.008,0.929,0.357,0.483,0.757,0.339,0.007,1.258,0.898,1.239,0.006,0.035,0.06,0.005,0.006,0.005,0.006,0.082,0.006,2.614,0.005,0.363,0.177,0,0.661,0.034,0.006,1.464,1.094,0.372
264,1.437,0.326,0.808,0.417,0.367,0.046,0.623,0.162,2.041,0,0.501,0.543,0.262,0.038,0.74,0.125,0.743,0.005,0.334,0.283,0.728,0.242,0.334,0.095,1.882,0.169,0.136,0.647,0.132,0.857,0.243,0.004,0.614,0,0.488,0.24,0.779,0.501,2.379,0.005
265,0,0.04,0.252,0.256,0.007,0.753,0.005,0.837,0.011,0,0.007,0.693,0.469,0.397,0.259,0.007,0.807,0.756,0.441,0.157,0.329,0.308,0.237,0.082,0.365,0.147,0.008,0.296,0.228,0.288,0.021,0.007,0.007,3.388,0,0.006,0.006,0.006,0,0.006
266,0,0.006,0.416,0.006,0.223,1.598,0.004,0.087,0.005,0,0.245,0.121,0.131,0.178,0.322,0.205,0.215,0.379,0.123,0.131,1.476,0.485,1.287,0.273,0.758,0.895,0.666,0.955,0.188,1.104,0.005,0.006,0.007,0.627,0.966,0.093,0.004,0.005,0,0.09
