%iowait,aceph01,aceph02,aceph03,aceph04
231,37.37,45.71,24.21,39.24
232,51.76,48.99,47.04,37.77
233,43.48,32.31,30.4,52.7
234,34.99,23.95,27.83,53.58
235,26.99,35.26,29.77,52.3
236,45.49,40.23,34.77,36.85
237,45.75,40.0,40.78,47.34
238,27.77,40.7,33.21,28.55
239,39.26,51.76,48.42,25.42
240,34.52,38.57,14.99,27.07
241,21.05,32.87,21.73,18.33
242,29.48,22.58,31.67,27.94
243,36.21,40.89,29.2,38.57
244,31.78,48.48,45.44,41.16
245,32.99,18.03,40.98,31.43
246,14.14,10.87,34.98,33.72
247,43.13,53.11,60.76,21.54
248,54.04,42.38,62.89,52.14
249,24.26,37.66,37.76,51.76
250,20.0,31.32,29.22,27.4
251,26.95,28.42,20.94,26.46
252,36.24,28.19,58.51,36.93
253,39.95,52.26,58.94,37.26
254,22.11,17.81,29.2,44.37
255,38.77,38.08,42.62,30.33
256,47.97,29.45,54.12,51.57
257,36.4,16.69,52.65,58.49
258,31.04,16.92,44.03,38.79
259,39.9,33.38,43.47,41.64
260,45.91,39.97,51.89,37.97
261,33.5,37.63,27.07,46.35
262,30.2,46.65,23.38,30.84
263,33.76,36.85,18.27,40.66
264,30.42,38.3,20.51,40.86
265,36.88,46.79,22.29,46.68
266,43.64,42.59,29.68,38.72
267,41.9,42.77,35.32,46.13
268,45.22,55.85,49.24,48.35
269,31.46,47.22,35.27,46.18
270,30.42,47.66,33.29,40.46
271,26.2,34.38,37.19,36.18
272,28.41,49.06,35.66,18.0
273,29.27,35.03,27.76,39.14
274,45.24,34.76,39.62,33.54
275,32.05,21.05,29.62,56.86
276,29.27,32.74,29.21,29.13
277,33.38,29.19,37.04,25.16
278,26.14,28.7,35.66,24.55
279,43.18,39.75,54.14,20.54
280,38.51,40.15,41.53,30.19
281,15.82,17.15,18.17,49.0
282,33.89,35.07,33.42,37.24
283,48.67,21.72,34.86,42.23
284,29.78,26.8,29.18,30.25
285,40.43,34.01,45.61,39.0
286,40.3,25.63,36.96,35.04
287,22.77,21.51,28.82,41.44
288,33.71,23.96,31.39,24.53
289,32.36,36.2,40.63,49.94
290,38.1,23.19,22.95,44.63
291,42.26,35.81,26.19,24.94
292,43.26,56.54,26.86,30.67
293,42.24,43.95,23.48,46.33
294,38.45,44.25,26.27,50.06
295,29.71,53.59,43.35,52.28
296,30.65,31.82,30.32,35.94
297,49.05,47.68,31.46,35.15
298,32.29,57.14,35.61,42.48
299,11.46,34.05,17.31,35.96
300,33.38,65.79,38.1,22.08
301,43.52,59.09,32.32,48.11
302,42.86,52.35,36.92,44.67
303,34.21,36.14,29.39,31.87
304,16.39,26.37,25.97,41.75
305,27.31,39.37,47.1,38.87
306,27.93,32.36,32.91,39.6
307,23.03,23.54,40.1,33.21
308,31.39,30.85,47.65,25.35
309,48.16,42.23,58.96,51.01
310,39.52,40.03,44.25,51.89
311,21.0,29.15,22.07,45.42
312,18.03,21.91,21.38,26.5
313,22.21,43.75,40.74,20.15
314,11.46,19.75,13.0,34.48
315,31.83,38.34,31.0,15.41
316,38.03,27.22,39.33,35.88
317,53.65,28.02,58.92,28.89
318,55.36,39.62,65.32,58.52
319,36.88,27.22,61.92,51.82
320,38.94,19.68,42.8,45.28
321,38.05,29.89,41.01,43.96
322,42.25,42.57,41.09,32.61
323,63.5,47.98,41.29,40.86
324,46.92,46.82,45.04,43.51
325,48.18,52.02,44.96,47.29
326,24.04,37.86,29.65,59.44
327,39.21,36.86,26.53,42.13
328,28.09,34.43,25.06,63.47
329,52.78,45.36,34.45,44.95
330,32.09,30.29,21.98,41.04
331,20.28,27.76,23.52,27.92
332,27.22,40.28,31.57,20.94
333,45.67,47.67,39.6,24.52
334,25.93,22.15,14.9,45.11
335,24.91,30.49,28.09,23.14
336,37.96,67.17,44.42,36.78
337,44.49,50.93,48.81,46.12
338,34.28,38.19,36.62,39.16
339,43.26,53.91,45.55,31.63
340,46.71,41.21,64.08,26.94
341,37.01,30.91,37.83,42.68
342,35.11,32.54,44.37,23.8
343,38.22,15.12,60.0,37.01
344,17.57,14.09,18.96,35.98
345,30.65,32.71,34.21,26.35
346,44.76,44.6,35.58,31.19
347,43.76,44.87,40.74,44.63
348,38.08,51.01,47.31,46.27
349,21.46,31.03,35.28,43.04
350,36.08,19.8,37.34,38.31
351,25.0,18.64,24.39,39.8
352,36.54,31.24,32.15,31.97
353,51.19,35.71,32.07,30.25
354,36.86,26.93,18.15,44.03
355,42.26,40.68,26.73,21.98
356,39.95,50.38,39.06,53.49
357,41.44,57.11,62.81,51.02
358,40.61,46.78,46.84,49.81
359,39.7,34.43,51.94,53.77
360,10.59,9.07,12.33,35.01
361,34.39,57.54,34.42,8.45
362,42.03,50.51,38.56,33.29
363,44.53,52.38,36.65,37.9
364,30.76,35.14,29.39,45.23
365,41.84,44.98,53.59,44.51
366,38.54,33.92,56.73,45.23
367,28.88,19.34,25.58,27.43
368,44.87,29.26,48.61,23.24
369,42.77,42.07,44.08,39.52
370,22.83,27.16,23.17,38.38
371,13.96,22.52,21.21,33.8
372,20.56,20.88,28.09,14.88
373,33.33,34.94,34.22,26.77
374,38.02,46.72,57.93,22.07
375,26.52,22.68,27.93,31.82
376,36.62,32.7,40.89,26.81
377,55.67,43.06,52.46,35.4
378,41.24,54.9,40.03,45.64
379,46.42,27.42,45.86,54.62
380,44.94,27.89,33.12,44.29
381,40.61,32.14,33.0,42.89
382,56.17,52.71,55.43,31.06
383,43.69,53.8,52.0,36.81
384,37.48,45.75,53.22,40.68
385,18.03,22.67,15.97,44.85
386,38.35,28.5,32.91,29.8
387,31.2,38.46,29.7,46.98
388,35.11,39.34,41.95,52.47
389,61.62,47.72,49.37,37.59
390,14.82,14.58,26.16,44.4
391,47.4,59.6,36.99,17.77
392,40.7,55.56,33.96,49.74
393,53.08,59.95,44.15,39.82
394,27.26,27.01,32.29,46.22
395,32.99,48.99,57.12,34.99
396,29.01,51.26,48.04,47.74
397,26.39,33.16,32.65,42.48
398,38.5,41.91,45.36,24.16
399,46.21,52.09,49.18,34.64
