op_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
254,164846567424,138467012608,154588798976,148276338688,135669977088,154589933568,112673218560,181595992064,142508634112,189648302080,115321020416,147788955648,157203582976,177159421952,191393148928,151548411904,150484586496,178385567744,164183674880,177589170176,144459886592,159500529664,172306182144,191564959744,183910699008,163569844224,128868741120,198256291840,156764856320,172446760960,148998242304,127002161152,164088619008,185485492224,156651118592,162572591104,148085428224,175813881856,229983633408,134876012544
255,164846686208,138467098624,154588909568,148276338688,135670083584,154590048256,112673288192,181596090368,142508806144,189648461824,115321098240,147789099008,157203619840,177159557120,191393345536,151548604416,150484586496,178385715200,164183760896,177589338112,144460058624,159500529664,172306210816,191564980224,183910699008,163569872896,128868765696,198256316416,156764884992,172446781440,148998295552,127002234880,164089049088,185485586432,156651192320,162572668928,148085551104,175813947392,229983850496,134876143616
256,164846735360,138467131392,154589016064,148276338688,135670116352,154590068736,112673304576,181596131328,142508814336,189648527360,115321106432,147789123584,157203619840,177159589888,191393370112,151548624896,150484586496,178385727488,164183777280,177589350400,144460406784,159500738560,172306432000,191565266944,183910699008,163570044928,128868900864,198256558080,156765069312,172446978048,148998311936,127002271744,164089176064,185485623296,156651220992,162572709888,148085587968,175813971968,229983862784,134876147712
257,164847034368,138467364864,154589224960,148276633600,135670321152,154590261248,112673443840,181596340224,142508924928,189648707584,115321229312,147789348864,157203619840,177159847936,191393599488,151548805120,150484656128,178385985536,164183937024,177589526528,144460525568,159500967936,172306657280,191565475840,183910735872,163570221056,128869023744,198256795648,156765499392,172447174656,148998488064,127002423296,164089540608,185485729792,156651438080,162572902400,148085784576,175814238208,229984067584,134876286976
258,164847169536,138467450880,154589331456,148277063680,135670489088,154590375936,112673583104,181596528640,142508924928,189648936960,115321339904,147789504512,157204279296,177160040448,191393804288,151548973056,150484656128,178386219008,164184133632,177589747712,144460685312,159501066240,172306870272,191565672448,183911469056,163570233344,128869199872,198257008640,156765728768,172447354880,148998672384,127002574848,164089819136,185485729792,156651626496,162573074432,148085960704,175814238208,229984350208,134876397568
259,164847398912,138467627008,154589532160,148277317632,135670575104,154590601216,112673689600,181596811264,142508961792,189649129472,115321499648,147789664256,157204488192,177160212480,191394119680,151549140992,150484856832,178386452480,164184301568,177589919744,144460759040,159501066240,172307042304,191565840384,183911866368,163570233344,128869289984,198257213440,156765851648,172447379456,148998852608,127002701824,164090003456,185485824000,156651855872,162573316096,148086128640,175814238208,229984616448,134876553216
260,164847521792,138467729408,154589630464,148277456896,135670587392,154590760960,112673792000,181596983296,142509375488,189649293312,115321626624,147789774848,157204643840,177160351744,191394254848,151549284352,150485467136,178386599936,164184436736,177590071296,144460791808,159501352960,172307083264,191565910016,183911895040,163570233344,128869318656,198257266688,156765904896,172447379456,148998979584,127002763264,164090171392,185485824000,156651966464,162573467648,148086263808,175814238208,229984858112,134876741632
261,164847570944,138467799040,154589687808,148277489664,135670587392,154590793728,112673816576,181597024256,142509408256,189649399808,115321667584,147789811712,157204668416,177160417280,191394332672,151549329408,150485508096,178386661376,164184477696,177590136832,144460935168,159501463552,172307279872,191566102528,183912161280,163570233344,128869433344,198257410048,156765995008,172447379456,148999053312,127002828800,164090241024,185485824000,156652007424,162573578240,148086304768,175814238208,229984972800,134876819456
262,164847742976,138467905536,154589806592,148277739520,135670902784,154590945280,112673882112,181597118464,142509543424,189649510400,115321790464,147789991936,157204881408,177160577024,191394537472,151549415424,150485680128,178386669568,164184592384,177590235136,144461033472,159501615104,172307456000,191566290944,183912366080,163570233344,128869572608,198257647616,156766187520,172447379456,148999208960,127002935296,164090388480,185485897728,156652191744,162573713408,148086439936,175814316032,229985173504,134876925952
263,164847919104,138468007936,154589978624,148277862400,135671021568,154591141888,112674009088,181597376512,142509694976,189649723392,115321827328,147790077952,157204987904,177160761344,191394689024,151549640704,150485868544,178386669568,164184727552,177590378496,144461168640,159501766656,172307570688,191566454784,183912579072,163571003392,128869703680,198257852416,156766355456,172447379456,148999335936,127003025408,164090580992,185485897728,156652331008,162573864960,148086538240,175815237632,229985255424,134877065216
264,164848062464,138468208640,154590162944,148277993472,135671181312,154591277056,112674131968,181597581312,142509854720,189649723392,115321991168,147790209024,157205139456,177160962048,191394906112,151549808640,150486007808,178387173376,164184879104,177590546432,144461271040,159501922304,172307730432,191566655488,183912738816,163571163136,128869789696,198257971200,156766494720,172448141312,148999442432,127003185152,164090785792,185485897728,156652466176,162574016512,148086657024,175815421952,229985259520,134877204480
265,164848115712,138468343808,154590326784,148278145024,135671320576,154591404032,112674267136,181597753344,142509981696,189649723392,115322114048,147790315520,157205241856,177161076736,191395139584,151549943808,150486183936,178387304448,164185022464,177590706176,144461479936,159502123008,172307927040,191566917632,183913009152,163571392512,128869969920,198258188288,156766691328,172448350208,148999585792,127003344896,164090966016,185485897728,156652638208,162574172160,148086874112,175815614464,229985284096,134877315072
266,164848115712,138468503552,154590572544,148278374400,135671451648,154591506432,112674381824,181598031872,142510194688,189649723392,115322257408,147790581760,157205504000,177161322496,191395348480,151550140416,150486462464,178387558400,164185165824,177590935552,144461541376,159502163968,172307963904,191566962688,183913095168,163571417088,128870006784,198258278400,156766769152,172448407552,148999786496,127003492352,164091174912,185487245312,156652638208,162574389248,148087025664,175815819264,229985284096,134877499392
267,164848115712,138468560896,154590625792,148278427648,135671496704,154591514624,112674410496,181598076928,142510231552,189649723392,115322339328,147790610432,157205553152,177161375744,191395414016,151550201856,150486499328,178387648512,164185210880,177591013376,144461692928,159502290944,172308066304,191567101952,183913263104,163571564544,128870055936,198258470912,156766867456,172448546816,148999819264,127003525120,164091228160,185487310848,156652929024,162574442496,148087058432,175815876608,229985284096,134877573120
