kbmemused,aceph01,aceph02,aceph03,aceph04
195,9007776.0,8899568.0,9162968.0,9014672.0
196,9010320.0,8899332.0,9167720.0,9019228.0
197,9014092.0,8900668.0,9164832.0,9021656.0
198,9015236.0,8903536.0,9168388.0,9025360.0
199,9018396.0,8901692.0,9167688.0,9025940.0
200,9020680.0,8919264.0,9170940.0,9024772.0
201,9059980.0,8945660.0,9170732.0,9026884.0
202,9052820.0,8903744.0,9195048.0,9075328.0
203,9025256.0,8905248.0,9170724.0,9026452.0
204,9042428.0,8906324.0,9171740.0,9027396.0
205,9036252.0,8911180.0,9168264.0,9030272.0
206,9041340.0,8913916.0,9170812.0,9038060.0
207,9042520.0,8917484.0,9175404.0,9029628.0
208,9044596.0,8918748.0,9181096.0,9031640.0
209,9048200.0,8919328.0,9180520.0,9031276.0
210,9048244.0,8920040.0,9179728.0,9036104.0
211,9054660.0,8925104.0,9185452.0,9037256.0
212,9062072.0,8927832.0,9187236.0,9035852.0
213,9042976.0,8928376.0,9190732.0,9049484.0
214,9044224.0,8928320.0,9190904.0,9066540.0
215,9076220.0,8964056.0,9208800.0,9038420.0
216,9078432.0,8926468.0,9222696.0,9036204.0
217,9061488.0,8930824.0,9220360.0,9044748.0
218,9063752.0,8935372.0,9197820.0,9049400.0
219,9062608.0,8935972.0,9192732.0,9052512.0
220,9063928.0,8937156.0,9197908.0,9053264.0
221,9072416.0,8943636.0,9207668.0,9053456.0
222,9080392.0,8946272.0,9214212.0,9057440.0
223,9069180.0,8952272.0,9216112.0,9088952.0
224,9116140.0,8952488.0,9215608.0,9087452.0
225,9099556.0,8952648.0,9235296.0,9069076.0
226,9074736.0,8953384.0,9239908.0,9075868.0
227,9079032.0,8971236.0,9219492.0,9077788.0
228,9083372.0,9003696.0,9225728.0,9081456.0
229,9083604.0,8956264.0,9225368.0,9079916.0
230,9087176.0,8961396.0,9228832.0,9082856.0
231,9094616.0,8967868.0,9225860.0,9080608.0
232,9095460.0,8964972.0,9227428.0,9085856.0
233,9098000.0,8969892.0,9228740.0,9087412.0
234,9094300.0,8970040.0,9225780.0,9091176.0
235,9100564.0,8977680.0,9236168.0,9128032.0
236,9105044.0,8982140.0,9238124.0,9126768.0
237,9137736.0,9014920.0,9268468.0,9090948.0
238,9148704.0,9038604.0,9240040.0,9092464.0
239,9105216.0,8988104.0,9242260.0,9098664.0
240,9110804.0,8991684.0,9244696.0,9100680.0
241,9108284.0,8994752.0,9249172.0,9104228.0
242,9108928.0,8997428.0,9256904.0,9106256.0
243,9097364.0,8998008.0,9256636.0,9115916.0
244,9101220.0,9001768.0,9254148.0,9107476.0
245,9106540.0,9005876.0,9257768.0,9112516.0
246,9118384.0,9012360.0,9270056.0,9113200.0
247,9135940.0,9007072.0,9304796.0,9170488.0
248,9169820.0,9028672.0,9268504.0,9120744.0
249,9118412.0,9011948.0,9257576.0,9121888.0
250,9126036.0,9006008.0,9267548.0,9124436.0
251,9134612.0,9006512.0,9263992.0,9129172.0
252,9137740.0,9011400.0,9270640.0,9134152.0
253,9136532.0,9010284.0,9270836.0,9131144.0
254,9141096.0,9011564.0,9275856.0,9130856.0
255,9138544.0,9002652.0,9277628.0,9139228.0
256,9142324.0,8997660.0,9275968.0,9142540.0
257,9145228.0,8994700.0,9276884.0,9143708.0
258,9145576.0,9019168.0,9281620.0,9146848.0
259,9193592.0,9051356.0,9282672.0,9163448.0
260,9148168.0,9002320.0,9326980.0,9171316.0
261,9148356.0,9002916.0,9281940.0,9142344.0
262,9152856.0,9007384.0,9279224.0,9146404.0
263,9154008.0,9008868.0,9280180.0,9146796.0
264,9159192.0,9013280.0,9284992.0,9148056.0
265,9157688.0,9019044.0,9289380.0,9152860.0
266,9161720.0,9022652.0,9294416.0,9158388.0
267,9165420.0,9027168.0,9294596.0,9159540.0
268,9167072.0,9030808.0,9298736.0,9159752.0
269,9168024.0,9029560.0,9295176.0,9164124.0
270,9164128.0,9032632.0,9294144.0,9167680.0
271,9173152.0,9038904.0,9302992.0,9160132.0
272,9174880.0,9049956.0,9308184.0,9164440.0
273,9218732.0,9063932.0,9306928.0,9175840.0
274,9176940.0,9042436.0,9346940.0,9221264.0
275,9179172.0,9044132.0,9310884.0,9176168.0
276,9187480.0,9049472.0,9315292.0,9167272.0
277,9192056.0,9054596.0,9317948.0,9172712.0
278,9195596.0,9060252.0,9318532.0,9171648.0
279,9199072.0,9063668.0,9322896.0,9165864.0
280,9199968.0,9060700.0,9315296.0,9167884.0
281,9214076.0,9066012.0,9320876.0,9167092.0
282,9211404.0,9071908.0,9343080.0,9171376.0
283,9240552.0,9108988.0,9367156.0,9175580.0
284,9237684.0,9076476.0,9325108.0,9194880.0
285,9218496.0,9079188.0,9330044.0,9222376.0
