w/s,aceph01,aceph02,aceph03,aceph04
73,63.4,65.6,59.9,51.9
74,24.3,22.4,24.9,21.1
75,3.2,3.4,2.4,1.9
76,58.4,52.3,52.0,40.0
77,31.9,39.5,35.9,63.0
78,93.2,110.5,93.4,133.3
79,57.9,60.1,75.6,53.9
80,16.6,23.3,35.0,19.9
81,50.7,63.4,64.6,62.1
82,27.7,32.0,30.6,43.5
83,52.7,32.2,42.9,42.8
84,57.2,29.0,40.8,33.6
85,30.4,28.3,27.9,19.0
86,76.9,76.6,102.3,96.3
87,41.2,41.0,36.1,31.5
88,86.7,100.5,80.0,73.9
89,37.1,36.7,44.4,44.3
90,100.8,87.2,88.1,95.1
91,25.9,22.5,18.5,17.7
92,67.1,69.0,59.2,86.6
93,93.7,68.4,82.4,82.6
94,71.8,95.8,92.3,82.1
95,80.9,98.1,78.8,76.0
96,81.1,85.4,85.7,77.0
97,18.4,19.9,20.3,27.0
98,30.3,24.8,27.3,33.9
99,126.0,118.4,133.5,113.5
100,50.3,47.6,70.7,49.9
101,87.6,71.19,80.2,70.7
102,159.3,191.5,180.6,143.0
103,6.4,8.1,4.7,4.4
104,1.4,1.2,0.6,0.7
105,6.7,8.1,11.7,13.8
106,180.8,163.7,163.3,186.6
107,53.4,38.7,46.4,49.0
108,15.1,22.0,16.8,18.2
109,71.3,79.4,102.0,96.0
110,31.5,32.8,42.6,39.8
111,5.7,15.9,12.6,8.1
112,14.0,19.9,13.1,14.8
113,68.3,68.2,71.4,86.2
114,158.8,116.2,110.2,118.7
115,33.5,21.2,43.0,25.1
116,36.8,49.4,49.2,44.8
117,14.2,13.5,12.6,24.7
118,28.0,45.3,39.6,35.1
119,90.9,81.6,78.9,77.5
120,59.4,31.4,37.4,43.0
121,40.3,35.8,52.5,38.9
122,88.1,104.9,92.8,95.3
123,57.1,60.0,49.9,60.7
124,91.0,82.1,87.2,74.6
125,53.8,69.3,52.8,45.8
126,67.3,74.6,82.8,62.2
127,79.5,64.5,62.2,97.8
128,62.9,67.7,70.6,84.3
129,55.2,56.4,57.5,48.2
130,22.1,15.2,19.2,14.2
131,102.0,115.2,134.9,96.8
132,65.7,63.0,57.6,44.9
133,90.8,109.8,98.0,91.7
134,31.6,27.5,27.7,23.8
135,94.9,82.1,74.4,93.1
136,47.4,38.7,45.7,56.4
137,15.9,16.3,22.3,23.0
138,58.3,69.7,56.0,65.7
139,4.3,6.5,4.6,4.3
140,118.8,142.1,150.1,158.1
141,25.2,31.7,48.3,30.7
142,75.4,49.9,68.1,47.7
143,61.7,34.7,50.2,38.4
144,14.0,10.9,21.7,29.6
145,28.4,38.7,31.3,31.2
146,13.3,9.3,14.0,13.4
147,139.5,129.2,143.4,162.3
148,69.3,44.8,54.3,53.3
149,40.0,57.7,37.0,40.1
150,74.3,92.3,65.4,60.2
151,71.9,54.0,57.4,76.1
152,16.9,13.5,26.6,16.4
153,77.0,78.3,67.2,77.1
154,64.6,78.7,67.9,71.5
155,23.6,35.3,18.9,21.9
156,29.3,20.2,23.6,19.7
157,73.2,84.6,98.6,71.7
158,106.1,108.5,124.6,115.2
159,96.4,75.0,68.1,63.7
160,86.6,96.5,105.5,113.5
161,61.7,80.1,95.7,74.1
162,143.0,127.3,135.9,113.0
163,52.2,67.2,47.6,43.0
164,42.2,48.2,34.8,67.9
165,55.5,46.5,40.3,48.5
166,45.0,42.3,35.4,53.5
167,52.0,51.4,44.5,65.7
168,33.8,37.0,45.8,31.3
169,48.9,53.2,62.1,49.8
170,38.0,37.0,38.2,37.4
171,57.6,46.3,51.6,42.2
172,38.7,40.0,36.9,33.6
173,92.1,101.6,97.4,84.1
174,41.1,27.8,34.6,36.4
175,40.3,45.3,45.7,73.8
176,31.2,34.0,38.2,37.8
177,41.5,38.4,57.1,43.9
178,75.052,59.2,78.8,57.2
179,75.1,53.9,59.2,59.8
180,76.7,89.1,69.7,72.8
181,42.3,41.9,48.4,52.1
182,17.9,13.9,19.5,15.9
183,69.4,71.9,63.2,83.3
184,36.2,31.4,26.1,33.7
185,77.1,96.4,89.1,91.2
186,87.6,114.0,114.6,93.6
187,34.3,28.4,33.266,32.5
188,29.1,21.6,20.5,27.5
189,46.2,43.3,68.7,52.8
190,58.0,69.8,78.8,70.0
191,152.9,124.7,130.6,115.7
192,4.5,6.5,3.9,4.3
193,32.7,47.621,47.0,33.6
194,133.2,156.1,115.9,146.1
195,104.0,86.0,93.2,99.2
196,25.0,31.3,21.8,24.7
197,8.7,8.9,16.7,12.5
198,52.5,46.1,51.8,47.7
199,54.5,61.1,68.6,74.7
200,89.0,81.6,87.5,72.5
201,51.9,87.6,66.9,48.2
202,38.3,35.0,45.9,30.7
203,30.5,27.8,18.4,18.2
204,12.8,12.1,12.9,19.5
205,120.3,82.5,88.9,114.3
206,21.8,17.6,24.2,30.2
207,73.8,55.7,61.0,73.4
208,61.9,64.6,62.5,51.6
209,32.3,24.6,48.0,39.2
210,10.2,7.5,6.5,10.1
211,75.0,79.1,70.7,86.7
212,65.9,80.1,54.6,56.2
213,15.2,14.4,12.3,21.7
214,10.9,8.5,10.9,16.2
215,28.1,34.3,41.4,32.5
216,141.2,156.9,127.3,121.2
217,80.9,78.8,85.0,83.4
218,32.7,41.1,36.8,35.1
219,3.2,4.5,2.1,2.0
220,72.4,61.8,68.7,63.2
221,79.7,68.2,87.3,91.5
222,102.1,121.3,120.1,93.7
223,117.6,133.5,145.0,109.1
224,1.7,1.8,1.4,5.6
225,81.8,70.5,72.4,65.0
226,8.7,8.3,12.4,7.7
227,52.5,53.7,47.2,69.407
228,68.9,75.6,71.4,107.1
229,9.9,13.3,22.0,13.4
230,79.7,62.2,58.1,68.2
231,61.9,62.5,92.1,57.4
232,6.0,3.8,5.9,4.7
233,56.5,41.4,46.9,45.9
