bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,326291522865,327566854799,318337339330,303752949609,323105241119,351175686878,247107140996,348786239401,316539799514,358266428225,275639625452,310703081847,302778506633,360056589888,378905731583,286676953582,311345384120,281995060339,366331917602,323558736421,305633696516,308200387263,345310119111,354092413952,310396966238,290519658378,318518248350,404312347651,296394554157,340221625259,288580274244,294132501108,322572179961,341097517277,329583620124,315445177439,307756504272,371309798892,366568636011,283123947520
11,326291824881,327567079704,318337497126,303753206644,323105485306,351175918213,247107346621,348786509286,316539799514,358266714537,275639837506,310703329607,302778770092,360056808366,378906040024,286677139934,311345602599,281995240257,366332168211,323558926345,305633979250,308200535061,345310446825,354092706692,310397184720,290519819027,318518428276,404312636812,296394695521,340221869444,288580473449,294132700311,322572466277,341097748611,329583851453,315445428045,307756703477,371309798892,366568989438,283124127443
12,326291824881,327567079704,318337497126,303753206644,323105485306,351175918213,247107346621,348786509286,316539799514,358266714537,275639837506,310703329607,302778770092,360056808366,378906040024,286677139934,311345602599,281995240257,366332168211,323558926345,305633979250,308200535061,345310446825,354092706692,310397184720,290519819027,318518428276,404312636812,296394695521,340221869444,288580473449,294132700311,322572466277,341097748611,329583851453,315445428045,307756703477,371309798892,366568989438,283124127443
13,326291824881,327567079704,318337497126,303753206644,323105485306,351175918213,247107346621,348786509286,316539799514,358266714537,275639837506,310703329607,302778770092,360056808366,378906040024,286677139934,311345602599,281995240257,366332168211,323558926345,305633979250,308200535061,345310446825,354092706692,310397184720,290519819027,318518428276,404312636812,296394695521,340221869444,288580473449,294132700311,322572466277,341097748611,329583851453,315445428045,307756703477,371309798892,366568989438,283124127443
14,326291824881,327567079704,318337497126,303753206644,323105485306,351175918213,247107346621,348786509286,316539799514,358266714537,275639837506,310703329607,302778770092,360056808366,378906040024,286677139934,311345602599,281995240257,366332168211,323558926345,305633979250,308200535061,345310446825,354092706692,310397184720,290519819027,318518428276,404312636812,296394695521,340221869444,288580473449,294132700311,322572466277,341097748611,329583851453,315445428045,307756703477,371309798892,366568989438,283124127443
15,326291824881,327567079704,318337497126,303753206644,323105485306,351175918213,247107346621,348786509286,316539799514,358266714537,275639837506,310703329607,302778770092,360056808366,378906040024,286677139934,311345602599,281995240257,366332168211,323558926345,305633979250,308200535061,345310446825,354092706692,310397184720,290519819027,318518428276,404312636812,296394695521,340221869444,288580473449,294132700311,322572466277,341097748611,329583851453,315445428045,307756703477,371309798892,366568989438,283124127443
16,326292407507,327567973621,318338303942,303753990601,323106237136,351176805707,247107982777,348787413207,316539799514,358267183629,275640550786,310704162110,302779544768,360057553765,378906846839,286677928204,311346319453,281995755779,366332895052,323559758862,305634886025,308201203357,345311247207,354093584194,310397920848,290520462335,318519254357,404313504304,296395270993,340222460619,288581225271,294133323625,322573215965,341098504018,329584429784,315446164167,307757413901,371312921179,366569599899,283124645092
17,326292407507,327568459864,318338721620,303754296192,323106789766,351177229810,247108224110,348787997959,316539799514,358268031838,275640959194,310704521955,302779914618,360057932887,378907460861,286678471560,311346884936,281996224858,366333367711,323560125134,305635239445,308201653171,345311694168,354093941196,310398444909,290520880016,318519691313,404313989821,296395714372,340222460619,288581630103,294133622796,322573595086,341098928126,329584442636,315446656099,307757934398,371315402288,366569599899,283124947106
18,326292407507,327568620513,318338875842,303754412585,323106905432,351177332622,247108326924,348788100773,316539799514,358268198910,275641084864,310704615491,302780011003,360057932887,378907589378,286678619357,311347007030,281996295543,366333470524,323560260077,305635367962,308201775264,345311835537,354094024734,310398567001,290520982828,318519787701,404314134765,296395810756,340223241719,288581687936,294133744890,322573717178,341099088774,329584449062,315446771763,307758069342,371315505102,366569760547,283125030641
19,326292407507,327569080326,318339252119,303754643913,323107288141,351177728180,247108596807,348788477051,316542846115,358268617316,275641463990,310704891802,302780332291,360057932887,378908032761,286678876396,311347276920,281996578276,366333817521,323560594951,305635847050,308202032302,345312285343,354094249641,310399023239,290521247013,318520153978,404314507467,296396183458,340223241719,288582032075,294134137597,322574125580,341099095200,329584449062,315447113058,307758364928,371315852101,366569760547,283125319807
20,326292407507,327569103180,318339290674,303754682467,323107352400,351177773161,247108661066,348788567014,316543058170,358268713705,275641560380,310705052445,302780419402,360058067826,378908174131,286678989214,311347366883,281996710367,366333923910,323560729895,305635962716,308202154394,345312439564,354094356033,310399158182,290521356251,318520327479,404314706668,296396266996,340223241719,288582144888,294134214709,322574260523,341099095200,329584449062,315447251578,307758448465,371316003472,366569760547,283125458329
21,326292523171,327569250977,318339438470,303754865965,323107513047,351177773161,247108776732,348788740507,316543225241,358268855075,275641656769,310705180963,302780528639,360058067826,378908379757,286679124159,311347527528,281996832455,366334058849,323560871261,305636097661,308202347172,345312458841,354094535957,310399267420,290521465488,318520436719,404314886592,296396395513,340223241719,288582305533,294134349655,322574356911,341099095200,329584449062,315447367241,307758570556,371316106285,366570512377,283125593275
22,326292523171,327569501587,318339718363,303755126578,323107795783,351178229398,247108921677,348789007542,316543453721,358269131387,275641885252,310705367310,302780795674,360058067826,378908713902,286679329787,311347720306,281997050931,366334180941,323561076888,305636296864,308202488544,345312458841,354094748010,310399438069,290521696820,318520616645,404315092943,296396594714,340224282711,288582498309,294134548855,322574658925,341099889167,329584449062,315447550738,307758776183,371316318341,366570512377,283125757498
23,326294750812,327569961404,318340103918,303755653499,323108255594,351178669931,247109313649,348789448073,316543926386,358269649030,275642116586,310705785716,302781229783,360058067826,378909131585,286679863136,311348270078,281997417203,366334180941,323561523849,305636820927,308202970488,345313053585,354095294194,310399907158,290522063099,318520725886,404315694126,296397006697,340224491915,288582848879,294134992242,322575211541,341100464655,329585011689,315447762793,307759184594,371316870956,366572122430,283125956700
24,326295233475,327570697537,318340785053,303756308937,323108949591,351178804874,247109744187,348790139222,316544440454,358270318044,275642759908,310706454010,302781779547,360060469703,378909131585,286680428621,311348775599,281997896295,366334180941,323562054347,305637374276,308203411026,345313188528,354095972496,310400450509,290522532188,318520764440,404316514511,296397662141,340225415113,288583315112,294135426359,322575735596,341101004428,329586963037,315447762793,307759640834,371317581382,366572726466,283125956700
25,326295419826,327570774649,318340897869,303756431030,323109065258,351179598832,247109744187,348790357699,316544607527,358270542947,275642882002,310706582526,302781863081,360060676056,378909131585,286680512158,311348884840,281998050513,366334180941,323562244274,305637541348,308203610231,345313188528,354096145995,310400707542,290522673560,318521494131,404316867935,296397822790,340225717128,288583514310,294135664120,322575941223,341101242188,329587245779,315447762793,307759846464,371317844839,366572977077,283126046664
26,326295419826,327570774649,318340897869,303756431030,323109065258,351179598832,247109744187,348790357699,316544607527,358270542947,275642882002,310706582526,302781863081,360060676056,378909131585,286680512158,311348884840,281998050513,366334180941,323562244274,305637541348,308203610231,345313188528,354096145995,310400707542,290522673560,318521494131,404316867935,296397822790,340225717128,288583514310,294135664120,322575941223,341101242188,329587245779,315447762793,307759846464,371317844839,366572977077,283126046664
27,326296242340,327571392257,318341721833,303757219287,323109952027,351180457045,247109744187,348791392265,316545388631,358271511128,275643688823,310707103023,302782717706,360061550704,378909131585,286681136204,311349601695,281998548876,366336559951,323562704087,305638113250,308204330655,345313927497,354096865697,310401343703,290523256182,318522625811,404317632605,296398356139,340226331161,288584205446,294136348842,322576700199,341102110415,329587975481,315447762793,307760579745,371318828719,366573938114,283127580327
28,326296242340,327571392257,318341728259,303757238564,323110022713,351180559858,247109744187,348791424395,316545465742,358271658921,275643853042,310707103023,302782865499,360061631387,378909131585,286681239019,311349717359,281998751654,366336769155,323562704087,305638177509,308204401339,345314830669,354096968511,310401485072,290523487509,318522844288,404317838233,296398723140,340226549642,288584350387,294136419526,322576886548,341102232508,329588071868,315447762793,307760692563,371318982941,366574150170,283127676717
29,326296563626,327571862788,318341850350,303757482749,323110225490,351180810470,247110875148,348791678581,316545707076,358271955233,275644113655,310707103023,302783177508,360062033368,378909131585,286681522487,311349942266,281999021540,366337045464,323562704087,305638485950,308204661953,345315101280,354097238392,310401799942,290523667435,318523017789,404318326599,296398986599,340226813103,288584568868,294136650858,322577185706,341102508822,329588277494,315447769219,307760943173,371319304235,366574427210,283127908049
30,326297251177,327572428268,318341850350,303758022529,323110843103,351181373098,247111296407,348792205502,316546253277,358272681352,275644627727,310707103023,302783582335,360062531740,378909292232,286681927324,311350398508,281999432788,366337591654,323562710512,305638948605,308205182445,345315606073,354097668925,310402191922,290524027283,318523390492,404318596484,296399385002,340227378584,288584922289,294137055688,322577584099,341102900805,329588660197,315450272436,307761392988,371319747614,366574928429,283128222920
31,326297617445,327572762413,318341850350,303758420934,323111337896,351181900019,247111570597,348792626757,316546613126,358273034772,275644971876,310707103023,302783952181,360062914445,378912490922,286681927324,311350845476,281999773352,366338118576,323562710512,305639398415,308205748647,345316078734,354098183003,310402581046,290524489947,318523779621,404318596484,296399809840,340227911938,288585356392,294137560485,322577741894,341103402030,329589180693,315450693692,307761827829,371320235977,366575430378,283128612050
32,326297630297,327572775265,318341850350,303758440212,323111344322,351181912871,247111570597,348792626757,316546619552,358273034772,275644971876,310707109449,302783965033,360062914445,378912503774,286681927324,311350858327,281999773352,366338125002,323562710512,305639398415,308205748647,345316110862,354098183003,310402587472,290524502799,318523792473,404318596484,296399822692,340227924790,288585362818,294137566911,322577741894,341103408456,329589180693,315450706544,307761834255,371320242403,366575449656,283128618475
33,326297726687,327572878078,318341850350,303758568730,323111467140,351181999984,247111622004,348792716720,316546738793,358273163291,275645029709,310707109449,302784054995,360063030109,378912619439,286682505663,311350909734,281999824758,366338259945,323562710512,305639475527,308205825758,345316175120,354098285815,310402696714,290524579908,318523928139,404318596484,296399938358,340228050458,288585478483,294137695431,322577754745,341103536975,329589264229,315450828635,307761917792,371320397351,366575597450,283128689160
34,326298131514,327573350742,318341850350,303758977136,323111881971,351182581880,247111886190,348792851662,316547072939,358273484582,275645453815,310708485314,302784440533,360063550603,378913194917,286682959054,311351186049,282000175325,366338664771,323564857473,305639854652,308206204888,345316547812,354098677792,310403028008,290524975461,318524365095,404318596484,296400317483,340228436013,288585799768,294138074563,322578156720,341103838990,329589614805,315451188480,307762200533,371320802910,366576015136,283129010448
35,326298484939,327573697740,318341856776,303759453378,323112280380,351183070972,247112275323,348792851662,316547519903,358273850853,275645724429,310709494886,302784646161,360063794788,378913451950,286683258220,311351562330,282000496614,366339056747,323565147364,305639854652,308206668283,345316836975,354098677792,310403382160,290525342451,318524692815,404318596484,296400632349,340228885822,288585986118,294138370153,322578574393,341104318809,329590048916,315451655443,307762611792,371321368386,366576442823,283129386723
36,326299083270,327574389616,318344575650,303760057410,323112894416,351183867779,247112844376,348792851662,316548117513,358274525570,275646287059,310710243864,302784951746,360064559456,378914287317,286683827279,311351671568,282001074937,366339609377,323565777102,305639854652,308207208791,345317273934,354099919444,310403816267,290525740854,318525229739,404318596484,296401017901,340229476999,288586654409,294138997042,322579406899,341104987104,329590775046,315452224494,307763265112,371321541885,366577088990,283129997179
37,326299218215,327574518135,318344684891,303760166646,323113035783,351184021995,247112908635,348792851662,316548201050,358274666941,275646415577,310710340251,302784951746,360064604437,378914370853,286683927244,311351677994,282001164900,366339782879,323565995582,305640111683,308207510808,345317530964,354100176481,310404151139,290526014316,318525512478,404320130135,296401017901,340229868971,288586705816,294139061301,322579464731,341105070640,329590832876,315452423698,307763316520,371321541885,366577343177,283130093568
38,326299359586,327574614525,318344723445,303760218054,323113119318,351184060550,247112915060,348792851662,316548201050,358274724775,275646441281,310710346677,302784951746,360064707249,378914428686,286683972225,311351677994,282001254864,366339892119,323566066268,305640111683,308207575067,345317575943,354100292149,310404202546,290526085000,318525615292,404320740598,296401017901,340229939656,288586744370,294139106283,322579548267,341105154176,329590935691,315452513659,307763380780,371321541885,366577426714,283130177104
39,326300195666,327575453463,318345353185,303760809959,323113900425,351184876638,247113445558,348794278931,316548201050,358275519456,275647042472,310710932154,302784951746,360065488358,378915046295,286684524855,311351677994,282001788214,366340593263,323566474674,305640272327,308207838529,345317832974,354100555610,310404440307,290526287778,318525865903,404322168590,296401429157,340230203114,288587252006,294139543245,322580190840,341105661821,329591489039,315453082706,307763847021,371321831051,366578053602,283130562658
40,326301355895,327576613700,318346387753,303761761712,323115087824,351185946913,247114348754,348796525848,316549641179,358276432648,275648009931,310712083839,302787115112,360066822084,378916557811,286685485895,311353037442,282002732797,366341994831,323567753420,305641318346,308208732459,345318861111,354101799378,310405523425,290527216676,318526923320,404323377368,296402798589,340230817144,288588480061,294140594244,322581226122,341106974157,329592637144,315454098710,307764904450,371321831051,366579410922,283131542970
41,326301732162,327577044227,318346924681,303762423575,323115521929,351186609504,247114740729,348796966383,316550351604,358277305175,275648444043,310712707150,302787754839,360067374702,378917191127,286685961413,311354518971,282002732797,366342679550,323568490275,305641810285,308208918810,345319735744,354102721856,310406223849,290527756439,318527813669,404324470499,296403573270,340230817144,288589072684,294141294660,322581997946,341107800247,329593347574,315454864104,307765878341,371322704966,366580330546,283132243391
42,326301989188,327577282709,318347121034,303762577797,323115634746,351186725170,247114830689,348797094897,316550612217,358277472249,275648563287,310712868524,302787883355,360067374702,378917383898,286686128488,311354692471,282003398232,366342885180,323568783017,305643308236,308208918810,345320157000,354103030294,310406500159,290528004925,318528128537,404324894599,296403889590,340230817144,288589265457,294141461733,322582207149,341107986600,329593582483,315455056879,307766006859,371322704966,366580543329,283132429741
43,326302561092,327578317281,318348027084,303763458877,323116505813,351187853997,247115553964,348798142304,316551579677,358278581075,275649367255,310713835970,302788709416,360067374702,378918470592,286686995985,311355476431,282004256444,366344016131,323569686936,305643970097,308208918810,345320707495,354103705737,310407075640,290528563973,318528707595,404325669267,296404407237,340230817144,288590142934,294142274976,322583145308,341108966919,329594512115,315455925091,307766961470,371324528513,366581093106,283133165870
44,326302561092,327578317281,318348027084,303763458877,323116505813,351187853997,247115553964,348798142304,316551579677,358278581075,275649367255,310713835970,302788709416,360067374702,378918470592,286686995985,311355476431,282004256444,366344016131,323569686936,305644387775,308208918810,345321240836,354104065586,310407486898,290528988074,318529154559,404326273290,296404757813,340233616706,288590142934,294142274976,322583145308,341108966919,329594512115,315455925091,307766961470,371324528513,366581093106,283133185148
45,326303719195,327578957019,318348743942,303764050061,323117064866,351188471604,247115853132,348798894862,316552187284,358278940921,275649904182,310714395019,302789220635,360067374702,378919211018,286687571470,311356096899,282004629141,366344695138,323570294543,305644509866,308208918810,345321398631,354104187676,310407557581,290529103741,318529263800,404326421086,296404860629,340233770926,288590522047,294142844030,322583842861,341109632370,329594826981,315456532692,307767479119,371326717599,366581099532,283133603555
46,326304143306,327580089432,318349913426,303765168169,323118205820,351189522597,247116622112,348800219308,316553273979,358278940921,275650778838,310715600951,302790313743,360070718319,378920386946,286688535357,311357128624,282005496628,366346016023,323571371246,305645590135,308211597018,345322481748,354105293657,310408634269,290530084776,318530308366,404327723412,296405754551,340234879754,288591451666,294143817918,322584977398,341110831170,329594826981,315457616539,307768497993,371328302671,366581585052,283134546038
47,326305007946,327580359321,318350144759,303765412350,323118524260,351189522597,247116831316,348800527749,316553511740,358278940921,275650913783,310715797300,302790487239,360070898244,378920695389,286688750988,311357392087,282005712983,366346176672,323571628279,305646027090,308212226759,345322967261,354106126178,310409328990,290530859454,318530905979,404328757976,296406526385,340235750819,288591660865,294144059253,322585221575,341111085357,329594826981,315457873570,307768787157,371328743206,366581585052,283134845205
48,326305007946,327580359321,318350144759,303765412350,323118524260,351189522597,247116831316,348800527749,316553511740,358278940921,275650913783,310715797300,302790487239,360070898244,378920695389,286688750988,311357392087,282005712983,366346176672,323571628279,305646027090,308212226759,345322967261,354106126178,310409328990,290530859454,318530905979,404328757976,296406526385,340235750819,288591660865,294144059253,322585221575,341111085357,329594826981,315457873570,307768787157,371328743206,366581585052,283134845205
49,326305297111,327580616356,318350388946,303765701515,323118752743,351189522597,247117059797,348800810490,316553775923,358278940921,275651110138,310715996499,302790750690,360071088170,378921033110,286689020879,311357623423,282005886482,366346411582,323571885315,305646027090,308212226759,345322967261,354106126178,310409328990,290530859454,318530905979,404328757976,296406526385,340235750819,288591892193,294144281309,322585475757,341111329543,329595794442,315458159882,307769060613,371329048802,366581585052,283134993001
50,326306103923,327581352485,318351157205,303766434791,323119495292,351190123778,247117603142,348801373119,316554392808,358280792305,275651794861,310716732624,302791418972,360071920686,378921878474,286689637768,311358317426,282006494086,366346411582,323572667154,305646277696,308212474522,345323519872,354106335382,310409598879,290531013671,318531105181,404329140677,296406783418,340236030705,288592567633,294145049568,322586128343,341112055671,329597166732,315458764630,307769664651,371329781352,366582276200,283135423535
51,326306939286,327581960093,318352024705,303767119508,323120283552,351190123778,247118052953,348802286318,316555208894,358282498737,275652569549,310717577982,302792142240,360072813886,378922560341,286690229682,311358995726,282007056712,366348255130,323573322596,305647258003,308213529099,345324625834,354107586312,310410717714,290532036108,318532220440,404330567943,296407699464,340237188814,288593235914,294145695737,322586864459,341112949601,329597999245,315459590709,307770445763,371330842345,366582751718,283135950459
52,326307604720,327581960093,318352782962,303767871338,323121170332,351190747808,247118705546,348803150958,316555880763,358283404782,275652955105,310718214139,302793006871,360073601419,378922560341,286691058629,311359761133,282007748582,366349004102,323574078004,305648369675,308214782886,345325918156,354109004306,310411733006,290532952886,318533271434,404331934523,296408515548,340238294789,288593862788,294146335479,322587601303,341113733566,329598645412,315459590709,307771117636,371331726262,366586191030,283135963311
53,326308430805,327582050056,318353547639,303768623167,323122012842,351193677343,247119236047,348804127684,316556710430,358284323676,275653973979,310719204435,302793794386,360074441085,378923891220,286691617683,311360629355,282008465430,366349987981,323574771996,305648909445,308215296958,345326474353,354109625488,310412228524,290533345585,318533968997,404332599958,296409101026,340238667490,288594660314,294146840271,322588437381,341114752436,329599628572,315460538872,307771950162,371332716563,366587244874,283135963311
54,326309211901,327584339121,318354119541,303769282179,323122938168,351194490583,247120027154,348804799550,316557392299,358285156189,275654423794,310719898428,302794436961,360075102940,378925584804,286691846167,311361249826,282009025196,366350752659,323574884812,305649437092,308216001682,345327014852,354109631914,310412945372,290533859656,318534631589,404333104749,296409785747,340239824145,288595428561,294146840271,322589087837,341115452861,329600351847,315461387084,307772641314,371333491976,366587946026,283137798274
55,326309359690,327584686120,318354119541,303769500660,323123227335,351194721916,247120246360,348805117990,316557768573,358285438931,275654571589,310720123333,302794584753,360075347119,378925822560,286691846167,311361478312,282009230822,366351000416,323574884812,305649957586,308216452225,345327728124,354109792561,310413572265,290534380144,318535261323,404333104749,296410473312,340240396045,288595605636,294147827008,322589357720,341115806288,329600644589,315461387084,307772891925,371333761860,366588318729,283138305917
56,326309475355,327584831067,318354119541,303769609902,323123282319,351194770474,247120278490,348805175824,316557864960,358285522467,275654597293,310720142611,302794688292,360075434231,378925938224,286691852593,311361555423,282009307931,366351103230,323574884812,305650089680,308216590747,345327850215,354109792561,310413752190,290534450828,318535332008,404333104749,296410588979,340240540988,288595714877,294147827008,322589421979,341115880550,329600676718,315461605567,307772988313,371333826117,366588447247,283138383029
57,326309526763,327584888900,318354119541,303769729146,323123404409,351194828307,247120342749,348805417159,316557993477,358285721671,275654764365,310720335386,302794855361,360075575600,378926179560,286691852593,311361742503,282009442871,366351357415,323574884812,305650276029,308216809230,345327991582,354109792561,310413977096,290534560069,318535573343,404333104749,296410691795,340240823730,288595772707,294147827008,322589499090,341116015496,329600837363,315462582291,307773126834,371333973910,366588617896,283138553679
58,326310182181,327585772821,318355377622,303770445995,323124162667,351195664391,247120908229,348805680620,316558758884,358286444947,275655416957,310720470330,302795462956,360076321731,378927069899,286692971429,311362453655,282010059748,366352099968,323574884812,305650716567,308217143377,345328361427,354111139878,310414311244,290534900638,318535830378,404333104749,296410948832,340241058639,288596540958,294148627394,322590142394,341116845171,329601602767,315463391952,307773805132,371334775015,366589363304,283139087029
59,326311168909,327586511803,318356136601,303771124288,323124947345,351196590436,247121529417,348805680620,316559527136,358287322448,275656008144,310720470330,302796272601,360077289186,378927871013,286693973874,311363183358,282010783020,366353105971,323577011096,305651417703,308217991600,345329233221,354112573579,310415256574,290535418283,318536707866,404334751942,296411684958,340241769059,288597319201,294149318540,322590168097,341117545588,329602515242,315464227309,307773895094,371335806726,366590382175,283139907423
60,326311620171,327587000168,318356599269,303771542695,323125426431,351197130202,247121882840,348805680620,316559899839,358287797965,275656470808,310720470330,302796723135,360077839683,378928430067,286694340154,311363613896,282011236404,366353671445,323578217037,305651417703,308218447839,345329728729,354113142636,310415500759,290536131557,318537206961,404336924606,296411961271,340242652980,288597766157,294149729800,322590168097,341117966848,329603017184,315464644985,307775206715,371336314373,366590944809,283140337959
