op_w_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
15,2.302,0.015,1.259,2.053,1.773,2.103,1.188,1.63,0,3.057,0.743,0.794,0.728,1.44,0.644,0.888,0.258,2.258,0.924,0.755,1.824,0.008,0.012,1.437,1.981,3.073,0.697,2.648,1.326,0.648,0.01,0.011,0.011,0.013,0.01,0.014,0.012,3.188,0.021,0.01
16,0,0.004,0.029,0.008,0.005,0.005,0.006,0.011,0,0.71,0.074,0.03,0.004,0.037,0.028,0.006,0.061,0.04,0.061,0.023,0.094,0.004,0.058,0.004,0.026,1.202,0.004,0.05,3.024,0,0.004,0.004,0.034,0.099,0,0.053,0.036,0.058,0,0.004
17,0,0.434,0.199,0.109,0.215,0.005,0.396,0.004,0,0.143,1.076,0.69,0.336,0,0.559,0.149,0.496,0.219,0.621,0.533,0.007,0.007,0.005,0.005,0.006,0.005,0.428,0.005,0.005,1.316,0.4,0.003,0.772,0.247,2.269,0.211,0.575,0.812,2.328,0.004
18,0,0.006,0.006,0.005,0.006,0.005,0.005,0.006,0.883,0.006,4.005,2.257,2.724,0,0.786,1.679,2.415,0.879,0.004,0.737,0.007,2.471,3.111,3.684,2.157,0.61,1.012,1.249,0.666,0,2.391,1.404,0.005,0.003,0,2.776,1.155,1.995,0,2.392
19,0,0.004,0.541,0.003,0.004,0.003,0.004,0.005,0.007,0.542,0.003,0.006,0.003,6.124,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.364,0.017,0.003,0.004,0.359,0.433,0,0.003,0.003,0.003,0,0,0.003,0.012,0.004,0,0.004
20,10.582,2.083,0.004,0.005,0.979,0,1.161,0.821,0.393,0.751,0.921,0.553,1.498,0,0.004,0.763,0.851,0.003,2.277,0.483,0.5,0.003,2.374,0.384,0.005,1.283,1.652,1.866,0.719,0,0.004,0.004,0.005,0,0,0.993,0.004,0.799,0.766,0.003
21,0,0.141,0.287,0.474,0.202,0.778,0.225,0.533,1.11,0.155,0.004,0.688,0.306,0,0.522,0.04,0.877,0.549,0.675,0.796,0.558,0.005,0,0.053,0.163,0.006,0.209,0.637,0.004,1.749,0.182,0.004,0.557,0.545,0,0.282,0.779,0.052,0,0.004
22,0.041,0.516,0.224,0.048,0.499,0.41,0.133,0.376,0.808,0.277,1.204,1.027,1.031,0,0.846,0.526,1.114,1.682,0,0.581,0.315,0.009,1.247,0.185,0.379,0.438,0.144,2.234,0.885,0.733,0.692,0.005,0.707,1.277,9.832,0.7,0.045,1.42,0.196,0.133
23,0.504,0.762,0.277,0.054,0.286,4.089,0.315,0.149,0.554,0.782,1.827,0.452,0.008,0.395,0,0.148,0.208,0.186,0,0.311,0.625,0.672,4.505,0.496,1.558,0.357,1.573,0.94,0.779,1.352,1.111,0.993,1.04,0.408,0.043,0,0.227,0.027,0.326,0
24,0.123,0.005,0.04,0.004,0.142,0.274,0,0.052,0.108,0.085,0.126,0.055,0.124,0.39,0,0.223,0.013,0.003,0,0.114,0.139,0.006,0,0.072,0.124,0.157,1.135,0.09,0.006,0.301,0.161,0.005,0.29,0.054,0.511,0,0.191,0.312,0.66,1.787
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.45,0.744,0.159,0.121,0.875,0.523,0,0.691,0.873,0.491,0.232,0.285,0.357,1.195,0,0.306,0.106,0.097,0.818,0.37,0.008,0.322,1.64,0.37,0.296,0.301,0.33,0.616,0.213,1.116,0.521,0.005,0.616,0.35,0.007,0,0.095,0.325,0.269,0.371
27,0,0,0,0.004,0.005,0.005,0,0.003,0.007,0.087,0.004,0,0.005,0.006,0,0.004,0.009,0.438,0.053,0,0.003,0.005,0.016,0.006,0.006,0.005,0.064,0.025,0.007,0.01,0.004,0.003,0.004,0.005,0.004,0,0.005,0.005,0.341,0.005
28,0.005,0.17,0.006,0.193,0.113,0.277,0.521,0.17,0.005,0.143,0.004,0,0.147,0.212,0,0.15,0.404,0.604,0.128,0,0.169,0.537,0.523,0.71,0.005,0.632,1.056,0.165,0.477,0.765,0.579,0.808,0.397,0.371,0.853,0,0.065,0.068,1.785,0.135
29,0.837,1.567,0,0.434,0.59,1.274,0.005,0.491,0.213,1.116,0.576,0,0.313,0.607,9.288,0.779,0.911,1.261,0.033,2.597,0.224,1.479,0.43,0.426,0.343,0.122,0.005,1.281,1.346,0.007,0.054,0.04,0.006,0.031,0.033,0.578,0.006,0.006,0.009,0.006
30,0.004,0.61,0,0.025,0.585,0.803,0.004,0.822,0.156,0.006,0.004,0,0.004,0.005,0.077,0,0.006,0.006,0.005,0,1.055,1.123,0.664,0.816,1.088,0.786,0.792,0,1.513,0.005,0.628,0.578,1.045,0.646,0.457,0.067,0.673,0.753,0.985,0.753
31,0.003,0,0,0.003,0.004,0,0,0,0.003,0,0,6.974,0.003,0,0.003,0,0.003,0,0.003,0,0,0,0,0,0,0,0,0,0.003,0,0,0.001,0,0.004,0,0.003,0,0.003,0,0.002
32,0.706,0.403,0,0.005,1.12,0.005,1.382,0.006,0.005,0.007,0.005,0,0.004,0.005,0.006,0.282,0.004,0.006,0.004,0,2.49,0.478,0.43,0.004,0.006,0.21,0.272,0,0.004,0.005,0.004,0.885,0,0.212,0.308,0.612,0.583,0.679,0.221,0.004
33,0.468,0.312,0,1.106,0.014,1.477,0.592,1.477,0.79,1.204,0.004,4.174,0.015,0.005,0.167,0.037,0.005,0.004,0.048,0.645,0.534,1.245,1.944,0.015,0.521,0.269,1.774,0,0.797,0.73,1.337,0.962,3.547,0.234,1.006,0.009,0.07,0.475,0.769,3.623
34,0.005,0.692,8.583,0.401,0.222,0.685,0.987,0,1.187,1.316,0.004,0.064,0.061,0.005,0.617,0.006,0.075,0.038,0.154,0.282,0,0.734,2.374,0,0.682,0.041,0.572,0,1.294,0.004,1.552,0.005,1.441,0.739,0.696,0.007,0.545,0.005,0.007,1.922
35,0.202,0.469,0.647,1.079,1.153,0.76,0.016,0,0.532,0.408,0.224,0.465,0.436,0.309,2.104,0.893,1.297,1.2,1.205,0.324,0,0.902,0.788,0.645,0.005,1.736,0.614,0,0.005,0.746,0.318,0.818,0.425,0.942,0.491,0.277,0.689,2.1,0.543,0.706
36,0.006,0.006,0.188,0.366,0.178,0.012,1.312,0,1.0,0.107,0.162,0.806,0,0.004,0.09,0.874,1.32,0.007,0.849,0.151,4.578,0.009,0.009,0.011,0.007,0.007,0.074,5.869,0,0.011,0.505,0.597,0.506,0.156,0.005,0.45,1.142,0,0.646,0.22
37,0.011,0.007,0.288,0.403,0.004,0.003,0,0,0,0.008,0.002,0,0,0.008,4.663,0.007,0,0.862,0.006,0.567,0,0.006,0.01,0.006,0.008,0.005,0.007,0.583,0,0.006,0.006,0.004,0.011,2.003,0.009,0.006,0.007,0,0.464,0.006
38,0.351,0.028,0.895,0.413,0.549,0.226,0.162,4.772,0,0.643,0.766,0.397,0,0.691,0.083,0.844,0,0.429,0.57,0.899,2.32,0.006,0.005,0.244,0.671,0.498,0.007,0.191,1.816,0.128,0.486,0.654,0.762,0.174,0.54,1.193,0.17,3.538,0.12,0.491
39,0.236,0.149,0.595,0.38,0.116,0.213,0.274,0.103,0.633,0.448,0.217,0.331,0.665,0.134,0.021,0.286,2.566,0.172,0.097,0.298,0.026,0.433,0.228,0.068,0.315,0.472,0.128,0.455,0.273,0.009,0.056,0.308,0.312,0.036,0.219,0.498,0.22,0,0.49,0.105
40,0.179,0.008,0.392,0.185,0.385,0.269,0.183,0.459,0.056,0.236,0.142,0.264,0.059,0.061,0.024,0.311,0.076,0,0.006,0.313,1.185,0.919,0.04,0.464,0.506,0.209,0.384,0.203,0.26,0,0.097,0.007,0.171,0.132,0.007,0.156,0.132,6.46,0.037,0.078
41,0.943,0.007,0.8,0.115,0.295,0.005,0.005,0.195,0.229,0.006,0.003,0.005,0.005,0,0.006,0.005,0.005,0.135,0.004,0.006,0.055,0,0.019,0.35,0.389,0.167,0.055,0.286,0.115,0,0.163,0.242,0.005,0.132,0.004,0.106,0.559,0,0.06,0.004
42,0.611,0.024,0.353,0.365,0.474,0.31,0.68,0.744,0.326,0.458,0.311,0.449,0.281,0,0.51,0.235,0.519,0.181,0.402,0.309,0.521,0,0.006,0.741,0.421,0.519,0.198,0.57,1.104,0,0.207,0.006,0.126,0.128,0.263,0.181,0.433,0.136,0.007,0.006
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.005,0.007,0.007,0.005,0.007,0.007,0.009,0.167,0,0,0,0,0,0,0,0,0,0.003
44,0.185,0.005,0.259,0.246,0.081,0.3,0.292,0.171,0.136,0.439,0.013,0.097,0.094,0,0.035,0.079,0.057,0.143,0.061,0.056,0.006,0,0.126,0.143,0.004,0.005,0.006,0.32,0.004,0.985,0.005,0.005,0.036,0.079,0.004,0.081,0.005,0.721,1.64,0.005
45,0.255,0.741,0.338,0.159,0.367,0.157,0.412,0.204,0.287,0,0.316,0.07,0.058,0.44,0.316,0.084,0.041,0.177,0.125,0.047,0.31,0.13,0.182,0.23,0.067,0.172,0.118,0.102,0.09,0.299,0.321,0.205,0.502,0.366,0,0.556,0.196,0.219,2.673,0.364
46,0.433,0.005,0.022,0.006,0.005,0,0.005,0.004,0.006,0,0.004,0.055,0.199,0.059,0.051,0.094,0.112,0.11,0.142,0.104,0.022,0.037,0.051,0.257,0.246,0.534,0.365,0.572,0.57,0.602,0.021,0.014,0.013,0.149,0,0.138,0.005,0.064,0,0.004
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.126,0.983,0.828,0.005,0.767,0,0.093,0.428,0.125,0,2.286,1.334,0.007,0.922,0.649,0.339,0.261,0.547,0.706,0.361,0,0,0,0,0,0,0,0,0,0,0.234,0.005,0.143,0.006,5.001,0.113,0.005,0.008,0,0.239
49,0.368,1.125,0.144,0.329,0.63,4.483,0.136,0.36,0.115,2.414,1.14,0.337,0.53,0.878,0.259,0.032,0.437,0.255,3.956,0.374,0.529,0.902,0.617,0.637,1.03,0.745,0.006,0.771,1.023,0.376,0.006,0.183,0.835,0.415,0.131,0.497,0.706,0.468,5.013,0.28
50,0.434,0.764,0.054,0.261,0.302,0,0.234,0.013,0.006,0.11,0.2,0.009,0.007,0.199,0.01,0.111,0.113,0.092,0.34,0.007,0.626,0.518,0.412,0.046,0.469,0.368,0.168,0.37,0.095,0.725,0.135,0.005,0.13,0.014,0.008,0.048,0.008,0.047,0,0.213
51,0.011,0,0.01,0.045,0.498,2.663,0.295,0.409,0.076,0.06,0.01,0.102,0.303,1.594,0,0.404,0.09,0.009,0.233,0.767,0.322,0.489,0.818,0.07,0.115,0.442,0.603,0.379,0.402,0.557,0.051,0.011,0.278,0.266,0.153,0,0.128,0.039,0.134,1.259
52,0.111,1.997,0.246,0.098,0.211,0.116,0.006,0.059,0.133,0.175,0.1,0.124,0.187,0.393,1.11,0.099,0.207,0.097,0.186,0.344,0.378,0.146,0.36,0.219,0.527,0.222,0.122,0.421,0.208,0.692,0.407,0.191,0.227,0.249,0.681,2.337,0.259,0.239,0.377,0
53,0.251,0.101,0.271,0.12,0.098,0.38,0.084,0.018,0.188,0.383,0.673,0.495,0.589,0.858,0.054,0.883,0.136,0.591,0.73,0.254,0.128,0.544,0.283,1.141,0.205,0.226,0.052,0.067,0.297,0.014,0.137,0,0.381,0.245,0.338,0.178,0.197,0.111,0.566,0.275
54,0.678,0.204,0,0.628,0.308,0.007,0.366,0.19,0.196,0.008,0.005,0.021,0.132,0.397,0.583,0,0.397,0.148,0.005,0,0.458,0.608,0.187,1.916,0.203,0.1,0.414,0,0.243,0.64,0.012,0.557,0.006,0.009,0.006,0,0.011,0.013,0.009,0.016
55,0.973,1.747,0,1.449,1.173,1.293,0.552,0,0.006,1.061,0.004,0,0.003,0.006,0.713,4.108,0.243,0.279,0.006,0,0.108,0.005,0.682,0,0.17,1.127,0.847,0,0.262,0.005,0.005,0,0.007,0.005,0.005,1.185,0.005,0.006,0.01,0.006
56,0.004,0.004,0,0.005,0.004,0.004,0.008,0.005,0.004,0.006,0.372,0.312,0.005,0.136,0.006,0,0.622,0.772,0.15,0,0.005,0.598,0.969,0,0.112,0.304,0.004,0,1.253,0.005,0.004,0,0.005,0.004,0.005,0.014,0.006,0.006,0.006,0.004
57,0.695,0.944,0.484,0.372,0.231,0.31,0.517,0.092,0.235,0.527,0.462,0.945,0.23,0.525,0.811,0.822,0.389,0.209,0.347,0,0.563,0.114,0.008,1.081,0.006,0.079,0.278,0,0.006,0.057,0.296,0.745,0.027,0.323,0.79,0.452,0.557,0.847,0.717,0.209
58,0.016,0.804,0.333,0.598,1.039,1.152,0.039,0,0.282,0.238,0.199,0,0.513,0.006,1.574,0.498,0.949,0.352,0.748,1.101,0.285,0.508,0.549,0.043,0.351,0.313,0.655,3.544,0.437,0.182,0.376,0.344,0.299,0.861,0.837,0.018,0.116,0.408,0.362,0.875
59,0.057,0.165,0.305,0.127,0.078,0.097,0.129,0,0.208,0.136,0.172,0,0.078,0.16,0.04,0.176,0.122,0.007,0.032,0.2,0,0.006,0.162,0.119,0.107,0.018,0.063,0.046,1.432,0.54,0.127,0.017,0,0.13,0.084,0.131,0.325,0.058,0.028,0.107
60,0.003,0.004,0.006,0.003,0.144,0.005,0.003,0,0.005,0.008,0.005,5.15,0.004,0.004,0.153,0.008,0.006,0.005,0.004,0.075,0.223,0.023,0.022,0.035,0,0.004,0.005,0.035,0.276,0.005,0.501,0.003,0,0.323,0,0.004,0.194,0.004,0.003,0.475
61,0.009,0.52,0.008,0.792,0.216,1.037,1.126,7.718,0.964,2.359,0.473,1.402,0.386,0.287,0.006,0.279,0.549,0.007,0.01,0.007,0.351,0.002,0.003,0.003,2.429,0.004,0,0.003,0,0,1.288,0.005,0,1.312,1.042,0.006,1.384,0.005,0.005,1.781
62,0.005,0.43,0.006,0.004,0.012,0.006,0.005,0,1.342,0.225,0.004,0.067,0,0.006,0.005,0.005,0.005,0.006,0.338,0.005,0.566,0.579,0.957,0.545,0,0.005,0.194,1.047,0,0.006,0.019,0.004,0,0.167,0.415,0.004,0.199,0.238,0.136,0.216
63,1.16,0.764,0.632,1.137,0.299,0.408,0.602,0,0.757,0.609,0.513,0.281,0,1.566,0.315,2.147,0,0.899,1.619,2.201,0,0.823,1.133,0.008,4.52,0.855,0.802,1.151,4.897,1.158,0.065,1.464,0.418,0.204,0.968,1.445,0.633,0,0.28,0.011
64,0.064,0.101,0.105,0.26,0.047,0.119,0.951,0.087,0,0.301,0.106,0.059,0,0.049,0.241,0.576,0.738,0.211,0.107,0.113,0.52,1.358,0.008,0.123,5.999,0.485,0.748,0.841,0.278,0.005,0.198,0.778,0.275,0.304,0.091,0.504,0.445,0,0.382,0.548
65,0.204,0.129,0.005,0,0.124,0.284,0.466,0.095,0,0.372,0.005,0.005,1.06,0.016,0.043,0.135,0.015,0.066,0.134,0.006,0.204,0.347,0.325,0.171,0.1,0.018,0.053,0.276,0.092,0.005,0.115,0.352,0.456,0,0.789,0.012,0.23,0,0.172,0.537
66,0.08,0.014,0.059,0.142,0.004,0.357,0.05,0.075,3.213,0.019,0.363,0.292,0.297,0.214,0.31,0.124,0.573,0.387,0.149,0.419,0.281,0.771,0.232,0.425,0.243,0.004,0.457,0.284,0.255,0.151,0.216,0.492,0.068,3.944,0.386,0.588,0.132,5.211,0.344,0.368
67,0.794,0.004,0.003,0.003,0,0.009,0.004,0.917,0,0.005,0.003,0.003,0.004,0.051,0.01,0.117,0.004,0.315,0.094,0.19,0.003,0,0.009,0.29,0.708,0.453,0.007,0.004,0.004,0.006,0.003,0.003,0.005,3.217,0.006,0.003,0.005,0,0.005,0.05
68,0.009,0.008,0.007,0.008,0,0.007,0.006,0.008,0.098,0.008,1.218,0.209,0.293,0.141,0.86,0.006,0.953,0.008,0.005,0.142,0.006,0,0.479,0.597,0.754,0.23,1.615,0.462,0.174,0.823,0.564,0.827,0.006,0,0.681,0.902,0.349,0,0.339,0.388
69,0,0,0,0,0,0.006,0,0.016,0.01,0.006,0.003,0,0,0,0.003,0,0.006,0.009,0.011,0.009,0.003,0,0.005,0.004,0.008,0.005,0.006,0.008,0.013,0.006,0.003,0.004,0.003,0,0.003,0.007,0.004,0,0.01,0.015
70,2.986,0.005,0.856,1.087,0,0.968,0.814,1.683,0.234,7.174,0.417,1.081,1.445,1.263,0.635,0.256,1.504,1.361,0.59,1.134,1.98,0,0.043,0.439,1.449,1.326,0.379,1.75,1.519,6.999,0.005,0.005,0.006,0.211,0.006,0.005,0.005,0.071,0.005,0.005
71,0,0.166,0.223,0.246,0.538,0.005,0.27,0.152,0.244,0,0.269,0.157,0.208,0.488,0.564,0.105,0.146,0,0.152,0.023,0.006,0.54,0.005,0.179,0.442,0.008,0.844,0.043,0.005,0,0.499,0.207,0.257,0.078,0.907,0.493,0.26,0.403,5.136,0.083
72,0,0.558,0.629,1.019,0.982,0.005,0.995,0.683,0.43,0,0.566,0.615,0.196,0.009,0.556,0.295,0.443,1.414,0.384,0.638,0,0.624,0.595,0.003,0,0.003,0.003,0.569,0,0,0.504,0.777,1.223,0.595,0,1.148,1.514,0.003,3.662,0.191
73,0,0.03,0.546,0.014,0.244,0.007,0.076,0.114,0.275,0,0.641,0.389,0.01,1.329,0.336,0.273,0.012,0.118,0.336,0.012,0.234,0.262,0.194,0.342,0.251,0.086,0.184,0.008,0.231,0.991,0.007,0.007,0.047,0.006,0.514,0.009,0.252,0.342,0,0.057
74,0,0.571,0.006,0.462,1.357,0,0.555,0.389,0.191,0,0.464,0.005,0.344,0,0.004,0.249,0.083,0.425,1.616,0.328,0.004,0.738,0.923,0.17,0.004,0.272,0.007,0.794,0.294,0.369,0,0.005,0.004,0.004,0,0.004,0.004,0.004,0.162,0.004
75,0.733,0.005,0.232,0.042,0.006,0,0.006,0.087,0.005,7.278,1.888,0.945,1.405,0,0.914,0.307,0.648,0.579,0,0.646,2.344,0.203,1.672,0.259,1.619,1.528,0,2.293,0.005,1.426,0.648,0.437,1.979,2.395,0,1.28,0.497,0.957,1.086,0.903
76,0.005,0,0.005,0.006,0.005,0,0.029,0.059,0.005,0.126,0.088,0.008,0.004,0,0,0.005,0.004,0.004,0,0.011,0.105,0.004,0.027,0.006,0.372,0.089,0,0.741,0.033,0.152,0,0.131,1.541,0.008,0,0.006,0.004,0.005,0.003,0.004
77,1.234,0,0.689,0.141,0.325,0,0.004,0.099,0.267,0.55,0.004,0.004,0.004,0.501,0,0.005,0.004,0.01,0,0.004,0.397,0.386,0.857,0.754,0.658,0.721,0,0.951,0.774,0.796,0.429,0.89,0.36,0.315,0,0.003,0.205,0.005,0.627,0.004
78,0.498,2.48,0.166,0.197,0.214,4.47,0.005,0.244,0.555,0.451,1.538,0.346,0.467,0.264,4.632,0.746,0.354,0.259,8.957,0.648,0.534,0.613,0.383,0.246,0.666,0.482,0.454,0.417,0.503,0.599,0.368,0.381,0.353,0.272,0.907,0.958,0.828,0.541,1.696,0.176
79,1.773,0,0.822,0.051,1.26,0,0.23,0.895,0.207,0.792,0.531,0.005,0.005,0.005,0,0.005,0.005,0.005,0.84,0.005,0.057,0.478,0.471,0.781,0.381,0.716,0.336,0.817,0.174,0.548,0.497,0.004,0.244,0.254,0.069,0,0.044,0.134,0.496,0
80,0.15,0,0.079,0.087,0.152,0.237,0.021,0.06,0.148,0.129,0.168,0.169,0.172,0.178,0,0.102,0.084,0.007,0.361,0.154,0.107,0.051,0.123,0,0.024,0.16,0.082,0.073,0.062,0.17,0.012,0.091,0.514,0.195,0.944,0,0.019,0.018,0.296,1.013
81,0.109,0.759,0.868,0.274,0.374,1.063,0.009,0.122,0.711,0.789,0.706,1.508,0.209,1.052,3.215,1.999,1.21,1.414,0.609,0,1.522,1.698,1.588,0,0.575,0.844,0.579,0.471,0.957,1.472,0.257,5.079,1.61,0.657,1.175,2.463,1.613,0.612,0.956,0.181
82,0.005,0.097,0,0.007,0.005,0.009,0.006,0.011,0.133,0.055,0.005,0.714,0.006,0.015,0.138,0.61,0.023,0.143,0.275,0,0.026,0.155,0.051,0,0.05,0.223,0.025,0.389,0.562,0.029,0.004,0,0.008,0.051,0.052,0,0.048,0.035,0.024,0.097
