op_w,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
186,206335,173218,193193,186234,169569,193589,141027,227748,178744,237290,144443,185086,196003,221405,238932,189279,187813,223065,204352,222273,180539,199355,215027,239815,229731,204453,161398,247860,196308,215729,185781,158839,205347,232141,196063,203487,185296,219364,287116,168336
187,206510,173266,193240,186282,169626,193598,141051,227793,178768,237333,144460,185129,196055,221478,238956,189325,187854,223128,204405,222321,180562,199374,215039,239840,229760,204485,161398,247897,196336,215763,185882,158875,205414,232228,196087,203544,185331,219414,287134,168370
188,206546,173284,193258,186310,169662,193598,141067,227829,178793,237363,144460,185148,196071,221515,238956,189347,187874,223168,204405,222339,180596,199403,215039,239867,229807,204511,161405,247937,196364,215800,185894,158889,205421,232248,196233,203544,185350,219432,287178,168387
189,206571,173309,193283,186344,169684,193659,141079,227852,178822,237396,144485,185180,196085,221542,238957,189380,187904,223203,204416,222376,180620,199436,215039,239916,229856,204555,161521,247978,196389,215833,185944,158916,205455,232297,196286,203544,185388,219474,287416,168389
190,206615,173339,193324,186378,169703,193702,141079,227884,178850,237430,144556,185207,196114,221584,238969,189415,187936,223240,204416,222421,180639,199445,215124,239925,229880,204565,161531,247988,196402,215855,185981,158938,205477,232344,196315,203544,185428,219516,287496,168389
191,206647,173365,193340,186397,169723,193724,141079,227908,178866,237452,144572,185233,196139,221609,238969,189429,187955,223264,204416,222422,180644,199446,215197,239925,229886,204567,161534,247988,196407,215863,186003,158946,205501,232371,196329,203544,185449,219535,287540,168440
192,206648,173365,193341,186397,169729,193727,141079,227915,178871,237456,144573,185233,196139,221610,238969,189436,187958,223271,204416,222422,180693,199497,215253,239947,229947,204622,161566,247988,196465,215916,186004,158946,205501,232371,196329,203545,185450,219535,287541,168441
193,206685,173419,193356,186442,169774,193789,141159,227963,178911,237526,144611,185255,196190,221654,239174,189471,188002,223331,204416,222422,180716,199528,215285,239947,229985,204646,161597,247992,196491,215947,186082,158959,205577,232435,196380,203741,185479,219613,287632,168491
194,206724,173449,193356,186457,169816,193811,141175,227990,178929,237562,144624,185259,196209,221678,239188,189493,188010,223354,204583,222422,180724,199530,215297,239947,229994,204661,161602,247992,196498,215955,186084,158960,205586,232439,196388,203746,185479,219627,287652,168501
195,206741,173455,193356,186468,169822,193818,141180,227999,178944,237573,144630,185259,196218,221689,239210,189502,188021,223362,204592,222422,180728,199537,215303,239947,230002,204664,161607,247992,196501,215964,186097,159002,205592,232454,196394,203758,185487,219636,287664,168512
196,206745,173465,193360,186479,169825,193826,141188,228005,178955,237580,144633,185259,196224,221691,239218,189507,188026,223367,204599,222422,180757,199590,215343,239962,230042,204706,161642,248009,196544,216002,186121,159021,205610,232476,196408,203777,185507,219647,287689,168521
