%commit,aceph01,aceph02,aceph03,aceph04
197,27.12,25.8,26.3,26.92
198,27.14,25.83,26.3,26.87
199,27.13,25.79,26.27,26.93
200,27.08,25.81,26.29,26.87
201,27.12,25.84,26.25,26.94
202,27.12,25.8,26.35,26.96
203,27.16,25.85,26.24,26.91
204,27.12,25.82,26.29,26.9
205,27.11,25.85,26.28,26.91
206,27.15,25.85,26.26,26.92
207,27.11,25.83,26.28,26.86
208,27.05,25.84,26.24,26.91
209,27.13,25.8,26.29,26.9
210,27.2,25.81,26.22,26.92
211,27.14,25.8,26.23,26.9
212,27.13,25.83,26.29,26.87
213,27.14,25.88,26.28,26.89
214,27.15,25.81,26.27,26.86
215,27.1,25.81,26.25,26.93
216,27.08,25.85,26.3,26.88
217,27.09,25.79,26.3,26.92
218,27.12,25.77,26.29,26.89
219,27.1,25.82,26.26,26.92
220,27.09,25.78,26.27,26.89
221,27.07,25.78,26.26,26.91
222,27.08,25.77,26.25,26.87
223,27.13,25.87,26.25,26.91
224,27.14,25.83,26.26,26.88
225,27.13,25.77,26.28,26.9
226,27.12,25.82,26.25,26.91
227,27.11,25.83,26.28,26.93
228,27.13,25.83,26.25,26.9
229,27.09,25.82,26.29,26.92
230,27.1,25.75,26.27,26.9
231,27.12,25.82,26.34,26.89
232,27.13,25.83,26.24,26.9
233,27.1,25.79,26.26,26.91
234,27.11,25.8,26.25,26.87
235,27.1,25.83,26.29,26.9
236,27.11,25.8,26.25,26.91
237,27.13,25.84,26.27,26.89
238,27.15,25.83,26.22,26.94
239,27.13,25.82,26.29,26.91
240,27.12,25.81,26.28,26.89
241,27.1,25.77,26.24,26.89
242,27.11,25.81,26.28,26.88
243,27.08,25.86,26.28,26.87
244,27.06,25.82,26.26,26.9
245,27.15,25.81,26.23,26.92
246,27.09,25.8,26.24,26.91
247,27.11,25.82,26.31,26.95
248,27.13,25.81,26.27,26.86
249,27.18,25.81,26.22,26.89
250,27.06,25.83,26.31,26.9
251,27.15,25.84,26.31,26.84
252,27.15,25.86,26.27,26.85
253,27.12,25.81,26.27,26.92
254,27.09,25.85,26.28,26.92
255,27.13,25.82,26.24,26.9
256,27.07,25.86,26.23,26.86
257,27.13,25.8,26.25,26.87
258,27.15,25.82,26.27,26.89
259,27.14,25.84,26.27,26.94
260,27.17,25.84,26.31,26.91
261,27.13,25.81,26.26,26.9
262,27.1,25.78,26.27,26.89
263,27.09,25.8,26.28,26.87
264,27.07,25.84,26.22,26.89
265,27.14,25.82,26.29,26.91
266,27.13,25.79,26.28,26.87
267,27.15,25.77,26.25,26.86
268,27.08,25.79,26.28,26.88
269,27.08,25.78,26.25,26.92
270,27.14,25.78,26.23,26.9
271,27.09,25.83,26.27,26.87
272,27.08,25.82,26.29,26.91
273,27.13,25.82,26.32,26.94
274,27.13,25.83,26.31,26.97
275,27.07,25.82,26.26,26.85
276,27.16,25.81,26.22,26.9
277,27.12,25.83,26.27,26.89
278,27.09,25.83,26.31,26.88
279,27.09,25.87,26.28,26.89
280,27.07,25.81,26.27,26.88
281,27.12,25.82,26.3,26.87
282,27.09,25.85,26.33,26.94
283,27.13,25.85,26.3,26.93
284,27.13,25.87,26.29,26.89
285,27.11,25.79,26.29,26.92
286,27.1,25.83,26.25,26.88
287,27.11,25.85,26.3,26.89
288,27.11,25.82,26.28,26.86
289,27.08,25.81,26.26,26.91
290,27.14,25.82,26.27,26.86
291,27.1,25.83,26.28,26.87
292,27.15,25.85,26.3,26.88
293,27.04,25.81,26.29,26.9
294,27.14,25.82,26.3,26.9
295,27.14,25.84,26.27,26.94
296,27.13,25.77,26.32,26.88
297,27.1,25.75,26.26,26.9
298,27.09,25.79,26.24,26.92
299,27.04,25.78,26.24,26.89
300,27.09,25.82,26.29,26.93
301,27.11,25.79,26.26,26.91
302,27.07,25.8,26.28,26.89
303,27.11,25.87,26.25,26.88
304,27.1,25.85,26.26,26.9
305,27.12,25.76,26.28,26.89
306,27.08,25.83,26.28,26.89
307,27.1,25.77,26.27,26.94
308,27.14,25.84,26.32,26.9
309,27.11,25.81,26.31,26.92
310,27.1,25.83,26.28,26.91
311,27.12,25.8,26.32,26.89
312,27.09,25.77,26.25,26.91
313,27.13,25.82,26.29,26.9
314,27.08,25.8,26.3,26.91
315,27.11,25.77,26.27,26.92
316,27.1,25.81,26.31,26.91
317,27.1,25.83,26.27,26.93
318,27.06,25.83,26.27,26.87
319,27.13,25.82,26.24,26.9
320,27.09,25.81,26.29,26.95
321,27.11,25.86,26.25,26.91
322,27.14,25.81,26.33,26.93
323,27.13,25.83,26.32,26.91
324,27.12,25.82,26.29,26.81
325,27.12,25.81,26.28,26.93
326,27.07,25.83,26.24,26.9
327,27.1,25.79,26.27,26.9
328,27.09,25.8,26.32,26.89
329,27.09,25.78,26.31,26.9
330,27.1,25.81,26.33,26.92
331,27.14,25.82,26.31,26.9
332,27.16,25.76,26.31,26.89
333,27.11,25.78,26.29,26.91
334,27.13,25.83,26.28,26.93
335,27.13,25.77,26.3,26.89
336,27.12,25.8,26.27,26.88
337,27.05,25.82,26.27,26.89
338,27.07,25.78,26.22,26.88
339,27.11,25.85,26.24,26.87
340,27.15,25.85,26.28,26.85
341,27.09,25.84,26.27,26.9
342,27.14,25.81,26.26,26.9
343,27.11,25.86,26.33,26.92
344,27.1,25.85,26.24,26.88
345,27.09,25.82,26.27,26.88
346,27.1,25.8,26.23,26.9
347,27.12,25.79,26.29,26.91
348,27.09,25.79,26.31,26.91
349,27.09,25.86,26.3,26.87
350,27.11,25.83,26.31,26.92
351,27.09,25.81,26.28,26.91
352,27.11,25.83,26.24,26.85
353,27.09,25.76,26.26,26.89
354,27.1,25.83,26.33,26.89
355,27.15,25.84,26.28,26.9
356,27.12,25.84,26.28,26.98
357,27.1,25.83,26.25,26.91
358,27.12,25.83,26.27,26.88
359,27.13,25.85,26.27,26.89
360,27.13,25.86,26.29,26.88
361,27.07,25.83,26.25,26.87
362,27.09,25.85,26.29,26.91
363,27.09,25.82,26.27,26.85
364,27.1,25.81,26.29,26.89
365,27.1,25.78,26.25,26.88
366,27.14,25.85,26.27,26.86
367,27.09,25.79,26.26,26.88
368,27.14,25.79,26.27,26.9
369,27.1,25.83,26.29,26.91
370,27.09,25.86,26.24,26.93
371,27.12,25.87,26.24,26.92
372,27.14,25.84,26.25,26.92
373,27.12,25.81,26.3,26.91
374,27.11,25.82,26.25,26.91
375,27.1,25.79,26.25,26.89
376,27.17,25.86,26.27,26.91
377,27.14,25.85,26.29,26.92
378,27.1,25.81,26.33,26.89
379,27.1,25.77,26.27,26.91
380,27.1,25.83,26.28,26.92
381,27.12,25.77,26.24,26.91
382,27.12,25.85,26.29,26.93
383,27.11,25.84,26.31,26.89
384,27.14,25.82,26.31,26.88
385,27.08,25.74,26.28,26.89
386,27.09,25.8,26.3,26.88
387,27.11,25.79,26.29,26.86
388,27.07,25.83,26.3,26.92
389,27.09,25.82,26.27,26.94
390,27.13,25.79,26.25,26.88
391,27.1,25.81,26.27,26.88
392,27.12,25.82,26.29,26.88
393,27.12,25.82,26.28,26.92
394,27.07,25.81,26.26,26.91
395,27.09,25.83,26.22,26.88
396,27.09,25.82,26.25,26.89
397,27.1,25.81,26.25,26.9
398,27.11,25.76,26.26,26.84
399,27.14,25.81,26.23,26.88
