kbcommit,aceph01,aceph02,aceph03,aceph04
171,17998280.0,17165608.0,17431844.0,17893480.0
172,18002140.0,17162232.0,17476244.0,17861872.0
173,18000464.0,17153328.0,17467704.0,17877136.0
174,18027088.0,17163888.0,17458248.0,17870284.0
175,17986304.0,17164532.0,17474752.0,17858064.0
176,18034148.0,17157792.0,17437892.0,17885100.0
177,18034148.0,17152096.0,17430420.0,17901620.0
178,18026844.0,17140184.0,17438048.0,17885432.0
179,18038216.0,17151704.0,17460684.0,17874984.0
180,18047264.0,17166436.0,17453488.0,17866144.0
181,18013280.0,17139464.0,17431484.0,17879972.0
182,18006368.0,17147400.0,17462624.0,17911688.0
183,18018848.0,17138684.0,17443804.0,17886280.0
184,17993592.0,17161440.0,17448628.0,17829128.0
185,18017956.0,17173172.0,17443196.0,17874072.0
186,18049968.0,17165984.0,17395236.0,17860864.0
187,18006516.0,17170392.0,17449856.0,17892732.0
188,17999964.0,17164064.0,17458748.0,17854524.0
189,17999964.0,17180184.0,17469800.0,17885500.0
190,17994880.0,17136388.0,17469800.0,17857600.0
191,18039020.0,17105276.0,17464216.0,17884388.0
192,17996208.0,17162300.0,17442864.0,17866372.0
193,17998656.0,17117848.0,17463496.0,17876740.0
194,18025780.0,17163608.0,17438148.0,17851652.0
195,18027128.0,17160808.0,17433376.0,17875756.0
196,18025380.0,17141444.0,17479208.0,17868488.0
197,18017588.0,17139388.0,17476836.0,17884616.0
198,18032816.0,17163744.0,17475928.0,17855400.0
199,18027440.0,17138248.0,17453632.0,17895632.0
200,17993928.0,17152116.0,17468088.0,17854080.0
201,18018840.0,17168360.0,17439864.0,17896720.0
202,18018840.0,17144832.0,17507804.0,17914104.0
203,18046376.0,17176288.0,17433524.0,17880836.0
204,18018336.0,17158700.0,17465760.0,17872080.0
205,18010684.0,17175028.0,17464240.0,17877936.0
206,18038128.0,17173068.0,17449944.0,17887840.0
207,18013192.0,17163068.0,17462108.0,17846212.0
208,17970968.0,17170568.0,17432748.0,17877656.0
209,18025864.0,17143672.0,17465152.0,17872540.0
210,18072748.0,17151828.0,17420404.0,17888320.0
211,18033588.0,17144488.0,17429216.0,17876552.0
212,18023088.0,17160344.0,17470524.0,17856572.0
