%iowait,client01,client02,client03,client04
71,6.04,10.99,40.02,0.2
72,0.0,0.03,42.27,0.33
73,0.0,0.0,51.14,0.15
74,0.0,0.03,20.37,0.0
75,13.48,3.94,0.03,0.0
76,5.37,11.34,0.0,0.0
77,0.0,0.0,0.0,0.08
78,0.0,0.0,0.05,0.03
79,0.03,0.03,0.18,2.58
80,1.63,1.21,0.45,31.7
81,0.0,0.13,1.1,27.99
82,0.0,0.0,0.08,0.03
83,0.0,0.0,0.03,0.05
84,0.0,0.05,16.53,0.15
85,5.16,3.6,20.86,0.0
86,0.0,4.73,0.03,0.3
87,0.0,0.0,0.08,0.43
88,0.0,0.0,0.03,0.15
89,0.0,0.05,0.08,0.05
90,10.44,3.67,0.0,0.0
91,0.1,3.73,0.0,0.03
92,0.0,0.05,0.08,0.0
93,0.0,0.03,0.0,0.03
94,0.05,0.05,34.04,0.35
95,13.35,4.51,53.37,0.03
96,2.26,2.52,0.03,4.3
97,0.0,0.05,0.1,19.3
98,0.15,0.03,0.0,3.88
99,0.18,0.08,0.0,0.18
100,11.43,5.93,0.03,0.0
101,1.89,9.69,0.03,0.0
102,0.0,0.1,53.23,1.78
103,0.0,0.03,44.62,0.0
104,0.0,0.05,0.0,0.03
105,16.41,6.04,0.03,0.0
106,4.35,10.4,0.0,0.1
107,0.0,0.05,21.69,0.0
108,0.0,0.03,23.28,0.03
109,0.0,0.1,0.1,0.0
110,1.84,0.98,0.2,3.08
111,0.03,0.6,0.2,0.0
112,0.0,0.0,0.03,0.03
113,0.0,0.0,0.0,0.0
114,0.03,0.18,0.0,0.0
115,8.9,3.78,0.03,0.0
116,0.03,1.39,5.88,0.23
117,0.0,0.03,51.08,34.55
118,0.0,0.0,30.31,47.49
119,0.0,0.05,0.0,6.26
120,4.22,3.96,0.0,0.0
121,0.0,3.9,0.05,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.3,0.03
124,0.0,0.2,0.75,0.03
125,2.14,0.98,0.73,1.93
126,0.03,0.25,0.0,0.05
127,0.0,0.03,0.2,0.0
128,0.03,0.03,3.21,0.03
129,0.03,0.05,31.62,0.05
130,12.58,4.17,22.85,0.03
131,1.58,3.04,33.77,2.68
132,0.0,0.25,0.53,45.82
133,0.13,0.03,0.03,43.98
134,0.15,0.08,0.0,6.91
135,13.39,4.51,0.0,0.0
136,3.19,7.99,0.05,0.03
137,0.0,2.11,0.03,0.0
138,0.0,0.08,0.03,0.05
139,0.0,0.03,0.5,1.23
140,9.94,2.02,0.0,0.0
141,2.56,3.92,0.0,0.03
142,0.0,1.06,0.03,0.03
143,0.0,0.0,0.0,0.13
144,0.0,0.03,0.0,0.03
145,12.25,2.14,4.71,0.0
146,0.53,0.73,63.39,0.93
147,0.0,0.03,36.74,0.1
148,0.0,0.0,0.0,0.0
149,0.0,0.03,0.03,0.0
150,9.9,3.08,0.03,0.0
151,0.4,3.26,0.0,0.23
152,0.0,0.15,0.0,5.23
153,0.0,0.0,0.0,9.68
154,0.03,0.05,0.65,34.69
155,6.2,2.09,0.0,47.77
156,0.18,1.76,0.0,11.81
157,0.0,0.46,0.03,0.3
158,0.0,0.0,0.05,0.03
159,0.0,0.05,0.08,0.03
160,1.61,1.42,0.03,0.0
161,0.03,1.87,2.25,14.45
162,0.0,0.03,49.61,34.16
163,0.03,0.03,26.32,33.49
164,0.03,0.05,0.0,8.51
165,11.57,1.69,0.03,47.4
166,1.38,3.78,0.0,5.66
167,0.0,3.0,0.08,0.0
168,0.2,0.03,0.03,0.03
169,0.23,0.08,26.19,0.55
170,5.97,2.12,58.97,0.13
171,2.69,3.32,8.73,0.0
172,0.0,4.92,0.0,0.03
173,0.0,0.05,0.03,0.0
174,0.05,0.05,0.03,0.0
175,10.17,1.97,0.0,0.03
176,0.4,4.66,0.0,0.0
177,0.0,2.11,37.14,0.2
178,0.03,0.08,55.44,0.0
179,0.0,0.03,0.03,0.0
180,12.68,1.99,0.0,0.0
181,1.79,2.95,0.0,0.03
182,0.0,1.23,0.0,0.08
183,0.0,0.0,0.03,0.15
184,0.0,0.05,0.0,0.0
185,1.71,0.43,0.23,1.75
186,0.1,1.38,0.03,0.03
187,0.0,0.4,0.0,0.0
188,0.0,0.0,0.05,0.0
189,0.0,0.03,0.18,0.15
190,5.12,1.11,0.03,0.13
191,0.05,1.82,1.55,0.03
192,0.0,0.68,0.35,0.28
193,0.0,0.0,0.18,0.03
194,0.03,0.03,0.15,0.03
195,4.2,1.59,0.03,0.0
196,0.08,2.26,0.05,0.03
197,0.0,0.55,0.2,26.02
198,0.03,0.08,0.53,42.53
199,0.05,0.03,0.43,4.61
200,8.55,1.15,6.49,0.0
201,0.8,2.67,20.22,0.08
202,0.0,3.53,10.59,0.0
203,0.13,0.05,12.28,0.0
204,0.1,0.03,34.13,0.13
205,9.72,1.59,0.03,1.55
206,1.66,2.56,0.0,0.13
207,0.0,1.28,0.08,0.03
208,0.0,0.05,0.03,0.0
209,0.03,0.0,0.0,0.0
210,10.63,2.36,0.0,0.0
211,0.58,5.21,0.0,0.0
212,0.0,1.94,0.68,19.36
213,0.0,0.03,0.03,28.39
214,0.0,0.03,0.0,23.26
215,7.96,0.6,0.0,0.0
216,0.38,2.58,0.0,0.13
217,0.0,0.73,0.2,0.0
218,0.0,0.05,0.03,0.0
219,0.0,0.05,0.63,0.35
220,0.93,0.3,0.0,0.1
221,0.1,1.79,0.0,0.0
222,0.0,0.28,0.03,0.0
223,0.0,0.0,0.0,0.0
