wMB/s,aceph01,aceph02,aceph03,aceph04
137,1.031,1.239,1.146,0.751
138,1.211,0.773,0.945,1.319
139,1.176,0.609,0.843,1.452
140,1.579,0.738,0.718,1.147
141,1.221,1.094,1.26,1.113
142,1.676,1.479,0.922,1.092
143,1.386,1.415,0.807,1.245
144,1.018,1.059,1.296,1.791
145,1.196,1.213,0.741,1.649
146,0.876,0.832,0.658,1.383
147,1.235,0.847,1.367,1.813
148,0.759,1.714,0.974,0.895
149,1.326,1.24,1.027,0.852
150,0.929,1.527,1.512,0.926
151,0.914,1.777,0.976,0.572
152,0.947,1.077,1.049,1.443
153,1.055,1.604,0.826,1.338
154,0.64,2.299,1.786,1.08
155,1.089,0.955,1.873,1.225
156,1.096,0.831,1.584,0.718
157,1.013,0.943,1.925,0.778
158,1.323,0.816,0.849,0.791
159,1.683,1.383,1.477,0.79
160,1.74,0.862,0.821,1.229
161,0.727,0.997,1.006,1.59
162,1.129,1.37,1.099,1.232
163,0.973,0.836,1.246,1.389
164,1.303,0.915,2.038,1.502
165,1.158,0.921,1.539,0.605
166,0.987,1.17,1.108,0.994
167,1.274,0.916,1.261,1.345
168,0.909,0.761,1.132,0.901
169,0.797,1.196,0.846,1.493
170,1.569,0.616,1.091,1.378
171,1.684,1.057,1.718,1.262
172,1.457,1.147,2.573,1.107
173,0.991,0.975,1.157,1.078
174,0.959,1.512,1.076,1.313
175,1.027,1.525,0.912,1.551
176,1.266,0.953,0.74,1.433
177,1.753,0.928,2.589,1.337
178,1.15,1.392,1.855,1.375
179,0.698,1.328,1.265,0.818
180,0.963,1.791,0.77,0.761
181,0.506,1.886,1.008,1.036
182,0.81,1.212,0.915,1.082
183,1.619,0.916,1.066,1.197
184,0.741,1.402,0.908,1.193
185,1.061,1.005,1.258,1.247
186,1.343,1.445,1.481,1.189
187,0.891,1.262,1.791,3.446
188,0.963,0.926,1.7,0.888
189,1.237,1.097,2.942,1.065
190,0.955,0.844,0.705,1.258
191,1.205,1.025,0.832,1.179
192,1.241,0.677,0.652,1.023
193,0.814,1.164,1.316,0.916
194,0.757,0.703,1.477,1.524
195,0.647,1.333,1.147,1.053
196,1.38,0.915,1.74,0.833
197,0.932,0.721,1.058,0.957
198,1.18,1.007,1.055,1.235
199,1.345,1.583,0.97,1.18
200,2.071,1.49,0.578,1.299
201,1.524,3.117,0.751,1.455
202,1.065,1.438,0.923,1.2
203,1.032,1.246,0.777,1.345
204,1.256,0.931,1.312,1.592
205,3.481,1.002,1.032,1.502
206,1.376,1.173,0.791,1.382
207,1.505,1.383,1.07,1.562
208,0.777,1.421,1.102,1.208
209,0.751,1.171,0.995,1.064
210,0.883,1.458,1.176,0.804
211,0.977,1.356,1.134,0.596
212,1.212,0.937,0.764,1.05
213,0.722,1.155,0.436,1.223
214,0.447,1.151,1.021,1.256
215,0.591,0.68,1.609,0.876
216,1.072,1.021,1.699,0.924
217,1.462,0.802,1.918,0.463
218,1.028,1.178,1.038,0.822
219,1.235,1.153,0.918,0.8
220,0.979,0.857,0.98,1.286
221,1.043,1.115,1.043,1.115
222,0.842,0.945,1.278,1.168
223,2.034,0.878,1.465,0.703
224,1.049,0.668,1.349,0.75
225,1.066,0.869,1.681,0.538
226,1.565,1.032,0.958,0.698
227,0.935,1.107,0.843,1.75
228,0.824,0.958,1.377,1.215
229,1.579,0.513,0.891,1.699
230,1.205,0.504,0.877,1.046
231,1.14,0.899,0.938,0.877
232,0.898,1.406,0.914,0.991
233,1.211,1.371,0.833,1.509
234,1.386,0.931,1.526,1.272
235,1.376,1.021,1.221,1.805
236,1.248,0.879,0.891,1.226
237,0.685,1.103,0.96,1.338
238,0.956,1.122,2.211,0.841
239,0.766,1.58,1.084,0.882
240,1.621,1.516,1.22,0.692
241,2.195,1.505,0.762,0.939
242,0.917,0.943,0.823,1.165
243,1.389,1.002,0.823,1.05
244,1.487,1.21,0.879,1.247
245,1.07,1.017,1.654,0.89
246,1.082,1.015,1.501,1.127
247,1.328,1.591,2.001,0.579
248,1.094,0.986,1.479,1.052
249,1.365,1.269,1.133,0.807
250,0.709,1.157,0.874,1.283
251,1.219,0.829,0.605,1.026
252,0.89,1.116,1.484,0.709
253,0.993,0.788,1.23,1.409
254,1.195,0.861,1.508,0.637
255,1.024,1.315,1.583,0.845
256,0.99,2.608,1.421,1.065
257,1.293,1.714,1.146,0.87
258,1.116,0.67,0.793,1.277
259,1.213,0.602,0.881,1.298
260,1.162,0.683,0.971,0.963
261,1.235,0.847,1.077,1.151
262,1.046,1.129,1.076,1.475
263,1.319,1.279,0.757,1.446
264,1.537,1.157,0.978,1.657
265,0.994,1.007,0.713,1.376
266,1.04,1.495,0.973,1.238
267,1.434,0.951,1.124,1.605
268,1.064,1.36,1.389,1.392
269,1.203,1.275,1.088,1.368
270,1.036,1.309,0.929,0.952
271,0.742,1.563,0.858,0.883
272,0.579,1.401,0.817,0.915
273,1.321,0.802,1.004,1.346
274,0.849,1.017,0.862,1.408
275,1.184,0.807,1.637,1.183
276,1.176,0.86,1.729,1.377
277,1.101,1.615,1.661,0.729
278,1.36,0.968,1.535,0.969
279,1.023,1.351,1.236,1.495
280,0.832,1.002,0.849,0.966
281,1.124,0.973,1.071,1.533
282,0.952,0.576,1.214,0.951
283,1.143,0.844,1.305,1.01
284,1.197,0.844,1.214,0.874
285,1.332,1.26,1.252,0.565
286,1.259,0.831,1.005,0.677
287,0.885,0.954,1.113,1.026
288,0.688,0.478,0.951,1.156
289,2.279,1.886,1.377,1.656
290,0.96,1.629,0.825,1.1
291,1.326,1.107,0.995,0.892
292,1.138,1.435,0.929,1.165
293,1.2,1.335,0.75,1.118
294,1.254,0.976,0.888,1.784
295,1.395,1.062,1.193,1.306
296,1.125,1.141,1.047,1.404
297,1.305,0.72,1.265,1.454
298,1.136,1.823,1.332,1.493
299,0.947,1.424,0.837,1.388
300,0.824,1.393,0.826,0.92
301,0.947,1.654,1.342,0.97
302,0.981,1.265,1.16,1.157
303,1.344,0.797,0.963,1.083
304,2.351,1.339,1.033,1.105
305,0.951,2.373,1.651,1.049
306,1.052,1.13,1.112,0.8
307,0.764,2.355,1.914,1.408
308,1.118,1.965,1.019,1.2
309,1.216,1.545,1.597,0.78
310,1.306,2.975,1.276,0.945
311,1.17,0.97,1.037,1.272
312,1.056,0.827,0.927,0.814
313,0.972,1.084,1.475,1.353
314,0.878,1.201,1.204,0.955
315,0.956,1.128,1.666,0.632
316,1.641,1.591,1.344,0.719
317,1.68,2.521,1.046,1.296
318,1.54,1.25,1.045,1.389
319,1.38,0.868,1.548,1.609
320,0.784,0.79,1.169,1.516
321,1.245,1.01,1.19,1.314
322,1.02,1.31,0.753,1.259
323,1.708,2.285,0.925,2.401
324,1.473,1.588,1.224,2.11
325,1.16,1.34,0.751,1.608
326,1.293,0.984,1.187,1.15
327,0.971,1.019,0.698,1.511
328,1.573,1.093,1.147,2.684
329,1.055,1.8,1.056,1.302
330,1.046,1.55,1.042,0.937
331,1.081,1.529,0.969,0.845
332,0.965,1.266,2.175,0.665
333,1.275,1.372,1.266,0.875
334,0.857,0.939,0.835,1.151
335,0.863,1.516,1.647,1.249
336,0.772,1.088,1.183,1.562
337,1.156,1.136,1.826,1.263
338,1.403,0.822,1.47,1.123
339,2.665,1.263,1.63,0.744
340,1.202,0.928,1.458,0.619
341,0.91,0.731,1.118,1.08
342,0.952,0.954,1.004,1.272
343,0.878,1.071,1.178,1.156
344,1.408,0.866,1.473,1.408
345,1.305,0.734,1.38,1.054
346,1.8,1.199,1.508,0.508
347,1.256,0.778,1.249,0.827
348,1.018,1.46,0.916,1.057
349,0.998,0.872,0.88,1.438
350,1.443,0.675,0.942,1.847
351,1.185,0.903,1.166,1.261
352,1.355,0.999,0.926,1.45
353,1.59,1.132,0.906,1.087
354,0.97,1.534,0.919,1.129
355,0.923,1.415,0.612,1.515
356,1.236,1.484,1.368,1.158
357,0.861,0.999,0.775,2.202
358,1.545,0.931,1.388,1.444
359,0.951,1.32,1.124,1.099
360,1.08,1.59,1.051,0.737
361,1.337,1.449,1.134,0.928
362,0.602,1.712,2.723,0.871
363,1.326,1.376,1.285,0.82
364,0.752,1.052,0.568,1.27
365,0.922,0.826,1.275,1.365
366,1.185,1.046,1.772,0.953
367,1.131,1.09,1.729,0.888
368,1.117,0.801,1.328,0.605
369,1.105,1.05,1.124,0.684
370,0.728,1.106,0.991,1.186
371,1.186,0.92,1.125,1.401
372,1.048,0.718,1.024,0.96
373,1.033,0.98,1.766,0.574
374,0.996,1.016,3.245,0.548
375,1.041,1.161,2.293,0.402
376,1.353,1.403,1.185,1.37
377,1.211,1.048,0.899,1.126
378,1.373,0.973,1.04,1.579
379,1.079,0.815,0.93,1.295
380,1.242,0.491,1.371,1.38
381,0.96,0.826,0.828,1.089
382,1.252,1.363,1.325,1.103
383,1.132,1.414,0.978,1.101
384,1.258,1.816,1.091,1.18
385,1.035,1.043,1.581,1.649
386,1.612,1.447,0.615,2.596
387,1.323,0.567,0.779,1.671
388,0.864,1.048,1.543,1.469
389,0.978,1.663,0.972,0.999
390,0.923,1.721,1.083,0.685
391,1.011,1.869,1.126,0.799
392,1.259,1.148,1.045,0.719
393,1.22,1.002,1.112,1.733
394,0.893,0.968,0.798,0.785
395,0.952,1.187,1.289,1.041
396,1.147,1.524,1.295,1.13
397,1.183,0.914,2.183,1.157
398,0.937,0.99,1.808,0.979
399,1.239,0.913,2.323,1.053
