rxmcst/s,aceph01,aceph02,aceph03,aceph04
368,1.0,1.0,1.0,0.0
369,0.0,0.0,0.0,1.0
370,1.0,1.0,1.0,0.0
371,2.0,2.0,2.0,1.0
372,1.0,1.0,1.0,2.0
373,1.0,1.0,1.0,1.0
374,2.0,2.0,2.0,1.0
375,0.0,0.0,0.0,2.0
376,1.0,1.0,1.0,0.0
377,0.0,0.0,0.0,1.0
378,1.0,1.0,1.0,0.0
379,2.0,2.0,2.0,1.0
380,2.0,2.0,2.0,2.0
381,0.0,0.0,0.0,2.0
382,1.0,1.0,1.0,0.0
383,0.0,0.0,0.0,1.0
384,1.0,1.0,1.0,0.0
385,0.0,0.0,0.0,1.0
386,1.0,1.0,1.0,0.0
387,0.0,0.0,0.0,1.0
388,1.0,1.0,1.0,0.0
389,1.0,1.0,1.0,1.0
390,1.0,1.0,1.0,1.0
391,0.0,0.0,0.0,1.0
392,2.0,2.0,2.0,0.0
393,0.0,0.0,0.0,2.0
394,1.0,1.0,1.0,0.0
395,0.0,0.0,0.0,1.0
396,1.0,1.0,1.0,0.0
397,0.0,0.0,0.0,1.0
398,1.0,1.0,1.0,0.0
399,0.0,0.0,0.0,1.0
