%usr,client01,client02,client03,client04
142,0.43,0.71,0.35,0.65
143,0.38,0.25,0.3,0.28
144,0.13,0.33,0.35,0.3
145,0.25,0.35,0.28,0.33
146,2.01,0.38,0.4,0.38
147,1.94,0.84,0.3,0.88
148,1.03,0.58,0.38,0.5
149,0.68,0.38,0.55,0.48
150,0.28,0.4,0.5,0.53
151,0.3,0.46,0.35,0.53
152,0.33,0.33,0.6,0.2
153,0.33,0.45,0.7,0.43
154,1.59,0.48,0.28,0.45
155,2.06,0.18,0.33,0.15
156,1.05,0.45,0.78,0.38
157,0.2,0.84,0.55,0.7
158,0.43,0.48,0.58,0.68
159,0.38,0.61,0.7,0.63
160,0.53,0.83,0.68,0.8
161,1.33,0.46,0.9,0.63
162,1.87,0.94,0.23,0.43
163,1.31,0.45,0.33,0.25
164,1.01,0.3,0.5,0.33
165,0.23,0.43,0.48,0.23
166,0.23,0.43,0.3,0.5
167,0.33,0.23,0.43,0.3
168,0.23,0.25,0.48,0.38
169,0.35,0.38,0.33,0.5
170,2.84,0.3,0.28,0.35
171,1.03,0.38,0.45,0.35
172,0.9,0.4,0.63,0.53
173,0.45,0.58,0.38,0.55
174,0.3,0.4,0.43,0.35
175,0.38,0.35,0.5,0.38
176,0.25,0.5,0.25,0.38
177,1.16,0.15,0.48,0.33
178,2.46,0.5,0.35,1.43
179,0.81,0.48,0.45,0.43
180,0.93,0.5,0.33,0.68
181,0.3,0.4,0.28,0.35
182,0.25,0.23,0.6,0.28
183,0.25,0.5,0.28,0.58
184,0.4,0.3,0.73,0.3
185,1.21,0.48,0.78,0.6
186,3.31,0.68,0.25,0.9
187,0.5,0.4,0.3,0.25
188,0.18,0.43,0.6,0.33
189,0.18,0.63,0.58,0.63
190,0.3,0.6,0.78,0.5
191,0.6,0.73,0.25,0.73
192,2.28,0.13,0.5,0.28
193,2.24,0.65,0.9,0.58
194,0.53,1.06,0.88,0.83
195,0.53,0.66,0.28,0.63
196,0.3,0.25,0.33,0.33
197,0.18,0.35,0.3,0.23
198,0.35,0.33,0.83,0.23
199,2.54,0.63,0.4,0.65
200,2.42,0.55,0.53,0.5
201,0.38,0.66,0.23,0.5
202,0.28,0.25,0.2,0.28
203,0.25,0.3,0.28,0.23
204,0.1,0.35,0.38,0.33
205,0.53,0.58,0.38,0.65
206,3.48,0.35,0.43,0.43
207,1.61,0.48,0.35,0.63
208,0.28,0.4,0.4,0.4
209,0.18,0.43,0.18,0.45
210,0.23,0.18,0.68,0.2
211,0.25,0.66,0.43,0.78
212,1.31,0.38,0.33,0.5
213,1.96,0.15,0.25,0.15
214,1.21,0.23,0.4,0.2
215,0.25,0.55,1.03,0.43
216,0.53,0.99,0.5,1.05
217,0.55,0.45,0.35,0.48
218,0.23,0.33,0.2,0.4
219,0.18,0.2,0.53,0.28
220,2.94,0.48,0.75,0.5
221,1.68,0.75,0.75,0.78
222,0.43,0.86,0.85,0.8
223,0.58,0.86,0.2,0.75
224,0.13,0.18,0.6,0.23
225,0.28,0.5,0.25,0.58
226,1.21,0.3,0.38,0.3
227,2.26,0.45,0.33,0.7
228,0.83,0.55,0.3,0.55
229,0.73,0.18,0.48,0.28
230,0.28,0.43,0.4,0.4
231,0.38,0.48,0.2,0.33
232,0.23,0.15,0.4,0.18
233,0.25,0.63,0.5,0.35
234,1.71,0.45,0.5,0.55
235,2.24,0.68,0.33,0.95
236,1.05,0.33,0.3,0.38
237,0.6,0.13,0.73,0.23
238,0.35,0.91,0.33,1.63
239,0.5,0.35,0.43,0.38
240,0.2,0.45,0.3,0.5
241,0.38,0.35,0.8,0.28
242,1.49,0.73,0.23,0.73
243,3.42,0.28,0.58,0.2
244,0.25,0.63,0.45,0.6
245,0.35,0.35,1.03,0.38
246,0.48,1.06,0.55,1.13
247,0.55,0.58,0.18,0.55
248,0.08,0.23,0.63,0.28
249,1.91,0.6,0.45,0.28
250,1.48,0.81,0.38,0.35
251,1.13,0.43,0.6,0.53
252,1.06,0.66,0.2,0.6
253,0.23,0.18,0.6,0.2
254,0.28,0.78,0.48,0.65
255,0.38,0.48,0.28,0.48
256,0.2,0.2,0.45,0.25
257,1.58,0.43,0.5,0.45
258,2.94,0.45,0.45,0.48
259,0.2,0.45,0.2,0.45
260,0.23,0.18,0.33,0.2
261,0.18,0.43,0.73,0.28
262,0.33,0.68,0.35,0.65
263,0.23,0.35,0.75,0.4
264,2.21,0.81,0.25,0.33
265,1.28,0.43,0.35,0.2
266,0.96,0.58,0.4,0.38
267,0.93,0.4,0.58,0.33
268,0.28,0.45,0.35,0.58
269,0.38,0.28,0.38,0.48
270,0.2,0.35,0.55,0.33
271,0.23,0.5,0.73,0.6
272,1.25,0.68,0.58,0.65
273,3.12,0.5,0.25,0.45
274,0.5,0.25,0.23,0.23
275,0.25,0.38,0.63,0.43
276,0.5,0.79,0.6,0.53
277,0.4,0.58,0.53,0.33
278,0.33,0.48,0.3,0.65
279,2.54,0.33,0.2,0.38
280,1.16,0.2,0.45,0.2
281,1.18,0.55,0.65,0.63
282,0.63,0.61,0.4,0.73
283,0.2,0.45,0.65,0.4
284,0.38,0.56,0.5,0.7
285,0.23,0.4,0.23,0.4
286,0.15,0.2,0.83,0.38
287,3.39,0.78,0.4,0.78
288,1.54,0.43,0.33,0.45
289,0.4,0.58,0.4,0.18
290,0.35,0.53,0.68,0.3
291,0.55,0.78,0.35,0.8
292,0.25,0.3,0.4,0.3
293,1.13,0.33,0.43,0.38
294,2.62,0.6,0.23,0.55
295,1.01,0.18,0.78,0.18
296,0.53,0.81,0.55,0.88
297,0.25,0.43,0.43,0.6
298,0.45,0.51,0.75,1.28
299,0.35,0.91,0.4,0.83
300,0.53,0.18,0.3,0.35
301,1.1,0.45,0.4,0.38
302,1.78,0.35,0.3,0.22
303,1.63,0.35,0.93,0.25
304,0.5,0.86,0.68,0.9
305,0.4,0.51,0.4,0.68
306,0.15,0.35,0.88,0.4
307,0.48,0.66,0.38,0.88
308,0.33,0.3,0.4,0.53
309,3.13,0.25,0.12,0.35
310,1.33,0.25,0.48,0.15
311,0.4,0.61,1.05,0.68
312,0.33,0.91,0.43,1.1
313,0.48,0.4,1.1,0.43
314,0.38,0.96,0.48,1.03
315,0.43,0.48,0.73,0.33
316,0.53,0.48,0.45,0.65
317,3.33,0.35,0.18,0.3
318,1.06,0.13,0.6,0.23
319,0.33,0.53,0.58,0.63
320,0.3,0.38,0.58,0.55
321,0.33,0.38,0.48,0.5
322,0.38,0.53,0.53,0.35
323,1.1,0.45,0.23,0.35
324,2.11,0.23,0.23,0.2
325,1.0,0.28,0.55,0.2
326,0.78,0.48,0.45,0.63
327,0.33,0.45,0.5,0.48
328,0.25,0.48,0.58,0.5
329,0.28,0.5,0.55,0.55
330,0.25,0.45,0.78,0.48
331,1.48,0.91,0.85,0.78
332,3.18,0.81,0.2,0.9
333,0.73,0.23,0.45,0.18
334,0.2,0.48,1.13,0.53
335,0.63,1.09,0.48,1.03
336,0.18,0.33,0.43,0.48
337,0.33,0.28,0.9,0.38
338,2.11,0.63,0.23,0.78
339,2.21,0.25,0.18,0.25
340,0.93,0.38,0.5,0.25
341,0.25,0.38,0.5,0.58
342,0.18,0.2,0.35,0.4
343,0.35,0.25,1.18,0.43
344,0.35,0.94,0.6,1.2
345,0.38,0.53,0.35,0.55
346,2.31,0.3,0.35,0.38
347,2.43,0.38,0.2,0.23
348,0.2,0.28,0.28,0.25
349,0.1,0.18,0.53,0.2
350,0.35,0.51,1.0,0.55
351,0.35,0.96,0.55,1.05
352,0.38,0.38,0.28,0.58
353,1.88,0.33,0.75,0.2
354,2.36,0.53,0.7,0.33
355,0.66,0.73,0.3,0.5
356,0.45,0.4,0.28,0.45
357,0.2,0.25,0.3,0.4
358,0.2,0.23,0.23,0.93
359,0.18,0.13,0.95,0.18
360,1.48,0.96,0.48,0.8
361,2.6,0.79,0.15,0.83
362,0.78,0.2,0.25,0.18
363,0.75,0.28,0.3,0.3
364,0.18,0.28,0.5,0.28
365,0.3,0.43,0.28,0.43
366,0.2,0.2,1.03,0.15
367,0.35,0.89,0.35,0.78
368,1.66,0.48,0.18,0.4
369,2.08,0.05,0.45,0.18
370,1.08,0.6,0.73,0.65
371,0.83,0.58,1.05,0.75
372,0.63,0.96,0.85,1.0
373,0.38,0.86,0.28,0.73
374,0.23,0.18,0.4,0.25
375,0.25,0.63,0.78,0.3
376,1.21,0.96,0.6,0.5
377,2.13,0.5,0.2,0.43
378,1.21,0.15,0.33,0.2
379,0.83,0.28,0.53,0.28
380,0.35,0.53,0.75,0.45
381,0.45,0.68,0.18,0.65
382,0.18,0.15,0.45,0.18
383,0.3,0.48,0.2,0.38
384,0.2,0.15,0.73,0.25
385,2.47,1.27,0.43,0.45
386,1.43,0.71,0.28,0.6
387,1.46,0.35,0.63,0.23
388,0.4,0.78,0.2,0.55
389,0.3,0.25,0.5,0.25
390,0.23,0.78,0.33,0.65
391,0.5,0.53,0.43,0.55
392,0.3,0.43,0.43,0.4
393,2.53,0.55,0.53,0.35
394,2.27,0.63,0.68,0.38
395,0.43,0.68,0.25,0.58
396,0.15,0.23,0.68,0.23
397,0.25,0.53,0.58,0.6
398,0.45,0.65,0.28,0.38
399,0.25,0.25,0.35,0.18
