%ifutil,aceph01,aceph02,aceph03,aceph04
86,2.58,2.57,2.48,1.8
87,1.89,1.76,2.05,2.49
88,2.6,2.7,2.54,1.98
89,0.81,0.61,0.64,2.65
90,3.01,3.08,3.15,0.72
91,1.11,0.89,1.09,2.96
92,3.29,3.29,3.33,0.99
93,1.48,1.4,1.33,3.0
94,5.25,4.46,5.21,1.51
95,3.28,3.03,2.8,4.7
96,1.01,0.78,1.01,2.91
97,0.53,0.56,0.55,0.93
98,2.88,2.93,2.98,0.51
99,4.0,4.03,3.84,2.79
100,0.52,0.45,0.44,3.86
101,5.61,5.53,5.51,0.41
102,2.87,2.7,2.83,5.65
103,0.32,0.18,0.14,2.82
104,0.29,0.16,0.15,0.26
105,3.88,3.64,3.73,0.13
106,3.86,3.66,3.92,3.6
107,1.05,1.02,1.05,3.16
108,1.85,1.72,1.67,1.09
109,2.45,2.38,2.51,1.87
110,0.69,0.52,0.55,2.15
111,0.94,0.81,0.92,0.51
112,0.08,0.07,0.07,0.96
113,5.5,4.98,5.06,0.1
114,2.26,2.16,2.16,5.15
115,1.78,1.9,1.93,2.21
116,0.59,0.52,0.45,1.82
117,0.84,0.8,0.72,0.52
118,3.16,3.11,2.96,0.74
119,1.91,1.86,1.84,3.14
120,1.54,1.52,1.43,1.87
121,1.81,1.67,1.76,1.38
122,3.24,3.23,3.52,1.61
123,1.47,1.25,1.21,3.3
124,4.02,3.76,4.1,1.35
125,1.49,1.16,1.33,3.88
126,2.76,2.47,2.61,1.26
127,2.95,3.01,3.08,2.47
128,2.62,2.52,2.51,2.88
129,1.33,1.2,1.18,2.3
130,2.03,1.69,1.54,1.16
131,2.85,2.88,2.83,1.79
132,4.57,4.41,4.48,3.05
133,1.23,1.15,1.14,4.64
134,1.75,1.65,1.88,1.19
135,1.85,1.61,1.87,1.76
136,1.37,1.22,1.36,1.6
137,2.61,2.45,2.55,1.19
138,0.6,0.49,0.49,2.36
139,2.6,2.43,2.34,0.55
140,3.02,2.93,3.03,2.38
141,2.04,1.72,1.84,2.75
142,2.02,2.26,2.24,1.83
143,0.9,0.92,0.87,2.19
144,1.54,1.48,1.56,1.0
145,0.6,0.53,0.48,1.51
146,3.41,2.9,3.3,0.47
147,3.25,3.45,3.26,3.03
148,1.42,1.16,1.21,3.5
149,2.93,2.75,3.16,1.31
150,1.17,1.0,1.11,2.97
151,2.29,2.16,2.34,0.93
152,1.51,1.35,1.71,2.06
153,3.07,2.87,2.84,1.57
154,1.95,1.59,1.72,2.66
155,0.44,0.32,0.31,1.56
156,2.23,2.17,2.08,0.26
157,4.11,3.76,3.78,2.11
158,2.6,2.55,2.45,4.0
159,2.13,2.01,2.06,2.48
160,3.96,4.11,3.87,1.93
161,4.1,3.94,4.07,3.99
162,3.25,3.39,3.58,4.13
163,1.63,1.41,1.31,3.43
164,0.8,0.68,0.72,1.43
165,1.83,2.01,2.16,0.7
166,2.7,2.55,2.75,1.96
167,0.39,0.36,0.35,2.63
168,1.69,1.6,1.51,0.42
169,2.11,1.94,1.82,1.63
170,2.26,2.49,2.38,1.89
171,0.74,0.73,0.84,2.32
172,2.94,2.72,2.92,0.77
173,2.56,2.15,2.18,2.75
174,1.61,1.55,1.68,2.3
175,1.43,1.33,1.47,1.6
176,2.02,1.99,1.95,1.32
177,0.22,0.27,0.27,2.0
178,3.83,4.02,3.76,0.2
179,1.44,1.34,1.42,4.1
180,3.41,3.19,3.54,1.37
181,0.53,0.48,0.44,3.27
182,1.56,1.61,1.42,0.48
183,1.93,1.99,1.91,1.34
184,1.14,0.98,1.15,1.99
185,3.7,3.26,3.55,1.09
186,3.68,3.29,3.46,3.37
187,1.03,0.98,1.12,3.49
188,0.76,0.65,0.62,1.05
189,3.13,2.95,2.84,0.68
190,3.9,3.96,3.76,2.75
191,1.35,1.54,1.42,3.74
192,0.52,0.5,0.56,1.5
193,3.57,3.24,3.53,0.57
194,4.54,4.46,4.7,3.58
195,1.64,1.61,1.67,4.27
196,0.57,0.53,0.49,1.45
197,1.97,2.1,1.89,0.58
198,1.37,1.18,1.03,1.99
199,3.14,3.19,3.14,1.19
200,1.16,1.13,1.09,3.07
201,3.61,2.95,3.12,1.08
202,0.93,1.03,0.93,3.35
203,0.33,0.22,0.13,0.95
204,2.6,2.62,2.77,0.26
205,1.96,1.71,1.81,2.66
206,2.46,2.42,2.6,1.65
207,1.85,1.68,1.73,2.36
208,0.87,0.82,0.71,1.75
209,1.51,1.48,1.38,0.82
210,0.27,0.22,0.19,1.5
211,4.79,4.38,5.05,0.15
212,0.13,0.16,0.17,4.57
213,0.79,0.73,0.61,0.18
214,1.04,0.81,0.97,0.71
215,2.68,2.47,2.59,0.84
216,4.28,4.3,4.36,2.58
217,1.52,1.35,1.44,4.17
218,1.51,1.3,1.23,1.45
219,1.58,1.52,1.45,1.4
220,1.45,1.38,1.43,1.43
221,4.46,4.52,4.55,1.37
222,4.19,4.04,4.04,4.51
223,1.69,1.65,1.62,4.4
224,1.06,0.85,1.07,1.8
225,1.99,1.99,1.92,0.91
226,0.39,0.25,0.38,1.95
227,3.4,3.24,3.24,0.38
228,1.41,1.3,1.4,2.99
229,2.02,1.86,1.99,1.5
230,1.82,1.68,1.59,2.07
231,1.76,1.68,1.63,1.45
232,0.14,0.17,0.2,1.74
233,2.57,2.74,2.38,0.19
234,3.03,2.72,3.01,2.56
235,3.46,3.21,3.28,2.98
236,1.41,1.17,1.32,3.0
237,1.66,1.62,1.72,1.25
238,3.17,3.04,3.21,1.66
239,1.39,1.25,1.39,3.29
240,2.58,2.52,2.33,1.36
241,1.7,1.45,1.6,2.41
242,2.71,2.65,2.96,1.59
243,0.96,0.86,0.82,2.62
244,2.53,2.41,2.3,0.87
245,2.89,2.79,2.59,2.3
246,5.2,4.94,5.22,2.66
247,0.82,0.82,0.83,5.23
248,0.43,0.33,0.26,0.91
249,2.89,3.01,2.82,0.36
250,4.09,3.87,3.95,2.91
251,3.43,3.63,3.69,3.75
252,0.98,0.97,0.97,3.71
253,0.64,0.5,0.5,1.11
254,3.94,3.59,3.92,0.57
255,1.54,1.47,1.52,4.0
256,1.07,1.01,1.01,1.35
257,1.12,1.06,1.19,0.96
258,2.09,2.02,2.07,1.18
259,1.93,1.83,1.98,1.95
260,0.7,0.64,0.54,2.02
261,3.01,2.86,2.78,0.59
262,0.95,1.02,0.98,2.89
263,1.71,1.74,1.72,1.09
264,2.74,2.74,2.85,1.78
265,2.9,2.69,2.66,2.6
266,1.34,1.2,1.21,2.41
267,1.52,1.54,1.52,1.2
268,1.73,1.52,1.55,1.55
269,1.89,2.0,2.12,1.88
270,1.5,1.38,1.44,2.1
271,3.14,2.83,3.09,1.37
272,1.48,1.65,1.69,3.02
273,2.54,2.37,2.47,1.51
274,0.36,0.31,0.37,2.49
275,3.18,2.81,2.98,0.3
276,3.03,2.71,2.54,3.14
277,2.35,2.45,2.61,2.67
278,3.45,3.43,3.4,2.28
279,0.72,0.54,0.51,3.27
280,1.02,0.82,0.78,0.52
281,4.09,3.91,4.02,0.78
282,2.15,2.19,2.21,3.87
283,2.54,2.45,2.35,2.27
284,2.4,2.23,2.57,2.64
285,1.07,1.0,0.9,2.24
286,0.68,0.57,0.67,0.93
287,3.91,3.93,3.93,0.66
288,2.62,2.33,2.28,3.87
289,1.22,1.02,1.07,2.65
290,3.66,3.41,3.3,1.12
291,1.82,1.73,1.91,3.18
292,1.1,1.08,1.18,1.68
293,1.76,1.58,1.65,1.11
294,2.33,2.31,2.47,1.76
295,1.51,1.36,1.52,2.32
296,3.22,3.18,3.17,1.52
297,2.34,2.34,2.24,2.83
298,1.9,1.87,1.65,2.26
299,4.56,4.67,4.6,1.9
300,0.99,0.87,1.02,4.67
301,0.82,0.69,0.75,0.97
302,1.28,1.26,1.34,0.73
303,2.2,1.86,2.24,1.15
304,4.04,3.95,3.95,2.08
305,1.39,1.33,1.35,3.81
306,2.59,2.15,2.39,1.29
307,4.27,4.05,4.25,2.27
308,1.28,1.24,1.15,4.41
309,0.54,0.38,0.35,1.29
310,1.45,1.36,1.38,0.32
311,3.55,3.64,3.55,1.24
312,4.69,4.43,4.57,3.66
313,1.79,1.61,1.66,4.46
314,5.05,4.91,5.33,1.78
315,1.76,1.42,1.4,5.01
316,2.99,3.06,3.22,1.51
317,0.11,0.08,0.05,2.87
318,0.62,0.45,0.53,0.07
319,2.42,2.52,2.31,0.53
320,2.97,2.47,2.6,2.21
321,2.93,2.89,2.9,2.48
322,0.96,0.85,0.83,2.9
323,1.21,1.08,1.1,0.9
324,0.83,0.74,0.7,1.12
325,0.58,0.52,0.5,0.67
326,3.06,3.28,3.43,0.46
327,0.9,1.06,0.92,3.24
328,2.83,3.0,2.91,0.96
329,1.43,1.26,1.29,3.14
330,3.59,3.29,3.23,1.27
331,3.84,3.6,4.01,3.23
332,3.12,3.14,3.01,3.85
333,0.32,0.19,0.13,3.07
334,4.49,4.31,4.12,0.27
335,4.32,3.86,4.4,4.08
336,1.39,1.24,1.23,3.99
337,1.5,1.44,1.49,1.25
338,3.01,3.03,3.12,1.51
339,1.48,1.35,1.19,3.22
340,0.32,0.22,0.21,1.21
341,2.13,2.05,1.93,0.14
342,2.3,2.12,2.24,1.97
343,2.23,2.43,2.48,2.14
344,5.06,4.84,4.98,2.4
345,2.56,2.49,2.41,4.89
346,0.29,0.14,0.17,2.24
347,0.86,0.77,0.92,0.18
348,0.3,0.16,0.12,0.86
349,2.57,2.2,2.26,0.23
350,2.21,2.06,2.02,2.5
351,3.37,3.66,3.48,1.87
352,2.22,2.22,2.15,3.34
353,1.02,0.78,0.87,2.21
354,4.07,3.83,3.86,0.92
355,2.75,2.57,2.69,3.6
356,1.66,1.79,1.88,2.48
357,0.19,0.16,0.17,1.79
358,0.98,0.92,0.82,0.17
359,0.96,0.84,0.82,0.96
360,6.17,5.75,6.01,0.78
361,1.25,1.52,1.42,5.93
362,0.85,0.87,0.81,1.31
363,0.23,0.11,0.06,0.88
364,2.08,1.8,1.93,0.17
365,1.08,0.97,0.99,1.84
366,1.13,0.98,1.27,0.92
367,3.98,3.96,4.04,1.17
368,1.07,0.95,0.88,4.1
369,0.69,0.44,0.59,1.08
370,3.76,3.7,3.56,0.55
371,5.52,5.28,5.13,3.58
372,3.76,3.67,3.79,5.2
373,3.0,2.79,2.67,3.7
374,0.37,0.24,0.25,3.13
375,3.86,3.54,3.82,0.21
376,2.73,2.96,3.23,3.71
377,1.48,1.42,1.38,2.82
378,0.71,0.57,0.57,1.38
379,1.87,1.63,1.76,0.62
380,2.87,2.42,2.49,1.54
381,2.92,2.93,2.73,2.23
382,0.22,0.16,0.25,2.88
383,1.38,1.49,1.44,0.22
384,1.63,1.39,1.53,1.6
385,4.58,4.58,4.54,1.42
386,2.82,2.66,2.95,4.43
387,1.78,1.76,1.78,2.84
388,1.99,1.88,1.9,1.81
389,0.67,0.49,0.52,1.88
390,5.36,5.15,5.73,0.5
391,1.38,1.48,1.47,5.14
392,1.58,1.61,1.66,1.4
393,1.49,1.35,1.3,1.58
394,3.19,2.66,3.17,1.4
395,1.33,1.33,1.42,2.81
396,1.3,1.26,1.39,1.32
397,3.02,3.14,3.1,1.41
398,1.54,1.34,1.27,3.25
399,0.7,0.58,0.55,1.4
