%memused,client01,client02,client03,client04
254,24.05,51.18,59.09,45.71
255,24.05,51.18,59.09,45.71
256,24.05,51.19,59.1,45.71
257,24.08,51.19,59.1,45.71
258,24.08,51.19,59.1,45.71
259,24.06,51.19,59.1,45.71
260,24.06,51.18,59.1,45.71
261,24.06,51.18,59.1,45.71
262,24.05,51.18,59.1,45.71
263,24.05,51.19,59.1,45.71
264,24.07,51.19,59.1,45.71
265,24.08,51.19,59.11,45.71
266,24.08,51.19,59.11,45.71
267,24.06,51.19,59.11,45.71
268,24.06,51.19,59.11,45.71
269,24.06,51.2,59.11,45.71
270,24.05,51.19,59.11,45.71
271,24.05,51.2,59.13,45.71
272,24.07,51.2,59.13,45.72
273,24.08,51.2,59.13,45.72
274,24.05,51.2,59.13,45.72
275,24.05,51.2,59.13,45.72
276,24.05,51.2,59.13,45.72
277,24.05,51.2,59.13,45.72
278,24.05,51.21,59.13,45.72
279,24.08,51.23,59.13,45.72
280,24.08,51.24,59.13,45.72
281,24.06,51.24,59.13,45.72
282,24.05,51.24,59.13,45.72
283,24.05,51.24,59.13,45.73
284,24.05,51.24,59.13,45.73
285,24.05,51.24,59.13,45.73
286,24.04,51.24,59.13,45.73
287,24.08,51.25,59.13,45.73
288,24.05,51.25,59.13,45.73
289,24.05,51.26,59.13,45.73
290,24.05,51.25,59.13,45.73
291,24.05,51.26,59.13,45.73
292,24.05,51.26,59.13,45.73
293,24.06,51.26,59.14,45.73
294,24.08,51.26,59.14,45.73
295,24.08,51.27,59.14,45.73
296,24.05,51.27,59.14,45.73
297,24.05,51.27,59.14,45.73
298,24.05,51.27,59.14,45.73
299,24.05,51.3,59.14,45.73
300,24.05,51.3,59.14,45.73
301,24.06,51.3,59.14,45.73
302,24.07,51.3,59.14,45.73
303,24.06,51.3,59.14,45.73
304,24.05,51.3,59.14,45.73
305,24.05,51.3,59.14,45.73
306,24.05,51.3,59.14,45.73
307,24.05,51.3,59.14,45.73
308,24.05,51.3,59.14,45.73
309,24.08,51.3,59.14,45.73
310,24.07,51.29,59.14,45.73
311,24.06,51.3,59.15,45.73
312,24.05,51.3,59.15,45.73
313,24.05,51.3,59.15,45.69
314,24.05,51.3,59.15,45.69
315,24.05,51.3,59.15,45.69
316,24.06,51.3,59.15,45.69
317,24.08,51.3,59.15,45.69
318,24.05,51.31,59.15,45.7
319,24.05,51.31,59.16,45.7
320,24.05,51.31,59.15,45.7
321,24.05,51.31,59.15,45.7
322,24.05,51.31,59.15,45.7
323,24.07,51.31,59.16,45.7
324,24.08,51.31,59.16,45.7
325,24.08,51.31,59.16,45.7
326,24.06,51.31,59.16,45.7
327,24.05,51.31,59.16,45.7
328,24.05,51.31,59.16,45.7
329,24.05,51.32,59.16,45.7
330,24.06,51.32,59.16,45.7
331,24.07,51.32,59.16,45.7
332,24.09,51.33,59.16,45.71
333,24.06,51.33,59.16,45.71
334,24.06,51.33,59.16,45.71
335,24.06,51.33,59.16,45.71
336,24.06,51.33,59.16,45.71
337,24.06,51.32,59.16,45.71
338,24.08,51.32,59.16,45.71
339,24.08,51.32,59.16,45.71
340,24.08,51.32,59.16,45.71
341,24.06,51.32,59.16,45.71
342,24.06,51.32,59.16,45.71
343,24.06,51.32,59.16,45.71
344,24.06,51.32,59.16,45.71
345,24.06,51.32,59.16,45.71
346,24.09,51.32,59.16,45.71
347,24.08,51.32,59.16,45.72
348,24.06,51.32,59.16,45.71
349,24.06,51.33,59.16,45.71
350,24.07,51.33,59.16,45.71
351,24.07,51.33,59.16,45.71
352,24.07,51.33,59.16,45.71
353,24.09,51.33,59.17,45.71
354,24.09,51.33,59.17,45.71
355,24.07,51.33,59.17,45.72
356,24.07,51.33,59.17,45.71
357,24.07,51.33,59.17,45.71
358,24.07,51.33,59.17,45.71
359,24.06,51.34,59.17,45.71
360,24.09,51.34,59.17,45.71
361,24.1,51.33,59.17,45.71
362,24.1,51.34,59.17,45.71
363,24.07,51.34,59.17,45.71
364,24.07,51.34,59.17,45.71
365,24.07,51.34,59.17,45.71
366,24.07,51.33,59.17,45.71
367,24.07,51.33,59.17,45.71
368,24.09,51.33,59.17,45.72
369,24.1,51.33,59.17,45.71
370,24.1,51.34,59.17,45.72
371,24.08,51.33,59.17,45.71
372,24.08,51.34,59.17,45.71
373,24.08,51.33,59.17,45.72
374,24.08,51.33,59.17,45.72
375,24.08,51.33,59.17,45.72
376,24.09,51.33,59.17,45.72
377,24.1,51.34,59.17,45.72
378,24.1,51.34,59.17,45.72
379,24.08,51.34,59.17,45.72
380,24.09,51.34,59.17,45.72
381,24.09,51.34,59.17,45.72
382,24.09,51.34,59.17,45.72
383,24.09,51.34,59.17,45.72
384,24.09,51.34,59.16,45.72
385,24.11,51.34,59.16,45.72
386,24.11,51.34,59.17,45.72
387,24.11,51.3,59.17,45.73
388,24.09,51.3,59.16,45.72
389,24.09,51.3,59.16,45.72
390,24.08,51.3,59.16,45.72
391,24.09,51.3,59.16,45.72
392,24.09,51.3,59.16,45.72
393,24.11,51.3,59.16,45.72
394,24.1,51.3,59.16,45.72
395,24.09,51.3,59.16,45.72
396,24.09,51.3,59.16,45.72
397,24.09,51.3,59.16,45.72
398,24.08,51.3,59.16,45.72
399,24.08,51.31,59.16,45.72
