%commit,client01,client02,client03,client04
231,36.8,74.19,74.65,61.94
232,36.8,74.18,74.65,61.95
233,36.8,74.17,74.65,61.95
234,36.76,74.18,74.64,61.96
235,36.78,74.18,74.64,61.96
236,36.8,74.18,74.65,61.97
237,36.78,74.19,74.65,61.97
238,36.78,74.19,74.67,61.97
239,36.78,74.19,74.66,61.96
240,36.78,74.2,74.66,61.96
241,36.78,74.2,74.66,61.96
242,36.77,74.2,74.66,61.95
243,36.78,74.2,74.66,61.95
244,36.77,74.2,74.66,61.93
245,36.77,74.2,74.66,61.93
246,36.77,74.21,74.66,61.93
247,36.77,74.2,74.66,61.93
248,36.77,74.2,74.65,61.93
249,36.81,74.2,74.65,61.93
250,36.81,74.2,74.65,61.93
251,36.81,74.2,74.65,61.93
252,36.8,74.2,74.65,61.93
253,36.8,74.2,74.65,61.94
254,36.8,74.22,74.65,61.95
255,36.8,74.22,74.65,61.95
256,36.8,74.22,74.64,61.95
257,36.83,74.22,74.64,61.95
258,36.82,74.22,74.64,61.95
259,36.8,74.23,74.64,61.95
260,36.8,74.23,74.64,61.95
261,36.8,74.22,74.64,61.94
262,36.8,74.22,74.64,61.94
263,36.8,74.22,74.64,61.95
264,36.78,74.22,74.64,61.95
265,36.82,74.22,74.65,61.94
266,36.82,74.2,74.64,61.94
267,36.79,74.19,74.64,61.94
268,36.79,74.19,74.64,61.93
269,36.79,74.2,74.64,61.94
270,36.79,74.2,74.64,61.94
271,36.79,74.2,74.64,61.94
272,36.76,74.2,74.63,61.95
273,36.81,74.2,74.63,61.95
274,36.79,74.19,74.63,61.95
275,36.79,74.19,74.64,61.95
276,36.79,74.19,74.64,61.95
277,36.79,74.19,74.64,61.95
278,36.79,74.19,74.64,61.96
279,36.81,74.2,74.63,61.96
280,36.83,74.2,74.63,61.96
281,36.8,74.2,74.62,61.97
282,36.78,74.21,74.62,61.97
283,36.78,74.21,74.62,61.96
284,36.78,74.2,74.62,61.96
285,36.78,74.2,74.62,61.96
286,36.78,74.2,74.62,61.96
287,36.81,74.23,74.62,61.96
288,36.81,74.23,74.62,61.96
289,36.81,74.23,74.62,61.96
290,36.81,74.23,74.63,61.97
291,36.81,74.23,74.62,61.98
292,36.81,74.23,74.62,61.98
293,36.81,74.23,74.62,61.98
294,36.81,74.23,74.62,61.98
295,36.82,74.23,74.62,61.98
296,36.82,74.23,74.62,61.98
297,36.82,74.24,74.62,61.97
298,36.82,74.24,74.62,61.97
299,36.82,74.24,74.62,61.98
300,36.82,74.24,74.62,61.98
301,36.8,74.24,74.63,61.98
302,36.82,74.24,74.63,61.98
303,36.82,74.24,74.63,61.98
304,36.82,74.24,74.63,61.98
305,36.82,74.24,74.62,61.98
306,36.82,74.24,74.62,61.98
307,36.82,74.22,74.62,61.98
308,36.82,74.23,74.62,61.97
309,36.84,74.23,74.62,61.97
310,36.86,74.22,74.65,61.97
311,36.86,74.23,74.65,61.97
312,36.86,74.23,74.66,61.97
313,36.86,74.23,74.66,61.97
314,36.86,74.23,74.65,61.97
315,36.86,74.23,74.65,61.97
316,36.89,74.23,74.65,61.97
317,36.89,74.22,74.65,61.97
318,36.88,74.3,74.66,61.97
319,36.88,74.3,74.66,61.97
320,36.88,74.3,74.65,61.96
321,36.88,74.3,74.65,61.96
322,36.89,74.32,74.65,61.95
323,36.91,74.32,74.66,61.95
324,36.9,74.32,74.66,61.96
325,36.92,74.31,74.66,61.96
326,36.9,74.31,74.66,61.96
327,36.91,74.31,74.66,61.96
328,36.91,74.31,74.66,61.95
329,36.91,74.31,74.65,61.95
330,36.91,74.31,74.65,61.95
331,36.9,74.38,74.65,61.96
332,36.9,74.38,74.66,61.95
333,36.89,74.38,74.66,61.95
334,36.89,74.37,74.66,61.95
335,36.89,74.37,74.66,61.95
336,36.89,74.36,74.66,61.96
337,36.89,74.35,74.66,61.96
338,36.88,74.35,74.66,61.96
339,36.9,74.34,74.66,61.96
340,36.89,74.34,74.66,61.96
341,36.88,74.34,74.66,61.96
342,36.88,74.34,74.67,61.96
343,36.88,74.34,74.67,61.96
344,36.88,74.34,74.67,61.96
345,36.88,74.34,74.67,61.96
346,36.86,74.33,74.67,61.96
347,36.89,74.33,74.67,61.96
348,36.87,74.32,74.67,61.96
349,36.87,74.32,74.67,61.96
350,36.87,74.32,74.68,61.96
351,36.87,74.33,74.69,61.97
352,36.87,74.33,74.69,61.96
353,36.84,74.34,74.69,61.96
354,36.87,74.35,74.68,61.96
355,36.88,74.35,74.68,61.96
356,36.88,74.35,74.68,61.95
357,36.88,74.38,74.68,61.94
358,36.88,74.39,74.68,61.94
359,36.87,74.39,74.68,61.94
360,36.86,74.39,74.68,61.94
361,36.85,74.32,74.68,61.94
362,36.87,74.32,74.68,61.95
363,36.86,74.32,74.68,61.95
364,36.86,74.32,74.67,61.95
365,36.86,74.32,74.66,61.95
366,36.86,74.32,74.66,61.95
367,36.86,74.32,74.66,61.95
368,36.88,74.32,74.66,61.96
369,36.84,74.32,74.65,61.96
370,36.87,74.32,74.65,61.96
371,36.86,74.32,74.65,61.96
372,36.86,74.32,74.64,61.96
373,36.86,74.32,74.64,61.96
374,36.86,74.32,74.65,61.96
375,36.86,74.33,74.64,61.96
376,36.89,74.33,74.64,61.95
377,36.86,74.36,74.64,61.96
378,36.89,74.37,74.64,61.96
379,36.9,74.38,74.64,61.96
380,36.9,74.38,74.65,61.95
381,36.9,74.38,74.65,61.95
382,36.9,74.38,74.66,61.95
383,36.9,74.38,74.66,61.95
384,36.89,74.37,74.66,61.94
385,36.88,74.37,74.66,61.94
386,36.93,74.37,74.66,61.93
387,36.93,74.43,74.66,61.93
388,36.91,74.43,74.66,61.94
389,36.91,74.43,74.66,61.94
390,36.91,74.43,74.66,61.94
391,36.91,74.43,74.67,61.94
392,36.91,74.41,74.67,61.94
393,36.88,74.41,74.67,61.94
394,36.88,74.41,74.68,61.94
395,36.88,74.41,74.66,61.95
396,36.88,74.42,74.66,61.95
397,36.88,74.42,74.66,61.95
398,36.88,74.42,74.66,61.96
399,36.88,74.42,74.66,61.96
