wrqm/s,aceph01,aceph02,aceph03,aceph04
77,76.3,21.6,17.4,3.8
78,63.2,43.8,48.5,9.3
79,47.5,45.4,51.5,9.6
80,49.999,49.1,45.3,16.1
81,31.2,34.1,52.9,51.0
82,10.1,32.7,40.1,39.2
83,17.6,39.1,59.2,48.4
84,22.8,13.0,48.6,45.9
85,22.1,16.9,27.9,36.5
86,20.7,18.7,27.2,14.6
87,12.9,15.6,28.7,20.3
88,11.7,20.9,34.2,22.0
89,8.5,16.9,35.3,14.9
90,9.6,24.5,53.0,16.0
91,22.1,21.7,65.3,13.5
92,14.8,19.5,65.3,16.3
93,11.7,21.4,78.1,22.0
94,36.8,25.4,48.9,26.6
95,69.9,26.9,90.097,30.4
96,72.8,19.8,42.5,26.3
97,84.6,24.5,45.8,26.1
98,84.9,27.0,62.4,26.1
99,72.9,20.9,59.8,23.2
100,49.1,23.0,41.8,24.9
101,54.7,31.7,58.0,23.6
102,28.5,50.0,61.1,27.8
103,15.4,49.6,31.8,43.5
104,17.7,52.0,19.9,40.1
105,20.2,45.0,21.9,46.0
106,19.8,46.9,17.4,27.1
107,23.4,29.4,31.7,36.0
108,46.2,19.206,45.9,31.4
109,43.2,44.5,27.3,35.4
110,42.7,53.5,25.5,34.1
111,29.9,60.0,40.8,54.7
112,32.6,47.6,78.4,68.3
113,27.2,55.3,77.4,66.5
114,28.8,63.7,64.7,67.6
115,25.6,51.8,49.1,59.9
116,21.9,31.8,58.6,35.8
117,24.1,51.1,63.5,61.3
118,28.2,73.8,17.4,58.9
119,16.7,79.7,14.8,76.0
120,17.8,76.4,17.9,81.3
121,28.0,67.7,16.6,82.7
122,36.6,89.1,29.0,69.2
123,35.6,124.8,24.1,52.6
124,61.2,74.4,28.9,40.8
125,73.2,60.2,43.3,21.7
126,59.7,23.6,40.6,34.3
127,106.5,35.5,42.3,33.9
128,78.4,23.2,45.2,39.8
129,101.5,14.7,30.8,52.7
130,68.6,18.0,35.6,66.5
131,33.2,22.4,33.1,61.9
132,17.6,19.2,12.7,61.4
133,11.7,19.2,6.4,67.1
134,25.049,18.5,7.5,58.9
135,30.3,11.7,6.8,46.5
136,40.1,10.5,9.8,41.2
137,42.1,14.3,7.6,32.1
138,21.1,10.9,7.0,23.9
139,36.4,11.3,7.0,46.5
140,23.7,14.8,10.0,18.0
141,30.4,16.0,15.6,21.0
142,35.5,17.523,19.7,18.9
143,40.6,28.9,25.4,22.2
144,39.7,42.3,18.7,30.6
145,39.0,45.4,23.4,37.5
146,39.1,50.3,32.7,43.6
147,38.1,51.5,41.484,40.2
148,36.5,44.7,42.2,44.4
149,42.3,56.7,49.0,37.5
150,59.8,51.2,69.8,38.8
151,32.0,28.4,56.6,46.6
152,24.1,22.9,70.0,39.6
153,32.1,21.1,59.3,52.5
154,23.8,11.8,78.0,40.9
155,25.5,12.5,94.5,32.2
156,20.3,7.8,40.5,16.6
157,23.7,5.5,34.6,23.1
158,27.9,15.2,37.6,24.5
159,16.3,14.6,41.3,27.9
160,36.9,9.3,34.6,34.9
161,30.5,11.6,35.2,36.6
162,26.3,14.2,33.3,28.9
163,23.5,12.5,27.5,29.2
164,25.7,10.7,29.3,11.8
165,20.5,14.4,27.4,16.7
166,33.267,15.7,34.5,13.8
167,36.3,19.4,28.7,12.8
168,32.6,20.8,25.2,14.0
169,34.2,17.3,16.8,30.1
170,33.5,19.3,18.1,32.9
171,31.0,24.3,19.3,31.6
172,24.1,21.4,24.1,30.8
173,25.0,26.7,19.0,31.4
174,27.5,30.1,24.5,34.059
175,32.3,44.6,19.7,31.5
176,26.2,43.0,22.6,31.0
177,25.5,39.9,27.6,37.2
178,10.7,40.2,25.9,39.4
179,23.2,43.0,32.6,35.0
180,20.1,35.0,39.7,38.4
181,24.0,31.3,38.7,38.2
182,17.8,19.4,32.7,40.3
183,24.3,16.7,37.3,39.1
184,31.6,11.5,24.6,28.9
185,33.4,14.9,34.7,36.1
186,44.7,15.8,40.5,39.6
187,50.2,18.1,32.2,33.0
188,49.2,16.7,38.0,29.0
189,47.4,15.5,39.2,27.9
190,48.6,15.1,35.7,31.1
191,45.3,24.2,39.9,21.9
192,37.0,30.7,40.4,23.2
193,42.5,28.0,39.9,25.9
194,47.7,15.2,36.6,22.6
195,57.0,28.8,42.9,26.3
196,50.1,29.0,37.0,17.0
197,40.5,25.9,39.3,31.4
198,53.7,32.3,32.8,27.1
199,70.0,27.0,32.2,33.7
200,58.6,32.6,28.4,26.3
201,56.1,25.2,28.2,18.1
202,59.1,28.7,29.307,28.9
203,28.3,34.8,20.2,22.4
204,53.0,55.3,23.6,19.9
205,30.197,49.1,29.9,28.0
206,24.7,49.3,31.6,42.2
207,16.9,45.4,36.9,32.0
208,19.5,68.4,55.1,37.3
209,19.5,65.05,63.7,54.2
210,19.5,53.3,59.6,41.8
211,16.5,54.1,51.8,39.7
212,22.1,36.5,57.4,44.9
213,24.3,41.0,54.0,46.9
214,31.2,45.0,53.3,41.6
215,33.4,37.6,57.8,54.1
216,29.3,45.0,53.8,54.6
217,25.6,46.2,54.9,54.0
218,24.0,42.8,54.3,41.6
219,19.8,43.2,61.0,37.3
220,27.4,47.8,63.1,40.6
221,25.8,38.9,52.6,53.8
222,24.9,45.9,47.6,44.8
223,27.3,46.9,42.7,36.0
224,25.0,44.8,45.4,45.5
225,24.0,41.6,44.6,59.5
226,14.8,41.0,47.0,61.2
227,16.2,31.0,57.6,52.2
228,20.3,37.7,42.0,42.2
229,22.8,31.1,45.2,33.3
230,23.0,27.2,25.2,31.5
231,21.1,30.3,21.9,27.4
232,26.7,50.2,32.1,33.5
233,24.2,52.0,29.0,14.8
234,22.2,67.8,44.0,14.8
235,30.0,63.9,38.0,10.9
236,31.1,49.9,37.3,17.3
237,29.9,58.5,36.8,21.9
238,17.2,49.4,33.4,25.5
239,34.2,55.0,31.7,24.9
240,40.6,44.2,33.8,31.4
241,33.3,44.3,34.7,32.5
242,35.543,44.9,24.2,43.2
243,38.3,43.4,32.1,26.8
244,52.7,46.0,32.0,40.5
245,49.0,52.4,43.3,43.0
246,51.7,48.6,42.1,51.1
247,49.0,52.4,37.0,48.5
248,45.1,45.8,42.9,42.4
249,53.8,52.1,34.1,47.1
250,45.6,44.6,31.6,44.0
251,45.3,38.1,28.516,37.9
252,39.7,47.3,32.6,59.9
253,35.0,42.2,23.1,41.7
254,36.8,50.2,27.6,45.3
255,39.7,37.8,29.0,54.4
256,32.5,36.4,22.6,51.1
257,43.7,50.4,44.2,47.5
258,36.1,39.5,18.0,53.0
259,33.0,21.2,17.1,37.7
260,38.6,21.1,22.7,48.8
261,39.4,31.7,13.3,49.9
262,36.7,33.4,17.1,35.9
263,38.417,40.7,27.2,54.0
264,33.3,45.7,23.5,64.0
265,26.0,34.5,29.1,55.7
266,29.5,29.9,27.6,62.9
267,31.0,31.1,25.8,62.5
268,32.6,20.9,21.6,58.8
269,38.3,27.9,47.8,30.7
270,53.4,27.0,44.7,30.3
271,42.7,26.8,42.1,24.5
272,35.9,26.3,35.3,25.1
273,42.4,26.1,36.8,20.2
274,44.8,26.0,36.0,19.8
275,39.1,38.3,36.4,21.8
276,47.2,35.1,45.2,34.2
277,45.7,36.9,49.1,28.1
278,33.7,32.476,37.6,36.9
279,44.0,35.2,35.3,34.0
280,31.4,33.8,41.2,31.5
281,31.3,36.2,40.1,38.6
282,29.8,30.2,41.6,38.7
283,26.7,36.0,29.3,40.5
284,27.1,40.7,28.1,33.8
285,22.3,37.3,26.3,29.8
286,23.4,38.6,24.0,24.1
287,27.5,41.7,18.3,24.8
288,18.4,41.3,13.9,31.5
289,25.444,32.8,11.3,28.4
290,31.6,26.2,11.0,31.5
291,36.3,19.6,15.2,25.9
292,46.0,31.2,28.3,24.8
293,41.8,46.0,33.2,27.3
294,41.2,85.4,44.9,39.7
295,25.7,94.3,32.0,24.2
296,29.5,106.7,29.6,21.8
297,31.9,104.7,29.9,30.7
298,31.2,74.9,30.2,25.9
299,33.4,89.8,44.3,27.2
300,41.9,54.4,47.6,19.0
301,39.9,38.8,43.0,14.4
302,36.8,44.8,37.1,29.1
303,38.3,56.1,23.5,33.5
304,32.6,40.1,20.1,24.8
305,27.1,36.6,26.8,30.5
306,34.4,35.8,28.6,25.9
307,35.9,34.4,32.4,29.8
308,36.5,40.2,29.7,27.1
309,16.6,42.4,37.1,28.3
310,17.8,41.0,18.3,17.3
311,19.5,43.8,14.6,15.8
312,20.8,59.7,4.6,11.683
313,14.1,42.9,9.6,15.6
314,14.0,34.9,11.1,17.5
315,10.6,21.4,12.9,27.0
316,14.6,19.5,14.6,42.2
317,7.4,21.6,9.0,38.4
318,16.9,21.5,13.6,9.1
319,13.1,19.9,8.4,9.6
320,10.4,25.8,7.8,9.6
321,9.3,21.5,6.0,12.4
322,10.7,25.7,7.425,11.6
323,15.0,30.3,8.9,11.8
324,10.8,31.0,13.1,16.0
325,16.0,43.1,15.0,16.2
326,22.8,49.1,25.9,16.6
327,29.2,49.9,37.3,17.7
328,24.1,52.4,53.8,29.9
329,20.6,44.8,63.1,40.7
330,36.8,53.2,68.5,36.9
331,27.4,32.1,78.7,33.9
332,26.2,33.9,57.5,36.0
333,23.9,39.8,39.6,44.9
334,27.8,37.1,46.1,49.6
335,27.4,35.3,33.4,40.2
336,22.3,48.3,45.4,36.0
337,23.0,54.0,51.5,34.8
338,26.8,58.2,46.8,35.3
339,12.3,45.1,45.9,20.8
340,22.3,18.9,33.5,28.3
341,13.8,17.8,34.6,25.8
342,14.5,28.7,27.9,24.8
343,12.5,30.8,30.4,23.1
344,12.8,29.2,33.4,25.1
345,13.2,19.7,30.5,12.6
346,15.4,14.5,23.8,9.1
347,18.7,12.9,24.4,7.7
348,35.7,11.1,23.2,14.1
349,39.2,14.3,19.4,19.2
350,33.7,13.663,23.2,17.4
351,35.6,13.7,15.3,27.3
352,38.6,21.0,12.0,32.1
353,37.9,33.2,12.2,34.9
354,29.8,27.7,15.9,30.3
355,27.1,28.6,12.8,27.8
356,28.0,33.1,15.8,35.6
357,33.3,26.7,15.9,35.7
358,32.4,38.4,23.0,41.9
359,19.0,45.1,29.6,38.4
360,19.504,65.2,36.5,39.4
361,17.7,63.6,38.9,42.5
362,24.8,62.6,44.1,64.7
363,16.7,39.8,42.2,64.4
364,16.7,31.1,50.1,71.5
365,34.0,21.2,44.9,65.0
366,49.5,14.8,54.9,65.6
367,44.2,16.3,54.0,70.5
368,49.3,36.8,44.9,70.7
369,41.9,27.5,42.1,65.8
370,44.1,4.6,32.3,65.8
371,48.6,5.7,41.0,69.9
372,29.3,2.3,37.8,61.9
373,28.5,3.9,42.0,64.9
374,39.8,8.6,29.6,42.5
375,39.2,8.2,31.6,46.7
376,39.5,12.1,27.2,31.3
377,44.7,17.6,20.8,34.2
378,45.5,27.0,12.1,32.9
379,45.7,30.8,14.4,31.8
380,27.4,35.9,12.8,28.1
381,22.2,34.0,14.5,26.4
382,24.4,35.6,13.8,36.2
383,23.8,30.0,13.9,30.0
384,28.8,20.3,11.8,30.3
385,30.1,22.2,22.1,38.7
386,32.1,19.7,27.4,60.3
387,27.2,24.2,17.8,72.8
388,25.0,25.5,38.1,67.2
389,23.5,26.9,41.8,68.3
390,25.7,38.0,24.1,69.3
391,17.4,43.6,25.7,55.5
392,15.5,36.4,28.8,88.4
393,11.5,31.4,28.8,64.2
394,15.4,22.772,24.9,44.2
395,14.6,31.8,35.1,41.2
396,22.0,15.9,39.9,31.8
397,31.1,34.7,40.0,34.8
398,27.3,42.7,52.5,39.9
399,41.9,35.8,49.3,50.8
