rxpck/s,client01,client02,client03,client04
151,9664.0,9814.0,13868.0,13656.0
152,9022.0,9818.0,14310.0,14118.0
153,9056.0,9658.0,12998.0,14370.0
154,9756.0,9408.0,13710.0,15575.0
155,13046.0,10740.0,15335.0,13974.0
156,9548.0,9906.0,13866.0,13832.0
157,8292.0,9692.0,14075.0,15825.0
158,8493.0,9413.0,13860.0,13545.0
159,9144.0,9596.0,12806.0,13580.0
160,10604.0,9082.0,13079.0,14661.0
161,11595.0,10284.0,14724.0,14056.0
162,12783.0,11338.0,12626.0,15256.0
163,9564.0,9618.0,13550.0,14749.0
164,9771.0,9118.0,13613.0,14445.0
165,9962.0,9580.0,12309.0,14549.0
166,9043.0,9679.0,13512.0,15089.0
167,10049.0,9882.0,12090.0,14191.0
168,13229.0,10573.0,14442.0,14946.0
169,10473.0,10024.0,13109.0,14737.0
170,9111.0,10055.0,12762.0,14709.0
171,9566.0,9595.0,14481.0,13011.0
172,9080.0,10452.0,13965.0,11885.0
173,8648.0,10131.0,12795.0,13554.0
174,9496.0,10086.0,13176.0,16755.0
175,13227.0,11046.0,13880.0,14947.0
176,10573.0,9061.0,13319.0,13759.0
177,8833.0,9524.0,14118.0,15513.0
178,8869.0,9451.0,13313.0,14102.0
179,8934.0,9360.0,13537.0,14918.0
180,9161.0,8973.0,13088.0,14788.0
181,11461.0,9310.0,15322.0,15179.0
182,12682.0,10924.0,15682.0,13209.0
183,9236.0,10030.0,13853.0,13147.0
184,9090.0,10073.0,13822.0,12836.0
185,9487.0,10049.0,13449.0,13801.0
186,8797.0,9403.0,13188.0,14239.0
187,9712.0,9188.0,12774.0,14662.0
188,13371.0,10312.0,16232.0,12760.4
189,11480.0,9425.0,13666.0,13327.0
190,8522.0,9944.0,12955.0,12607.0
191,9073.0,9328.0,12948.0,12146.0
192,9142.0,8177.0,13597.0,13374.0
193,8445.0,9695.0,13758.0,13693.0
194,9351.0,9362.0,14571.0,14768.0
195,12567.0,11876.0,14621.0,13274.0
196,8845.0,9004.0,14037.0,14068.0
197,7835.0,10011.0,14048.0,13829.0
198,9080.0,9440.0,13345.0,13617.0
199,8960.0,9396.0,14185.0,13184.0
200,8581.0,9427.0,14527.0,15508.0
201,11256.0,9086.0,15315.0,14510.0
202,11972.0,11421.0,14383.0,12765.0
203,8560.0,10001.0,14421.0,14231.0
204,9000.0,9949.0,13278.0,13034.0
205,9604.0,10535.0,13503.0,12615.0
206,8912.0,10732.0,14194.0,13900.0
207,9183.0,10506.0,14342.0,14042.0
208,12305.0,10349.0,14827.0,14625.0
209,10688.0,8787.0,14733.0,13779.0
210,9772.0,8865.0,14193.0,12958.0
211,9517.0,9505.0,14564.0,13367.0
212,8487.0,10320.0,13916.0,14003.0
213,8732.0,9668.0,13530.0,13373.0
214,10509.0,9292.0,14117.0,15773.0
215,12947.0,10765.0,15013.0,14418.0
216,9274.0,9595.0,12373.0,14731.0
217,8831.0,9610.0,14461.0,13120.0
218,8350.0,10362.0,13509.0,14192.0
219,8652.0,9570.0,13242.0,14199.0
220,8987.0,9550.0,12477.0,16650.0
221,12122.0,8917.0,15180.0,14862.0
222,12126.0,10742.0,13931.0,14188.0
223,8830.0,10505.0,13692.0,13268.0
224,8847.0,8286.0,14348.0,13831.0
225,9498.0,9200.0,14132.0,14571.0
226,9178.0,8951.0,14581.0,13233.0
227,10167.3,8529.0,14575.0,15082.0
228,12810.0,10433.0,15114.0,13601.0
229,10169.0,9757.0,12899.0,13555.0
230,8806.0,9397.0,13626.0,14658.0
231,9915.0,9221.0,13577.0,14522.0
232,9295.0,9164.0,13997.0,15100.0
233,9729.0,9174.0,13873.0,14331.0
234,11611.0,8776.0,14132.0,15997.0
235,13038.0,10756.0,12891.0,15592.0
236,9368.0,8511.0,13175.0,14531.0
237,10095.0,8582.0,13554.0,12721.0
238,9631.0,9752.0,14211.0,13684.0
239,8952.0,9161.0,13457.0,14378.0
240,8812.0,9750.0,12880.0,14178.0
241,12649.0,9727.0,15568.0,14906.0
242,11781.0,10636.0,14023.0,14476.0
243,8548.0,9806.0,13015.0,13807.0
244,8789.0,9709.0,13673.0,14327.0
245,8954.0,8898.0,13812.0,12460.0
246,9821.0,9295.0,13255.0,13653.0
247,9511.0,9657.0,14162.0,14635.0
248,13290.0,11232.0,15701.0,11948.0
249,8678.0,10061.0,14295.0,13084.0
250,8129.0,10189.0,14933.0,13131.0
251,9242.0,8977.0,13867.0,13076.0
252,9090.0,9515.0,15235.0,13290.0
253,8596.0,10359.0,14129.0,13097.0
254,11031.0,9633.0,14664.0,15308.0
255,13235.0,11509.0,15196.0,12794.0
256,9818.0,9414.0,14561.0,13254.0
257,9751.0,9388.0,14821.0,13367.0
258,9981.0,9161.0,14995.0,12235.0
259,8509.0,10631.0,13791.0,12922.0
260,8725.0,10473.0,14547.0,13636.0
261,12031.0,10171.0,13950.4,13684.0
262,12726.0,9551.0,13496.0,12853.0
263,9393.0,9346.0,14719.0,13129.0
264,8905.0,10355.0,13217.0,12482.0
265,9577.0,9334.0,13811.0,14360.0
266,9241.0,10102.0,13226.0,13362.0
267,10791.0,9476.0,12339.0,14608.0
268,14021.0,10997.0,15227.0,13991.0
269,10102.0,9730.0,14883.0,12974.0
270,8777.0,10340.0,12943.0,14097.0
271,8729.0,9966.0,13737.0,13684.0
272,8915.0,9999.0,13133.0,13119.0
273,9998.0,9305.94,13551.0,13337.0
274,11777.0,9092.0,15046.0,15895.0
275,12459.0,11169.0,14079.0,14175.0
276,9806.0,9598.0,14179.0,13773.0
277,8773.0,9664.0,14634.0,14384.0
278,9732.0,9358.0,13122.0,13894.0
279,9534.0,9119.0,15174.0,13272.0
280,9262.0,10317.0,15616.0,12930.0
281,12355.0,10341.0,15654.0,13754.0
282,11534.0,9407.0,14742.0,12915.0
283,9327.0,8910.0,13045.0,13847.0
284,8719.0,9157.0,12872.0,14248.0
285,9210.0,8974.0,14106.0,13454.0
286,9597.0,9183.0,14491.0,12153.0
287,9493.0,9422.0,14014.0,15823.0
288,13480.0,9872.0,15900.0,14409.0
289,10385.0,8786.0,13844.0,12704.0
290,9366.0,10130.0,14774.0,12917.0
291,9458.0,9537.0,13413.0,13617.0
292,9687.0,8220.0,15530.0,13597.0
293,9414.0,8902.0,14560.0,13856.0
294,11524.0,8708.0,15306.0,14636.0
295,12397.0,10681.0,13239.0,13201.0
296,9141.0,10025.0,13022.0,13865.0
297,9387.0,9537.0,13348.0,14112.0
298,9168.0,9213.0,13746.0,13946.0
299,9838.0,8750.0,14416.0,12869.0
300,9906.0,8140.0,13954.0,14701.0
301,12999.0,9597.0,15044.0,13723.0
302,10847.0,9376.0,12907.0,13034.0
303,9115.0,8980.0,15186.0,13371.0
304,9939.0,9403.0,13853.0,12626.0
305,8578.0,9546.0,14133.0,12660.0
306,8664.0,10951.0,13561.0,14654.0
307,9280.0,10242.0,13185.0,17613.0
308,12991.0,10154.0,14439.0,13573.0
309,9426.0,9794.0,15800.0,13708.0
310,8907.0,10007.0,15039.0,12668.0
311,8533.0,10449.0,12993.0,13922.0
312,8329.0,10850.0,12781.0,15198.0
313,8090.0,10125.0,11932.0,15465.0
314,11711.0,9422.0,14464.0,15047.0
315,12898.0,11230.0,13818.0,13748.0
316,8571.0,9814.0,14552.0,12709.0
317,8423.0,10626.0,13743.0,13648.0
318,7425.0,10608.0,13779.0,14888.0
319,8476.0,9446.0,12453.0,15859.0
320,8882.0,9397.0,12849.0,17182.0
321,12129.0,9828.0,15929.0,15355.0
322,10430.0,9784.0,13947.0,13219.0
323,8860.0,9982.0,14402.0,14599.0
324,8566.0,9325.0,12804.0,15261.0
325,9598.0,8329.0,13078.0,14428.0
326,10233.0,9115.0,13257.0,14422.0
327,11096.0,9277.0,14698.0,14157.0
328,13955.0,11049.0,14529.0,13434.0
329,9743.0,9969.0,13487.0,13248.0
330,8725.0,9206.0,13078.0,13725.0
331,9415.0,9460.0,13483.0,14120.0
332,9498.0,9333.0,12854.0,14242.0
333,9264.0,9190.0,13796.0,14117.0
334,11535.0,9759.0,15188.0,13558.0
335,11498.0,10905.0,13452.0,14601.0
336,8633.0,9816.0,12702.0,13533.0
337,8985.0,9516.0,14007.0,14915.0
338,8591.0,9608.0,14330.0,13526.0
339,8960.0,9397.0,13715.0,13944.0
340,9235.0,10507.0,14454.0,14569.0
341,11098.0,10979.0,15227.0,14999.0
342,9853.0,9533.0,13215.0,14451.0
343,9164.0,8698.0,13908.0,13272.0
344,9447.0,9739.0,14658.0,13203.0
345,8649.0,10657.0,14796.0,13296.0
346,8779.0,10468.0,13969.0,13355.0
347,10933.0,10417.0,13739.0,13806.0
348,12857.0,10480.0,15239.0,13225.0
349,9866.0,9208.0,14182.0,13400.0
350,8833.0,9745.0,13587.0,13477.0
351,8903.0,9817.0,13160.0,13378.0
352,8951.0,9850.0,13772.0,14041.0
353,9469.0,8291.0,13755.0,15156.0
354,11503.0,10522.0,15309.0,13788.0
355,11141.0,11040.0,14546.0,13270.0
356,8959.0,9238.0,13783.0,14484.0
357,8871.0,9408.0,12477.0,14131.0
358,9235.0,9335.0,13848.0,14090.0
359,9438.0,8734.0,14374.0,13501.0
360,9973.0,9710.0,13613.0,14281.0
361,12617.0,10756.0,15589.0,14345.0
362,10740.0,9265.0,12951.0,13137.0
363,10242.0,9386.0,14412.0,11916.0
364,9336.0,10425.0,14073.0,12289.0
365,8846.0,10321.0,14041.0,13060.0
366,9040.0,9835.0,13965.0,13262.0
367,11761.0,9763.0,15252.0,14874.0
368,13083.0,11352.0,15556.0,12042.0
369,9293.0,10105.0,14607.0,13308.0
370,8531.0,9368.0,14181.0,13626.0
371,9939.0,9399.0,14313.0,12834.0
372,9531.0,9628.0,12939.0,12970.0
373,9517.0,9331.0,13454.0,14055.4
374,12319.0,10477.0,14752.0,13342.0
375,13255.0,10758.0,13773.0,12648.0
376,9291.0,9571.0,14509.0,13200.0
377,9375.0,10171.0,14678.0,12421.0
378,8378.0,10375.0,14363.0,13864.0
379,8895.0,9630.0,12202.0,14153.0
380,10528.0,9564.0,12630.0,15453.0
381,12935.0,11360.0,15127.0,14149.0
382,9209.0,10326.0,12326.0,13170.0
383,9291.0,9599.0,11933.0,14537.0
384,8477.0,9206.0,13966.0,14844.0
385,9161.0,9774.0,14568.0,13240.0
386,8502.0,10673.0,12086.0,14091.0
387,12031.0,9075.0,14086.0,16462.0
388,13750.0,10482.0,14496.0,13164.0
389,9591.0,9378.0,13373.0,13279.0
