avgrq-sz,aceph01,aceph02,aceph03,aceph04
242,12.577,13.023,12.027,12.917
243,13.767,12.338,11.438,13.218
244,13.717,12.938,11.841,11.97
245,13.884,12.966,13.476,13.618
246,13.295,12.906,13.431,12.593
247,12.895,13.172,13.04,12.834
248,13.89,12.011,12.592,12.847
249,13.518,12.44,12.55,12.985
250,14.23,12.12,12.553,12.455
251,13.628,12.237,11.75,13.018
252,13.502,12.588,12.191,14.455
253,14.406,13.535,11.006,13.604
254,12.844,13.261,11.858,13.447
255,12.706,13.475,11.615,12.887
256,12.251,13.196,11.216,12.761
257,12.404,13.009,11.593,13.291
258,13.081,13.395,11.707,13.091
259,10.893,12.171,10.682,13.837
260,12.732,12.186,11.415,14.298
261,11.858,12.257,11.19,13.67
262,12.792,13.462,12.701,13.017
263,12.774,13.249,12.356,13.632
264,11.388,13.471,11.865,13.622
265,12.218,13.772,11.733,13.485
266,11.643,12.25,12.106,13.399
267,11.323,12.319,12.024,12.854
268,12.006,11.957,13.084,14.6
269,12.912,11.092,14.341,12.146
270,13.452,11.59,14.05,11.658
271,13.035,11.905,13.614,11.039
272,13.061,11.447,13.145,11.619
273,12.17,11.261,12.491,9.929
274,15.621,11.401,11.846,10.854
275,13.965,12.328,12.153,10.563
276,13.755,12.172,12.395,12.303
277,14.629,12.327,13.724,12.26
278,14.03,12.533,13.054,12.523
279,13.837,12.3,12.825,11.999
280,12.845,12.172,12.26,12.33
281,12.077,12.288,12.07,11.759
282,12.788,12.475,12.513,12.687
283,12.688,13.443,11.377,12.896
284,11.967,12.98,11.509,13.335
285,12.174,13.243,11.429,11.638
286,11.962,14.138,11.418,11.453
287,12.058,12.664,11.628,11.644
288,13.187,12.884,10.823,11.095
289,11.711,11.922,9.716,10.913
290,11.78,11.587,9.88,10.934
291,12.37,10.575,10.786,12.479
292,12.495,10.559,10.733,12.383
293,12.503,12.59,13.897,12.132
294,12.261,13.434,12.077,13.128
295,11.71,14.416,12.025,12.777
296,12.235,14.841,11.776,12.831
297,12.22,15.577,11.748,12.88
298,12.397,14.476,12.698,13.252
299,12.533,14.94,14.954,12.87
300,13.958,13.917,14.412,12.567
301,13.374,11.826,14.554,11.813
302,12.575,12.034,13.503,11.797
303,12.608,13.916,12.995,12.178
304,12.215,14.589,11.197,11.958
305,12.61,13.245,11.56,11.492
306,11.724,13.133,11.589,12.336
307,12.871,13.459,12.424,12.934
308,14.013,12.816,12.782,11.4
309,12.497,12.817,12.659,11.527
310,11.351,12.413,11.714,10.726
311,11.877,12.096,11.089,10.525
312,11.959,13.804,10.672,10.676
313,10.95,13.503,10.372,10.588
314,10.681,13.237,10.208,10.689
315,10.178,12.24,10.561,10.994
316,10.087,10.535,10.854,11.484
317,10.788,10.527,10.349,11.112
318,11.253,10.078,10.53,10.109
319,11.508,10.089,9.934,9.888
320,10.501,11.162,9.529,9.58
321,11.863,10.695,9.503,9.837
322,10.225,11.105,10.267,10.458
323,10.465,11.592,10.683,10.041
324,9.97,12.649,12.69,11.024
325,10.928,13.823,11.302,11.311
326,11.604,13.404,12.108,11.08
327,11.967,13.317,11.489,12.972
328,10.856,12.661,13.973,11.855
329,11.802,13.05,13.827,13.361
330,12.562,12.869,15.452,13.363
331,13.017,12.418,15.935,12.866
332,12.702,12.323,14.747,12.952
333,12.085,12.317,13.79,13.661
334,12.305,12.84,13.212,14.026
335,12.154,12.039,12.035,13.718
336,11.84,12.549,12.37,14.164
337,11.985,13.983,13.195,13.682
338,12.424,13.089,13.141,13.751
339,11.032,12.067,13.495,12.673
340,12.602,11.706,12.784,12.545
341,11.502,10.694,11.981,12.583
342,10.666,11.965,11.312,12.192
343,10.023,11.32,11.383,12.063
344,9.97,11.631,10.985,12.26
345,9.883,11.37,11.335,11.828
346,10.199,11.318,10.482,10.544
347,10.611,10.051,11.082,11.096
348,11.707,9.647,10.497,9.862
349,11.562,10.756,9.921,11.194
350,12.574,10.342,10.091,10.519
351,12.051,10.061,10.685,10.854
352,13.297,11.329,9.881,11.22
353,12.77,11.961,10.985,11.64
354,12.401,12.769,10.664,11.899
355,12.335,13.16,11.519,11.289
356,12.727,13.148,10.854,12.047
357,12.97,13.109,10.87,11.895
358,13.121,12.996,11.415,13.671
359,13.532,12.673,12.871,12.828
360,11.946,13.791,13.357,13.401
361,12.008,13.34,14.492,12.956
362,13.797,13.783,13.928,13.596
363,12.209,12.624,14.284,14.466
364,12.377,12.099,14.965,14.897
365,12.716,11.548,13.593,14.748
366,13.449,10.757,14.13,14.984
367,13.134,10.153,14.461,15.229
368,13.162,10.992,14.339,15.477
369,13.241,10.796,13.174,15.05
370,13.631,11.076,12.57,15.129
371,14.037,9.901,13.246,14.345
372,13.227,10.054,12.31,13.779
373,11.863,10.023,11.716,14.905
374,12.297,9.604,10.924,13.967
375,11.92,10.669,11.094,12.481
376,11.309,10.259,11.064,12.856
377,12.284,10.752,10.73,11.312
378,12.691,11.416,10.788,11.441
379,13.052,11.529,9.907,11.11
380,12.784,11.893,10.169,11.045
381,11.077,11.626,10.283,11.6
382,11.622,11.993,9.577,11.839
383,11.597,13.407,9.964,12.566
384,12.597,12.03,11.868,10.972
385,12.109,12.22,10.958,11.68
386,12.196,13.015,11.055,13.418
387,12.706,12.947,11.221,12.843
388,11.177,12.729,11.361,13.039
389,10.219,12.203,13.14,13.362
390,10.364,13.493,11.88,13.021
391,10.054,13.571,12.779,13.093
392,12.189,12.902,12.793,13.571
393,10.624,13.111,12.577,13.385
394,10.575,11.669,12.542,13.385
395,11.2,12.477,13.404,13.115
396,10.904,10.648,12.579,12.448
397,11.513,11.263,13.121,12.834
398,11.984,11.496,14.723,12.727
399,11.783,11.787,14.127,13.816
