journal_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,116652261076,134414842383,131072323645,113457038499,136760809229,116829298701,119630037435,144598872279,132397196164,130407674502,119763095936,135632450621,111956532132,128030936319,141503170791,133367392602,126609033281,129650367047,111523281582,115115670081,137635852986,126685733848,125026854425,142211142587,123294584525,130769455242,127518896267,134560850300,126405737193,127891670263,118282604732,145228524100,128637990283,120597415392,123614430445,117453037712,127157839368,141679468013,138154002576,112140822974
11,116655225542,134417564942,131074850117,113459612910,136763442359,116831767209,119632447281,144601518280,132400044010,130410001276,119764978274,135635171074,111959081494,128033254509,141505686533,133370478813,126611087384,129651726894,111526371321,115118346860,137638207692,126687548184,125029297153,142214284582,123296927765,130772213625,127521883671,134561778563,126407805608,127894151665,118285781772,145230478004,128639637871,120600241033,123617384927,117455512657,127160506861,141682362354,138156407388,112143058881
12,116657954558,134419791511,131077447446,113462039898,136765874373,116833803449,119634281670,144603519390,132402317833,130412254351,119767516920,135637959517,111961762562,128036133815,141508669644,133373110524,126614094119,129654854541,111529058834,115120947058,137640502268,126690130495,125032068419,142217065138,123299663241,130775110828,127524723613,134564352986,126410397206,127897171275,118289283765,145233396711,128642031235,120603377286,123620191966,117458590244,127162699105,141685291049,138159295278,112145813695
13,116660931923,134423010778,131080192953,113464811861,136768553281,116837180241,119637072977,144606293530,132405046116,130415501596,119769537397,135640711452,111963987710,128038575837,141510486852,133375496016,126616594864,129657113328,111532265243,115123396229,137642938543,126692270487,125034207684,142220030351,123302032268,130777237932,127527439758,134566837233,126412424824,127900220963,118292387092,145235729960,128644879782,120606631646,123623363298,117461385098,127165031642,141687694411,138163001976,112148771017
14,116663716770,134425629571,131083128111,113467892981,136771043262,116839103377,119639595900,144609083403,132407194690,130418846868,119772086762,135643875651,111967228489,128041469441,141513416279,133377831420,126618818594,129659215372,111534859716,115125683675,137645113585,126695177727,125036652603,142222511027,123304316130,130779523200,127529604771,134569189793,126414670025,127902885582,118294907094,145238214217,128647600202,120609682774,123625738749,117463540842,127167661195,141690240891,138164863558,112151503645
15,116666695554,134428083023,131085442736,113470659900,136773763703,116841652776,119642057979,144610485492,132409623817,130421016201,119774055683,135646251132,111969465101,128043680970,141516003593,133380128883,126621395898,129661715355,111537128533,115128626698,137647701564,126697426509,125039252828,142225527753,123307155349,130782086173,127532830482,134571268204,126416709808,127904712812,118297595295,145240753604,128649956320,120613021592,123628673906,117466290640,127170352301,141693138789,138167518855,112154741563
16,116669689380,134430812034,131088490974,113473637268,136776393249,116844563606,119644788460,144613739865,132411564819,130424673511,119776376737,135648700317,111972686561,128046100813,141518310339,133382690455,126622946852,129663903300,111539413095,115131278435,137650189361,126699973038,125041704867,142228425681,123309695440,130785263251,127534973319,134573672282,126419232689,127907383869,118300304992,145243215682,128652725409,120615328328,123630801012,117468426353,127173345425,141695366071,138169481363,112156822910
17,116672494251,134433831632,131091098332,113476256775,136778852462,116847248276,119647065880,144616410919,132414375425,130427383919,119778842385,135651535269,111975505774,128048789013,141520895495,133386032870,126625904922,129665968141,111542180753,115133656067,137653108030,126702770754,125044441025,142231949859,123312012187,130787841249,127537773199,134576447106,126421513662,127910908795,118303104111,145245609054,128654999947,120619002097,123633801313,117471242000,127175655062,141698133734,138172449423,112159255632
18,116675864547,134436763164,131093946888,113479128203,136781968688,116850444660,119650196446,144618985357,132416795967,130431379059,119781174912,135654322268,111978705024,128051586014,141523402649,133388472033,126628259646,129669425048,111544848923,115136767307,137655636643,126705274351,125046912399,142235284381,123315366041,130790379894,127540649669,134578977148,126423395992,127913229152,118305904700,145248410371,128657913605,120621133496,123636337820,117473507235,127178268165,141699737629,138174512114,112161933865
19,116678922801,134439781318,131096935696,113482276613,136784644043,116853139332,119652200480,144622616903,132419602299,130434429448,119783488830,135656870961,111981044703,128054156869,141526100180,133390511840,126630946446,129670610997,111547988758,115139288058,137658127305,126707835901,125049252765,142238090700,123317496718,130793300018,127544171676,134581190844,126425503039,127916332500,118308743912,145250621229,128660105111,120623962699,123638870738,117475750293,127180763159,141702469498,138177337063,112164028770
20,116681781378,134442236211,131099659701,113484976289,136787598557,116855977158,119655394720,144625136927,132422583248,130437684505,119785633082,135659561358,111983735789,128056595314,141527920264,133393097752,126633241014,129673095962,111550115861,115142056445,137660298050,126710197064,125052020444,142240519844,123319684663,130795880881,127546693110,134583556280,126428222728,127918378741,118311602462,145253403941,128663164076,120626829882,123641645586,117479005378,127183763453,141705073257,138179131374,112167164344
21,116684607751,134445178464,131102298558,113488054566,136790008379,116858374095,119657874685,144627959715,132425328022,130440532349,119788020689,135662348370,111986534966,128058771075,141530027325,133395891911,126636221967,129675824989,111553153364,115145045329,137662788712,126712542491,125054224129,142243785670,123322513889,130798023017,127548948318,134585815089,126430543083,127921194375,118314169741,145256136562,128665996147,120629551033,123644200703,117481125318,127186544034,141708459982,138182882490,112170652062
22,116687449166,134448117874,131105096283,113491221566,136793752999,116861236261,119660910050,144630512683,132428208750,130444109498,119790112008,135664723121,111989105815,128061323311,141533270229,133397911698,126638119320,129677642908,111555489461,115146893312,137665391018,126715194936,125057001808,142246705772,123324795594,130800575248,127551780404,134588048810,126432247201,127924369270,118316628225,145258252964,128668586307,120632542006,123646795888,117483545864,127189014722,141710470416,138184929443,112172305370
23,116690126639,134450689424,131107763789,113494116607,136796665941,116863429939,119663114474,144633797119,132430578463,130447819041,119792637764,135667175900,111992180516,128063936358,141535045919,133400869770,126639935820,129679789331,111558015928,115149307435,137667797957,126717430831,125059596284,142249819109,123328064231,130804236155,127555570798,134590897370,126434637685,127927524154,118319757319,145261053553,128671191487,120635130027,123650020909,117486424457,127191909092,141713374067,138187346416,112175344324
24,116693179160,134453265263,131110371851,113496781923,136799144460,116866777341,119665617358,144636416655,132433891497,130450397048,119795025393,135670181904,111994990405,128066855037,141537898040,133403341862,126642878133,129682714480,111560664779,115152675587,137670243557,126719880713,125062162858,142252830100,123330394583,130806238013,127557355798,134593181936,126437100434,127930067094,118323027419,145263507759,128673508954,120638594097,123653249508,117488769874,127193885204,141715701544,138190304468,112178469889
25,116695931087,134456080882,131112988519,113499104420,136801629429,116869042594,119667824626,144638205938,132436230464,130453060955,119797075199,135672972495,111997764518,128069440199,141539960721,133406109550,126645436093,129684696303,111563248521,115154883545,137673012634,126722667722,125064804584,142255830380,123332950406,130808851088,127560758998,134595509438,126439671981,127932290114,118326015519,145265933341,128675993906,120641658089,123656010048,117491962002,127197221176,141718814875,138193694108,112181168150
26,116698328029,134458516454,131115444131,113501676678,136803775859,116871332904,119670176491,144640709535,132439426855,130455272518,119799450672,135675769527,112000507141,128071822064,141542558058,133408542992,126648194449,129687285025,111566258117,115158313275,137675385181,126724638088,125067233023,142258463492,123335835442,130811502800,127563593935,134597532789,126441582950,127935019870,118328852608,145268717495,128678362897,120643843183,123658600219,117494507814,127199364742,141721412192,138196697259,112184654427
27,116701064228,134461172444,131117826756,113504161622,136806086197,116874221534,119672186948,144643551645,132443051956,130458775217,119801834748,135678651011,112003406490,128074899639,141545402304,133410822541,126650686568,129689495140,111568929166,115160448980,137678238688,126727236151,125070427260,142262215970,123338240946,130814193886,127565956505,134599987677,126444571029,127937595049,118331037678,145271072216,128681294483,120646479866,123660514746,117496715801,127201969242,141722900171,138199389068,112186220435
28,116703916345,134463731133,131120604454,113507375172,136809256115,116876954143,119675311788,144645655135,132446206816,130461210053,119803438670,135680803179,112005485639,128076852103,141547434944,133412855904,126652596820,129691653742,111571226601,115162688469,137680587642,126730406795,125072737592,142264885562,123340650766,130816614427,127568276137,134602398200,126445955931,127940333391,118333796763,145273970912,128683691401,120649675532,123663623823,117499487063,127204775561,141725762277,138201116089,112188601649
29,116706762045,134467099250,131123671302,113510882139,136812001619,116879861396,119677467528,144648435700,132448269499,130463841747,119805839201,135683381215,112008188885,128079442986,141549947824,133415401719,126654675975,129694637550,111573818193,115165060352,137683030350,126732975506,125075150982,142267865831,123343557307,130819296198,127571072428,134604879586,126448140276,127943018048,118336557273,145276133811,128686527054,120651947185,123666094493,117501962026,127208219612,141728353151,138203680491,112191772999
30,116708861945,134469631438,131126623648,113513918169,136814572483,116882910361,119680469986,144651580556,132451418645,130467150490,119808268333,135685836829,112011025286,128082088998,141552097132,133417680578,126657381378,129696164878,111577111899,115167281208,137685099459,126735665168,125077596588,142270302110,123345600664,130821535668,127573766362,134607628658,126450573005,127946091332,118339617675,145278943024,128688778703,120654682634,123668362595,117504265923,127210204300,141730641243,138205851990,112194257245
31,116711765595,134472182947,131129337648,113516251392,136817282908,116885356698,119683145339,144653955329,132454437528,130470389117,119810469141,135688866455,112013870979,128084911052,141554637196,133419998787,126659517792,129698201789,111579956852,115169971595,137687663844,126738027051,125080498801,142274043161,123348617401,130824581044,127576395912,134609813024,126453893203,127948463217,118341973783,145281876725,128691822657,120656764644,123671024347,117506831755,127213052165,141733595675,138208981828,112197180242
32,116714246276,134474659306,131131874145,113518896665,136820178710,116888179488,119685094255,144656813185,132457566625,130473044412,119812996316,135691436611,112016600722,128087574945,141557288934,133423011994,126662253257,129700371818,111581471312,115172804418,137690045004,126740598626,125082394013,142276927508,123350836861,130827390241,127578854386,134612092575,126455565107,127951054118,118345063533,145284274375,128693997726,120660232272,123673859296,117509832720,127216235698,141736192983,138211356577,112200101790
33,116716772031,134477095586,131133904613,113522228331,136822777483,116890232166,119687713778,144659510735,132460125309,130476618671,119815519205,135694275141,112019497933,128090274616,141560244119,133425924252,126664719606,129702685710,111583933348,115175658694,137692428299,126743176642,125085191047,142280388004,123353859323,130830155046,127581700780,134614866689,126457549792,127954151047,118348146811,145287095027,128696635116,120663306976,123676823788,117512250394,127219303984,141739045084,138213953913,112202379958
34,116719382254,134479321450,131136321604,113524394076,136825004792,116892297716,119689588246,144660935009,132462193726,130479121529,119817710742,135696382215,112022215501,128092798202,141562644643,133428556676,126668009027,129705128463,111586900675,115177995511,137694693506,126745288007,125088041743,142282898015,123356137458,130832118248,127584785507,134616799821,126460041166,127956542270,118350952415,145289865594,128699580278,120666341611,123679244348,117514682399,127222087419,141741613768,138216307188,112205500494
35,116722252971,134481921613,131139173739,113527396495,136827802528,116895107624,119691711789,144663989688,132464604244,130482047374,119820095497,135699366066,112024532279,128095298906,141564942793,133430673771,126670146849,129707593384,111589337674,115180844789,137696567214,126747756513,125090367114,142285752992,123358983118,130834610355,127586521834,134619686295,126462325701,127959274166,118353900424,145291926881,128702284235,120669400567,123681629114,117517615374,127223741437,141744478053,138219631696,112208448558
36,116724821648,134484740087,131141548494,113530009568,136830721226,116898049244,119695027739,144666349392,132467399110,130484668311,119822327812,135701708618,112027265595,128097877613,141567054146,133433112950,126672112913,129710348876,111591618661,115182872409,137698936207,126750356708,125092796964,142288257975,123360830364,130836987966,127588907323,134622325129,126464414148,127961852182,118356285182,145294386095,128704830017,120672386515,123684396074,117519810466,127226672289,141746707503,138221903387,112210939986
37,116727558541,134487343136,131144609606,113533115042,136833652787,116900605097,119698449595,144669108484,132470597624,130487984200,119824291026,135704228653,112029656802,128100274532,141569428878,133435397525,126675123927,129712140311,111594257500,115185295100,137701343123,126752785868,125095061506,142291256829,123363059810,130839469369,127591898288,134624661224,126466389517,127964340005,118358785160,145296618415,128707195428,120675036107,123686583325,117521173200,127228915357,141748707915,138223769276,112213759202
38,116730010574,134489917551,131146859102,113534902906,136835648199,116903280450,119700070695,144671051652,132473497004,130490439129,119826199111,135706584081,112031848333,128102236990,141571829368,133437926187,126676626212,129714467072,111597000106,115187692040,137703898936,126755086887,125097574378,142293741075,123365856844,130842242786,127593967418,134627071746,126468478679,127966962406,118361678781,145299500602,128709633869,120678725621,123689758231,117524440450,127231878439,141751752545,138226565601,112216965627
39,116732695229,134492559960,131149158695,113537850922,136838161798,116906402406,119702129108,144673297575,132476616068,130493259774,119828290435,135709206464,112034026974,128104518686,141574043069,133440237233,126679420390,129716361560,111599027020,115190280755,137706176326,126757516748,125100452980,142297011868,123369128393,130845169350,127596922579,134629408540,126470799021,127970148044,118364552361,145301908275,128712328520,120681574166,123691864605,117526783005,127234265335,141754092194,138230217166,112219305310
40,116735272536,134495079983,131151710956,113540806091,136841386117,116908226055,119704921107,144675975069,132479284956,130495898615,119830627231,135711774466,112036959254,128107187559,141576562397,133442836771,126682004131,129719326046,111602674325,115193234516,137708551773,126760348858,125102902165,142299498972,123370987824,130847421719,127599549208,134631267260,126472796565,127972361769,118367596285,145304495580,128714893637,120684895769,123695573476,117529552095,127236845510,141757099591,138232144592,112222225433
41,116737427572,134498058036,131154656160,113543790604,136843455234,116911452521,119708091768,144678120794,132482158554,130499235282,119832866721,135714542146,112039414878,128109343994,141577845673,133444708391,126683744747,129720869101,111604020590,115195190558,137711490484,126763052112,125105505208,142303011711,123374016008,130849980395,127602737685,134633503863,126475603586,127974974156,118370541457,145307521635,128717478090,120687974064,123697893117,117532288270,127239253900,141760399736,138234948080,112224545098
42,116740256786,134500407697,131157185519,113546435888,136846486300,116913546711,119709816664,144680149868,132485209641,130502177590,119835280813,135717522402,112042701463,128112389359,141581055646,133447685061,126686985524,129723741268,111607362260,115198201562,137713655526,126765347415,125107788320,142305666317,123376567535,130852138986,127605362898,134636031050,126477407891,127977668837,118373250445,145310048841,128720100460,120691219124,123701064462,117535297873,127242901927,141762307809,138237793798,112227901845
43,116742818312,134503377880,131159831528,113549309454,136849341275,116916189156,119712063304,144682440155,132486580220,130505789804,119837606894,135720181284,112045592250,128114932272,141583586396,133449972514,126689635803,129725983606,111610041899,115200733776,137716468971,126767956928,125109593363,142309239192,123379274364,130854926695,127608288735,134638679914,126479516357,127980610452,118376163389,145312883800,128722576101,120693826462,123703745522,117537744878,127245911522,141765053280,138240040419,112230206458
44,116745733437,134506001681,131162740924,113552348382,136852205580,116918902451,119714635595,144685423980,132489650641,130508471590,119839880741,135722960399,112048548842,128117451601,141585452268,133452469673,126691936132,129727936085,111613087981,115203259538,137719015475,126770460532,125112306655,142312087770,123382135069,130858193206,127611211710,134641038916,126481961933,127983755319,118379066340,145315120409,128724917933,120696307139,123706818839,117540347948,127247483955,141767521042,138243041414,112232881811
45,116748308560,134508688462,131165161488,113554965034,136854550981,116921805386,119717577203,144688288979,132492543555,130511758147,119841976338,135725184138,112050669502,128119673159,141588272184,133455157185,126694123380,129730423908,111615318150,115205670070,137721513278,126772870365,125114771590,142314919851,123384845484,130860570823,127614196234,134642972778,126483863580,127985891028,118381917017,145316931185,128727713521,120699645264,123709026114,117542938120,127249984673,141769931554,138244971001,112235836291
46,116750643205,134511214231,131167843988,113557910910,136857557002,116924022688,119720221065,144690241481,132495256812,130514793496,119844038320,135728027687,112053584629,128122382833,141590692023,133457720171,126696368566,129732510942,111617452408,115207790046,137724003943,126775099815,125117384660,142318413973,123387475712,130863355660,127617038350,134645250900,126485858276,127988691657,118384793471,145319421184,128730076087,120702505246,123712184581,117545484641,127253322783,141772857384,138247706474,112239008353
47,116753330716,134513718498,131169812921,113559808979,136859980422,116926932806,119722311679,144692693552,132497809047,130518556739,119846541887,135731113879,112056811066,128124984454,141593637912,133461386811,126699269378,129735919900,111620427634,115211304970,137726491032,126777777303,125120085044,142320858846,123390475968,130865927212,127619271389,134647693632,126488400458,127991421406,118387438744,145322922463,128732130909,120704879278,123715013812,117547624632,127256040387,141774508530,138250651634,112241260739
48,116755767715,134516298654,131172331534,113563424760,136862217035,116929268908,119724735820,144695396825,132500742031,130520392549,119849035474,135733841479,112059560155,128127443642,141596393421,133463429473,126702462901,129738068475,111623525954,115213115028,137728872220,126780478436,125122663039,142324229159,123392995990,130867963419,127622074808,134650077672,126490278491,127994139708,118390074724,145325062446,128734992319,120707757161,123717468721,117550289230,127258507454,141777517357,138253143757,112243739282
49,116758287739,134518647628,131174671920,113565267729,136864526669,116931743146,119727007507,144697236940,132503374432,130522750835,119851508275,135736505378,112062314933,128130508318,141598716659,133465630304,126704380308,129740352311,111626139733,115216468855,137731291315,126783024247,125125702685,142327680315,123395736447,130871378807,127625402842,134652830302,126492589504,127997744772,118392994828,145327840875,128737287588,120710835452,123720028120,117552670406,127260995297,141780544801,138255308804,112246803276
50,116760613832,134521403138,131177629271,113568182814,136867191280,116934344793,119729626346,144700272281,132506315312,130525408996,119853550943,135739463422,112064892250,128133306039,141601394864,133468324278,126707392760,129742499437,111628727756,115219351746,137733614505,126785603679,125128023044,142330155960,123397856399,130873032104,127627434044,134654882265,126495148888,127999842528,118395587129,145330471144,128739894941,120713762012,123723229512,117555367932,127263949783,141782387758,138257628456,112248694935
51,116763642746,134523958935,131180127125,113570777258,136870369061,116936496954,119731945997,144702722182,132509080109,130528306208,119856114606,135742086529,112067896134,128135664326,141604085253,133471009640,126710064524,129744651589,111631589179,115221655643,137735879010,126788649079,125130887333,142333275768,123400893176,130875772547,127630459346,134657379394,126497582295,128002842815,118398248865,145333001901,128742376319,120716143203,123725042416,117557582355,127266515631,141785317158,138260094085,112251559945
52,116766258657,134526747351,131182808200,113573574259,136873055884,116939592455,119734117500,144704877200,132511649499,130531242070,119858679042,135744731815,112070438346,128138822063,141606452836,133473914024,126712880142,129747370580,111634099908,115224351734,137737940972,126791088273,125133633550,142336049887,123403053180,130878137985,127633133955,134659971700,126499881891,128004875446,118401087382,145335660078,128745242016,120718987458,123727892391,117559965711,127269545272,141787472874,138262610539,112254117942
53,116769081432,134529378985,131185535085,113576783506,136875626748,116942490391,119737155012,144708155171,132515021948,130535227915,119861173312,135747374948,112073468685,128141473073,141609262024,133477313746,126715622057,129749581412,111637627626,115226983437,137740045157,126793888910,125136389065,142338074642,123405440787,130881134706,127635435657,134662695007,126502656006,128007978805,118404220065,145338290321,128747633914,120721980587,123730514790,117563053307,127272329419,141790110247,138265404016,112256806179
54,116771759635,134532204619,131187853290,113578967853,136878588394,116945223721,119739682243,144710784007,132517672230,130537725753,119863763498,135750397416,112076687277,128144348085,141611716933,133480359149,126717948852,129752340477,111640154094,115229570739,137742401288,126796533495,125138808904,142341509385,123407801944,130883454353,127638116710,134664918021,126504889029,128009692956,118407158787,145341059434,128750181125,120724612971,123733321134,117565435906,127274772163,141792825653,138268412893,112259584612
55,116774193064,134534614423,131190502174,113581745531,136880705489,116947414538,119742202306,144713126552,132521046091,130540166336,119865914223,135752908845,112079558724,128146441555,141614105269,133482518467,126720339339,129755798103,111642360644,115232125856,137744699404,126799252527,125141721175,142343890582,123410546724,130885671624,127640311079,134667599075,126506929529,128012149295,118409952935,145343127864,128752952366,120727074338,123735818981,117567220184,127277939934,141794930553,138270736832,112262108243
56,116776859110,134537344132,131193277032,113584562576,136883170427,116949694835,119744635748,144715633727,132522395946,130542989130,119868152991,135755645732,112082375061,128149383141,141616671107,133485615391,126722870105,129757690431,111646060178,115235521929,137747374714,126801624409,125144173218,142347483467,123413264273,130888791415,127643523188,134669516484,126509451695,128014682221,118412525208,145345911295,128754721627,120729499911,123738122878,117569642873,127280259569,141797437698,138273594697,112264460096
57,116779918063,134540002296,131196169249,113587554237,136885663970,116952098927,119747417034,144719274590,132525547223,130546472507,119870312303,135758223040,112085282314,128152175139,141618823973,133487532807,126725541877,129759975711,111647841604,115237641883,137749363654,126804067163,125147386064,142350416485,123415684105,130891073835,127646065401,134672712153,126512661670,128017823517,118415297847,145348179428,128757802030,120732201025,123740706617,117571788589,127282501922,141799985642,138275643797,112267000195
58,116782211953,134542428546,131198467407,113590160853,136888390849,116955560862,119749385270,144720582917,132528092997,130549185789,119872786543,135761052290,112087918291,128154818964,141620911719,133490741415,126728129204,129762061289,111652130188,115240393098,137751872954,126806737520,125150049951,142353028856,123418408844,130894254473,127648584710,134675074712,126514183276,128020480994,118418268766,145350642211,128760595440,120735487593,123743436366,117574390217,127285447824,141803327979,138278327016,112269388547
59,116785070503,134545627775,131201299508,113593143960,136891869971,116958081621,119752485773,144723550990,132530544324,130552173154,119875270812,135763507913,112090460520,128157477111,141624027948,133493522696,126731393576,129764942035,111653418475,115243254552,137754041552,126809134458,125152511329,142356627475,123420961100,130895794696,127651630076,134678752780,126516655339,128023611563,118421062894,145353007662,128763299404,120738723320,123746265593,117577238766,127287808986,141805656899,138281391706,112271911455
60,116787399431,134548338884,131203763729,113595673992,136894038602,116960890791,119754705926,144726114704,132532952681,130555413188,119877345676,135766059463,112093256830,128160052239,141626305342,133495642654,126733331015,129766921690,111655883421,115246182588,137756582303,126811716751,125154732196,142358860494,123423567724,130898184468,127653788684,134680605778,126518982129,128025712191,118423904286,145355519111,128765927501,120741420130,123748318966,117579748068,127290161549,141808067402,138283821563,112275377683
