op_rw,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
30,204306,197631,186596,119441,145426,184627,102672,254521,236882,332426,334554,260339,288984,126045,204739,179765,217091,149416,72786,200198,221905,373490,115795,279801,197951,220843,382083,298455,283014,144826,334404,274214,280456,118209,114462,92968,415988,209516
31,204306,197631,186596,119442,145428,184627,102673,254522,236883,332429,334556,260341,288986,126049,204740,179767,217093,149416,72786,200201,221905,373492,115796,279802,197953,220843,382084,298456,283016,144826,334404,274217,280458,118211,114465,92968,415988,209517
32,204306,197632,186598,119442,145430,184627,102673,254526,236889,332430,334557,260343,288987,126051,204740,179769,217094,149416,72787,200201,221906,373494,115797,279804,197955,220845,382085,298459,283017,144827,334405,274219,280459,118213,114467,92968,415989,209518
33,204308,197632,186598,119442,145432,184628,102674,254529,236892,332431,334559,260345,288988,126052,204741,179769,217095,149416,72787,200203,221907,373495,115799,279810,197956,220850,382089,298459,283017,144829,334405,274222,280460,118218,114472,92970,415989,209520
34,204308,197633,186598,119443,145434,184628,102675,254530,236893,332432,334561,260347,288990,126054,204743,179770,217098,149417,72788,200206,221908,373499,115801,279811,197959,220850,382090,298460,283018,144829,334406,274225,280463,118220,114474,92970,415989,209522
35,204308,197634,186599,119443,145434,184628,102675,254533,236898,332432,334562,260350,288992,126058,204743,179772,217099,149417,72789,200208,221909,373501,115801,279813,197961,220852,382092,298462,283020,144830,334407,274227,280463,118224,114478,92970,415990,209524
36,204309,197634,186600,119443,145436,184629,102676,254535,236902,332433,334563,260351,288993,126058,204744,179773,217099,149417,72789,200210,221910,373502,115804,279819,197962,220855,382095,298463,283020,144832,334408,274229,280464,118228,114482,92970,415990,209525
37,204310,197635,186600,119444,145439,184629,102677,254536,236903,332436,334565,260354,288994,126059,204746,179774,217103,149418,72790,200212,221911,373506,115806,279821,197965,220857,382097,298464,283021,144832,334408,274232,280466,118230,114484,92972,415990,209526
38,204310,197636,186600,119444,145439,184629,102677,254539,236908,332436,334567,260356,288996,126063,204746,179775,217103,149418,72790,200215,221911,373508,115806,279823,197967,220859,382099,298465,283022,144833,334409,274233,280467,118233,114487,92972,415990,209528
39,204311,197636,186601,119444,145441,184630,102678,254542,236912,332438,334567,260357,288998,126065,204746,179777,217104,149418,72791,200216,221912,373510,115808,279829,197968,220860,382101,298467,283023,144835,334409,274237,280468,118237,114489,92972,415991,209529
40,204312,197637,186602,119445,145442,184630,102679,254543,236913,332440,334569,260359,288999,126066,204748,179777,217106,149419,72792,200218,221914,373514,115810,279831,197969,220864,382104,298468,283023,144835,334410,274238,280469,118239,114494,92974,415991,209531
41,204312,197638,186603,119445,145444,184630,102679,254546,236918,332440,334571,260362,289001,126070,204749,179779,217108,149419,72792,200220,221914,373516,115811,279833,197972,220866,382105,298469,283025,144836,334411,274239,280471,118242,114496,92974,415991,209533
42,204313,197638,186604,119445,145446,184631,102680,254549,236922,332442,334572,260364,289003,126072,204749,179781,217109,149419,72793,200222,221915,373518,115813,279835,197974,220866,382106,298471,283026,144838,334411,274242,280472,118247,114499,92974,415992,209534
