%sys,client01,client02,client03,client04
140,0.63,0.94,2.31,2.18
141,1.82,1.45,2.26,2.0
142,1.74,1.36,2.15,2.13
143,0.88,1.25,2.41,2.26
144,0.6,1.22,2.31,2.26
145,0.78,1.12,2.23,2.11
146,0.78,1.33,2.31,2.08
147,0.76,1.29,2.28,2.03
148,2.41,1.25,2.05,2.36
149,1.04,1.37,2.31,2.28
150,0.83,1.32,2.26,2.18
151,0.88,1.07,2.31,2.21
152,0.76,1.33,2.33,2.13
153,0.73,1.02,2.28,2.33
154,1.36,1.07,2.41,2.1
155,2.05,1.29,2.08,2.33
156,0.88,1.15,2.33,2.21
157,0.63,1.17,2.31,2.41
158,0.68,1.05,2.28,2.21
159,1.03,1.12,2.26,2.21
160,0.78,1.02,2.23,2.31
161,1.68,1.1,2.13,3.85
162,1.81,1.21,1.95,2.73
163,0.71,1.15,2.28,2.33
164,0.81,0.97,2.33,2.31
165,0.83,0.94,2.18,2.33
166,0.78,1.1,2.33,2.31
167,0.78,1.25,2.16,2.03
168,2.39,1.34,1.95,2.26
169,1.31,1.35,2.26,2.38
170,0.73,0.98,2.23,2.36
171,0.75,1.24,2.33,2.13
172,0.75,1.37,2.36,2.06
173,0.73,1.13,2.23,2.23
174,1.21,1.25,2.33,2.18
175,2.04,1.21,1.95,2.36
176,0.83,1.35,2.28,2.23
177,0.71,1.17,2.36,2.38
178,0.73,1.02,2.28,2.26
179,0.7,1.07,2.31,2.36
180,0.86,1.12,2.23,2.31
181,1.64,0.99,2.23,2.08
182,1.69,1.34,2.31,2.21
183,0.66,1.17,2.26,2.21
184,0.81,1.35,2.31,2.18
185,0.78,1.26,2.33,2.23
186,1.05,1.39,2.23,2.28
187,1.06,1.47,2.26,2.18
188,2.3,1.54,2.08,2.08
189,1.33,1.37,2.36,2.21
190,0.76,1.22,2.18,2.11
191,0.78,1.19,2.23,2.01
192,0.91,1.15,2.33,2.13
193,0.73,1.12,2.36,2.18
194,1.18,1.17,2.36,2.05
195,2.11,1.44,1.95,2.21
196,0.81,1.32,2.33,2.26
197,0.85,1.27,2.38,2.23
198,0.73,1.3,2.26,2.31
199,0.73,1.32,2.38,2.18
200,0.8,0.94,2.43,2.36
201,2.04,1.27,2.16,1.9
202,1.39,1.31,2.16,2.13
203,0.88,1.25,2.36,2.31
204,0.75,1.17,2.23,2.21
205,0.86,0.94,2.28,2.11
206,0.76,1.47,2.36,2.16
207,0.83,1.42,2.38,1.95
208,1.89,1.24,2.0,2.26
209,1.03,1.29,2.38,2.18
210,0.71,1.16,2.36,2.13
211,0.76,1.17,2.38,2.23
212,0.61,1.32,2.38,2.13
213,0.61,1.14,2.38,2.21
214,1.22,1.32,2.28,2.2
215,1.82,1.44,2.05,2.33
216,0.76,1.14,2.16,2.28
217,0.73,1.48,2.43,2.21
218,0.83,1.44,2.28,2.21
219,0.75,1.25,2.26,2.23
220,0.81,1.09,2.21,2.38
221,2.17,1.17,2.05,2.1
222,1.51,1.41,2.23,2.23
223,0.56,1.23,2.36,2.18
224,0.71,1.26,2.43,2.18
225,0.68,1.14,2.38,2.26
226,1.0,1.19,2.43,2.13
227,1.18,1.19,2.43,2.85
228,2.33,1.14,2.08,4.11
229,1.04,1.37,2.28,2.21
230,0.7,1.01,2.31,2.21
231,0.98,1.27,2.33,2.28
232,0.73,0.99,2.33,2.33
233,0.91,1.3,2.36,2.33
234,1.71,1.22,2.21,2.13
235,1.97,1.13,1.95,2.46
236,0.78,1.09,2.23,2.28
237,0.76,1.11,2.33,2.16
238,0.73,1.32,2.38,2.28
239,0.66,1.17,2.33,2.21
240,0.71,1.06,2.26,2.18
241,1.92,1.36,2.08,2.08
242,1.16,1.56,2.28,2.23
243,0.61,1.65,2.26,2.28
244,0.76,1.62,2.31,2.26
245,0.63,1.35,2.33,2.08
246,0.78,1.17,2.23,2.21
247,1.11,1.3,2.33,2.1
248,2.02,1.62,2.08,2.16
249,0.83,1.25,2.43,2.21
250,0.63,1.27,2.46,2.16
251,0.51,1.19,2.31,2.18
252,0.68,1.24,2.48,2.16
253,0.56,1.32,2.36,2.16
254,1.47,1.14,2.18,3.96
255,1.76,1.29,2.18,2.25
256,0.88,1.47,2.36,2.13
257,0.83,1.55,2.41,2.11
258,0.88,1.54,2.43,2.06
259,0.73,1.37,2.36,2.11
260,0.61,1.14,2.41,2.06
261,2.04,1.21,1.93,1.9
262,1.19,1.26,2.28,2.18
263,0.73,1.19,2.38,2.18
264,0.66,1.32,2.28,2.06
265,0.73,1.04,2.38,2.28
266,0.76,1.32,2.26,2.16
267,1.06,1.19,2.21,2.05
268,1.82,1.21,2.0,2.31
269,0.83,1.4,2.48,2.13
270,0.86,1.24,2.21,2.28
271,0.86,1.21,2.31,2.18
272,0.71,1.34,2.28,2.18
273,0.71,1.39,2.33,2.21
274,1.67,1.64,2.23,2.03
275,1.75,1.44,2.13,2.36
276,0.73,1.27,2.41,2.18
277,0.71,1.42,2.38,2.26
278,0.81,1.29,2.26,2.28
279,0.71,1.04,2.53,2.11
280,0.83,1.01,2.48,2.65
281,2.09,1.31,2.05,4.06
282,1.09,1.46,2.41,2.11
283,0.73,1.49,2.23,2.16
284,0.73,1.4,2.21,2.31
285,0.76,1.24,2.38,2.18
286,0.88,1.34,2.41,2.03
287,1.06,1.34,2.36,2.05
288,2.25,1.46,2.1,2.31
289,0.73,1.29,2.33,3.88
290,0.86,1.44,2.38,2.58
291,0.68,1.34,2.28,2.13
292,0.83,1.22,2.51,2.18
293,0.63,1.39,2.43,2.31
294,1.71,1.22,2.28,1.93
295,1.41,1.36,2.06,2.21
296,0.91,1.29,2.26,2.28
297,0.93,1.19,2.23,2.26
298,0.76,1.39,2.31,2.18
299,0.66,1.19,2.38,2.18
300,1.04,1.14,2.41,3.16
301,1.85,1.12,2.05,3.41
302,0.98,1.24,2.21,2.16
303,0.83,1.2,2.46,2.21
304,0.81,1.12,2.31,2.11
305,0.98,1.39,2.41,2.13
306,0.73,1.37,2.36,2.18
307,1.38,1.4,2.23,2.23
308,2.07,1.31,1.93,2.26
309,0.76,1.42,2.53,2.26
310,0.66,1.09,2.46,2.11
311,0.86,1.22,2.23,2.28
312,0.86,1.48,2.21,2.33
313,0.76,1.2,2.13,2.66
314,1.74,1.32,2.11,4.4
315,1.54,1.27,2.18,2.91
316,0.78,1.3,2.36,2.08
317,0.86,1.38,2.28,2.18
318,0.63,1.3,2.31,2.31
319,0.63,1.22,2.18,2.38
320,1.01,0.97,2.26,2.23
321,2.29,1.27,2.1,2.08
322,1.13,1.19,2.36,2.18
323,0.83,1.25,2.38,2.31
324,0.88,1.1,2.28,2.36
325,0.76,1.07,2.23,2.31
326,0.96,1.07,2.31,2.28
327,1.23,1.1,2.38,1.95
328,2.01,1.29,2.03,2.26
329,0.76,1.4,2.36,2.16
330,0.71,1.02,2.26,2.26
331,0.81,1.22,2.31,2.21
332,0.81,1.17,2.23,2.28
333,0.68,1.17,2.23,2.26
334,2.01,1.27,2.13,2.1
335,1.62,1.45,2.16,2.36
336,0.98,1.39,2.26,2.23
337,0.76,1.22,2.38,2.33
338,0.83,1.15,2.36,2.23
339,0.76,1.3,2.33,2.26
340,1.11,1.16,2.41,2.0
341,2.22,1.34,2.03,2.38
342,0.96,1.15,2.33,2.36
343,0.78,1.12,2.36,2.21
344,0.85,1.17,2.46,2.23
345,0.91,1.07,2.41,2.26
346,0.88,1.12,2.26,2.23
347,1.64,1.38,2.21,3.93
348,2.04,1.31,2.0,3.21
349,0.68,1.2,2.43,2.13
350,0.83,1.14,2.31,2.21
351,0.78,1.25,2.28,2.16
352,0.81,1.25,2.36,2.28
353,0.81,0.99,2.33,2.28
354,2.16,1.2,2.23,2.05
355,1.56,1.44,2.28,2.21
356,0.98,0.99,2.26,2.28
357,0.88,0.97,2.11,2.21
358,0.73,1.09,2.26,2.31
359,0.88,1.02,2.38,2.21
360,1.45,1.07,2.33,1.95
361,2.23,1.52,2.03,2.33
362,1.16,1.17,2.21,2.13
363,0.85,1.27,2.33,2.03
364,0.86,1.41,2.36,2.13
365,0.88,1.15,2.33,2.16
366,0.86,1.23,2.38,2.18
367,1.64,1.3,2.31,2.05
368,2.17,1.34,2.28,2.11
369,0.91,1.32,2.46,2.23
370,0.76,1.04,2.36,2.26
371,0.86,1.22,2.28,2.21
372,0.86,1.3,2.28,2.16
373,0.76,1.15,2.31,2.76
374,2.06,1.32,1.95,4.18
375,1.39,1.34,2.33,2.18
376,0.86,1.4,2.38,2.13
377,0.78,1.33,2.41,2.11
378,0.81,1.23,2.38,2.21
379,0.91,1.12,2.26,2.23
380,0.96,1.01,2.23,2.13
381,2.19,1.16,1.93,2.03
382,0.88,1.25,2.16,2.13
383,0.76,1.05,2.13,2.38
384,0.68,1.07,2.28,2.36
385,0.76,1.34,2.33,2.16
386,0.66,1.37,2.08,2.26
387,1.54,1.2,2.16,2.23
388,1.96,1.21,2.15,2.21
389,0.96,1.27,2.26,2.23
390,0.73,1.02,2.28,2.23
391,0.66,1.22,2.23,2.21
392,0.76,1.12,2.23,2.26
393,0.63,1.35,2.31,2.13
394,2.22,1.14,1.9,2.1
395,1.11,1.45,2.23,2.33
396,0.73,1.17,2.38,2.01
397,0.78,1.41,2.63,1.7
398,1.03,2.06,2.53,1.6
399,0.88,2.33,1.33,0.58
