%sys,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
10,0.99,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.99,2.97,1.0,2.0,1.01,1.01,1.0,0.0,1.0,1.94,0.99,1.0,0.99,0.0,1.98,1.0,1.0,0.0,1.01,0.0,0.0,1.0,0.0,0.99,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.99,1.0,1.01,1.0,0.0,1.02,0.99,0.99,1.0,0.0,0.0,2.0,1.0,0.0,0.99,0.98,0.0,1.0,1.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.01,0.0,0.0,1.02,0.99,0.0,0.0,0.0,0.0,1.0,1.0,1.01,1.0,2.02,0.0,1.0,1.0,1.01,1.0,2.97,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.01,2.0,1.0,1.98,0.0,1.0,1.01,1.0,1.01,1.01,0.0,1.98,1.01,1.0,1.01,0.98,0.0,1.01,1.01,1.0,1.98,1.0,0.0,1.98,1.0,0.0,1.98,1.01,0.0,2.0,0.0,1.0,1.01,1.0,1.0,0.99
11,1.0,1.0,1.0,0.99,1.0,0.0,0.99,1.01,0.99,1.0,0.99,0.0,0.0,1.0,1.96,1.0,0.98,0.0,1.01,1.0,0.0,1.01,1.0,1.02,0.0,0.0,1.98,1.01,0.99,0.0,1.0,1.98,1.01,0.0,0.0,0.0,1.0,1.01,1.98,1.96,0.0,1.96,0.0,1.01,0.0,1.0,0.0,1.0,0.0,1.0,1.02,0.0,1.01,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,1.02,1.98,1.02,0.0,1.01,0.99,1.0,1.98,1.01,1.01,1.01,1.0,1.01,2.02,1.98,1.01,0.0,2.0,0.0,1.01,0.0,1.0,0.0,0.0,1.0,1.01,0.0,1.96,2.0,1.0,0.0,1.0,1.98,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.99,0.0,0.0,0.99,0.99,2.0,0.99,0.0,0.0,0.99,1.98,1.0,2.0,0.99,0.0,1.0,0.0,1.01,2.0,1.0,1.0,1.01,0.0,0.0
12,0.0,0.99,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.01,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.01,0.0,2.02,0.99,1.98,0.0,0.0,0.0,2.0,1.01,1.01,2.0,0.0,1.01,1.98,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.02,1.0,1.01,1.0,0.0,1.0,2.02,1.98,1.0,0.99,1.0,0.0,1.98,0.99,1.0,0.99,0.0,1.0,1.0,1.0,0.0,0.0,0.99,0.0,0.99,1.0,0.0,1.0,0.0,0.99,0.0,0.0,1.0,1.98,1.01,1.0,2.0,1.01,0.99,1.01,1.96,1.01,1.01,1.01,1.0,1.01,2.91,2.02,1.01,1.98,2.0,1.0,0.0,1.98,0.99,2.0,1.01,2.0,2.0,0.0,1.01,2.91,1.0,1.01,1.0,1.01,1.01,0.0,0.0,1.01,0.99,0.99,1.0,1.0,1.98,1.0,1.01,0.99,0.99,1.01,1.0,2.0,1.0,0.0,0.0,1.01,0.99,0.99,1.0,1.0,0.0,1.0,1.0,1.01,2.0,1.02,1.01
13,0.99,2.02,0.99,0.0,1.0,2.0,4.95,3.96,1.0,3.0,2.0,2.0,0.0,2.0,1.98,1.01,1.0,0.98,3.03,0.0,1.0,1.0,0.0,4.04,0.99,1.01,4.04,2.02,1.01,1.0,0.0,0.0,1.98,0.0,1.0,1.02,1.0,1.0,0.0,3.03,1.01,4.0,0.0,3.96,3.06,2.04,0.99,5.05,1.01,1.0,2.02,0.0,0.0,2.0,1.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.99,1.0,4.04,1.02,0.0,0.0,0.99,0.0,0.0,1.0,0.0,0.0,0.99,0.98,3.0,0.0,1.0,0.99,1.02,2.0,0.0,2.0,1.98,1.01,1.0,1.01,0.99,0.0,0.0,1.01,0.0,0.0,1.98,0.0,1.01,1.0,1.98,0.0,2.0,1.01,0.0,1.94,1.01,1.01,1.01,1.0,1.01,0.98,0.98,1.0,2.0,0.0,1.01,2.02,0.99,1.01,1.01,2.0,0.0,1.0,0.0,0.0,1.98,0.0,0.99,0.0,2.0,1.0,1.0,2.0,1.02,2.0,2.0,1.01,0.0,1.01
14,3.0,12.75,1.02,3.0,15.0,13.0,13.13,15.31,4.08,14.0,10.0,1.0,1.01,1.0,0.0,0.99,3.0,3.0,14.0,4.0,1.0,3.0,5.94,13.13,2.88,3.06,9.9,8.0,2.97,2.0,1.01,1.0,9.09,2.0,2.0,7.92,0.99,1.02,5.0,11.0,4.08,9.0,13.13,13.13,10.1,10.0,4.0,12.12,3.03,5.0,11.0,1.0,8.08,12.0,0.99,11.11,1.01,0.0,9.71,12.87,1.0,1.01,12.87,1.02,2.04,2.0,9.9,9.9,9.09,3.03,0.0,2.0,0.0,1.01,10.89,0.0,3.03,1.0,13.13,2.0,0.0,1.98,17.82,13.73,16.0,14.29,12.24,11.88,9.09,2.0,1.0,1.0,1.0,8.0,2.0,1.0,1.01,2.0,2.97,1.02,2.02,0.0,0.0,7.84,10.1,1.01,1.98,1.0,1.01,1.96,9.0,1.01,1.01,11.76,1.98,12.0,1.98,10.89,1.02,1.01,11.0,14.0,1.01,0.0,1.01,7.14,1.0,2.0,8.25,0.99,1.0,1.01,2.02,0.0,8.0,1.98,2.0,11.22,3.0,2.0
15,13.0,0.0,11.88,14.85,0.0,1.0,0.0,0.0,11.88,1.0,2.0,8.0,9.8,7.07,8.91,7.07,13.27,10.0,1.96,11.0,15.84,10.0,12.0,1.01,13.13,11.11,1.0,0.0,9.18,7.07,10.0,14.85,0.0,7.07,6.06,1.01,10.1,8.0,10.1,1.0,10.89,1.0,0.0,0.99,0.99,1.01,11.0,0.0,11.11,10.0,0.0,7.14,0.0,0.0,7.22,0.0,9.09,9.9,1.0,1.0,10.1,11.88,1.0,8.82,9.0,9.09,1.0,1.0,1.0,9.0,10.1,10.0,11.0,8.08,0.0,8.08,14.29,14.14,1.0,11.88,18.18,18.18,2.02,1.01,1.98,1.96,1.0,1.02,2.02,9.8,11.22,9.09,9.18,0.0,7.0,7.07,10.89,11.22,10.1,10.0,12.87,8.91,8.91,1.01,1.98,11.0,9.0,7.07,8.0,11.11,1.0,11.0,10.1,1.01,12.0,0.0,9.09,2.02,10.0,9.9,0.0,1.02,10.1,8.0,12.0,1.0,10.1,8.16,1.98,10.1,10.1,8.0,6.06,9.09,1.01,10.0,8.08,1.98,11.22,10.0
16,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.99,0.0,0.0,2.0,0.0,0.0,2.0,2.02,1.0,1.0,0.98,1.0,1.0,0.99,0.99,1.01,2.0,0.0,1.0,1.0,1.98,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.99,1.0,1.98,1.0,1.01,0.0,1.0,0.0,1.0,1.0,0.0,0.99,0.0,0.0,1.01,1.98,0.0,0.0,1.98,0.99,0.98,1.0,0.99,1.0,0.0,1.0,1.01,0.0,1.0,1.01,0.0,0.0,0.99,1.0,0.99,0.0,1.0,1.01,0.0,0.0,1.98,1.98,1.01,2.0,0.0,1.01,0.99,0.99,0.0,1.0,1.02,1.0,1.01,2.0,0.0,1.01,1.94,0.99,1.02,0.0,0.0,1.0,1.01,1.01,2.0,1.01,1.01,1.0,1.01,0.0,0.0,0.0,1.01,1.01,1.01,1.98,0.0,1.0,1.0,1.0,1.98,0.99,1.01,0.0,1.0,0.0,0.0,1.98,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.98,2.02,1.01,1.0,2.02,0.0,0.0,2.0,2.0
17,0.0,0.99,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.99,1.01,0.0,1.0,0.0,0.99,1.0,0.0,1.0,0.97,1.0,0.0,1.96,0.0,0.0,1.01,2.0,1.0,1.01,1.0,1.01,1.01,0.0,1.0,0.0,1.0,1.01,1.01,1.01,0.0,0.0,0.99,1.0,0.0,1.01,1.0,1.01,1.98,0.0,2.0,2.97,0.0,1.0,0.99,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,1.01,1.01,1.0,0.0,1.0,0.99,1.01,0.0,2.0,1.0,0.99,0.0,1.0,1.0,1.01,1.01,1.01,0.98,1.01,0.0,1.0,1.0,1.0,1.01,0.99,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.96,1.0,0.99,1.01,0.0,0.0,0.0,0.0,2.0,2.97,1.0,1.96,2.0,1.01,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.99,1.01,2.0,0.99,0.0,1.0,1.0,1.01,1.0,1.02
18,1.98,1.01,0.0,0.0,1.0,0.0,1.0,0.99,1.0,0.0,1.01,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.98,1.01,1.0,0.99,1.98,1.0,1.0,1.01,2.97,1.0,1.0,0.99,1.0,1.0,1.0,1.98,1.0,0.0,1.0,0.0,1.0,1.0,1.01,0.99,0.99,1.01,1.0,1.01,0.0,1.01,0.0,1.01,1.0,1.01,1.0,1.0,1.96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.01,1.0,0.0,1.0,1.0,0.0,1.01,1.0,0.98,0.0,1.0,0.0,0.99,1.0,0.0,0.99,0.0,1.0,0.99,0.0,1.98,1.0,2.0,1.0,1.0,1.98,1.01,1.01,2.0,0.99,1.0,1.0,1.0,1.0,1.01,1.01,1.01,1.0,1.01,1.0,1.01,0.0,0.0,1.01,1.0,0.0,1.0,0.0,0.0,0.98,0.99,1.98,1.0,1.0,0.99,1.0,0.0,1.01,0.0,1.0,1.96,1.01,1.0,1.96,1.98,0.0,2.0,0.99,1.0,0.0,1.0,0.0,1.01,0.0,1.0,1.01,2.0,1.01
19,0.0,0.0,0.0,1.0,0.0,1.0,0.98,0.0,0.0,1.0,2.0,1.98,0.0,1.01,1.0,1.01,0.0,0.99,0.98,1.0,0.0,0.99,0.0,1.0,0.0,0.99,1.01,1.01,2.0,1.01,1.01,0.0,2.0,1.01,0.0,2.0,1.01,1.0,1.01,0.0,0.98,1.0,0.0,2.0,0.0,1.01,2.0,2.0,1.98,1.98,1.01,1.0,0.0,0.0,1.01,0.0,0.99,0.0,0.0,0.98,0.99,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.96,0.0,1.98,1.01,0.0,1.98,1.01,0.0,0.0,1.0,0.0,0.0,0.0,2.02,0.0,1.01,1.01,0.0,0.0,0.0,1.0,1.01,2.0,1.01,0.99,1.0,1.01,1.01,0.0,1.01,0.0,1.0,1.01,2.0,1.0,0.0,0.0,0.0,1.01,0.0,0.0,1.01,1.0,0.0,1.0,1.0,1.01,0.0,1.01,1.01,0.0,1.94,0.0,0.0,0.0,1.96,1.01,0.0,1.01,0.0,1.96,1.01,1.01,0.0
20,1.98,9.0,0.98,0.0,13.0,15.0,16.16,16.0,0.0,13.13,11.0,0.0,0.0,0.0,0.0,1.01,1.0,1.01,12.62,0.0,0.99,0.98,1.0,16.0,0.99,0.0,8.0,14.43,0.0,1.01,1.0,0.0,8.0,1.0,0.99,6.06,0.99,0.0,0.0,15.0,0.99,13.86,14.0,13.86,13.0,15.15,1.01,13.13,1.0,1.02,10.2,1.0,9.18,10.1,1.01,10.31,0.0,1.0,8.0,9.09,0.0,0.99,14.0,1.0,1.0,1.01,13.0,13.13,9.09,0.99,1.0,0.0,0.0,1.0,8.0,1.0,1.0,2.0,13.27,1.01,0.0,0.0,15.0,17.17,18.18,16.16,14.14,10.2,9.18,1.0,1.01,1.01,0.99,8.91,1.0,0.0,1.0,2.0,0.0,0.99,1.01,0.0,0.0,11.0,11.11,1.0,0.99,0.0,1.0,1.01,8.08,2.0,1.0,11.22,0.0,13.13,1.94,9.0,1.01,0.99,11.0,10.1,1.0,1.0,0.99,9.0,1.0,0.0,8.08,1.0,1.98,1.01,0.0,1.01,11.88,1.01,0.99,11.0,1.01,2.02
21,13.0,0.99,13.27,13.4,0.0,0.0,1.0,0.99,16.0,0.0,1.01,8.16,9.09,10.0,7.07,7.0,13.73,13.86,0.0,14.0,11.11,14.0,14.85,1.01,13.13,12.12,2.0,1.0,10.1,8.91,10.2,14.14,0.0,9.09,6.0,0.0,8.25,8.16,12.75,2.0,12.0,1.01,1.0,1.0,1.98,0.0,14.0,0.0,13.27,15.0,0.0,6.12,1.01,0.0,10.0,0.0,11.0,6.0,0.99,0.0,9.0,8.16,0.0,7.14,9.9,12.0,0.0,0.0,0.99,11.11,8.0,9.09,7.92,7.07,1.01,8.91,19.0,11.76,1.01,14.85,15.84,14.0,1.01,0.0,1.01,0.0,2.0,1.0,1.01,14.0,11.76,9.09,7.92,0.0,8.16,9.0,13.13,14.14,13.13,12.0,10.1,10.0,9.18,2.02,0.0,11.88,10.2,9.0,5.05,9.09,1.02,8.91,10.1,0.0,11.11,1.0,14.29,1.0,12.87,13.27,1.01,1.0,10.1,12.75,11.11,0.0,11.22,7.07,1.0,6.93,12.12,8.08,12.24,10.0,1.0,12.0,13.0,1.01,12.87,12.0
