op,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
29,691163,559206,637638,422994,450044,444183,457458,540328,781942,631636,667426,811538,596787,449525,729767,489234,468307,657192,397609,530976,494275,746838,702082,663634,515818,851929,523455,756802,815074,625379,430823,741598,792950,681377,888704,685484,279184,408337,1196335,594870
30,691415,559430,637865,423187,450289,444406,457652,540511,782101,631832,667624,811755,596993,449709,729920,489435,468489,657329,397851,531187,494421,747102,702253,663820,516062,852101,523656,757021,815239,625580,431042,741835,793123,681589,888895,685731,279392,408583,1196505,595160
31,691647,559655,638082,423336,450478,444586,457870,540689,782336,632093,667784,811973,597234,449911,730100,489655,468745,657501,398033,531424,494586,747292,702429,664064,516258,852343,523849,757190,815416,625852,431236,742035,793368,681810,889100,685906,279636,408724,1196706,595298
32,691882,559860,638302,423532,450765,444775,458031,540886,782564,632333,667988,812156,597447,450124,730373,489821,468894,657718,398217,531560,494759,747507,702616,664312,516529,852527,524072,757356,815653,626112,431412,742219,793542,682054,889354,686102,279781,408930,1196955,595530
33,692084,560054,638521,423717,450995,444941,458229,541123,782809,632504,668191,812335,597715,450354,730518,490051,469053,657869,398401,531754,494922,747703,702855,664556,516714,852738,524368,757584,815767,626303,431659,742494,793714,682247,889612,686338,280001,409106,1197245,595785
34,692351,560268,638700,423957,451195,445206,458396,541311,783004,632685,668365,812568,597973,450566,730768,490255,469286,658074,398601,532034,495065,747897,702980,664784,516936,852894,524513,757735,815907,626494,431894,742702,793963,682498,889855,686507,280222,409307,1197477,596017
35,692547,560460,638919,424216,451386,445392,458580,541448,783154,632814,668538,812778,598195,450754,730942,490479,469503,658237,398817,532231,495258,748098,703229,664997,517159,853083,524789,757967,816105,626701,432111,742945,794155,682765,890028,686748,280472,409507,1197683,596306
36,692743,560619,639113,424447,451564,445561,458711,541631,783333,633060,668743,812992,598415,450986,731160,490666,469733,658392,399023,532504,495407,748302,703479,665194,517353,853273,525009,758162,816271,626896,432332,743129,794389,682932,890192,686952,280673,409594,1197811,596442
37,692946,560817,639320,424618,451772,445786,458965,541793,783541,633237,668883,813221,598672,451161,731422,490861,469943,658634,399200,532681,495611,748505,703649,665454,517562,853473,525198,758344,816436,627129,432513,743256,794568,683137,890444,687111,280788,409825,1198039,596636
38,693181,561075,639521,424834,452001,446022,459105,541952,783811,633436,669073,813374,598847,451356,731589,491026,470110,658746,399393,532868,495772,748690,703834,665647,517792,853690,525374,758521,816584,627354,432732,743393,794763,683384,890641,687315,281014,410046,1198218,596913
