avgrq-sz,aceph01,aceph02,aceph03,aceph04
150,19.239,19.741,18.531,18.732
151,19.234,18.625,18.606,18.663
152,18.612,18.584,19.34,19.063
153,18.846,18.405,19.468,18.826
154,18.641,18.246,19.327,18.169
155,17.845,18.943,17.831,18.505
156,18.884,18.527,19.11,20.31
157,18.739,18.931,19.418,20.366
158,19.163,20.445,18.867,19.72
159,19.375,19.063,18.564,20.208
160,19.009,19.084,18.835,19.843
161,18.975,18.503,19.037,18.809
162,19.45,19.738,19.595,19.866
163,19.461,18.804,19.091,18.854
164,19.98,19.286,18.499,19.757
165,20.894,19.864,17.922,20.456
166,18.631,19.16,18.317,18.295
167,19.484,18.617,18.407,19.687
168,18.941,18.291,18.18,20.173
169,19.138,19.564,18.045,18.811
170,18.79,20.285,18.43,18.573
171,19.501,20.339,18.844,18.926
172,18.401,18.65,18.739,18.274
173,18.958,19.316,19.291,19.207
174,18.493,18.728,18.792,19.249
175,18.357,19.115,18.63,18.776
176,19.226,19.624,19.037,19.809
177,19.488,19.11,18.806,20.648
178,19.012,18.491,19.226,21.134
179,19.756,19.535,18.769,20.317
180,18.423,18.922,18.844,19.817
181,18.911,18.466,18.611,19.781
182,19.622,20.283,18.747,19.006
183,19.46,19.245,19.145,19.186
184,18.689,18.392,20.085,18.772
185,18.862,19.074,19.167,20.128
186,18.121,18.784,19.315,19.156
187,18.821,19.468,19.847,19.27
188,18.461,19.359,18.501,19.482
189,20.102,18.752,18.29,19.546
190,18.339,18.757,18.467,19.001
191,19.786,19.283,18.263,18.972
192,18.977,18.178,18.663,19.613
193,18.258,17.929,19.299,18.698
194,18.438,18.468,18.653,18.125
195,19.439,18.063,18.526,18.621
196,19.571,19.409,18.602,19.74
197,19.14,19.035,18.822,19.107
198,19.227,19.324,18.004,19.389
199,18.302,19.793,18.701,18.952
200,19.161,19.18,18.943,20.681
201,18.85,20.189,19.226,17.918
202,19.315,19.192,19.382,18.707
203,20.398,19.125,20.09,19.478
204,19.527,19.399,18.91,18.896
205,18.663,18.611,18.8,19.401
206,18.586,18.708,18.885,20.092
207,18.323,18.689,19.294,19.801
208,18.93,19.78,19.162,19.524
209,18.378,17.618,18.812,19.27
210,19.87,18.872,19.59,18.869
211,19.591,19.694,20.237,19.915
212,18.578,19.426,19.889,20.049
213,18.801,18.661,19.943,18.842
214,18.768,19.879,19.191,19.235
215,18.104,19.221,19.757,19.578
216,19.938,18.174,18.608,19.384
217,19.086,18.293,19.277,19.307
218,20.064,19.823,18.326,19.493
219,18.847,19.527,19.015,19.48
220,18.97,18.437,18.941,19.656
221,19.375,19.563,19.308,19.12
222,19.25,18.949,19.705,19.05
223,18.102,19.228,19.488,18.874
224,18.491,19.508,18.527,20.361
225,19.5,18.933,18.818,18.983
226,20.179,19.6,19.017,19.01
227,19.161,19.392,18.954,19.06
228,18.255,18.416,18.53,18.968
229,19.094,18.579,19.146,19.622
