op_rw_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
59,0,0.0,0.329,0,0,0,0,0.008,0.026,0.175,0.021,0.019,0.01,0.005,0.019,0.064,0.192,0.003,0.001,0.006,0.089,0.047,0.003,0,0.169,0.003,0,0.0,0.004,0.042,0.689,0,0.001,0.002,0.0,0,0,0.021
60,0.0,0,0.005,0,0.001,0.155,0.046,0.001,0.006,0.189,0.006,0.002,0.004,0.073,0.535,0.443,0,0,0.0,0.006,0.002,0.0,0,0.033,0.003,0.003,0.039,0.107,0.013,0.004,0,0.002,0.001,0.002,0.004,0.0,0.012,0.005
61,0.006,0.083,0,0.018,0.003,0,0.001,0.239,0.008,0.004,0,0,0.018,0,0,0.379,0.0,0,0,0.008,0.005,0.406,0.103,0.109,0.012,0.016,0.218,0.0,0,0,0.372,0.002,0.012,0.004,0.006,0.0,0,0.386
62,0,0.07,0.035,0,0.586,0,0,0.035,0.195,0.0,0.139,0.009,0.042,0.764,0.025,0.002,0.019,0.027,0.017,0.013,0.004,0.0,0.236,0.016,0.036,0.326,0.307,0.0,0,0.014,0.001,0.001,0.005,0.001,0.0,0,0,0.322
63,0.0,0,0,0,0.029,0.014,0.025,0.019,0.219,0.001,0.007,0.007,0.002,0.048,0.108,0.001,0,0,0,0.014,0,0.456,0,0.039,0.026,0.002,0.001,0.0,0.075,0.007,0,0.0,0.049,0.001,0.003,0,0.002,0.015
64,0.0,0.0,0,0.0,0.056,0,0.016,0.018,0.241,0.016,0,0.003,0.001,0.13,0,0.034,0.001,0,0.001,0,0.0,0.037,0.218,0.159,0.021,0.014,0,0.041,0.003,0.126,0.028,0.006,0,0.016,0.145,0.157,0,0.007
65,0,0.049,0,0,0.518,0,0,0.001,0.028,0.25,0.0,0.0,0.807,0,0.018,0.005,0.002,0.004,0,0.308,0.002,0.047,0.224,0.382,0.0,0.003,0.033,0.001,0,0,0.002,0.275,0.001,0.003,0.042,0,0,0.001
66,0.003,0,0.471,0,0.082,0.212,0.005,0.191,0.343,0,0.003,0.005,0.002,0.26,0.021,0.0,0.847,0,0.015,0.237,0,0.044,0.003,0.003,0.043,0.03,0.001,0.002,0.008,0.0,0,0.002,0.0,0.001,0.027,0,0.004,0.006
67,0.002,0.001,0,0.051,0.055,0,0.0,0,0.171,0.118,0.001,0.005,0.012,0.011,0,0.146,0.001,0,0,0.004,0.001,0.114,0.088,0.004,0.004,0,0.004,0.025,0.001,0.022,0.0,0.0,0,0.046,0.05,0.02,0,0.005
68,0,0,0.103,0,1.113,0,0,0.307,0.33,0.043,0.001,0.003,0.002,0.002,0.036,0,0.072,0.0,0,0.026,0.017,0.003,0.007,0.262,0,0.025,0.001,0.001,0,0,0.0,0.104,0.309,0.001,0.002,0,0,0.015
69,0.002,0.047,0.214,0,0.004,0.013,0.002,0.009,0.626,0,0.002,0.001,0.002,0.002,0.002,0.001,0.003,0,0.0,0.094,0,0.046,0.002,0,0.18,0,0.004,0,0.018,0.004,0,0.0,1.438,0.002,0.018,0,0,0.434
70,0.001,0.0,0,0.001,0.167,0,0.001,0.0,0.468,0.109,0.001,0.003,0.001,0.004,0,0.009,0.0,0,0.0,0.001,0.021,0.416,0.0,0.0,0.1,0.004,0.007,0.029,0.002,0.003,0.077,0.004,0.047,0.003,0.014,0.077,0.212,0.029
71,0,0,0,0,0.136,0,0,0.01,0.265,0.095,0.003,0.0,0,0.001,0.004,0,0.014,0.0,0,0.001,0.0,0.048,0.0,0.185,0,0.005,0.002,0.032,0,0,0,0.077,0.479,0.001,0.043,0,0,0.06
72,0.0,0.0,0.004,0,0.001,0.065,0.0,0.002,0.336,0.11,0.115,0.003,0.002,0.016,0.004,0.0,0.001,0,0.006,0.022,0.147,0.01,0.005,0.001,0.03,0.117,0.001,0.0,0.018,0.001,0.809,0.0,0.371,0.002,0.031,0,0.003,0.001
73,0.005,0.003,0,0,0.02,0,0,0.008,0.288,0,0.001,0.016,0.018,0.339,0,0.021,0.0,0,0.007,0.004,0.003,0.247,0,0.001,0.001,0.004,0.002,0.002,0.001,0.038,0.027,0.001,0.001,0.002,0.093,0.003,0,0.019
74,0,0,0,0.001,0.004,0,0.458,0.038,0.238,1.498,0.001,0.0,1.064,0,0.07,0,0.001,0,0,0.188,0.0,0.0,0.106,0.229,0.28,0.002,0.001,0.001,0,0,0,0.036,0.002,0.495,0.027,0,0,0.462
75,0.006,0.003,0.198,0,0.013,0.0,0.005,0.002,0.044,0.007,0.001,0.089,0.001,0.156,0.054,0.0,0.005,0.001,0.001,0.132,0.001,0.001,0.107,0.001,0.001,0.002,0.0,0.002,0,0.001,0.271,0.06,0.015,0.006,0.002,0,0,0.023
76,0.02,0.001,0,0,0.015,0,0.002,0.001,0,0.016,0.003,0.009,0.001,0.001,0,0.003,0.009,0,0.0,0.002,0,0.002,0,0.009,0.104,0.009,0.0,0.0,0.571,0.004,0.006,0.011,0.001,0.004,0.017,0.006,0.09,0.007
77,0,0,0,0.0,0.258,0,0,0.01,0.568,0.013,0,0,0.001,0.008,0,0.002,0,0,0,0.001,0.0,0.088,0.009,0.021,0.008,0.002,0.001,0.04,0.004,0,0,0.003,0.0,0.018,0.011,0.008,0,0.147
78,0,0.004,0.109,0,0.707,0.016,0.036,0.003,0.147,0.007,0.0,0.0,0.004,0,0.005,0,0.0,0.001,0,0.005,0.023,0.006,0.178,0.249,0.009,0.152,0.008,0.0,0,0.002,0.052,0.031,0.006,0.016,0.147,0,0,0.416
79,0.001,0.005,0,0,0.003,0,0.002,0.0,0.286,0.191,0.003,0.019,0.001,0.191,0.014,0.002,0.001,0,0.009,0.078,0,0.003,0,0.03,0.001,0.35,0.003,0.009,0.178,0.175,0,0.046,0.011,0.015,0.254,0,0.0,0.0
80,0,0,0,0.0,0,0,0,0.017,0.148,0.14,0.001,0.007,0.001,0.001,0,0.032,0.001,0,0.002,0.006,0.001,0.003,0.013,0.0,0.061,0.53,0,0.002,0.002,0,0.001,0.106,0,0.0,0.007,0.0,0,0.136
81,0,0.0,0.018,0,1.375,0,0.088,0.002,0.195,0.05,0.002,0.001,0,0.007,0.001,0,0.147,0.0,0,0.003,0.001,0.292,0.002,0.121,0.0,0.242,0.284,0.002,0,0.012,0.0,0.004,0.01,0.004,0.003,0,0,0.005
82,0.0,0,0,0,0.007,0.867,0,0.006,0.108,0.0,0.001,0.005,0.006,0.017,0.062,0.001,0.229,0,0.0,0.001,0,0.033,0.007,0.046,0.003,0,0,0,0.059,0.0,0,0.001,0.0,0.012,0.004,0,0.008,0
83,0.002,0.0,0,0.0,0.002,0,0.13,0,0.001,0.012,0.001,0.001,0.028,0.002,0,0.001,0.002,0,0.001,0.031,0.039,0.003,0.038,0.043,0.178,0.012,0.004,0.012,0.005,0.0,0.002,0.0,0,0.083,0.006,0.007,0,0.0
84,0,0,0.113,0,0,0,0,0.004,0.004,1.152,0.0,0.0,0.02,0,0.127,0.001,0,0,0,0.002,0.004,0.0,0.011,0.013,0.036,0.045,0.001,0,0,0,0,0.003,0.119,0.0,0.001,0,0,0.079
85,0.007,0.0,0.002,0,0.002,0.119,0.003,0.0,0.004,0.04,0.011,0.015,0.003,0.004,0.004,0.001,0.042,0.004,0.001,0.003,0,0.034,0.003,0.0,0.058,0.004,0.0,0.129,0.329,0.0,0.497,0,0.0,0.0,0.017,0,0,0.53
86,0.0,0.052,0,0,0.159,0,0.0,0.002,0.032,0.026,0.001,0.122,0.015,0.037,0,0.014,0.0,0,0.006,0.012,0.0,0.0,0.224,0.125,0.001,0.006,0.003,0.0,0.03,0.0,0,0.042,0.05,0.001,0.011,0.017,0.0,0.003
87,0,0,0,0.0,0.692,0,0,0.001,0.001,0.108,0,0,0.046,0,0,0.034,0,0,0,0.005,0.0,0.992,0.007,0.009,0.007,0.202,0.002,0.0,0,0,0.288,0.002,0.0,0.136,0.004,0,0,0
88,0.008,0.0,0.203,0,0.841,0.0,0.081,0.002,0.004,0,0.02,0.029,0.001,0.01,0.014,0,0.037,0.0,0.001,0.037,0.128,0.015,0.027,0.009,0.004,0.193,0.004,0.044,0.001,0.0,0.075,0,0.334,0.006,0.005,0,0,0.921
