%memused,aceph01,aceph02,aceph03,aceph04
363,73.05,72.21,72.04,71.77
364,73.0,72.28,72.14,71.75
365,73.13,72.24,72.23,71.77
366,73.12,72.38,72.15,71.93
367,73.17,72.39,72.25,71.83
368,73.3,72.27,72.38,71.96
369,73.26,72.27,72.26,71.94
370,73.32,72.42,72.43,71.96
371,73.42,72.36,72.35,72.09
372,73.46,72.49,72.4,72.04
373,73.64,72.55,72.56,72.26
374,73.45,72.48,72.46,72.29
375,73.38,72.58,72.58,72.26
376,73.49,72.64,72.6,72.4
377,73.49,72.62,72.57,72.34
378,73.6,72.81,72.71,72.41
379,73.72,72.78,72.79,72.55
380,73.75,72.71,72.7,72.48
381,73.88,72.91,72.78,72.57
382,73.84,72.89,72.9,72.54
383,73.45,72.85,72.89,72.64
384,73.66,73.02,73.05,72.67
385,73.54,72.96,73.03,72.56
386,73.68,72.9,73.01,72.62
387,73.67,73.06,73.16,72.8
388,73.76,73.06,73.18,72.69
389,73.93,73.07,73.15,72.87
390,73.86,73.18,73.3,72.84
391,74.01,73.17,73.32,72.93
392,74.03,73.17,73.37,73.09
393,74.11,73.29,73.47,72.94
394,74.25,73.33,73.31,72.98
395,74.06,73.25,73.37,73.07
396,74.14,73.46,73.54,73.01
397,74.22,73.44,73.46,73.17
398,74.23,73.37,73.5,73.23
399,74.22,73.41,73.56,73.15
