%soft,aceph01,aceph02,aceph03,aceph04
92,2.12,4.26,1.5,2.25
93,2.14,2.75,1.76,1.75
94,1.87,1.87,2.0,1.75
95,2.12,1.75,1.74,1.5
96,2.26,1.5,1.25,2.25
97,2.5,2.13,2.13,1.5
98,1.88,2.0,2.0,1.25
99,2.13,1.5,1.5,2.0
100,1.87,1.52,2.0,1.5
101,1.75,1.66,2.12,1.5
102,1.75,2.13,1.25,1.75
103,2.12,1.88,1.5,1.12
104,2.26,1.87,1.62,1.87
105,1.75,1.51,1.63,2.14
106,2.13,2.13,1.63,1.88
107,1.87,1.88,1.38,1.62
108,1.88,1.76,1.63,1.88
109,2.0,1.26,1.25,1.75
110,1.38,1.63,2.02,2.38
111,1.25,1.36,2.0,1.88
112,2.02,1.38,1.88,2.5
113,1.63,1.63,2.0,1.75
114,1.75,1.25,1.76,1.62
115,2.13,1.63,1.5,1.63
116,2.13,1.62,1.62,1.75
117,1.75,1.25,1.88,1.38
118,1.88,1.37,1.75,2.26
119,2.0,1.51,1.88,1.88
120,1.75,1.5,1.5,2.25
121,1.88,1.76,1.62,1.63
122,2.0,1.76,1.38,2.01
123,1.88,1.63,2.0,1.62
124,1.75,1.65,1.62,1.76
125,2.12,1.25,1.5,1.39
126,2.75,1.9,2.12,2.0
127,3.13,1.52,2.0,1.38
128,5.11,1.88,1.75,2.13
129,4.25,1.76,1.88,2.25
130,2.12,2.0,1.25,1.38
131,1.75,1.88,1.63,2.0
132,1.5,2.38,1.74,2.0
133,1.88,4.11,0.75,1.38
134,1.75,2.13,1.62,1.5
135,1.38,1.88,1.75,1.88
136,2.0,1.76,1.76,1.75
137,2.0,2.0,1.62,1.75
138,1.75,1.75,2.24,2.25
139,1.51,2.0,1.63,2.0
140,1.38,1.5,1.39,3.0
141,1.63,1.63,1.25,3.25
142,2.0,1.38,1.88,1.63
143,1.75,1.5,1.76,1.25
144,1.76,1.38,1.88,1.63
145,1.75,2.12,1.76,1.5
146,2.0,1.5,1.88,1.5
147,1.38,1.62,2.01,2.0
148,1.5,2.13,2.38,2.24
149,1.88,1.88,2.0,2.13
150,1.88,2.01,1.63,1.38
151,1.87,2.13,1.63,1.75
152,1.75,2.5,2.0,1.63
153,1.98,1.75,1.75,1.12
154,1.88,1.5,2.12,1.51
155,1.88,1.5,1.88,1.88
156,2.0,1.51,1.62,2.01
157,1.75,1.37,1.75,1.5
158,2.38,1.38,1.75,1.75
159,2.38,1.12,2.0,2.01
160,1.88,1.5,1.87,2.26
161,1.63,1.62,1.88,1.88
162,1.5,1.5,2.01,1.62
163,2.38,2.13,2.5,1.62
164,1.88,2.0,2.13,1.75
165,1.75,1.63,2.25,1.25
166,2.24,1.75,1.88,1.75
167,1.5,1.5,3.88,1.99
168,2.25,1.89,2.12,2.26
169,1.88,1.88,1.25,1.63
170,1.88,1.13,1.25,2.12
171,0.87,1.88,1.63,2.12
172,2.38,1.25,1.62,1.62
173,1.75,1.76,1.5,1.88
174,1.75,1.77,1.62,1.38
175,2.0,1.75,2.0,1.75
176,2.25,2.26,1.88,1.51
177,1.75,1.75,2.12,2.5
178,2.13,1.99,1.5,4.0
179,1.63,2.4,1.62,3.89
180,1.87,2.12,2.0,2.64
181,2.0,2.0,1.62,1.88
182,2.88,1.63,1.75,1.75
183,4.0,1.88,1.63,2.12
184,3.26,1.63,1.87,1.75
185,2.62,1.63,1.5,1.87
186,2.0,1.37,2.12,1.5
187,2.25,1.88,1.37,1.5
188,2.12,1.63,1.88,1.62
189,1.75,1.87,1.63,1.75
190,1.5,1.38,2.13,1.75
191,2.75,2.38,1.75,2.38
192,2.13,3.25,1.26,1.25
193,1.5,3.71,1.38,1.37
194,2.13,2.13,2.13,2.0
195,2.25,2.15,2.26,1.75
196,2.11,2.01,1.88,1.5
197,1.38,1.25,1.64,2.25
198,2.0,1.75,1.91,1.75
199,2.25,2.0,1.62,1.63
200,1.5,1.5,1.51,1.38
201,1.87,1.76,2.01,2.5
202,1.75,1.75,1.38,1.5
203,2.0,2.0,1.62,1.5
204,2.12,1.63,2.01,1.75
205,1.76,1.62,1.5,2.13
206,2.12,2.12,1.75,3.0
207,1.63,1.38,1.5,3.75
208,1.87,1.88,1.76,3.5
209,1.75,1.77,1.63,1.75
210,1.88,1.88,2.12,1.75
211,1.63,1.88,1.88,1.88
212,2.0,2.01,2.01,1.5
213,1.87,2.12,1.75,1.76
214,2.0,2.88,1.62,2.38
215,2.01,4.25,1.99,1.63
216,2.12,1.76,1.88,1.88
217,2.38,1.13,1.62,1.75
218,1.75,1.75,2.51,1.51
219,2.51,2.01,1.75,2.13
220,1.5,2.0,1.25,2.01
221,1.62,1.63,1.51,1.63
222,1.75,1.88,2.0,2.01
223,2.13,1.63,1.62,1.62
224,1.88,1.88,2.13,1.38
225,2.25,1.88,1.25,1.75
226,1.5,2.0,1.88,2.12
227,1.75,1.62,1.88,1.88
228,1.88,1.38,3.74,2.0
229,2.37,1.38,3.75,2.0
230,2.51,1.88,3.76,1.75
231,2.0,2.0,2.5,2.01
232,1.88,2.12,1.75,1.75
233,2.63,1.63,1.27,1.38
234,4.13,1.75,1.88,1.5
235,5.38,2.26,1.62,2.25
236,4.75,1.88,1.14,1.62
237,2.37,1.75,1.75,1.5
238,2.37,1.75,1.78,2.37
239,2.76,2.0,2.39,1.88
240,2.38,2.25,2.01,1.63
241,3.25,2.0,1.88,2.25
242,3.75,1.75,2.01,1.88
243,4.88,1.38,2.02,2.25
244,5.87,2.13,2.13,1.88
245,5.99,2.0,1.26,1.63
246,6.51,1.64,2.01,1.88
247,3.25,2.01,2.0,1.88
248,2.13,1.88,3.12,1.62
249,3.88,1.37,3.62,2.0
250,3.5,1.88,3.13,1.75
251,1.87,1.5,2.11,1.88
252,1.75,1.37,1.38,1.99
253,1.88,2.25,1.38,1.88
254,1.25,1.87,1.51,2.0
255,1.75,1.75,1.88,2.12
256,2.51,1.63,1.13,1.88
257,1.87,1.88,3.02,1.75
258,1.75,1.26,6.26,1.75
259,1.87,2.0,5.12,1.38
260,1.75,1.64,4.99,2.13
261,2.01,1.49,3.13,1.88
262,2.0,1.62,3.5,1.75
263,2.13,1.87,2.12,1.39
264,1.88,1.88,2.38,2.12
265,1.25,1.5,2.38,2.13
266,1.75,2.12,1.38,1.5
267,1.75,2.74,2.25,1.5
268,1.12,4.88,1.5,2.12
269,2.0,2.02,2.25,1.88
270,1.5,1.5,2.5,1.5
271,2.13,1.76,2.0,1.75
272,2.25,2.25,2.01,1.5
273,1.63,2.62,1.75,2.25
274,1.88,3.87,1.74,2.13
275,2.38,1.75,2.26,1.88
276,2.13,2.0,1.75,1.38
277,1.88,2.13,2.0,1.75
278,1.88,1.88,2.0,1.88
279,2.0,1.63,1.75,1.75
280,2.12,1.26,1.51,1.75
281,2.25,1.88,2.27,1.38
282,1.75,1.38,1.77,1.62
283,2.13,1.38,2.12,2.0
284,2.01,1.49,2.25,1.75
285,1.75,1.5,2.26,1.62
286,1.88,1.62,1.62,1.62
287,1.51,1.75,1.25,2.25
288,2.0,1.75,1.64,1.75
289,1.87,2.25,1.75,1.25
290,2.01,1.75,1.51,2.0
291,2.25,1.63,1.63,2.0
292,2.0,1.25,1.62,2.01
293,1.75,1.62,1.75,1.75
294,2.0,1.87,1.75,1.75
295,2.26,2.0,1.76,1.5
296,2.63,1.5,1.76,1.88
297,2.0,2.01,1.63,1.88
298,2.0,2.0,1.5,2.01
299,2.12,1.37,1.76,3.01
300,1.38,1.38,2.51,2.5
301,2.12,2.0,1.39,6.0
302,2.12,1.88,2.01,1.63
303,1.5,1.62,2.13,1.75
304,1.76,1.75,2.25,1.63
305,2.12,1.89,1.62,2.12
306,2.01,1.38,1.5,1.75
307,1.88,1.5,1.76,2.26
308,2.13,2.26,2.12,1.76
309,2.0,1.88,1.38,1.63
310,1.75,1.5,1.62,1.5
311,1.5,1.75,2.12,1.75
312,1.62,1.75,2.01,1.87
313,1.38,2.24,1.63,2.26
314,2.49,1.88,1.37,1.5
315,1.5,2.0,1.75,2.62
316,1.5,1.63,1.14,2.5
317,1.88,1.62,2.0,2.0
318,1.5,1.76,1.5,2.01
319,2.13,2.37,1.74,2.01
320,1.75,2.12,1.75,1.38
321,2.38,3.25,1.88,1.75
322,2.11,2.13,1.76,1.62
323,1.62,3.63,1.63,1.5
324,1.75,5.74,1.51,1.88
325,1.88,3.24,1.63,1.38
326,1.88,2.26,1.88,1.75
327,1.87,1.5,1.74,2.12
328,1.75,2.01,1.38,2.13
329,1.75,1.25,2.63,1.88
330,1.62,1.88,5.49,2.5
331,2.25,1.87,3.73,1.75
332,2.0,2.0,2.76,1.63
333,1.88,2.0,2.51,1.88
334,2.26,1.75,2.25,1.88
335,2.01,2.25,1.87,2.0
336,2.0,1.75,2.53,1.63
337,4.27,1.51,2.14,2.12
338,2.12,2.12,1.99,1.75
339,1.88,2.12,1.89,2.0
340,1.87,1.87,1.38,1.75
341,2.0,1.38,2.38,1.38
342,1.62,1.76,1.5,1.88
343,2.25,2.25,1.62,2.12
344,2.0,2.41,1.75,1.88
345,1.38,1.89,1.38,2.88
346,2.12,1.75,1.38,4.61
347,1.75,1.89,1.75,4.37
348,2.0,3.86,1.5,2.0
349,2.0,3.61,1.75,1.63
350,2.37,1.89,2.12,1.87
351,1.87,2.0,1.63,2.13
352,1.87,1.62,1.38,1.75
353,2.25,2.0,1.63,1.88
354,2.38,2.0,1.62,2.38
355,2.5,2.13,1.13,2.0
356,1.5,1.76,2.75,1.75
357,2.0,2.0,3.12,1.74
358,1.5,1.38,3.62,1.63
359,1.76,1.75,2.48,1.38
360,2.13,1.62,1.75,1.75
361,1.5,1.63,1.75,1.26
362,1.76,1.87,1.76,2.14
363,2.11,1.49,1.87,2.25
364,1.5,1.5,1.51,1.88
365,2.01,2.13,2.24,1.75
366,1.63,1.5,1.88,2.25
367,2.12,1.88,2.0,1.38
368,2.24,1.75,1.38,1.38
369,2.01,2.0,2.25,1.61
370,2.26,1.88,1.13,1.63
371,1.64,1.62,2.01,1.63
372,2.26,1.38,2.0,1.63
373,2.0,1.87,1.88,1.5
374,2.0,1.63,1.88,1.51
375,1.87,1.75,1.75,1.88
376,1.88,1.63,1.37,2.0
377,2.12,1.62,1.75,2.74
378,1.87,1.75,1.37,3.98
379,1.74,2.01,2.13,2.0
380,2.01,1.62,2.38,1.5
381,1.86,2.0,2.25,2.25
382,2.0,1.76,1.5,1.87
383,2.12,1.25,1.63,1.38
384,2.38,2.12,2.01,1.25
385,2.26,1.63,1.63,1.88
386,2.12,1.75,1.75,1.5
387,1.88,1.99,1.87,2.01
388,1.5,1.88,1.63,2.0
389,2.0,1.75,2.51,2.0
390,1.88,2.13,1.75,2.0
391,1.62,2.25,2.12,1.25
392,2.0,2.12,1.63,2.25
393,1.5,1.89,2.12,1.75
394,1.38,2.14,2.0,1.62
395,1.74,1.64,1.63,1.75
396,2.38,1.75,1.63,2.0
397,2.0,2.25,2.38,1.75
398,1.63,2.01,1.27,1.88
399,1.5,1.76,1.77,1.0
