%iowait,client01,client02,client03,client04
282,0.33,0.15,0.03,0.0
283,0.03,0.03,0.0,0.03
284,5.14,0.23,0.0,0.0
285,1.29,4.71,0.0,0.0
286,0.0,0.86,0.0,0.0
287,0.13,0.13,0.0,0.0
288,0.03,0.03,0.0,0.0
289,2.6,0.1,0.0,4.36
290,0.88,2.31,0.0,2.38
291,0.03,0.48,0.0,0.0
292,0.1,0.1,0.0,0.0
293,0.08,0.03,0.0,0.0
294,0.43,0.15,0.03,0.0
295,0.4,1.04,0.0,0.0
296,0.0,0.43,0.0,0.0
297,0.13,0.08,0.0,0.03
298,0.05,0.0,0.0,0.0
299,2.35,0.13,0.0,0.0
300,0.08,2.0,0.0,2.96
301,0.05,0.05,0.03,6.79
302,0.3,0.13,0.0,0.03
303,0.05,0.05,0.03,0.03
304,3.58,0.31,0.03,0.0
305,1.56,6.15,0.0,0.05
306,0.08,2.11,0.05,0.0
307,0.38,0.18,0.03,0.03
308,0.05,0.03,0.03,0.05
309,6.29,0.33,0.03,0.0
310,5.07,8.57,0.03,0.0
311,0.05,2.24,0.0,0.0
312,0.48,0.18,0.0,0.0
313,0.03,0.13,0.0,0.23
314,2.78,0.2,0.0,8.78
315,1.99,3.37,0.0,3.23
316,0.03,1.55,0.0,0.0
317,0.43,0.05,0.0,0.0
318,0.1,0.0,0.0,0.0
319,1.46,0.25,0.03,0.0
320,0.18,3.04,0.0,0.0
321,0.13,0.03,0.0,0.0
322,0.25,0.13,0.0,0.0
323,0.05,0.08,0.0,0.0
324,2.72,0.2,0.0,0.03
325,1.19,1.52,0.0,0.0
326,0.03,0.23,0.0,0.0
327,0.18,0.13,0.0,0.0
328,0.08,0.0,0.0,0.0
329,2.27,0.1,0.0,0.0
330,0.15,1.35,0.03,0.0
331,0.0,0.03,0.0,0.0
332,0.2,0.1,0.0,0.0
333,0.03,0.0,0.0,0.0
334,0.33,0.1,0.0,0.03
335,0.18,0.81,0.0,0.0
336,0.08,0.08,0.0,0.0
337,0.23,0.08,0.03,0.05
338,0.0,0.0,0.0,0.03
339,2.9,0.28,0.03,0.0
340,1.11,4.61,0.03,0.05
341,0.13,1.04,0.03,0.0
342,0.45,0.23,0.05,0.05
343,0.1,0.05,0.03,0.6
344,5.05,0.31,0.03,0.03
345,6.47,6.99,0.03,0.0
346,0.28,2.3,0.0,0.0
347,0.33,0.13,0.0,6.96
348,0.08,0.0,0.0,5.09
349,3.71,0.31,0.03,0.0
350,0.53,4.1,0.0,0.0
351,0.0,0.54,0.0,0.0
352,0.2,0.1,0.0,0.0
353,0.05,0.05,0.0,0.0
354,0.85,0.08,0.0,0.0
355,0.43,0.81,0.0,0.0
356,0.15,0.48,0.0,0.0
357,0.15,0.08,0.0,0.0
358,0.05,0.0,0.0,0.03
359,1.51,0.1,0.0,0.0
360,0.2,2.29,0.0,0.0
361,0.03,0.41,0.0,0.0
362,0.2,0.13,0.0,0.0
363,0.08,0.05,0.0,0.0
364,2.6,0.08,0.03,0.0
365,0.53,2.91,0.0,0.03
366,0.0,0.31,0.0,0.0
367,0.05,0.08,0.0,0.0
368,0.1,0.0,0.0,0.0
369,2.27,0.13,0.03,0.0
370,0.48,2.24,0.0,0.03
371,0.1,0.18,0.0,0.0
372,0.23,0.18,0.03,0.03
373,0.08,0.05,0.0,0.68
374,2.44,0.13,0.1,10.29
375,2.99,3.87,0.0,0.78
376,0.33,4.01,0.05,0.0
377,0.45,0.2,0.05,0.03
378,0.03,0.0,0.03,0.08
379,4.62,0.13,0.03,0.0
380,3.59,6.56,0.03,0.0
381,0.05,1.92,0.0,0.0
382,0.25,0.05,0.0,0.0
383,0.03,0.05,0.0,0.03
384,2.9,0.1,0.0,0.0
385,0.78,2.86,0.0,0.0
386,0.03,1.53,0.03,0.0
387,0.18,0.05,0.0,0.0
388,0.08,0.0,0.0,0.0
389,2.21,0.03,0.0,0.0
390,0.61,1.56,0.0,0.0
391,0.0,1.35,0.0,0.0
392,0.25,0.15,0.0,0.0
393,0.03,0.05,0.0,0.03
394,2.35,0.03,0.0,0.0
395,0.78,0.94,0.0,0.0
396,0.0,0.56,0.0,0.0
397,0.38,0.08,0.0,0.0
398,0.08,0.0,0.0,0.0
399,1.74,0.05,0.03,0.0
