txpck/s,aceph01,aceph02,aceph03,aceph04
202,10978.0,11607.0,11504.0,11499.0
203,11709.0,11666.0,12074.0,13013.0
204,12818.0,13023.0,12454.0,12536.0
205,11772.0,12059.0,11773.0,11749.0
206,11794.0,11930.0,12211.0,12425.0
207,11843.0,12524.0,12341.0,11965.0
208,12721.0,13003.0,12533.0,11642.0
209,11679.0,11776.0,12193.0,12665.3
210,13166.0,12032.0,12454.0,12140.0
211,11668.0,12411.0,11699.0,12228.0
212,11811.0,11333.0,11641.0,12520.0
213,12258.0,12739.0,12512.0,11880.0
214,11906.0,12784.0,11809.0,12369.0
215,11764.0,11552.0,11845.0,11996.0
216,11641.0,12233.0,12161.0,11552.0
217,11455.0,11908.0,12000.0,13417.0
218,13396.0,13064.0,13230.0,12151.0
219,12490.0,12689.0,12379.0,12411.0
220,11742.0,12137.0,12567.0,12583.0
221,12186.0,11633.0,12038.6,12381.0
222,11951.0,12682.0,12125.0,12026.0
223,11909.0,12693.0,12049.0,12190.0
224,11623.0,12208.0,11829.0,11979.0
225,12103.0,12391.0,12179.0,12548.0
226,12251.0,11935.0,12434.0,12263.0
227,12162.0,11947.0,11860.0,11915.0
228,11262.0,12439.0,11731.0,12155.0
229,11975.0,12356.0,12030.0,12283.0
230,12142.0,11628.0,11882.0,11863.0
231,11511.0,11913.0,11276.0,11983.0
232,12588.0,12429.0,12463.0,12142.0
233,11689.0,12422.0,12246.0,12719.0
234,12114.0,12673.0,11747.0,12769.0
235,11900.0,11506.0,12338.0,12411.0
236,11783.0,12164.0,12101.0,12387.0
237,11779.0,12344.0,11719.0,11627.0
238,11651.0,11734.0,11816.0,12111.0
239,12309.0,12666.0,12492.0,12745.0
240,11674.0,11642.0,11570.0,12076.0
241,11475.0,11684.0,12060.0,12203.0
242,11599.0,11387.0,11657.0,12328.0
243,12043.0,13044.0,12411.0,11867.0
244,11256.0,12090.0,11445.0,13037.0
245,12504.0,12588.0,12373.0,11866.0
246,11345.0,11616.0,11702.0,12271.0
247,12046.0,11934.0,11808.0,11653.0
248,12037.0,12291.0,12223.0,11807.0
249,11736.0,12077.0,12117.0,12408.0
250,11245.0,11692.0,11809.0,12638.0
251,12200.0,11925.0,12227.0,11522.0
252,11467.0,11872.0,11886.0,12487.0
253,12339.0,12276.0,12060.0,12181.0
254,11641.0,12190.0,12117.0,12691.0
255,11974.0,12798.0,12174.0,13060.0
256,12289.0,12403.0,12278.0,11879.0
257,12003.0,13051.0,11903.0,12054.0
258,12614.0,12340.0,12273.0,12217.0
259,11831.0,12092.0,12062.0,12206.0
260,11512.0,11651.0,12009.0,12349.0
261,11570.0,12310.0,12125.0,11576.0
262,11590.0,11512.0,11697.0,11600.0
263,11844.0,12256.0,12054.0,11889.0
264,12073.0,12448.0,12209.0,12119.0
265,11026.0,11887.0,11896.0,12603.0
266,11444.0,12032.0,12195.0,12092.0
267,11650.0,11685.1,12303.0,12013.9
268,11880.0,12609.0,12701.0,11761.0
269,11358.4,12551.0,12051.0,11971.0
270,11647.0,11448.0,11993.0,12357.0
271,11800.0,12152.0,12259.0,12186.0
272,11662.0,11696.0,11970.0,12561.0
273,12360.0,12698.0,12233.0,11408.0
274,11357.0,12850.0,12007.0,11721.0
275,11610.0,11955.0,11518.0,12131.0
276,12440.0,12298.0,12562.0,12628.0
277,12200.0,12249.0,12394.0,12418.0
278,11731.0,12934.0,12412.0,12042.0
279,11546.0,11953.0,12763.0,12212.0
280,12740.0,12821.0,12464.0,12826.0
281,12025.0,12032.0,12116.0,12046.0
282,11015.0,11702.0,11906.0,12895.0
283,12519.0,12893.0,12750.0,12006.0
284,11725.0,12244.0,12040.0,12217.0
285,12264.0,12206.0,12536.0,11921.0
286,11213.0,11739.0,11164.0,12261.0
287,11650.0,11777.0,11990.0,12370.0
288,11976.0,12677.0,12540.0,12506.0
289,12324.0,12859.0,12435.0,12255.0
290,11399.0,11847.0,11654.0,11723.0
291,11666.0,11488.0,12018.0,12014.0
292,12095.0,11773.0,11877.0,12561.0
293,12217.0,12976.0,12283.0,11751.0
294,11782.0,12483.0,11751.0,12276.0
295,11927.0,12406.0,12171.0,12044.0
296,12140.0,12362.0,12226.0,12543.0
297,11779.0,12122.0,11457.0,12863.0
298,12851.0,12968.0,13589.0,12223.0
299,12335.0,12172.0,11853.0,12435.0
300,12637.0,12436.0,12028.0,12045.0
301,11313.0,12118.0,11460.0,11655.0
302,12002.0,10995.0,11246.0,12049.0
303,11242.0,11181.0,11488.0,11935.0
304,12522.0,12654.0,12208.0,12853.0
305,12531.0,12705.0,12494.0,11656.0
306,11317.0,11011.0,10987.0,12106.0
307,12054.0,12266.0,12801.0,11298.0
308,11778.0,12555.4,11967.0,12680.0
309,12457.0,12926.0,12671.0,11999.0
310,11502.0,12064.0,12122.0,12983.0
311,12898.0,12576.0,12832.0,11487.0
312,11697.0,11768.0,12017.0,12273.0
313,12057.0,12504.0,12896.0,12992.0
314,11910.0,12799.0,12174.0,11754.0
315,12079.0,12133.0,11970.0,12254.0
316,12290.0,12471.0,12493.0,11975.0
317,12136.0,11815.0,12007.0,11432.0
318,11768.0,12032.0,11851.0,12755.0
319,12135.0,12386.0,12587.0,12260.0
320,12327.0,12411.0,12325.0,12242.0
321,12131.0,13098.0,12744.0,12125.0
322,11406.0,11835.0,11805.0,11628.0
323,11550.0,11977.0,11030.0,12782.0
324,12589.0,12604.0,11890.0,12335.0
325,11978.0,13315.0,12571.0,12188.0
326,11878.0,11800.0,12061.0,11595.0
327,11463.0,11744.0,12008.0,12045.5
328,12120.0,12797.0,12854.0,11536.0
329,11913.0,11513.0,11309.0,12511.0
330,11719.0,12436.0,11907.0,12722.0
331,11260.0,11887.0,12121.0,11730.0
332,11870.0,11405.0,11783.0,11610.0
333,11702.0,11938.0,12807.0,12480.0
334,11114.0,12016.0,12073.0,12244.0
335,12334.0,11804.0,11998.0,12216.0
336,11672.0,13121.8,12257.0,11873.0
337,11324.0,11887.0,11662.0,11613.0
338,11954.0,12209.0,11733.0,12125.0
339,11393.0,12079.0,12361.0,12057.0
340,11887.0,11705.0,12389.0,12125.0
341,11957.0,12584.0,11606.0,12076.0
342,11532.0,11691.0,11730.0,11041.0
343,12241.0,11654.0,12068.0,11299.0
344,11347.0,11757.0,11321.0,12373.0
345,11295.0,11955.0,12216.0,11992.0
346,12200.0,12017.0,12374.0,12334.0
347,11834.0,12205.0,12511.0,12616.0
348,12589.0,12466.0,12292.0,11820.0
349,12026.0,12176.0,11730.0,12843.0
350,12014.0,12953.0,12448.0,12228.0
351,11776.0,11510.0,11866.0,11843.0
352,11528.0,11985.0,11796.0,12201.0
353,11813.0,12303.0,12146.0,11503.0
354,11657.4,11715.0,11914.0,12493.0
355,11632.0,11878.0,11575.0,12593.0
356,11358.0,11927.0,11825.0,11723.0
357,11764.0,11843.0,11971.0,11500.0
358,11435.0,11553.0,11583.0,12238.0
359,11963.0,12520.0,12139.0,11396.0
360,11951.0,11860.0,11352.0,12399.0
361,11877.0,12323.0,12566.0,12015.0
362,11446.0,11854.0,12300.0,12223.0
363,11882.0,12771.0,12272.0,12041.0
364,11931.0,12721.0,11594.0,12721.0
365,11976.0,12826.0,12729.0,12726.0
366,12343.0,12179.2,12043.0,12027.0
367,11385.0,12201.0,11781.0,11693.0
368,12058.0,12644.0,12075.0,12302.0
369,12149.0,12481.0,12128.0,11781.0
370,10908.0,11747.0,12010.0,12291.0
371,12087.0,12138.0,12243.0,12283.0
372,11260.0,11924.0,12049.0,11492.0
373,11210.0,12282.0,11519.0,11741.0
374,11746.0,11902.0,11703.0,11717.8
375,11929.0,11728.0,11854.0,11627.0
376,11578.0,11517.0,12138.0,12580.0
377,12153.0,12874.0,12019.0,11859.0
378,11197.0,11850.0,11947.0,12360.0
379,12544.0,12947.0,12916.0,12025.0
380,11908.0,11920.0,12286.0,12005.0
381,11460.4,11753.0,11992.0,11968.0
382,11734.0,11866.0,12150.0,11934.0
383,11719.0,12199.0,12717.0,11496.0
384,12008.0,12452.0,11712.0,12660.0
385,12359.0,12646.0,12943.0,12352.0
386,11718.0,11878.0,11609.0,11888.0
387,11805.0,11894.0,11588.0,12475.0
388,11932.0,12906.0,12067.0,12115.0
389,11916.0,12326.0,11588.0,11539.0
390,11420.0,11848.0,12072.0,12554.0
391,11711.0,12078.0,11984.0,11569.0
392,11623.0,11731.0,11725.0,11881.0
393,11373.0,11857.0,12053.0,11846.0
394,12140.0,12623.0,12276.0,11783.0
395,11686.0,11292.0,11769.0,12556.0
396,11987.0,12282.0,12934.0,12415.0
397,12195.0,12613.0,12337.0,11906.0
398,11765.0,12365.0,13071.0,12787.0
399,13354.0,13555.0,12643.0,5684.0
