object_ctx_cache_total,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,850423,612083,690862,545490,525646,564983,487616,1071232,1077287,929164,1192020,1044926,670906,594718,837345,555676,515373,872337,416725,622770,645679,5148620,741336,1135873,819798,3288822,833436,4107483,1511148,1037173,677400,1073640,915556,826130,1131656,723446,325941,641765,1926533,637588
11,850722,612311,691138,545711,526016,565138,487960,1071307,1077450,929499,1192398,1045058,671305,595007,837797,555806,515490,872565,417007,623030,645982,5148937,741483,1136057,820010,3289017,833623,4107559,1511318,1037320,677773,1073824,916111,826361,1131896,723693,326036,642104,1926669,637987
12,851035,612500,691640,545888,526474,565376,488198,1071552,1077786,929655,1192555,1045473,671586,595229,838090,556051,515776,872780,417391,623326,646133,5149381,741801,1136587,820243,3289217,834014,4107832,1511480,1037680,678031,1074061,916487,826576,1132105,723911,326279,642381,1926851,638188
13,851212,612738,691931,546182,526687,565574,488417,1071891,1077957,929861,1192767,1045800,671823,595461,838316,556266,515962,872987,417665,623607,646277,5149563,742116,1136952,820504,3289389,834225,4108103,1511661,1037961,678225,1074281,916764,826734,1132314,724138,326553,642543,1927042,638445
14,851438,612937,692144,546404,526906,565827,488586,1072107,1078169,930043,1192981,1045995,672089,595669,838562,556457,516205,873142,417925,623842,646466,5149814,742330,1137216,820821,3289556,834625,4108300,1511824,1038127,678459,1074453,916978,826973,1132509,724419,326724,642715,1927260,638645
15,851693,613102,692370,546579,527173,566008,488762,1072417,1078325,930210,1193186,1046195,672329,595948,838783,556658,516425,873375,418159,624110,646613,5149971,742487,1137391,821022,3289757,834843,4108464,1511987,1038334,678656,1074691,917163,827182,1132715,724585,326926,642929,1927461,638902
16,851890,613273,692526,546796,527377,566190,488853,1072549,1078483,930383,1193379,1046390,672572,596215,839006,556975,516621,873617,418345,624342,646774,5150186,742681,1137594,821211,3290021,835112,4108656,1512139,1038536,678864,1074862,917369,827413,1132908,724810,327115,643070,1927680,639071
17,852079,613484,692681,546979,527582,566349,489079,1072687,1078638,930635,1193575,1046607,672772,596496,839245,557154,516888,873719,418623,624571,646966,5150417,742892,1137809,821426,3290228,835351,4108871,1512315,1038769,679073,1075055,917545,827659,1133114,724963,327320,643259,1927850,639270
18,852269,613675,692934,547160,527820,566522,489244,1072843,1078835,930762,1193707,1046852,673030,596656,839504,557402,517120,873933,418760,624804,647122,5150638,743084,1138021,821688,3290419,835549,4109068,1512488,1038959,679292,1075264,917755,827893,1133318,725164,327530,643424,1928066,639531
19,852475,613848,693090,547354,527974,566731,489450,1073029,1079016,930976,1193911,1046988,673171,596877,839641,557569,517328,874027,418942,624960,647271,5150850,743301,1138235,821918,3290637,835738,4109235,1512634,1039123,679507,1075476,917925,828047,1133542,725389,327703,643614,1928243,639770
20,852695,614042,693286,547596,528192,566940,489620,1073197,1079212,931110,1194061,1047206,673445,597053,839847,557763,517556,874268,419172,625154,647450,5151053,743503,1138448,822120,3290846,835921,4109405,1512795,1039333,679717,1075695,918179,828290,1133785,725616,327886,643820,1928467,639963
21,852926,614216,693482,547806,528398,567136,489754,1073403,1079473,931248,1194262,1047413,673647,597279,840069,558026,517725,874432,419358,625368,647607,5151250,743701,1138672,822320,3291004,836146,4109577,1513006,1039573,679961,1075848,918402,828504,1134006,725814,328084,644049,1928769,640196
22,853148,614455,693674,548026,528590,567287,489978,1073563,1079698,931451,1194422,1047638,673886,597478,840315,558252,517975,874582,419588,625584,647757,5151474,743915,1138879,822560,3291186,836368,4109767,1513169,1039801,680247,1076087,918587,828763,1134258,726064,328312,644223,1928929,640442
23,853393,614656,693884,548235,528804,567542,490164,1073779,1079922,931677,1194618,1047846,674055,597731,840476,558443,518163,874781,419791,625799,647915,5151650,744094,1139110,822764,3291486,836576,4109985,1513287,1040012,680469,1076306,918775,829042,1134431,726302,328533,644399,1929145,640652
24,853627,614837,694130,548452,528976,567702,490359,1073993,1080100,931815,1194774,1048100,674330,597914,840706,558659,518348,874946,419964,625986,648071,5151862,744305,1139281,822948,3291641,836760,4110152,1513457,1040163,680655,1076516,918953,829312,1134657,726472,328719,644605,1929311,640932
25,853850,615014,694305,548664,529173,567923,490579,1074094,1080360,932074,1194966,1048281,674530,598112,840916,558833,518560,875108,420126,626221,648234,5152104,744499,1139491,823184,3291851,837001,4110327,1513641,1040377,680864,1076739,919148,829611,1134813,726683,328936,644770,1929550,641095
26,854107,615248,694542,548868,529369,568121,490770,1074337,1080554,932268,1195186,1048466,674808,598329,841113,559020,518699,875384,420318,626444,648411,5152243,744677,1139718,823400,3292050,837157,4110483,1513831,1040662,681062,1076958,919344,829819,1135045,726842,329084,644969,1929708,641307
27,854324,615475,694753,549067,529562,568308,491013,1074543,1080800,932566,1195371,1048669,675052,598555,841347,559279,518964,875471,420515,626639,648598,5152462,744859,1139970,823595,3292246,837370,4110663,1513972,1040860,681276,1077148,919578,830102,1135230,727051,329318,645088,1929951,641533
28,854578,615700,694965,549308,529812,568537,491148,1074732,1081059,932775,1195564,1048884,675308,598764,841528,559481,519156,875660,420744,626914,648794,5152719,745043,1140231,823906,3292444,837619,4110845,1514194,1041096,681496,1077320,919775,830279,1135422,727230,329466,645278,1930102,641705
29,854827,615859,695211,549533,530032,568751,491368,1075006,1081294,932990,1195739,1049089,675501,598982,841761,559646,519376,875885,420907,627135,648962,5152924,745296,1140449,824081,3292664,837883,4111036,1514299,1041236,681714,1077499,919985,830515,1135634,727410,329647,645461,1930404,641953
30,855067,616081,695429,549727,530264,568972,491556,1075185,1081457,933186,1195934,1049301,675713,599162,841912,559851,519563,876023,421146,627352,649106,5153186,745470,1140639,824261,3292839,838089,4111256,1514466,1041439,681936,1077738,920163,830727,1135837,727662,329852,645707,1930572,642236
31,855295,616316,695651,549881,530447,569151,491783,1075375,1081694,933438,1196091,1049514,675954,599369,842107,560063,519819,876190,421332,627586,649266,5153377,745646,1140886,824499,3293086,838281,4111424,1514643,1041710,682125,1077939,920403,830945,1136043,727831,330100,645853,1930774,642370
32,855532,616528,695874,550078,530741,569345,491941,1075562,1081938,933680,1196314,1049691,676160,599580,842362,560230,519958,876411,421512,627736,649444,5153585,745842,1141128,824701,3293267,838505,4111596,1514875,1041964,682306,1078137,920575,831187,1136290,728027,330246,646061,1931016,642606
33,855744,616715,696081,550258,530970,569510,492136,1075798,1082163,933857,1196499,1049880,676430,599810,842518,560463,520121,876572,421703,627924,649616,5153796,746074,1141374,824975,3293476,838797,4111820,1514996,1042157,682548,1078394,920766,831385,1136545,728265,330459,646241,1931312,642865
34,855999,616924,696285,550495,531165,569771,492310,1075985,1082362,934031,1196674,1050112,676690,600013,842762,560670,520362,876767,421895,628201,649753,5153984,746211,1141598,825164,3293628,838946,4111974,1515135,1042344,682786,1078607,920999,831640,1136786,728437,330691,646433,1931536,643103
35,856197,617112,696485,550755,531362,569957,492491,1076120,1082511,934167,1196845,1050320,676908,600210,842942,560895,520572,876927,422117,628399,649939,5154189,746451,1141819,825391,3293820,839214,4112209,1515332,1042551,683007,1078847,921222,831901,1136963,728682,330931,646630,1931749,643384
36,856395,617302,696681,550978,531543,570133,492630,1076298,1082691,934412,1197049,1050533,677123,600437,843157,561079,520807,877087,422317,628666,650098,5154389,746695,1142013,825612,3294009,839438,4112404,1515499,1042764,683227,1079028,921424,832068,1137124,728881,331133,646737,1931874,643522
37,856593,617476,696882,551160,531748,570353,492870,1076487,1082904,934587,1197193,1050759,677383,600603,843413,561282,521015,877328,422495,628847,650298,5154591,746862,1142273,825810,3294214,839624,4112583,1515660,1042986,683402,1079167,921604,832275,1137384,729036,331244,646965,1932103,643722
38,856828,617726,697081,551374,531980,570592,493029,1076631,1083167,934784,1197378,1050917,677559,600801,843591,561436,521176,877432,422689,629023,650463,5154765,747047,1142458,826020,3294428,839798,4112761,1515807,1043206,683624,1079323,921803,832518,1137574,729242,331471,647170,1932287,643996
39,857044,617919,697319,551596,532189,570807,493244,1076848,1083399,935009,1197568,1051128,677774,601032,843795,561633,521337,877600,422928,629212,650630,5154963,747235,1142696,826252,3294647,840020,4112942,1515963,1043437,683849,1079644,922018,832690,1137751,729449,331626,647364,1932531,644201
40,857206,618112,697571,551754,532394,571053,493456,1077045,1083651,935215,1197761,1051316,678006,601266,843971,561817,521548,877762,423128,629383,650775,5155219,747399,1142893,826422,3294814,840227,4113083,1516126,1043634,684110,1079812,922212,832865,1137937,729617,331847,647571,1932721,644450
41,857423,618282,697781,551976,532599,571242,493599,1077224,1083875,935397,1197951,1051536,678238,601489,844183,561998,521735,877947,423247,629590,650957,5155450,747612,1143180,826670,3295022,840425,4113236,1516271,1043839,684294,1080033,922393,833006,1138155,729810,332011,647756,1932940,644699
42,857600,618479,697971,552158,532836,571460,493800,1077449,1084107,935627,1198179,1051737,678466,601713,844398,562251,521975,878136,423423,629847,651118,5155660,747805,1143406,826860,3295176,840629,4113428,1516498,1044111,684515,1080253,922603,833277,1138389,730041,332200,647972,1933138,644866
43,857809,618645,698118,552386,533046,571615,493949,1077636,1084336,935810,1198351,1051956,678712,601920,844647,562480,522180,878333,423634,630068,651271,5155867,748004,1143689,827098,3295392,840860,4113630,1516640,1044301,684762,1080446,922789,833515,1138576,730230,332371,648143,1933419,645089
44,858029,618852,698272,552518,533225,571775,494109,1077746,1084422,936005,1198545,1052129,678932,602121,844841,562709,522435,878531,423825,630251,651418,5156091,748169,1143873,827293,3295644,841110,4113813,1516811,1044530,684996,1080655,922977,833764,1138735,730408,332656,648346,1933615,645342
45,858249,619060,698515,552734,533443,571963,494363,1077993,1084636,936173,1198723,1052345,679127,602338,845027,562885,522611,878675,423993,630493,651535,5156293,748305,1144102,827528,3295835,841247,4113957,1517000,1044736,685232,1080870,923179,834043,1138954,730648,332872,648518,1933787,645550
46,858441,619259,698667,552957,533675,572200,494633,1078179,1084845,936397,1198891,1052509,679369,602561,845192,563081,522761,878851,424200,630657,651685,5156477,748520,1144297,827687,3296045,841428,4114138,1517136,1044917,685400,1081074,923371,834320,1139115,730817,332999,648663,1933980,645804
47,858676,619439,698919,553178,533907,572390,494752,1078379,1085051,936564,1199041,1052683,679548,602715,845393,563270,523006,878982,424401,630862,651853,5156695,748717,1144528,827865,3296244,841644,4114315,1517293,1045128,685584,1081257,923533,834537,1139370,730917,333198,648869,1934274,646077
48,858883,619633,699095,553353,534052,572592,494926,1078518,1085229,936734,1199212,1052865,679740,602901,845573,563460,523138,879189,424560,631048,652014,5156922,748921,1144707,828109,3296400,841816,4114496,1517479,1045385,685801,1081477,923748,834849,1139513,731178,333436,649057,1934431,646269
49,859093,619815,699264,553558,534273,572836,495144,1078679,1085454,936894,1199395,1053068,679912,603110,845752,563637,523374,879303,424853,631242,652188,5157134,749159,1144958,828381,3296651,842029,4114702,1517649,1045567,686009,1081663,923921,835082,1139799,731354,333641,649296,1934661,646524
50,859304,620053,699471,553811,534522,572977,495393,1078855,1085644,937091,1199577,1053265,680177,603289,845971,563836,523586,879533,424957,631490,652341,5157340,749368,1145151,828541,3296788,842242,4114879,1517814,1045770,686244,1081864,924133,835337,1139973,731574,333810,649551,1934892,646710
51,859472,620241,699692,553999,534684,573222,495523,1079008,1085873,937291,1199781,1053481,680361,603543,846088,563989,523733,879682,425205,631650,652528,5157596,749604,1145401,828801,3297001,842523,4115059,1518005,1045981,686473,1082049,924324,835573,1140227,731784,334005,649696,1935082,646983
52,859678,620446,699886,554227,534922,573374,495693,1079144,1086067,937540,1199976,1053721,680655,603743,846362,564232,523999,879845,425397,631878,652673,5157795,749776,1145608,829004,3297170,842729,4115245,1518203,1046222,686678,1082252,924552,835829,1140449,732013,334246,649892,1935323,647174
53,859901,620633,700099,554378,535136,573572,495896,1079322,1086264,937726,1200167,1053934,680898,603940,846560,564407,524224,880036,425627,632107,652862,5158025,750023,1145867,829250,3297402,842976,4115456,1518356,1046481,686899,1082451,924726,836035,1140700,732214,334422,650071,1935486,647386
54,860134,620831,700313,554640,535362,573776,496105,1079544,1086516,937951,1200330,1054140,681138,604121,846709,564614,524430,880187,425803,632324,653039,5158250,750234,1146069,829493,3297597,843200,4115624,1518582,1046651,687138,1082655,924929,836239,1140877,732419,334643,650246,1935713,647613
55,860340,621023,700500,554772,535567,574003,496286,1079769,1086722,938146,1200502,1054309,681339,604351,846932,564818,524609,880427,425960,632521,653200,5158472,750452,1146238,829728,3297804,843450,4115809,1518755,1046876,687355,1082827,925138,836489,1141115,732612,334842,650477,1935942,647874
56,860501,621223,700696,554989,535807,574194,496430,1079901,1086978,938421,1200715,1054537,681593,604538,847128,565036,524796,880595,426189,632707,653361,5158692,750642,1146520,829940,3298061,843661,4115960,1518914,1047077,687569,1082999,925286,836722,1141323,732804,335023,650608,1936139,648059
57,860722,621406,700847,555186,536000,574418,496597,1080098,1087082,938543,1200918,1054770,681860,604747,847371,565330,525026,880784,426396,633007,653519,5158917,750857,1146710,830187,3298237,843840,4116179,1519085,1047299,687776,1083199,925504,836891,1141509,732994,335266,650831,1936319,648256
58,860943,621599,701042,555393,536169,574595,496760,1080303,1087336,938694,1201119,1054959,682107,604986,847596,565503,525295,880958,426592,633156,653679,5159143,751046,1146976,830402,3298482,844074,4116353,1519333,1047589,687987,1083419,925716,837120,1141702,733220,335445,651062,1936498,648505
59,861144,621804,701214,555637,536355,574778,496968,1080440,1087515,938876,1201298,1055153,682333,605217,847781,565689,525450,881123,426784,633421,653851,5159338,751300,1147266,830628,3298596,844338,4116629,1519446,1047748,688228,1083643,925951,837341,1141963,733392,335602,651192,1936687,648662
60,861330,621978,701438,555799,536564,574965,497143,1080648,1087688,939063,1201506,1055406,682544,605422,847995,565889,525710,881328,427002,633658,654036,5159530,751505,1147474,830806,3298773,844488,4116771,1519618,1047962,688425,1083837,926162,837568,1142107,733602,335832,651398,1936893,648902
61,861565,622178,701645,556012,536806,575124,497320,1080822,1087871,939259,1201723,1055602,682795,605677,848233,566068,525927,881492,427177,633861,654199,5159760,751693,1147701,831053,3298992,844733,4116956,1519784,1048121,688618,1084051,926325,837742,1142343,733771,336005,651550,1937129,649115
62,861768,622364,701858,556229,537016,575366,497544,1080984,1088094,939515,1201923,1055774,683001,605881,848424,566330,526180,881696,427451,634081,654338,5159971,751852,1147920,831232,3299219,844965,4117078,1519936,1048377,688836,1084214,926539,837962,1142552,733942,336172,651730,1937372,649337
63,861981,622592,702073,556469,537209,575596,497734,1081241,1088327,939678,1202117,1055991,683251,606113,848659,566627,526414,881990,427661,634317,654474,5160081,752043,1148065,831457,3299417,845138,4117320,1520132,1048523,689063,1084440,926738,838209,1142774,734195,336373,651922,1937555,649542
64,862203,622771,702249,556648,537446,575808,497917,1081435,1088591,939836,1202301,1056248,683509,606285,848859,566878,526629,882123,427833,634507,654629,5160336,752234,1148301,831664,3299668,845344,4117516,1520270,1048718,689296,1084669,926959,838421,1142976,734371,336569,652067,1937768,649755
65,862380,622962,702462,556872,537596,575993,498087,1081623,1088765,940021,1202479,1056423,683742,606524,849047,567054,526847,882283,428083,634715,654781,5160551,752415,1148483,831883,3299807,845507,4117649,1520504,1048912,689488,1084881,927154,838612,1143144,734507,336739,652239,1937929,649946
66,862585,623183,702702,557079,537785,576159,498271,1081802,1088951,940251,1202654,1056639,683979,606747,849272,567289,527022,882433,428227,634991,654962,5160800,752656,1148777,832133,3300011,845772,4117882,1520639,1049161,689688,1085071,927325,838770,1143348,734698,336950,652421,1938154,650156
67,862837,623362,702928,557243,537984,576357,498420,1082073,1089212,940434,1202855,1056843,684210,606980,849452,567429,527231,882643,428579,635144,655095,5161015,752838,1149013,832331,3300199,845968,4118099,1520829,1049375,689906,1085240,927535,838994,1143583,734878,337116,652666,1938406,650341
68,862997,623599,703102,557451,538186,576621,498659,1082166,1089366,940642,1203047,1057075,684434,607198,849618,567702,527456,882798,428674,635384,655275,5161223,753022,1149211,832550,3300413,846160,4118259,1521004,1049624,690152,1085435,927720,839262,1143815,735068,337303,652845,1938590,650561
69,863201,623794,703317,557611,538473,576805,498808,1082400,1089618,940865,1203210,1057265,684656,607404,849893,567909,527759,882966,428876,635611,655424,5161447,753229,1149487,832770,3300558,846394,4118517,1521156,1049782,690388,1085636,927947,839516,1143963,735286,337480,653023,1938792,650845
70,863369,623967,703504,557817,538668,577039,498958,1082590,1089798,941001,1203374,1057454,684878,607598,850092,568106,527912,883148,429067,635861,655577,5161673,753379,1149645,832969,3300804,846577,4118675,1521288,1049995,690611,1085861,928113,839731,1144212,735481,337709,653182,1938944,651066
71,863541,624165,703653,558059,538857,577206,499129,1082715,1089975,941192,1203568,1057663,685091,607806,850313,568303,528099,883340,429247,636002,655729,5161841,753616,1149865,833164,3301015,846827,4118833,1521515,1050211,690803,1086033,928343,839993,1144364,735702,337950,653351,1939215,651226
72,863738,624370,703856,558255,539063,577406,499329,1082894,1090229,941412,1203734,1057889,685376,608028,850528,568535,528360,883543,429465,636217,655892,5162123,753812,1150165,833387,3301241,846987,4119026,1521673,1050415,690990,1086243,928501,840190,1144623,735866,338047,653599,1939476,651489
73,863968,624542,704042,558420,539235,577574,499502,1083073,1090459,941603,1203906,1058078,685576,608237,850752,568712,528586,883761,429685,636503,656077,5162330,754008,1150378,833618,3301376,847174,4119197,1521838,1050655,691245,1086420,928747,840409,1144849,736085,338306,653734,1939639,651699
74,864134,624775,704174,558618,539448,577767,499649,1083193,1090644,941778,1204103,1058326,685846,608456,850997,568940,528825,883958,429894,636675,656276,5162616,754234,1150626,833845,3301560,847407,4119419,1522013,1050825,691478,1086562,928959,840679,1145054,736271,338491,653910,1939868,651853
75,864354,624979,704465,558839,539680,578039,499856,1083417,1090902,942044,1204275,1058501,686091,608683,851156,569194,529001,884095,430091,636908,656423,5162792,754392,1150851,833983,3301826,847579,4119594,1522179,1051048,691692,1086803,929106,840888,1145232,736493,338710,654055,1940030,652141
76,864536,625138,704682,559092,539865,578195,500053,1083609,1091165,942167,1204423,1058690,686283,608858,851371,569385,529165,884289,430289,637138,656589,5163002,754592,1151087,834204,3302022,847736,4119791,1522288,1051235,691916,1087034,929345,841115,1145416,736669,338873,654276,1940183,652264
77,864744,625350,704784,559309,540003,578348,500254,1083729,1091303,942393,1204588,1058912,686484,609011,851532,569559,529324,884462,430525,637307,656719,5163163,754761,1151333,834407,3302270,847936,4119938,1522442,1051439,692132,1087208,929546,841301,1145599,736901,339065,654436,1940393,652454
78,865003,625535,704980,559507,540207,578573,500397,1083906,1091489,942612,1204765,1059092,686660,609200,851709,569745,529550,884625,430677,637478,656871,5163421,754907,1151555,834657,3302396,848170,4120147,1522633,1051700,692350,1087396,929738,841526,1145813,737079,339249,654656,1940652,652707
79,865208,625751,705227,559690,540437,578762,500586,1084086,1091705,942763,1204941,1059268,686843,609381,851872,569903,529697,884820,430794,637670,657058,5163683,755152,1151799,834869,3302601,848355,4120339,1522768,1051923,692575,1087560,929931,841761,1146000,737303,339462,654831,1940915,652925
80,865422,625956,705449,559892,540670,578981,500790,1084246,1091924,943036,1205108,1059508,687063,609650,852106,570084,529893,884966,431019,637880,657222,5163860,755341,1152055,835076,3302763,848550,4120512,1522972,1052182,692806,1087753,930134,841955,1146181,737512,339659,655005,1941050,653116
81,865636,626147,705623,560065,540826,579149,500950,1084473,1092155,943205,1205302,1059742,687269,609852,852313,570295,530096,885142,431182,638110,657384,5164094,755544,1152232,835297,3302973,848745,4120617,1523164,1052353,692988,1087946,930301,842143,1146384,737697,339815,655214,1941207,653338
82,865855,626332,705848,560233,541045,579374,501147,1084637,1092363,943396,1205495,1059924,687474,610073,852500,570457,530298,885335,431353,638303,657544,5164354,755741,1152492,835502,3303135,849044,4120919,1523320,1052576,693239,1088145,930533,842371,1146562,737931,340040,655377,1941356,653540
83,866039,626479,706035,560436,541278,579597,501257,1084847,1092601,943518,1205701,1060094,687749,610296,852702,570649,530519,885510,431605,638491,657722,5164570,755924,1152718,835721,3303324,849248,4121034,1523469,1052767,693432,1088353,930701,842542,1146747,738117,340180,655513,1941568,653696
84,866208,626674,706186,560629,541473,579747,501490,1084946,1092774,943689,1205875,1060309,687977,610487,852915,570808,530742,885663,431731,638771,657908,5164796,756136,1152982,835891,3303496,849449,4121230,1523658,1052985,693614,1088544,930889,842781,1146936,738298,340356,655747,1941787,653884
85,866416,626826,706430,560812,541638,580031,501608,1085178,1093016,943870,1206064,1060494,688185,610704,853107,571035,530881,885827,431955,638970,658053,5165034,756358,1153235,836205,3303714,849650,4121461,1523848,1053240,693790,1088767,931036,842966,1147141,738489,340492,655901,1941946,654106
86,866594,627044,706607,560967,541748,580160,501787,1085320,1093176,944061,1206297,1060724,688439,610907,853310,571194,531097,886074,432143,639140,658214,5165223,756565,1153481,836422,3303964,849907,4121627,1524034,1053510,694013,1088974,931290,843171,1147309,738739,340713,656070,1942182,654323
87,866778,627240,706836,561158,541953,580345,501946,1085503,1093308,944246,1206477,1060901,688648,611111,853504,571393,531279,886213,432405,639397,658384,5165483,756796,1153736,836674,3304178,850126,4121890,1524173,1053684,694230,1089180,931498,843424,1147529,738905,340919,656290,1942368,654543
88,867001,627458,707028,561367,542176,580533,502144,1085689,1093564,944538,1206641,1061122,688911,611282,853723,571619,531536,886414,432533,639585,658535,5165631,756952,1153894,836835,3304384,850280,4122024,1524356,1053891,694439,1089356,931718,843704,1147752,739116,341116,656425,1942556,654717
89,867205,627662,707242,561564,542377,580748,502330,1085856,1093736,944645,1206840,1061282,689113,611523,853886,571764,531656,886603,432772,639758,658684,5165835,757185,1154117,837057,3304531,850519,4122224,1524522,1054100,694643,1089571,931876,843893,1147990,739317,341281,656614,1942841,654972
90,867375,627866,707459,561811,542630,580934,502500,1086073,1093981,944806,1207043,1061522,689364,611800,854106,571960,531871,886785,432989,639960,658834,5166072,757385,1154337,837331,3304744,850716,4122394,1524697,1054346,694869,1089787,932115,844155,1148191,739510,341484,656841,1943011,655203
