journal_wr,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
17,978350,914459,846487,744755,772679,949089,1019063,1263954,795817,916184,955178,1022269,910674,894300,966862,642336,816542,906752,627604,886602,781087,1002590,714512,983641,739015,839934,968224,1044158,915776,929556,972395,870736,810894,673152,960851,796344,994545,983303,1090938,826168
18,978800,914862,846853,745066,773118,949519,1019486,1264306,796082,916706,955466,1022614,911071,894660,967195,642647,816828,907195,627964,887032,781428,1002943,714865,984065,739456,840279,968585,1044520,916045,929870,972778,871126,811294,673455,961195,796609,994897,983516,1091226,826514
19,979205,915259,847282,745494,773464,949881,1019744,1264804,796459,917125,955796,1022954,911345,895006,967566,642894,817164,907349,628390,887364,781737,1003292,715173,984428,739675,840638,969032,1044832,916346,930265,973163,871428,811568,673815,961524,796927,995228,983873,1091591,826741
20,979590,915606,847645,745875,773875,950268,1020153,1265171,796840,917540,956085,1023322,911698,895346,967800,643197,817447,907687,628700,887714,782018,1003615,715521,984692,739938,840977,969342,1045161,916730,930525,973539,871823,811963,674215,961893,797337,995626,984249,1091814,827110
21,979984,915990,848013,746252,774176,950577,1020471,1265574,797171,917919,956396,1023689,912060,895622,968098,643572,817850,908057,629079,888125,782360,1003926,715797,985103,740341,841255,969651,1045484,917032,930907,973873,872206,812363,674573,962209,797623,995993,984699,1092300,827581
22,980338,916391,848343,746622,774689,950893,1020882,1265913,797588,918428,956658,1024002,912370,895955,968552,643814,818066,908292,629399,888386,782728,1004236,716173,985435,740649,841616,970028,1045761,917275,931339,974152,872489,812724,674907,962549,797930,996347,984966,1092558,827793
23,980616,916730,848684,747001,775061,951158,1021162,1266373,797910,918943,956996,1024332,912721,896276,968792,644179,818320,908575,629735,888695,782996,1004496,716505,985851,741126,842118,970516,1046105,917595,931783,974558,872878,813079,675232,962982,798322,996666,985359,1092899,828201
24,981020,917009,849012,747359,775418,951574,1021525,1266742,798391,919272,957320,1024733,913065,896647,969182,644485,818720,908967,630034,889156,783339,1004835,716823,986246,741447,842386,970751,1046395,917932,932097,974996,873212,813328,675655,963420,798632,996930,985676,1093266,828624
25,981372,917384,849351,747659,775760,951897,1021793,1267003,798677,919582,957621,1025091,913411,896959,969468,644854,819035,909220,630368,889446,783726,1005222,717171,986609,741801,842677,971177,1046721,918270,932386,975395,873511,813667,676002,963718,799059,997379,986107,1093720,828982
26,981669,917741,849642,748009,776063,952173,1022102,1267340,799126,919849,957948,1025453,913750,897251,969827,645186,819361,909577,630774,889805,784040,1005479,717503,986971,742193,843025,971514,1047007,918540,932742,975736,873861,813987,676276,964028,799372,997669,986453,1094108,829453
27,982047,918082,849945,748354,776388,952525,1022379,1267700,799642,920342,958282,1025780,914115,897664,970197,645498,819686,909892,631126,890062,784398,1005839,717927,987451,742512,843378,971830,1047353,918949,933067,976039,874141,814390,676629,964292,799672,998007,986629,1094450,829658
28,982428,918438,850282,748758,776795,952904,1022823,1267990,800068,920664,958517,1026055,914375,897915,970458,645786,819959,910189,631392,890353,784735,1006279,718168,987790,742822,843660,972134,1047687,919152,933416,976400,874464,814728,677012,964668,800030,998389,987000,1094691,829974
29,982804,918920,850687,749245,777180,953245,1023122,1268387,800368,921042,958845,1026395,914732,898286,970819,646138,820254,910618,631748,890671,785082,1006627,718515,988196,743212,843997,972501,1048036,919455,933742,976726,874748,815088,677292,965024,800373,998878,987341,1095040,830403
30,983098,919236,851086,749659,777511,953594,1023537,1268804,800802,921482,959169,1026725,915109,898646,971109,646456,820615,910830,632188,890964,785376,1006987,718842,988498,743488,844302,972825,1048414,919811,934157,977130,875160,815382,677628,965280,800689,999153,987646,1095342,830755
31,983500,919574,851408,749939,777875,953943,1023900,1269077,801229,921882,959446,1027147,915468,899000,971438,646769,820907,911092,632591,891266,785707,1007281,719255,988971,743861,844692,973156,1048717,920268,934473,977433,875572,815789,677887,965604,801042,999499,987979,1095788,831098
32,983847,919928,851762,750307,778285,954334,1024176,1269457,801650,922236,959778,1027471,915814,899309,971794,647174,821237,911404,632765,891602,786046,1007617,719520,989359,744158,845036,973479,1049053,920499,934807,977827,875885,816057,678359,965973,801449,999894,988324,1096095,831417
33,984186,920260,852013,750764,778657,954629,1024538,1269804,801971,922692,960094,1027851,916190,899645,972216,647561,821576,911711,633096,891979,786386,1007876,719882,989804,744557,845376,973831,1049464,920780,935235,978269,876233,816376,678781,966397,801769,1000328,988701,1096430,831685
34,984558,920573,852329,751074,778921,954898,1024768,1270006,802235,922995,960391,1028106,916568,899978,972526,647903,821960,912029,633444,892272,786666,1008130,720227,990102,744850,845643,974241,1049722,921119,935554,978655,876603,816772,679139,966729,802095,1000715,989066,1096709,832099
35,984963,920937,852729,751430,779228,955274,1025047,1270407,802540,923364,960707,1028456,916837,900328,972811,648168,822227,912377,633696,892592,786930,1008398,720540,990472,745233,845967,974489,1050108,921439,935914,979060,876877,817120,679578,967025,802473,1000916,989464,1097153,832465
36,985283,921309,853049,751785,779626,955698,1025514,1270698,802924,923737,961005,1028745,917221,900680,973085,648482,822468,912760,633978,892868,787256,1008745,720868,990787,745485,846302,974817,1050403,921731,936257,979363,877213,817478,679983,967416,802734,1001295,989765,1097450,832767
37,985652,921677,853488,752213,780014,956024,1025968,1271052,803357,924138,961284,1029087,917490,900955,973351,648796,822843,912969,634322,893126,787587,1009082,721165,991166,745787,846633,975233,1050699,922015,936583,979693,877525,817782,680346,967742,802904,1001599,990010,1097698,833113
38,985959,921998,853794,752444,780256,956399,1026187,1271336,803718,924460,961550,1029417,917766,901207,973671,649133,823036,913286,634653,893432,787939,1009397,721490,991511,746169,846992,975518,1051034,922302,936941,980089,877910,818095,680855,968177,803341,1002009,990432,1098085,833540
39,986258,922343,854093,752856,780614,956825,1026474,1271636,804115,924834,961844,1029764,918044,901512,973972,649451,823407,913543,634889,893704,788241,1009691,721855,991915,746573,847282,975915,1051349,922629,937359,980481,878224,818450,681250,968452,803636,1002322,990673,1098569,833852
40,986570,922673,854420,753224,781029,957078,1026806,1272013,804479,925151,962166,1030111,918416,901888,974281,649802,823760,913957,635354,894062,788573,1010054,722142,992248,746838,847555,976280,1051612,922912,937664,980872,878507,818784,681670,968967,803979,1002661,991000,1098821,834247
41,986841,923070,854826,753615,781276,957536,1027240,1272316,804888,925572,962463,1030509,918705,902170,974414,650043,823993,914168,635498,894260,788971,1010420,722472,992645,747278,847901,976653,1051940,923285,938018,981198,878882,819114,682037,969286,804313,1002944,991438,1099181,834535
42,987253,923408,855164,753957,781698,957830,1027469,1272610,805315,925941,962806,1030912,919128,902567,974839,650395,824407,914551,635894,894667,789279,1010697,722754,992963,747638,848191,976947,1052299,923533,938393,981582,879212,819474,682469,969675,804705,1003410,991699,1099577,834962
43,987626,923823,855535,754332,782092,958192,1027742,1272922,805485,926430,963143,1031275,919469,902910,975192,650684,824775,914862,636233,895002,789585,1011022,722996,993407,747967,848572,977351,1052671,923817,938736,981974,879594,819744,682824,970019,805023,1003793,992039,1099888,835283
44,988025,924145,855929,754739,782484,958525,1028012,1273357,805861,926755,963422,1031636,919826,903215,975428,651017,825087,915125,636650,895336,789929,1011357,723357,993779,748369,848995,977758,1053007,924152,939171,982316,879920,820040,683156,970439,805376,1003993,992371,1100292,835666
45,988397,924519,856246,755100,782805,958904,1028420,1273741,806237,927157,963709,1031951,920103,903500,975823,651387,825376,915471,636955,895685,790244,1011682,723628,994117,748734,849322,978193,1053284,924415,939431,982673,880149,820437,683596,970728,805733,1004332,992704,1100557,836064
46,988714,924849,856627,755504,783210,959204,1028739,1274030,806604,927557,963968,1032342,920507,903852,976139,651717,825674,915747,637240,895960,790588,1011959,723956,994542,749065,849683,978600,1053603,924689,939795,983053,880498,820749,683998,971140,806095,1004775,993100,1100922,836508
47,989081,925190,856829,755723,783553,959594,1029004,1274381,806903,928092,964303,1032748,920877,904204,976509,652183,826056,916203,637627,896415,790924,1012310,724277,994870,749483,850010,978903,1053956,925029,940139,983369,880986,821054,684304,971507,806387,1005156,993306,1101320,836796
48,989397,925540,857141,756187,783874,959901,1029320,1274753,807316,928327,964622,1033084,921251,904523,976904,652434,826487,916495,638040,896619,791247,1012647,724621,995285,749824,850283,979265,1054292,925300,940428,983719,881281,821452,684678,971781,806721,1005435,993674,1101635,837142
49,989743,925865,857430,756417,784153,960230,1029621,1274981,807650,928673,964930,1033397,921633,904918,977181,652707,826722,916783,638372,897032,791573,1012987,725032,995752,750192,850734,979693,1054670,925599,940866,984125,881647,821779,685099,972131,807042,1005766,994052,1101921,837521
50,990050,926206,857804,756818,784517,960533,1029996,1275394,808032,929027,965211,1033779,921969,905293,977541,653063,827132,917080,638709,897414,791872,1013340,725319,996075,750495,850961,979963,1054956,925932,941138,984454,881940,822128,685503,972549,807425,1006152,994296,1102246,837751
51,990478,926568,858115,757107,784941,960827,1030304,1275694,808387,929402,965572,1034150,922348,905590,977901,653437,827491,917374,639098,897703,792145,1013770,725725,996392,750904,851327,980399,1055292,926253,941489,984785,882235,822461,685814,972783,807685,1006466,994713,1102567,838127
52,990821,926953,858493,757423,785300,961243,1030589,1275936,808704,929774,965903,1034509,922634,905974,978170,653829,827843,917636,639415,898037,792421,1014109,726031,996743,751135,851631,980766,1055676,926560,941771,985171,882571,822853,686195,973184,808005,1006868,995027,1102927,838476
53,991207,927297,858842,757861,785634,961633,1031005,1276406,809126,930257,966240,1034836,923003,906313,978527,654310,828204,917941,639881,898362,792699,1014480,726391,996993,751453,852036,981054,1056019,926954,942217,985568,882900,823179,686601,973528,808399,1007199,995380,1103302,838805
54,991575,927700,859080,758165,786049,962019,1031359,1276758,809474,930592,966568,1035250,923368,906680,978871,654721,828532,918289,640227,898628,793036,1014794,726721,997419,751748,852364,981380,1056290,927255,942447,985961,883269,823499,686962,973884,808722,1007517,995690,1103716,839141
55,991882,928019,859433,758548,786282,962331,1031663,1277089,809922,930902,966858,1035600,923736,906941,979197,655005,828861,918732,640514,898936,793350,1015147,727087,997629,752091,852669,981669,1056608,927524,942787,986353,883546,823852,687272,974228,808967,1007862,995974,1104025,839479
56,992228,928406,859833,758920,786596,962651,1031994,1277445,810104,931255,967152,1035969,924072,907337,979537,655389,829198,918943,641026,899349,793735,1015465,727385,998043,752463,853087,982113,1056834,927869,943123,986691,883888,824026,687510,974522,809292,1008125,996292,1104418,839786
57,992659,928752,860232,759338,786928,962989,1032398,1277973,810497,931694,967443,1036320,924479,907694,979794,655611,829585,919267,641263,899604,794029,1015793,727760,998396,752763,853367,982467,1057223,928304,943524,987039,884180,824455,687838,974881,809557,1008437,996653,1104700,840105
58,992984,929089,860535,759702,787259,963461,1032654,1278146,810801,932050,967789,1036685,924832,908046,980078,655996,829904,919541,641866,899965,794379,1016134,728105,998679,753117,853759,982800,1057525,928515,943884,987431,884525,824839,688290,975250,809915,1008847,997111,1105087,840435
59,993365,929538,860907,760122,787720,963810,1033075,1278545,811061,932430,968096,1037026,925152,908378,980511,656353,830357,919920,642038,900345,794656,1016423,728454,999058,753440,853956,983172,1058002,928833,944246,987814,884831,825203,688701,975591,810295,1009178,997424,1105516,840738
60,993668,929925,861230,760413,788015,964177,1033398,1278888,811334,932786,968402,1037370,925462,908703,980793,656604,830618,920166,642352,900749,795003,1016747,728723,999349,753786,854240,983464,1058267,929134,944509,988215,885191,825558,689068,975790,810641,1009512,997768,1105822,841111
61,993957,930209,861499,760712,788341,964483,1033673,1279144,811648,933037,968698,1037670,925714,909039,981080,656904,830927,920452,642698,900997,795334,1017097,729062,999680,754026,854564,983832,1058601,929384,944855,988579,885529,825833,689501,976064,811036,1009886,998117,1106189,841423
62,994300,930583,861799,761056,788714,964802,1034007,1279489,812127,933363,969037,1038060,926186,909388,981375,657263,831303,920794,642992,901351,795637,1017429,729367,1000170,754364,854949,984078,1058874,929755,945254,988923,885874,826215,689838,976278,811310,1010219,998396,1106434,841703
63,994709,930929,862118,761348,788993,965139,1034383,1279843,812564,933794,969284,1038392,926457,909705,981750,657556,831683,921125,643406,901810,795963,1017676,729659,1000520,754718,855278,984419,1059277,930023,945597,989377,886182,826530,690174,976698,811675,1010522,998873,1106865,842122
64,995025,931241,862397,761708,789327,965488,1034708,1280070,812869,934158,969558,1038768,926929,910013,982172,657931,832066,921478,643795,902107,796341,1018104,730083,1000878,755076,855718,984841,1059629,930424,945937,989751,886461,826910,690671,977038,811988,1010864,999132,1107289,842486
65,995435,931630,862884,762121,789725,965959,1034990,1280438,813209,934432,969912,1039079,927329,910408,982446,658323,832374,921831,644119,902439,796632,1018466,730423,1001198,755311,855940,985140,1059873,930649,946201,990070,886793,827253,691033,977385,812387,1011160,999504,1107532,842722
66,995689,931950,863267,762454,790015,966200,1035397,1280812,813663,934961,970200,1039400,927653,910747,982801,658627,832662,922167,644448,902792,796973,1018838,730733,1001578,755657,856259,985407,1060274,931011,946543,990451,887136,827516,691383,977720,812686,1011526,999756,1107905,843225
67,996026,932239,863439,762759,790237,966469,1035757,1281032,813920,935190,970457,1039755,927932,911032,983075,658914,832911,922425,644808,903040,797279,1019156,731036,1001891,755953,856552,985758,1060643,931356,946806,990805,887456,827871,691614,978063,813056,1011869,1000200,1108216,843422
68,996403,932625,863809,763175,790549,966883,1036131,1281386,814368,935646,970751,1040082,928231,911298,983361,659195,833308,922729,645232,903325,797623,1019449,731256,1002201,756335,856949,986118,1060963,931652,947109,991148,887740,828203,691895,978395,813356,1012304,1000492,1108482,843728
69,996742,932950,864186,763552,790920,967193,1036405,1281693,814678,936056,971066,1040348,928519,911614,983625,659500,833571,923032,645550,903622,797969,1019821,731694,1002546,756678,857189,986405,1061404,931905,947535,991537,888133,828572,692263,978789,813731,1012730,1000858,1108803,844131
70,997113,933282,864559,764037,791342,967570,1036728,1281993,814943,936360,971399,1040731,928857,911878,983973,659824,833891,923336,645755,903920,798314,1020149,731981,1002957,757026,857647,986774,1061684,932295,947922,991946,888387,828817,692621,979066,814074,1012923,1001087,1109219,844457
71,997458,933660,864886,764375,791596,967836,1037086,1282445,815358,936855,971708,1041136,929219,912245,984306,660181,834187,923651,646143,904262,798687,1020480,732270,1003312,757404,857992,987137,1061971,932594,948393,992275,888759,829184,692963,979390,814354,1013399,1001413,1109656,844765
72,997822,933991,865259,764708,791945,968193,1037321,1282772,815730,937149,972011,1041450,929554,912532,984604,660448,834486,923934,646481,904604,799038,1020890,732664,1003687,757743,858374,987608,1062350,932894,948651,992658,889134,829420,693284,979707,814721,1013733,1001763,1109916,845081
73,998132,934342,865537,765044,792290,968563,1037715,1283162,816024,937500,972326,1041741,929927,912874,984931,660812,834765,924242,646766,904899,799385,1021232,732953,1004070,758120,858631,987937,1062645,933241,948973,993002,889510,829880,693542,980020,814992,1014111,1002014,1110166,845421
74,998413,934649,865817,765420,792610,968820,1037912,1283358,816427,937817,972639,1042124,930249,913169,985306,661102,835121,924580,647218,905330,799732,1021630,733311,1004460,758387,858935,988242,1063059,933560,949322,993252,889818,830230,693895,980286,815296,1014403,1002263,1110415,845674
75,998776,935015,866202,765733,792931,969299,1038327,1283761,816886,938073,972947,1042444,930586,913487,985620,661471,835367,924858,647433,905638,800075,1021934,733627,1004892,758874,859342,988593,1063362,933780,949709,993538,890133,830481,694196,980640,815635,1014730,1002633,1110735,845969
76,999102,935281,866494,766013,793129,969502,1038522,1284031,817101,938419,973248,1042790,930989,913866,985943,661777,835710,925142,647811,905978,800404,1022302,733913,1005357,759244,859711,989045,1063735,934090,950122,993886,890457,830835,694508,980987,816035,1015021,1002914,1111085,846312
77,999431,935624,866789,766379,793458,969799,1038805,1284332,817458,938782,973605,1043088,931290,914190,986252,662121,836006,925410,648123,906369,800729,1022551,734315,1005776,759660,860116,989390,1064017,934460,950499,994170,890710,831182,694892,981291,816296,1015349,1003259,1111352,846627
78,999753,935955,867098,766715,793803,970137,1039087,1284711,817847,939161,973891,1043440,931647,914510,986569,662479,836429,925825,648495,906670,801018,1022938,734622,1006002,759873,860368,989616,1064368,934696,950788,994544,891034,831506,695339,981702,816573,1015701,1003618,1111735,846963
79,1000087,936332,867491,767042,794127,970506,1039419,1285009,818201,939722,974165,1043752,931973,914803,986866,662733,836620,926010,648694,906979,801290,1023282,734956,1006404,760192,860754,990015,1064718,935089,951119,994915,891295,831840,695668,982028,816881,1015977,1003863,1112087,847219
80,1000424,936652,867886,767347,794550,970881,1039787,1285376,818652,939958,974375,1044189,932332,915187,987194,662993,836925,926353,649147,907275,801568,1023459,735319,1006710,760617,861015,990337,1065024,935416,951432,995286,891649,832229,696088,982347,817166,1016374,1004213,1112398,847638
81,1000778,936947,868234,767683,794885,971246,1040077,1285675,819015,940306,974688,1044509,932681,915630,987557,663350,837193,926674,649534,907617,801896,1023860,735677,1007072,760945,861418,990691,1065235,935730,951876,995643,891879,832476,696392,982635,817476,1016669,1004637,1112917,847995
82,1001056,937282,868512,768014,795262,971621,1040445,1286012,819397,940757,974983,1044862,932974,915973,987807,663600,837564,926955,649833,907944,802247,1024281,735996,1007460,761251,861671,991034,1065754,936021,952145,995968,892090,832858,696668,982912,817816,1016987,1004950,1113207,848361
83,1001482,937632,868859,768396,795482,971952,1040712,1286401,819709,941288,975280,1045189,933289,916315,988120,663874,837870,927272,650165,908236,802589,1024594,736377,1007844,761604,862037,991418,1065972,936365,952563,996380,892430,833129,697047,983256,818159,1017173,1005231,1113719,848696
84,1001812,937956,869186,768808,795834,972332,1041092,1286747,820147,941534,975586,1045486,933612,916638,988417,664187,838128,927616,650492,908590,802899,1024974,736716,1008200,761874,862354,991698,1066335,936696,952880,996799,892765,833447,697335,983639,818471,1017555,1005635,1113850,848984
85,1002151,938289,869506,769043,796201,972544,1041407,1287060,820414,941853,975889,1045843,934009,916966,988645,664441,838441,927837,650789,908880,803260,1025350,737132,1008576,762141,862728,991989,1066809,937003,953197,997170,893086,833668,697721,983968,818860,1017860,1005880,1114377,849376
86,1002539,938643,869863,769464,796557,973005,1041725,1287403,820647,942239,976259,1046219,934427,917368,989026,664782,838773,928151,651127,909189,803634,1025660,737373,1009007,762624,863145,992383,1067083,937266,953622,997596,893357,834052,698004,984457,819243,1018190,1006240,1114629,849701
87,1002924,939002,870172,769763,796931,973373,1042096,1287772,821100,942645,976553,1046623,934793,917731,989357,665077,839207,928386,651418,909623,803915,1026084,737715,1009414,763009,863520,992736,1067476,937539,953978,997991,893596,834425,698412,984760,819600,1018498,1006588,1114876,850034
88,1003221,939324,870577,770121,797298,973672,1042327,1288010,821427,942975,976852,1046938,935082,917983,989570,665462,839406,928691,651819,909881,804233,1026331,738040,1009754,763313,863902,993093,1067723,937839,954266,998452,893908,834794,698673,985241,819949,1018831,1006819,1115189,850427
89,1003604,939677,870938,770513,797633,973958,1042649,1288365,821859,943328,977103,1047240,935421,918241,989793,665717,839734,929053,652106,910178,804542,1026663,738342,1010177,763562,864141,993482,1068058,938152,954625,998723,894226,835073,699161,985493,820282,1019212,1007207,1115598,850789
90,1003955,940019,871251,770891,798111,974374,1043009,1288765,822214,943715,977374,1047602,935705,918572,990113,666007,840024,929340,652415,910488,804879,1027028,738670,1010499,763897,864514,993891,1068368,938469,955108,999071,894580,835455,699444,985799,820588,1019518,1007542,1115886,851156
91,1004290,940380,871619,771187,798433,974670,1043334,1289021,822585,944064,977693,1047986,936093,918964,990481,666391,840295,929678,652661,910822,805172,1027318,738957,1010930,764237,864828,994177,1068708,938791,955351,999428,894960,835750,699853,986139,820912,1019803,1007828,1116254,851447
92,1004604,940670,871947,771570,798788,975006,1043734,1289347,822927,944447,978038,1048368,936479,919360,990799,666738,840647,930018,653015,911163,805502,1027658,739294,1011318,764538,865268,994521,1069034,939075,955741,999807,895269,836086,700298,986507,821295,1020204,1008192,1116636,851715
93,1004966,941094,872297,772042,799073,975304,1044095,1289601,823383,944816,978353,1048709,936885,919687,991169,667049,841014,930393,653367,911475,805882,1027848,739580,1011720,764987,865549,994885,1069379,939385,956077,1000147,895633,836431,700726,986768,821685,1020544,1008556,1117128,852110
94,1005310,941436,872746,772339,799556,975687,1044455,1290015,823695,945294,978643,1049044,937240,920014,991425,667489,841348,930665,653837,911893,806160,1028130,739992,1012123,765251,865844,995134,1069693,939664,956359,1000482,895978,836793,701024,987070,822004,1020946,1008962,1117286,852452
