op_w,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
72,153275,144506,141143,143075,155277,146166,139890,132088,145355,143736,142256,159241,157877,157364,169341,151869,151189,151699,149075,147210,133763,153147,149002,165135,160155,148304,152629,146883,134545,153385,152954,149916,147274,163320,153161,143399,144138,143436,161079,146650
73,153454,144682,141326,143258,155535,146386,140082,132297,145589,143938,142450,159406,158138,157587,169540,152052,151432,151874,149244,147404,133934,153360,149179,165356,160373,148440,152835,146997,134691,153615,153145,150088,147436,163484,153338,143575,144278,143604,161234,146853
74,153618,144836,141484,143466,155728,146541,140189,132401,145764,144065,142657,159622,158372,157804,169749,152216,151653,152067,149492,147676,134130,153582,149387,165626,160527,148615,153033,147190,134847,153801,153324,150236,147616,163723,153520,143749,144448,143729,161388,147007
75,153824,145030,141719,143632,155892,146824,140432,132622,145997,144200,142829,159812,158578,157992,169938,152439,151787,152243,149627,147877,134271,153815,149609,165871,160846,148886,153224,147422,135038,154013,153490,150490,147740,163905,153711,143942,144556,143975,161603,147198
76,154005,145171,141898,143803,155956,146955,140550,132768,146161,144379,143009,160035,158838,158202,170135,152600,152004,152395,149844,148046,134429,154000,149805,166111,161058,149093,153494,147579,135223,154259,153721,150716,148030,164105,153916,144195,144799,144123,161812,147397
77,154189,145384,142118,144006,156201,147138,140732,132936,146286,144592,143239,160207,159044,158414,170330,152797,152186,152543,150029,148294,134591,154260,150047,166370,161303,149340,153681,147843,135403,154523,153931,150880,148227,164356,154081,144361,144997,144288,161973,147628
78,154412,145589,142315,144194,156415,147324,140892,133135,146542,144779,143422,160431,159298,158608,170523,153007,152435,152795,150284,148484,134747,154387,150195,166514,161440,149463,153846,147970,135546,154716,154149,151064,148456,164634,154297,144563,145189,144507,162210,147837
79,154613,145812,142519,144377,156615,147541,141079,133278,146707,145079,143580,160578,159503,158777,170717,153162,152552,152926,150397,148654,134898,154601,150429,166735,161674,149666,154090,148171,135719,154916,154337,151245,148609,164824,154524,144761,145357,144646,162385,147998
80,154786,146004,142749,144523,156875,147723,141265,133509,146955,145179,143782,160826,159732,159015,170932,153343,152774,153144,150658,148835,135044,154841,150628,166953,161925,149830,154277,148342,135893,155134,154577,151439,148842,165077,154760,144942,145538,144835,162578,148276
81,155000,146211,142947,144714,157067,147942,141427,133651,147126,145336,143992,161011,159998,159295,171160,153622,152930,153325,150873,149062,135191,155017,150826,167143,162127,150044,154501,148534,136070,155383,154794,151627,149045,165303,154953,145120,145760,145062,162869,148500
82,155162,146395,143118,144929,157283,148168,141644,133823,147364,145496,144154,161194,160231,159488,171297,153795,153176,153507,151049,149312,135365,155209,151021,167355,162318,150179,154712,148692,136231,155534,154985,151825,149249,165503,155153,145315,145934,145238,163034,148725
83,155414,146593,143345,145130,157402,148370,141783,133994,147548,145836,144327,161376,160412,159701,171485,153991,153368,153686,151234,149492,135563,155394,151163,167582,162543,150395,154933,148868,136409,155775,155227,152035,149440,165749,155345,145482,146102,145377,163342,148925
84,155616,146785,143549,145372,157619,148579,141972,134166,147798,145946,144508,161536,160627,159883,171668,154186,153544,153860,151436,149687,135701,155576,151371,167801,162720,150553,155101,149023,136599,155970,155441,152224,149668,165913,155600,145639,146285,145589,163416,149101
85,155815,146977,143719,145524,157825,148699,142185,134334,147971,146093,144689,161733,160882,160082,171800,154354,153715,153974,151618,149877,135888,155793,151534,168020,162837,150778,155272,149179,136765,156181,155650,152447,149857,166155,155794,145856,146440,145737,163708,149332
86,156033,147166,143941,145767,158031,148965,142372,134501,148187,146283,144883,161919,161136,160311,172046,154539,153901,154148,151826,150047,136112,156002,151769,168259,163161,151032,155500,149352,136934,156441,155894,152653,150088,166347,156068,146061,146668,145951,163833,149584
87,156255,147374,144134,145942,158223,149193,142558,134700,148358,146466,145056,162139,161328,160535,172252,154721,154152,154280,151986,150327,136254,156115,151985,168528,163400,151246,155721,149605,137110,156651,156124,152862,150279,166580,156218,146264,146838,146132,163985,149798
88,156423,147549,144375,146164,158459,149359,142705,134850,148549,146622,145221,162309,161522,160682,172419,154940,154292,154450,152216,150486,136436,156323,152188,168739,163623,151448,155961,149765,137292,156825,156379,153028,150494,166738,156512,146469,147035,146256,164166,150045
89,156662,147744,144575,146385,158645,149524,142912,135031,148735,146810,145372,162496,161737,160821,172595,155105,154478,154645,152384,150680,136587,156593,152365,168978,163819,151591,156206,149965,137466,157015,156563,153254,150674,167028,156688,146675,147195,146479,164428,150287
90,156859,147978,144757,146584,158928,149782,143097,135232,148959,147047,145524,162714,161926,161023,172787,155287,154674,154798,152583,150895,136758,156820,152558,169183,164058,151807,156417,150181,137648,157292,156751,153465,150899,167199,156847,146861,147430,146655,164619,150500
91,157082,148182,144982,146750,159106,149958,143251,135388,149238,147238,145714,162905,162183,161264,173044,155508,154835,154988,152745,151104,136894,156987,152729,169417,164241,151998,156565,150349,137763,157454,156970,153676,151056,167448,157065,147029,147682,146827,164819,150678
92,157299,148315,145157,146975,159300,150168,143444,135606,149368,147431,145910,163123,162408,161501,173266,155733,155085,155197,152947,151312,137058,157214,152962,169625,164430,152238,156771,150539,137946,157694,157164,153869,151348,167683,157312,147253,147906,146990,165028,150880
93,157523,148565,145370,147222,159458,150372,143634,135739,149592,147631,146127,163317,162673,161709,173474,155941,155336,155418,153154,151509,137238,157416,153130,169863,164710,152397,157011,150729,138143,157868,157381,154097,151583,167941,157523,147509,148045,147181,165330,151151
94,157729,148762,145620,147393,159730,150593,143849,135951,149811,147886,146299,163523,162917,161915,173601,156182,155556,155577,153410,151725,137376,157595,153319,170065,164851,152578,157163,150858,138297,158035,157591,154301,151755,168109,157720,147689,148272,147391,165425,151375
95,157904,148962,145805,147556,159872,150878,143993,136152,150028,148014,146459,163688,163110,162116,173840,156292,155728,155729,153586,151909,137536,157796,153514,170273,165059,152729,157368,151052,138454,158320,157840,154462,151976,168409,157963,147901,148445,147602,165625,151614
96,158121,149158,146036,147748,160089,151037,144230,136322,150227,148250,146630,163929,163363,162329,174097,156546,155953,155950,153768,152115,137660,157959,153669,170463,165219,152902,157560,151208,138577,158467,158078,154692,152171,168615,158152,148041,148698,147822,165861,151830
97,158301,149330,146246,147950,160278,151200,144360,136538,150470,148412,146833,164092,163602,162576,174320,156721,156142,156146,153974,152356,137813,158164,153850,170664,165412,153103,157769,151379,138747,158646,158324,154889,152391,168798,158386,148218,148890,148001,166126,152067
98,158441,149501,146365,148108,160421,151404,144532,136725,150641,148548,147055,164333,163824,162803,174544,156937,156390,156320,154178,152540,137965,158374,154032,170911,165636,153298,157969,151556,138933,158844,158536,155071,152595,169013,158581,148466,149076,148169,166248,152257
99,158636,149684,146547,148284,160576,151567,144713,136861,150779,148704,147232,164521,164074,162994,174748,157149,156574,156515,154430,152761,138100,158567,154178,171088,165841,153482,158149,151753,139086,159022,158731,155285,152788,169217,158775,148642,149300,148315,166405,152436
100,158830,149885,146812,148476,160817,151787,144887,137065,150933,148900,147390,164723,164285,163190,174948,157300,156805,156660,154606,152954,138239,158761,154368,171287,166019,153654,158366,151911,139264,159254,158953,155516,152965,169377,158919,148866,149460,148512,166652,152682
