rxkB/s,client01,client02,client03,client04
128,2281.91,2221.99,2248.67,2352.43
129,2205.29,1925.42,1964.01,2142.73
130,1838.12,2048.61,2123.1,2072.11
131,1654.78,1921.67,1983.43,2219.31
132,1873.16,2023.42,1938.1,2129.02
133,1897.77,2039.56,2294.38,1992.47
134,2029.62,2027.79,2032.9,2443.56
135,2687.72,2303.04,2527.8,1783.99
136,2031.14,2029.75,2094.61,1949.16
137,1793.9,2058.9,2029.93,1960.35
138,1890.04,1994.24,1931.29,2108.52
139,1863.82,1925.11,2005.77,2080.17
140,1844.21,2089.51,2016.4,2132.13
141,2186.18,2029.73,2363.22,2318.86
142,2404.17,2206.04,2069.29,2010.96
143,1710.84,2080.11,2257.77,2130.6
144,1616.81,1897.15,2050.02,2166.32
145,1815.69,2071.96,2014.74,2014.89
146,1775.83,2139.42,2146.22,1972.7
147,1730.53,1922.66,2019.67,2172.11
148,2450.32,2272.13,2399.6,2300.18
149,2081.54,2025.25,2100.75,2076.94
150,1711.54,2006.6,1953.99,1992.98
151,1917.65,1941.59,2102.85,2051.52
152,1790.38,1981.01,2188.89,2148.28
153,1767.43,1941.77,1969.8,2194.33
154,1953.66,1912.91,2098.57,2427.64
155,2443.91,2148.39,2422.69,2129.76
156,1843.45,2003.29,2096.88,2118.49
157,1650.51,1956.63,2153.79,2415.7
158,1674.45,1884.29,2099.02,2042.26
159,1813.95,1901.2,1928.59,2077.29
160,2145.09,1820.11,2003.58,2330.3
161,2224.33,2103.25,2315.61,2147.75
162,2367.12,2273.23,1889.66,2312.81
163,1895.2,1935.47,2075.61,2256.39
164,1937.38,1840.33,2071.47,2198.63
165,1978.51,1903.06,1849.66,2206.75
166,1777.39,1957.29,2079.77,2300.17
167,2003.43,1991.25,1842.78,2237.43
168,2551.22,2189.78,2270.3,2274.61
169,1969.4,1976.62,2003.69,2252.6
170,1815.49,1987.94,1938.97,2261.22
171,1900.16,1937.21,2209.75,1964.24
172,1806.54,2146.12,2114.28,1797.54
173,1719.01,2042.42,1948.28,2085.28
174,1870.77,2046.66,1999.41,2623.84
175,2468.99,2200.35,2175.59,2284.75
176,2061.91,1823.65,2005.61,2084.49
177,1761.83,1925.25,2161.35,2372.03
178,1750.53,1894.21,2028.22,2161.37
179,1759.08,1872.3,2059.26,2286.1
180,1839.04,1807.14,2002.52,2265.14
181,2211.16,1879.23,2429.71,2393.12
182,2390.31,2192.06,2393.69,2003.21
183,1827.34,2042.48,2104.51,2005.22
184,1797.27,2036.0,2107.83,1964.88
185,1890.33,2034.13,2057.46,2093.06
186,1764.4,1906.58,2025.42,2194.94
187,1962.09,1845.45,1936.5,2318.48
188,2573.44,2128.43,2574.1,1914.66
189,2193.49,1841.04,2100.12,2031.38
190,1694.68,2023.15,1971.46,1904.36
191,1812.16,1919.94,2010.13,1879.32
192,1854.35,1648.94,2086.22,2038.72
193,1711.83,2000.5,2103.24,2089.18
194,1841.56,1909.0,2248.26,2341.47
195,2345.42,2429.33,2299.76,2018.83
196,1707.58,1826.65,2140.75,2123.4
197,1552.52,2015.64,2132.11,2099.6
198,1799.14,1908.75,2022.7,2075.97
199,1773.81,1876.27,2148.88,2006.05
200,1700.74,1879.54,2232.65,2468.39
201,2174.93,1816.1,2414.11,2204.61
202,2229.62,2304.36,2158.8,1919.23
203,1694.28,2019.57,2200.14,2174.97
204,1766.59,2031.71,2014.92,2000.11
205,1900.73,2097.39,2059.82,1908.54
206,1783.71,2179.67,2164.61,2124.99
207,1848.04,2131.44,2197.95,2215.39
208,2289.58,2116.18,2311.84,2240.11
209,2051.3,1711.88,2259.56,2104.7
210,1971.66,1796.23,2174.24,1951.27
211,1898.69,1883.87,2214.95,2025.55
212,1675.6,2099.82,2117.31,2158.34
213,1719.37,1941.06,2041.62,2031.3
214,2072.97,1863.55,2200.47,2490.59
215,2409.33,2165.46,2311.77,2202.79
216,1821.12,1932.25,1870.31,2239.08
217,1755.05,1939.17,2219.3,1982.12
218,1654.8,2127.63,2076.14,2190.27
219,1707.18,1940.39,2020.77,2170.31
220,1791.37,1930.18,1896.56,2631.56
221,2325.21,1808.92,2394.03,2258.3
222,2273.71,2151.69,2100.74,2159.67
223,1751.88,2124.73,2096.01,2020.59
224,1734.66,1652.49,2194.55,2120.1
225,1880.42,1853.87,2158.33,2217.65
226,1834.44,1787.12,2226.69,1987.17
227,1998.06,1707.92,2212.35,2384.74
228,2422.07,2117.14,2372.37,2072.04
229,1935.57,1957.65,1943.2,2071.17
230,1740.43,1861.28,2068.43,2222.62
231,1979.78,1849.38,2048.12,2217.61
232,1829.42,1814.59,2113.97,2308.55
233,1935.02,1847.93,2122.58,2157.43
234,2270.97,1747.46,2213.26,2507.28
235,2434.92,2154.64,1940.09,2384.61
236,1857.85,1714.84,2005.56,2202.83
237,2021.3,1733.47,2066.12,1930.53
238,1939.72,1967.67,2164.6,2081.45
239,1754.74,1844.53,2051.54,2212.41
240,1728.06,1935.82,1947.74,2239.27
241,2422.82,1951.03,2435.14,2259.31
242,2190.46,2115.67,2138.57,2221.31
243,1674.63,1965.67,1971.95,2073.8
244,1729.6,1979.06,2090.13,2188.9
245,1787.11,1792.25,2112.63,1870.79
246,1981.69,1872.86,2010.72,2089.67
247,1896.13,1957.38,2174.47,2305.8
248,2476.86,2293.64,2486.79,1807.08
249,1650.81,2016.24,2190.88,2004.59
250,1614.93,2068.5,2282.92,1980.1
251,1829.15,1780.03,2099.98,1978.79
252,1799.73,1918.78,2313.61,2009.54
253,1691.66,2093.11,2134.5,1970.2
254,2096.27,1930.8,2285.05,2418.5
255,2462.54,2293.21,2317.49,1922.34
256,1924.66,1886.39,2206.73,1984.45
257,1919.82,1888.87,2237.33,2029.54
258,1971.19,1839.44,2311.55,1854.05
259,1665.91,2148.92,2076.72,1958.7
260,1716.11,2123.2,2222.56,2152.34
261,2289.14,2079.64,2194.96,2063.62
262,2427.75,1875.73,2059.51,1944.77
263,1857.42,1925.84,2256.32,2004.05
264,1749.63,2096.97,2030.07,1885.89
265,1895.02,1871.47,2088.75,2195.33
266,1824.95,2053.18,2000.7,2013.55
267,2116.33,1907.64,1854.5,2312.07
268,2628.66,2165.41,2398.51,2139.98
269,1916.02,1969.19,2267.28,1962.77
270,1733.6,2059.55,1957.43,2139.61
271,1706.04,1986.74,2081.3,2057.94
272,1749.68,2004.58,1985.89,1981.7
273,1984.42,1870.84,2064.9,2025.07
274,2276.94,1819.72,2356.47,2481.77
275,2274.19,2229.25,2115.45,2131.84
276,1934.48,1899.45,2138.08,2106.61
277,1730.93,1955.69,2233.21,2200.27
278,1925.06,1863.4,1968.1,2103.22
279,1869.2,1811.43,2327.57,2017.17
280,1829.96,2090.75,2425.85,2069.37
281,2355.72,2106.34,2435.26,2094.2
282,2179.88,1848.71,2241.19,1977.03
283,1824.46,1782.67,1952.33,2111.5
284,1700.92,1841.41,1946.98,2165.9
285,1832.71,1799.11,2163.49,2033.54
286,1905.45,1846.62,2212.86,1873.21
287,1861.1,1882.94,2117.94,2482.16
288,2496.66,1966.87,2486.07,2188.23
289,1984.3,1747.08,2076.03,1939.47
290,1833.21,2045.75,2268.46,1978.75
291,1878.75,1913.56,2028.57,2083.94
292,1923.15,1633.25,2374.66,2055.13
293,1889.56,1801.79,2235.1,2180.86
294,2227.44,1753.16,2414.9,2244.82
295,2288.51,2125.74,1984.93,1992.26
296,1814.84,2064.7,1963.84,2125.47
297,1862.84,1925.38,2034.92,2157.72
298,1799.22,1836.6,2093.12,2128.19
299,1978.87,1751.64,2226.44,1958.96
300,2000.28,1628.58,2129.24,2307.19
301,2450.73,1950.39,2365.45,2098.21
302,2044.17,1866.94,1948.59,1985.58
303,1798.92,1801.19,2321.26,2029.54
304,1955.46,1901.24,2111.9,1916.66
305,1697.94,1920.21,2146.14,1932.18
306,1711.55,2193.39,2055.96,2222.47
307,1807.39,2076.41,2018.76,2753.61
308,2394.41,2014.93,2245.21,2054.36
309,1804.74,1967.59,2387.31,2068.37
310,1759.19,2010.24,2305.29,1917.86
311,1669.12,2057.98,1950.73,2099.68
312,1645.79,2189.61,1953.38,2312.5
313,1592.09,2038.13,1801.24,2430.16
314,2234.1,1887.86,2294.63,2308.84
315,2387.49,2229.42,2088.38,2086.81
316,1677.46,1983.48,2218.34,1932.86
317,1669.6,2143.68,2074.54,2057.05
318,1452.01,2166.2,2111.73,2310.46
319,1694.04,1910.33,1901.76,2411.34
320,1739.83,1869.0,1942.17,2715.05
321,2287.74,2006.97,2516.36,2330.29
322,1968.69,1941.69,2080.6,1991.43
323,1739.91,1999.35,2192.52,2225.13
324,1679.91,1884.51,1950.11,2345.26
325,1908.69,1650.61,1974.11,2179.47
326,2024.31,1833.76,1999.66,2190.44
327,2158.88,1874.54,2281.05,2236.27
328,2605.25,2193.92,2246.39,2024.52
329,1881.65,2008.47,2067.24,2033.6
330,1733.55,1863.08,1960.08,2065.52
331,1860.62,1894.99,2040.37,2157.67
332,1864.1,1874.84,1941.74,2170.12
333,1814.3,1842.02,2102.57,2224.08
334,2185.03,1951.39,2357.25,2029.96
335,2091.82,2157.28,2025.36,2232.15
336,1697.68,1981.21,1913.76,2031.99
337,1776.84,1913.22,2128.14,2267.44
338,1677.31,1920.05,2179.49,2061.91
339,1768.99,1887.06,2093.07,2138.37
340,1839.64,2111.61,2196.54,2259.86
341,2038.71,2213.45,2402.7,2282.82
342,1856.58,1876.46,2013.59,2204.74
343,1790.69,1745.26,2103.16,2015.12
344,1845.88,1957.9,2215.04,2000.62
345,1678.08,2104.44,2245.61,1999.31
346,1736.39,2073.84,2106.01,1997.47
347,2080.22,2105.9,2111.88,2143.1
348,2372.35,2085.31,2322.91,1984.87
349,1931.42,1840.37,2174.79,2055.08
350,1747.32,1950.17,2067.12,2022.63
351,1751.94,1973.7,1978.23,2011.55
352,1759.46,1962.24,2080.14,2125.94
353,1863.18,1646.93,2076.01,2376.92
354,2169.51,2132.71,2382.43,2060.41
355,2066.43,2196.52,2195.46,2009.62
356,1742.9,1834.48,2097.82,2211.2
357,1744.45,1892.87,1899.67,2151.41
358,1827.63,1880.7,2113.89,2130.95
359,1853.06,1719.46,2185.59,2050.7
360,1969.87,1914.94,2057.87,2241.76
361,2325.26,2151.68,2427.02,2168.99
362,2064.82,1822.99,1966.71,1980.01
363,2023.25,1881.71,2187.46,1792.46
364,1808.99,2107.1,2120.92,1860.17
365,1742.76,2066.17,2138.97,1974.59
366,1769.87,1965.33,2120.68,2000.12
367,2263.4,1960.62,2394.99,2320.99
368,2400.54,2266.26,2352.54,1808.44
369,1825.49,2022.15,2212.05,2016.03
370,1647.12,1851.14,2161.91,2067.98
371,1952.66,1887.49,2160.44,1929.4
372,1863.76,1939.78,1936.39,1955.79
373,1869.68,1897.62,2055.39,2233.72
374,2322.57,2111.56,2313.59,2006.6
375,2485.2,2124.69,2086.62,1906.3
376,1825.93,1915.25,2196.15,2001.53
377,1856.19,2048.3,2225.22,1890.88
378,1629.52,2097.66,2195.28,2113.36
379,1741.12,1934.72,1824.24,2135.84
380,2061.46,1873.35,1891.52,2402.79
381,2396.59,2263.71,2364.06,2136.61
382,1743.37,2065.8,1826.85,1982.38
383,1839.43,1916.1,1783.19,2196.4
384,1640.68,1823.55,2118.02,2266.3
385,1782.46,1959.05,2209.43,2000.81
386,1661.95,2109.08,1807.42,2130.72
387,2314.45,1799.07,2202.62,2560.13
388,2528.36,2073.12,2186.36,1996.33
389,1905.21,1889.74,2029.5,2024.44
390,1823.64,1846.1,2140.12,2225.52
391,1801.09,1800.41,1983.12,2130.2
392,1806.83,2037.39,2009.23,2194.85
393,1747.4,1892.38,2056.47,2317.61
394,2252.3,1992.51,2307.29,2124.72
395,2203.99,2221.42,1968.45,2184.98
396,1768.36,2055.48,2305.79,2405.41
397,1877.41,2656.73,3058.84,11799.4
398,16294.5,4347.83,12729.8,11359.4
399,9584.09,24368.7,15091.5,2342.62
