kbcached,aceph01,aceph02,aceph03,aceph04
172,2723936.0,2549068.0,2508800.0,2587492.0
173,2748676.0,2571900.0,2538904.0,2598484.0
174,2822272.0,2561900.0,2535444.0,2615376.0
175,2713640.0,2577884.0,2561264.0,2616796.0
176,2736740.0,2589384.0,2553024.0,2633856.0
177,2754848.0,2600864.0,2564600.0,2643924.0
178,2746908.0,2616160.0,2579236.0,2640888.0
179,2767452.0,2627544.0,2573332.0,2643408.0
180,2764364.0,2630716.0,2570904.0,2659036.0
181,2773272.0,2650064.0,2593164.0,2675272.0
182,2808736.0,2667956.0,2626924.0,2682424.0
183,2802516.0,2682800.0,2637928.0,2702052.0
184,2815860.0,2720456.0,2639472.0,2720652.0
185,2835664.0,2706900.0,2636940.0,2719112.0
186,2832688.0,2720648.0,2659784.0,2741516.0
187,2847848.0,2745788.0,2691580.0,2744656.0
188,2870216.0,2768156.0,2698140.0,2753892.0
189,2888080.0,2752472.0,2723260.0,2768564.0
190,2890996.0,2776148.0,2701128.0,2782560.0
191,2912120.0,2762748.0,2709636.0,2788224.0
192,2955064.0,2759772.0,2738156.0,2791212.0
193,2952800.0,2771584.0,2770896.0,2812252.0
194,2940300.0,2789984.0,2761600.0,2822964.0
195,2955364.0,2805372.0,2777408.0,2838828.0
196,2970700.0,2822512.0,2793928.0,2868548.0
197,2998632.0,2830952.0,2805868.0,2860036.0
198,2986556.0,2834084.0,2810068.0,2881684.0
199,2999428.0,2850816.0,2821060.0,2884624.0
200,3028444.0,2867084.0,2835212.0,2900816.0
201,3058868.0,2882688.0,2850760.0,2920232.0
202,3083776.0,2880372.0,2848204.0,2915700.0
203,3047576.0,2896128.0,2848920.0,2926664.0
204,3066248.0,2905632.0,2865500.0,2937832.0
205,3077724.0,2924276.0,2881136.0,2953228.0
206,3096028.0,2944940.0,2897260.0,2940820.0
207,3113708.0,2946860.0,2913848.0,2956280.0
208,3098116.0,2963088.0,2930904.0,2967824.0
209,3111224.0,2967076.0,2936468.0,2988232.0
210,3125988.0,2981736.0,2953028.0,3004148.0
211,3167744.0,2998504.0,2953532.0,2995736.0
212,3153368.0,3010088.0,2964124.0,3011504.0
213,3165056.0,3014652.0,2979612.0,3027184.0
214,3170708.0,3025816.0,2997568.0,3039896.0
215,3184384.0,3030164.0,3006420.0,3051820.0
216,3197396.0,3042632.0,3030676.0,3070980.0
217,3217008.0,3053340.0,3060832.0,3074152.0
218,3236864.0,3070704.0,3049216.0,3092308.0
219,3254516.0,3075284.0,3045676.0,3100760.0
220,3262124.0,3091964.0,3063412.0,3098840.0
221,3281456.0,3106180.0,3074016.0,3114232.0
222,3300556.0,3112316.0,3070312.0,3125052.0
223,3331024.0,3127824.0,3085100.0,3136328.0
224,3342816.0,3138884.0,3106188.0,3150260.0
225,3362548.0,3150744.0,3132000.0,3144724.0
226,3372292.0,3178560.0,3148004.0,3156224.0
227,3395284.0,3197544.0,3119204.0,3173224.0
228,3393484.0,3176984.0,3129976.0,3188304.0
229,3385188.0,3192060.0,3137196.0,3208392.0
230,3413432.0,3201684.0,3153940.0,3229084.0
231,3429128.0,3218716.0,3161404.0,3235840.0
232,3427684.0,3234492.0,3176932.0,3255024.0
233,3438984.0,3250376.0,3194940.0,3256128.0
234,3439632.0,3264288.0,3198596.0,3275112.0
235,3463740.0,3281488.0,3193980.0,3275932.0
236,3473548.0,3277648.0,3208852.0,3277236.0
237,3504288.0,3292836.0,3218584.0,3283672.0
238,3498620.0,3313400.0,3235040.0,3308160.0
239,3516364.0,3328080.0,3248920.0,3313620.0
240,3535796.0,3360420.0,3262976.0,3329368.0
241,3541688.0,3388032.0,3287724.0,3348152.0
242,3609732.0,3416692.0,3281952.0,3331756.0
243,3498936.0,3394476.0,3292736.0,3343480.0
244,3498076.0,3411044.0,3308220.0,3364316.0
245,3507616.0,3426872.0,3318460.0,3377624.0
246,3517916.0,3424232.0,3321524.0,3375056.0
247,3545828.0,3441176.0,3336468.0,3381152.0
248,3560996.0,3452588.0,3362344.0,3379988.0
249,3585856.0,3423692.0,3381544.0,3396640.0
250,3589380.0,3447676.0,3366548.0,3412996.0
251,3610680.0,3434756.0,3377368.0,3429112.0
252,3625544.0,3456852.0,3394420.0,3439340.0
253,3635348.0,3476172.0,3409084.0,3455320.0
254,3641288.0,3495708.0,3426856.0,3466836.0
255,3658068.0,3523316.0,3441560.0,3482120.0
256,3670008.0,3547104.0,3454144.0,3495700.0
257,3686328.0,3522880.0,3464604.0,3513256.0
258,3676172.0,3533348.0,3480624.0,3513516.0
259,3687204.0,3544052.0,3470236.0,3528844.0
260,3702460.0,3549288.0,3485224.0,3530088.0
261,3722444.0,3564664.0,3489580.0,3552208.0
262,3733668.0,3560404.0,3519084.0,3555376.0
263,3751356.0,3576052.0,3536508.0,3570184.0
264,3763136.0,3598784.0,3544160.0,3581604.0
265,3768580.0,3635324.0,3543112.0,3597352.0
266,3779416.0,3626536.0,3561676.0,3602860.0
267,3791208.0,3640344.0,3581996.0,3597736.0
268,3815452.0,3655420.0,3574816.0,3613064.0
269,3824080.0,3660600.0,3565440.0,3625348.0
270,3842656.0,3667568.0,3565128.0,3644624.0
271,3839264.0,3686296.0,3575832.0,3660312.0
272,3829924.0,3706252.0,3593720.0,3667544.0
273,3845856.0,3705572.0,3607508.0,3689304.0
274,3857072.0,3712868.0,3622880.0,3701624.0
275,3875352.0,3728468.0,3621092.0,3720988.0
276,3887752.0,3750196.0,3640944.0,3713056.0
277,3889572.0,3754408.0,3654132.0,3722708.0
278,3908960.0,3771488.0,3669980.0,3730284.0
279,3918892.0,3782428.0,3675668.0,3735244.0
280,3928580.0,3791852.0,3686324.0,3749484.0
281,3956480.0,3802720.0,3702252.0,3767580.0
282,3976936.0,3817472.0,3703444.0,3788596.0
283,3999876.0,3815632.0,3719388.0,3806964.0
284,4016460.0,3835324.0,3729800.0,3793096.0
285,4016468.0,3865452.0,3724412.0,3803900.0
286,4044608.0,3888792.0,3736172.0,3818748.0
287,4047276.0,3886500.0,3749628.0,3840864.0
